date,open,high,low,close,volume
2026-08-18,54.2000,56.0000,52.8000,53.1000,22983
2026-08-19,53.0000,58.4100,52.8000,58.4100,141932
2026-08-20,58.4000,59.9000,56.2100,59.3700,174240
2026-08-21,60.0000,60.7600,59.5000,60.1000,653817
2026-08-24,60.1000,60.9900,58.3500,59.0400,711424
2026-08-25,59.4500,60.5000,59.0100,59.6600,220837
2026-08-26,60.9600,60.9600,58.5500,60.2300,48018
2026-08-27,61.4900,61.4900,58.5200,60.5100,126899
2026-08-28,60.9500,60.9500,58.9700,59.6400,77984
2026-08-31,60.7000,60.7000,53.6800,53.6800,139546
2026-09-01,51.0000,56.6500,51.0000,54.1600,110417
2026-09-02,53.6000,54.9900,48.7500,51.0600,498508
2026-09-03,52.5100,53.4000,50.0000,51.8100,16001
2026-09-04,55.2900,55.2900,50.1600,50.4400,21136
2026-09-07,50.1900,53.0000,48.0500,48.5700,415996
2026-09-08,48.9000,48.9000,47.0100,47.3600,35522
2026-09-09,47.0000,50.3100,46.3700,50.0100,109479
2026-09-10,50.2000,51.7500,48.6500,50.1400,95699
2026-09-11,50.0000,51.1400,47.9500,49.0900,20263
2026-09-15,49.4400,50.5800,45.9500,46.6100,33359
2026-09-16,46.7400,47.9400,45.8100,46.8700,35148
2026-09-17,47.4600,49.9700,46.6200,49.4600,32704
2026-09-18,48.4700,50.0000,48.0100,49.3500,44221
2026-09-21,49.5200,54.2800,48.6100,51.4100,113250
