date,open,high,low,close,volume
2023-09-18,66.7000,68.4500,66.7000,67.4500,95886
2023-09-20,67.2000,68.4000,66.1500,66.9500,117589
2023-09-21,66.9500,67.5000,65.9000,66.6000,133254
2023-09-22,67.1000,67.5000,65.7000,66.2000,76953
2023-09-25,66.2000,66.8500,65.5000,66.1500,105254
2023-09-26,66.0000,67.0000,65.2000,65.7000,109474
2023-09-27,65.6000,66.4000,65.2000,65.4000,103222
2023-09-28,65.8500,65.8500,64.3000,64.8000,92622
2023-09-29,65.2000,66.0000,64.9500,65.1500,68359
2023-10-03,65.0000,65.9000,64.4000,64.6000,109927
2023-10-04,64.1000,64.6000,63.0500,63.8000,120693
2023-10-05,64.4000,65.3500,63.8000,64.8000,83004
2023-10-06,65.5500,66.3000,65.0000,65.2500,63915
2023-10-09,64.2500,65.0000,62.1500,63.5500,186453
2023-10-10,63.3000,66.1500,63.2500,66.0000,113728
2023-10-11,66.9000,67.0000,64.4000,64.5500,130941
2023-10-12,65.2000,65.4500,63.6000,64.0500,159802
2023-10-13,64.4000,64.4000,63.4000,63.9000,131341
2023-10-16,65.2500,72.1500,64.1000,70.3000,1478864
2023-10-17,70.5500,71.7000,68.1500,69.4500,413347
2023-10-18,69.6500,71.6000,66.2500,67.5000,453369
2023-10-19,66.9500,69.1500,66.2500,68.5000,149726
2023-10-20,68.9500,69.1000,67.0000,67.2500,79226
2023-10-23,67.2500,68.2000,63.0000,63.6000,233785
2023-10-25,64.5500,65.6500,62.5000,63.5000,133519
2023-10-26,62.6000,64.1000,61.5000,63.1000,126600
2023-10-27,63.9500,65.5500,63.1000,64.1500,61189
2023-10-30,64.1500,64.5000,63.0000,63.4000,82969
2023-10-31,63.5000,66.0000,62.6000,63.9500,154667
2023-11-01,64.3500,65.5000,63.3000,64.0000,112645
2023-11-02,64.0000,70.2500,64.0000,67.6000,566289
2023-11-03,67.9500,68.4500,65.7000,67.0000,167379
2023-11-06,67.3000,67.8000,66.1500,66.9000,50240
2023-11-07,67.2500,68.5000,66.1000,66.8500,136607
2023-11-08,67.0000,67.3500,63.5000,65.5000,208697
2023-11-09,65.1000,65.1000,63.4000,64.1500,156333
2023-11-10,64.0000,65.2500,64.0000,64.5500,64360
2023-11-13,66.4000,66.4000,64.7500,65.7000,74202
2023-11-15,66.0000,66.6500,65.0500,65.4500,80427
2023-11-16,66.3500,66.3500,65.0000,65.5000,77670
2023-11-17,65.1500,65.9000,64.2000,64.5500,112528
2023-11-20,65.0000,65.2000,64.1000,64.3500,62208
2023-11-21,64.5000,65.3000,64.1000,64.3000,60063
2023-11-22,64.3000,64.7000,63.7000,64.0000,64102
2023-11-23,63.6500,67.6000,63.6500,66.1500,345519
2023-11-24,66.5000,66.5000,64.9500,65.2000,167392
2023-11-28,65.7500,67.5000,65.1000,66.8500,248665
2023-11-29,66.8500,67.5500,65.8000,66.0500,136662
2023-11-30,65.7500,66.7000,64.2500,64.9000,133307
2023-12-01,65.1000,66.3500,64.6000,65.1000,170442
2023-12-04,66.0500,66.7500,65.1500,65.6000,166980
2023-12-05,66.2000,66.8000,64.5500,64.9000,197253
2023-12-06,65.0000,68.8000,64.8500,67.3000,608041
2023-12-07,67.7500,68.4000,66.3000,66.8000,313372
2023-12-08,67.2500,68.4000,65.9500,67.2000,372750
2023-12-11,67.6000,69.2000,67.1000,68.1500,279604
2023-12-12,68.1000,69.2000,66.6000,67.2500,410815
2023-12-13,67.7000,68.4500,66.7500,66.9500,165183
2023-12-14,68.0000,69.2000,65.8000,66.7500,375326
2023-12-15,67.7500,69.6500,66.6500,66.9500,479914
2023-12-18,67.4500,72.2500,67.1500,70.1000,1294017
2023-12-19,70.2000,70.5000,68.5000,68.9000,300040
2023-12-20,68.9000,70.0000,64.6000,65.0000,577715
2023-12-21,65.0000,67.4500,63.9000,66.9500,186560
2023-12-22,67.0000,68.9000,66.5500,67.2500,135935
2023-12-26,67.3000,68.6500,66.8500,67.8000,174919
2023-12-27,68.5000,71.9000,68.0000,69.6000,1212950
2023-12-28,70.2000,71.9000,68.3500,69.4000,480696
2023-12-29,69.3000,70.5000,68.5000,69.0500,186178
2024-01-01,69.5000,74.3000,69.2000,72.7000,1434383
2024-01-02,74.9000,79.8000,74.2000,76.7000,3075980
2024-01-03,76.7000,77.1000,75.0000,75.4000,506116
2024-01-04,75.7000,77.7500,75.7000,76.4500,735227
2024-01-05,76.9000,77.2000,73.9500,74.1500,462029
2024-01-08,74.7000,74.7000,72.3500,73.2000,357672
2024-01-09,73.5000,76.6000,73.5000,74.7500,570182
2024-01-10,74.8000,76.9000,73.2000,75.3000,367176
2024-01-11,75.9500,76.6000,74.4000,75.0500,262113
2024-01-12,75.6500,76.4500,73.0500,74.1000,303021
2024-01-15,74.1000,74.1000,74.1000,74.1000,0
2024-01-16,73.1000,73.6500,70.0000,71.5500,354550
2024-01-17,70.4500,72.3500,69.3000,70.1500,248734
2024-01-18,70.0000,77.0000,68.0000,76.5000,1243711
2024-01-19,77.7000,83.5000,77.2500,82.1000,3988927
2024-01-23,95.1000,96.2500,85.2000,86.9500,2700818
2024-01-24,86.8500,87.6000,83.7500,85.7000,682315
2024-01-25,87.0000,94.8000,86.2500,90.5000,1568325
2024-01-29,91.4500,94.7000,87.2000,88.8500,589542
2024-01-30,89.0000,90.1500,86.5000,87.1500,412233
2024-01-31,87.7000,89.8000,86.5000,87.6500,202482
2024-02-01,90.1000,91.5000,84.5000,85.4000,527984
2024-02-02,87.0000,89.8000,84.9500,88.2500,756259
2024-02-05,90.0000,90.0000,82.2500,84.3000,628542
2024-02-06,85.0500,87.2500,83.4000,85.5000,383745
2024-02-07,86.9000,90.4500,86.0000,88.3500,1060575
2024-02-08,88.4500,89.0000,85.0000,85.5500,399788
2024-02-09,86.2000,86.6000,80.1000,81.4500,598759
2024-02-12,81.5000,82.5000,72.7000,75.3500,591140
2024-02-13,74.6500,77.4000,67.6500,71.6000,1048458
2024-02-14,71.9500,75.5000,70.8500,74.4500,512372
2024-02-15,74.9500,77.2500,74.4500,75.1000,298540
2024-02-16,74.5000,76.2500,72.1500,73.4500,304463
2024-02-19,74.2500,79.6500,73.9500,78.0000,562978
2024-02-20,78.7000,79.7000,76.5000,77.3500,299518
2024-02-21,77.7000,77.9500,75.0000,76.1000,194562
2024-02-22,76.6000,88.6000,74.1500,85.5000,5565885
2024-02-23,86.4000,86.5000,81.2000,81.8000,1185828
