date,open,high,low,close,volume
2023-09-26,397.4700,400.6000,391.0800,393.0600,197565
2023-09-27,394.2000,397.3900,392.0000,394.4500,180620
2023-09-28,395.2000,401.7500,390.3000,393.1000,442445
2023-09-29,395.1600,399.1800,393.5900,395.3600,245720
2023-10-03,397.4400,399.0400,383.6000,386.4600,401580
2023-10-04,386.5900,395.5600,384.9000,386.0000,221725
2023-10-05,392.0000,392.0000,384.7000,385.8700,152990
2023-10-06,386.9900,391.5100,382.0700,383.5900,141605
2023-10-09,380.2000,390.1800,378.1000,382.1900,236955
2023-10-10,382.2000,390.0000,381.8100,384.9900,152390
2023-10-11,388.8000,388.8000,379.0000,379.8000,412730
2023-10-12,381.8000,387.0000,378.2400,381.1900,503980
2023-10-13,382.8000,390.0000,378.3700,385.3300,567830
2023-10-16,386.9900,399.7100,378.8100,386.2200,706935
2023-10-17,390.6000,393.0000,371.0000,381.9600,559955
2023-10-18,381.9600,392.8300,380.3100,389.4000,1375570
2023-10-19,387.7700,396.8000,384.2900,394.9800,284875
2023-10-20,393.6000,397.6000,388.0000,389.7800,116585
2023-10-23,389.7500,389.7600,370.8100,374.9700,402650
2023-10-25,377.9800,379.3900,365.0500,366.4600,270660
2023-10-26,364.9900,368.0000,354.4100,367.2000,422760
2023-10-27,370.4800,380.0000,364.5700,377.5800,565785
2023-10-30,381.5800,384.9900,378.2900,379.6200,268985
2023-10-31,384.4500,391.8000,375.0100,377.4300,197515
2023-11-01,379.4200,383.1800,373.2900,375.1300,175010
2023-11-02,377.1000,382.9900,368.7100,369.9400,213735
2023-11-03,373.1700,379.8900,370.8000,372.0400,140490
2023-11-06,377.9800,378.9500,370.4000,371.9400,109120
2023-11-07,376.0000,380.9600,372.6100,377.4700,905565
2023-11-08,380.0000,380.1900,372.6500,373.9700,248565
2023-11-09,374.0000,379.3500,371.0000,377.8000,575605
2023-11-10,376.7000,377.9500,372.8600,373.7200,359420
2023-11-13,377.7400,377.7500,371.2400,373.5200,186395
2023-11-15,375.6300,380.0000,370.4000,379.0700,978110
2023-11-16,378.8000,379.8000,369.5000,372.6100,1095450
2023-11-17,372.3400,374.0000,369.2000,371.7600,557215
2023-11-20,373.2000,388.5600,372.0000,387.6000,1226230
2023-11-21,389.8000,394.2500,385.2000,387.1100,391825
2023-11-22,389.6600,393.1100,387.0000,388.8300,491515
2023-11-23,390.0000,392.0000,385.0100,386.1400,615905
2023-11-24,389.2700,389.6900,383.2300,385.2900,633215
2023-11-28,386.1900,389.5200,381.5200,383.6000,287370
2023-11-29,386.9200,393.5900,380.8000,391.4500,410495
2023-11-30,394.0000,397.8000,384.4700,391.0800,556005
2023-12-01,394.6000,397.3900,387.7800,389.2500,173885
2023-12-04,394.0000,396.0000,387.7200,394.5500,816890
2023-12-05,396.9900,399.9800,393.7500,398.2100,922130
2023-12-06,398.9800,403.8000,395.1700,396.3900,1024635
2023-12-07,400.1200,400.1200,390.0000,391.9600,175530
2023-12-08,391.9600,393.8000,382.3400,384.8600,257440
2023-12-11,385.0000,386.0400,379.4200,380.0200,1764510
2023-12-12,381.9800,383.1900,374.0000,380.0000,696115
2023-12-13,381.5200,383.0000,379.5300,381.8800,112070
2023-12-14,384.0000,387.6000,381.4000,386.9300,185835
2023-12-15,388.4600,398.0800,385.8300,389.0200,1078510
2023-12-18,393.0000,403.5000,387.2400,389.5600,588270
2023-12-19,393.2000,399.0000,390.8100,395.6200,394385
2023-12-20,397.8000,401.7800,388.9600,390.2100,386705
2023-12-21,390.2100,396.9900,385.8600,394.9900,702890
2023-12-22,397.0000,399.5100,393.3500,395.9000,111025
2023-12-26,403.6500,410.5900,399.0000,399.8400,355200
2023-12-27,403.3800,403.9200,397.8100,399.9900,780455
2023-12-28,403.0000,406.9900,398.0000,399.7500,1139170
2023-12-29,399.7500,400.1800,393.9600,395.8400,224975
2024-01-01,395.8000,398.4100,390.5900,391.6200,322095
2024-01-02,394.6000,397.9900,387.6000,388.7400,244680
2024-01-03,391.2000,393.3400,380.6500,389.0000,201735
2024-01-04,391.9800,398.6100,390.0700,395.7000,197625
2024-01-05,399.2400,408.8000,398.8100,400.0400,2663530
2024-01-08,400.2000,404.5100,395.0000,400.0200,193445
2024-01-09,403.6300,415.2300,398.0600,403.2800,1922865
2024-01-10,407.2000,407.2000,401.4200,404.9900,371755
2024-01-11,406.4000,408.2200,402.4300,403.1200,843015
2024-01-12,403.6000,405.8000,399.0000,401.4200,73360
2024-01-15,401.4200,401.4200,401.4200,401.4200,0
2024-01-16,400.0000,404.0000,398.4200,402.2600,761230
2024-01-17,401.8600,403.7500,397.0800,400.6900,131340
2024-01-18,401.9800,406.9400,395.4000,404.4700,231970
