date,open,high,low,close,volume
2023-09-18,463.7000,466.8500,452.5500,457.2500,107136
2023-09-20,456.0000,465.2000,449.1000,462.5500,137325
2023-09-21,467.0000,467.0000,455.0000,460.9000,91937
2023-09-22,456.5000,467.0000,456.5000,462.7500,49685
2023-09-25,462.7500,469.0000,458.0000,460.9000,41046
2023-09-26,464.0000,468.0000,456.5000,463.7500,114320
2023-09-27,460.1500,465.2000,458.6500,460.9500,199433
2023-09-28,463.7500,482.4000,461.1000,476.9500,379937
2023-09-29,477.9500,482.0000,471.9000,480.3000,116981
2023-10-03,480.3000,485.0000,475.2500,481.4000,67071
2023-10-04,480.8500,480.8500,467.6000,474.6500,58377
2023-10-05,474.6000,479.6500,465.5000,466.5500,50724
2023-10-06,469.9500,471.9000,465.0000,468.1000,36634
2023-10-09,465.5000,471.9000,455.5000,467.3000,87953
2023-10-10,465.5000,470.4000,460.5000,466.5500,56286
2023-10-11,469.6500,477.8000,455.5000,466.6000,169143
2023-10-12,473.0000,473.0000,463.0000,466.8500,59915
2023-10-13,466.8500,469.9000,457.7000,465.6000,51883
2023-10-16,465.0000,469.6000,463.0000,466.9500,72080
2023-10-17,469.0000,471.0000,463.9500,466.4500,85357
2023-10-18,463.5500,481.9500,463.5500,479.3000,154717
2023-10-19,479.0500,490.0000,470.9500,484.6000,202794
2023-10-20,480.1500,484.5500,467.0000,474.8500,109451
2023-10-23,476.6500,481.6000,460.6500,467.2000,105923
2023-10-25,469.9000,477.9500,446.3000,452.2000,220635
2023-10-26,452.2000,452.2000,452.2000,452.2000,0
2023-10-27,452.2000,452.2000,452.2000,452.2000,0
2023-10-30,452.2000,452.2000,452.2000,452.2000,0
2023-10-31,452.2000,452.2000,452.2000,452.2000,0
2023-11-01,452.2000,452.2000,452.2000,452.2000,0
2023-11-02,452.2000,452.2000,452.2000,452.2000,0
2023-11-03,452.2000,452.2000,452.2000,452.2000,0
2023-11-06,452.2000,452.2000,452.2000,452.2000,0
2023-11-07,452.2000,452.2000,452.2000,452.2000,0
2023-11-08,452.2000,452.2000,452.2000,452.2000,0
2023-11-09,452.2000,452.2000,452.2000,452.2000,0
2023-11-10,452.2000,452.2000,452.2000,452.2000,0
2023-11-13,452.2000,452.2000,452.2000,452.2000,0
2023-11-15,452.2000,452.2000,452.2000,452.2000,0
2023-11-16,452.2000,452.2000,452.2000,452.2000,0
2023-11-17,452.2000,452.2000,452.2000,452.2000,0
2023-11-20,452.2000,452.2000,452.2000,452.2000,0
2023-11-21,452.2000,452.2000,452.2000,452.2000,0
2023-11-22,452.2000,452.2000,452.2000,452.2000,0
2023-11-23,452.2000,452.2000,452.2000,452.2000,0
2023-11-24,452.2000,452.2000,452.2000,452.2000,0
2023-11-28,452.2000,452.2000,452.2000,452.2000,0
2023-11-29,452.2000,452.2000,452.2000,452.2000,0
2023-11-30,452.2000,452.2000,452.2000,452.2000,0
2023-12-01,452.2000,452.2000,452.2000,452.2000,0
2023-12-04,452.2000,452.2000,452.2000,452.2000,0
2023-12-05,452.2000,452.2000,452.2000,452.2000,0
2023-12-06,452.2000,452.2000,452.2000,452.2000,0
2026-04-13,452.2000,452.2000,452.2000,452.2000,0
2026-04-15,452.2000,452.2000,452.2000,452.2000,0
2026-04-16,452.2000,452.2000,452.2000,452.2000,0
2026-04-17,452.2000,452.2000,452.2000,452.2000,0
2026-04-20,452.2000,452.2000,452.2000,452.2000,0
2026-04-21,452.2000,452.2000,452.2000,452.2000,0
2026-04-22,438.0000,443.7500,430.0000,438.4000,29953
2026-04-23,440.3500,455.4500,425.2000,429.4500,53084
2026-04-24,426.0000,439.9500,415.5500,431.1500,42014
2026-04-27,426.1000,448.7000,426.1000,440.1000,105368
2026-04-28,440.1000,447.9500,431.0000,434.9500,49732
2026-04-29,434.9500,442.0000,431.1000,435.6000,42343
2026-04-30,438.0000,438.0000,420.5500,434.7500,40922
2026-05-04,441.8500,441.9000,429.9000,436.2500,49810
2026-05-05,440.0000,443.2500,428.2500,438.2500,52997
2026-05-06,440.0000,469.0000,436.0000,460.1500,163804
2026-05-07,468.0000,468.0000,450.0000,453.1000,96764
2026-05-08,487.0000,487.0000,441.0000,449.7000,255832
2026-05-11,445.9000,460.0000,439.8000,442.2500,133313
2026-05-12,442.5000,446.9500,434.1500,439.6000,316726
2026-05-13,440.0000,470.9000,440.0000,456.1000,230732
2026-05-14,462.7500,462.7500,440.5000,449.8500,95912
