date,open,high,low,close,volume
2023-09-22,850.0000,852.6500,813.3500,837.0000,75372
2023-09-25,836.9000,836.9000,812.1000,815.2000,54904
2023-09-26,825.5000,839.5000,809.9500,818.4000,45956
2023-09-27,829.0000,843.0000,813.0500,830.1000,135007
2023-09-28,839.8500,877.4500,833.0000,837.1500,120107
2023-09-29,851.4500,854.4500,835.0000,839.0500,42088
2023-10-03,839.0000,851.2000,805.8500,824.5000,203805
2023-10-04,815.0000,838.0000,810.7500,834.8500,79994
2023-10-05,840.0500,890.0000,834.9500,885.3000,150922
2023-10-06,892.0000,922.4000,874.3500,886.0500,179806
2023-10-09,886.7500,894.2000,864.3500,878.0000,45447
2023-10-10,881.4500,947.0000,881.4000,928.2000,155721
2023-10-11,937.0000,944.8000,913.3000,930.9500,61532
2023-10-12,930.0000,966.0000,925.6500,952.8500,166974
2023-10-13,952.2500,979.8000,940.0500,955.8500,88419
2023-10-16,942.0000,953.0000,913.6500,931.1000,55272
2023-10-17,938.6000,956.9000,935.0000,950.5500,35060
2023-10-18,946.0000,966.2500,939.0000,953.1000,34842
2023-10-19,953.1000,1061.5500,940.1500,1028.3000,280333
2023-10-20,1034.7000,1036.7000,983.4500,1004.1500,58857
2023-10-23,1022.1000,1034.8500,873.6000,897.6500,233973
2023-10-25,918.0000,925.0000,841.5000,867.5500,134560
2023-10-26,856.3500,874.9000,814.0500,871.7500,103919
2023-10-27,872.9500,922.0000,872.9500,892.6500,79578
2023-10-30,894.7500,905.0000,870.0000,878.7000,33245
2023-10-31,899.9500,909.9000,882.0000,904.9500,36216
2023-11-01,908.1500,924.9500,894.0000,908.8000,34552
2023-11-02,908.8000,934.7000,896.0000,901.6000,37488
2023-11-03,895.0000,930.0000,881.9500,917.7500,54534
2023-11-06,930.0000,941.5000,909.0000,924.4500,46723
2023-11-07,928.0000,932.0000,834.8500,846.6500,294083
2023-11-08,870.9500,874.5500,803.2500,813.4000,273420
2023-11-09,812.9000,838.9500,811.0000,830.7000,161753
2023-11-10,830.7000,868.9500,830.7000,857.5000,88848
2023-11-13,856.0000,869.0000,845.7500,854.2500,57974
2023-11-15,861.0000,882.8000,846.4000,871.9000,103386
2023-11-16,867.6000,886.0000,867.6000,879.3500,49200
2023-11-17,879.3500,906.5000,872.5500,899.6000,112470
2023-11-20,909.0000,911.5000,896.5500,904.1500,30480
2023-11-21,909.9500,924.4500,899.6000,918.8000,47324
2023-11-22,924.8000,979.4500,918.0000,967.1500,170973
2023-11-23,964.0000,969.7000,932.5500,952.4000,61799
2023-11-24,952.4000,967.5500,942.0500,957.3000,73231
2023-11-28,962.9000,985.0000,948.2500,951.4000,97897
2023-11-29,963.2000,974.0000,946.0500,962.8500,38238
2023-11-30,962.8500,989.9500,945.0000,983.0000,72888
2023-12-01,988.9500,1010.0000,981.6000,991.2500,62296
2023-12-04,1000.0000,1032.2000,981.1500,1019.7000,81558
2023-12-05,1029.8000,1047.8000,965.0500,982.5500,109845
2023-12-06,982.5500,993.0000,956.0000,968.3000,79546
2023-12-07,968.0000,982.5500,956.0000,960.6500,102025
