date,open,high,low,close,volume
2023-09-25,455.6000,474.0000,440.6500,470.8000,598149
2023-09-26,472.8000,474.7000,450.2500,459.2000,198133
2023-09-27,459.2000,459.2000,440.9000,456.0000,175950
2023-09-28,456.0000,466.8000,454.0500,460.3000,141932
2023-09-29,464.9500,474.1000,460.3000,470.1500,229712
2023-10-03,472.0000,479.0000,460.3000,464.3500,269094
2023-10-04,468.0000,471.7000,448.7500,453.9500,265675
2023-10-05,456.8000,472.9500,456.7500,468.2000,255747
2023-10-06,468.2000,483.0000,465.5500,479.1000,249906
2023-10-09,468.0000,472.9500,459.0000,464.0000,152478
2023-10-10,466.3500,516.9500,465.0500,500.9000,1580232
2023-10-11,500.0000,511.3000,500.0000,507.2000,374220
2023-10-12,507.0000,510.6000,493.0000,497.3000,187713
2023-10-13,491.3500,514.0000,490.4500,507.6500,315786
2023-10-16,508.3000,520.0000,487.3500,497.8000,609072
2023-10-17,498.4500,512.6000,496.8000,505.6500,208864
2023-10-18,505.0000,511.6500,494.0500,496.4500,158091
2023-10-19,496.0000,506.0000,476.3000,497.7000,148718
2023-10-20,494.1000,503.1000,480.2000,484.4000,151978
2023-10-23,484.2000,486.8500,431.6000,440.6000,279650
2023-10-25,444.9500,461.7500,429.3500,436.1500,207545
2023-10-26,433.0000,446.3500,419.7500,442.5000,174824
2023-10-27,444.0000,473.9500,443.9500,465.4000,239960
2023-10-30,463.1000,477.3000,456.8000,470.5500,143672
2023-10-31,467.2000,488.0000,466.9000,479.8000,149753
2023-11-01,475.6500,488.9000,472.7500,484.7500,116299
2023-11-02,486.7500,499.2000,482.0500,496.7500,189243
2023-11-03,500.0000,522.2500,493.2500,513.5500,340568
2023-11-06,517.8000,528.0000,467.3000,520.3000,1371927
2023-11-07,517.0000,517.0000,485.9500,488.1000,353098
2023-11-08,491.2500,494.9000,478.0500,488.8000,198947
2023-11-09,488.0000,504.2500,486.6000,492.8500,187415
2023-11-10,493.7000,495.9500,480.5000,483.0000,94713
2023-11-13,490.5000,497.0000,486.0000,494.0500,82084
2023-11-15,495.0500,512.4500,495.0000,510.1500,226509
2023-11-16,515.2500,515.2500,505.5500,507.6000,119709
2023-11-17,507.6000,511.7000,497.4500,499.0500,143376
2023-11-20,501.5500,561.9000,501.5500,554.2500,1595382
2023-11-21,552.0000,552.0000,531.0000,533.4000,469383
2023-11-22,534.0000,543.7000,517.5000,523.2000,441086
2023-11-23,528.3500,545.3500,520.2000,522.4500,491654
2023-11-24,523.9500,528.0000,510.0500,517.9500,163418
2023-11-28,517.9500,539.8000,517.5500,536.2000,481509
2023-11-29,539.4500,541.9000,530.3000,536.3000,155727
2023-11-30,539.8000,542.5000,531.3500,536.2000,242645
2023-12-01,539.0000,546.3000,521.2500,529.3000,233746
2023-12-04,535.0500,545.0000,530.1500,532.9500,252565
2023-12-05,530.0000,532.3000,511.6000,515.6000,269078
2023-12-06,517.8000,521.7500,501.3500,512.1500,177621
2023-12-07,515.1000,518.4500,509.5500,511.1000,80633
2023-12-08,511.1000,520.4500,494.4000,505.2000,206099
2023-12-11,501.2000,519.7000,501.2000,513.1500,99303
2023-12-12,517.1500,518.3500,495.1000,498.9500,115215
2023-12-13,500.0000,503.3500,481.4000,489.2000,222241
2023-12-14,497.6000,517.3500,493.9500,507.7000,242426
2023-12-15,510.0000,510.0000,501.1000,503.0500,89042
2023-12-18,502.9500,504.7500,491.6000,493.6500,122421
2023-12-19,493.0000,501.1500,490.5000,499.6000,116149
2023-12-20,501.9500,505.0500,478.1000,484.6500,220503
2023-12-21,480.2000,490.0000,477.4500,488.3000,65799
2023-12-22,488.0000,494.5000,474.0000,482.8500,150828
2023-12-26,486.9000,499.0000,476.5500,486.3000,118763
2023-12-27,488.7500,497.0000,486.4500,490.9000,109996
2023-12-28,493.4000,497.0000,483.2500,486.3000,118773
2023-12-29,488.0000,515.8000,483.0000,488.6000,2748687
2024-01-01,500.5000,520.0000,500.5000,517.7000,489911
