date,open,high,low,close,volume
2023-09-26,252.9500,253.5500,245.5500,246.5500,2005474
2023-09-27,247.0500,247.8000,243.1000,245.0000,1892323
2023-09-28,246.4000,254.0000,245.5000,249.0000,2649246
2023-09-29,250.4000,251.4500,247.5000,248.9500,1234577
2023-10-03,249.3000,251.9500,247.5500,249.6000,1494979
2023-10-04,250.4000,250.4000,240.1000,244.3000,1463351
2023-10-05,245.8000,247.4500,243.5000,245.5000,978791
2023-10-06,246.3000,249.8500,243.2500,247.8000,1187172
2023-10-09,243.0000,245.0000,237.0000,238.5500,1720593
2023-10-10,240.0000,242.5000,238.6000,240.6500,960388
2023-10-11,242.0000,244.5000,239.8500,240.2500,1452850
2023-10-12,241.5000,244.0000,240.4500,242.2500,1035342
2023-10-13,241.9000,243.6500,241.0500,243.0500,746470
2023-10-16,243.0500,243.4500,240.0000,240.5500,947369
2023-10-17,241.2000,245.5500,241.2000,242.4000,867129
2023-10-18,243.4500,251.0000,239.0000,241.8500,3388833
2023-10-19,241.8500,242.5000,236.3500,238.0500,1664413
2023-10-20,237.2500,240.1000,233.0000,235.0500,1143096
2023-10-23,236.0000,238.2500,221.7000,223.7000,1826282
2023-10-25,225.0000,231.6000,220.2500,225.9000,1601257
2023-10-26,225.8500,225.9000,216.6500,222.2000,1720745
2023-10-27,227.0000,237.5000,227.0000,236.7500,2692541
2023-10-30,237.8500,239.6000,231.3500,232.8000,864897
2023-10-31,234.0500,235.6500,229.0500,229.6000,1127085
2023-11-01,230.0000,235.7000,227.8500,234.7000,1306000
2023-11-02,236.9000,238.6500,214.2000,217.3500,7207046
2023-11-03,220.0000,222.0000,216.3000,217.1000,2567019
2023-11-06,217.1000,219.9000,214.0500,215.0500,1582045
2023-11-07,215.4000,215.9500,210.6000,210.7500,2217501
2023-11-08,212.4500,216.5000,210.6500,215.3000,2404840
2023-11-09,216.4000,221.1500,216.0000,219.3500,1686510
2023-11-10,219.0500,219.3500,215.0000,216.9000,817314
2023-11-13,219.4500,225.9000,215.5500,223.9500,2432156
2023-11-15,227.1000,229.9500,225.0000,227.0000,1908486
2023-11-16,227.7000,228.1500,220.8500,224.0000,1016713
2023-11-17,223.0000,223.0000,217.2500,218.0500,1721729
2023-11-20,218.6500,221.9000,218.1000,220.1500,837578
2023-11-21,221.9500,222.6000,219.3000,220.6500,754565
2023-11-22,221.5000,221.5000,216.0000,216.3000,949039
2023-11-23,217.1000,217.6500,215.0500,215.8000,735933
2023-11-24,216.6000,218.9500,212.6000,213.2000,1137493
2023-11-28,214.0000,214.9500,212.1000,212.4000,1290807
2023-11-29,213.8000,216.5000,213.0000,215.3000,1230137
2023-11-30,215.6000,222.4000,214.3500,218.9000,3583334
2023-12-01,218.9000,220.9500,217.3500,218.3000,1067344
2023-12-04,222.5500,224.4500,220.2000,221.5500,1756164
2023-12-05,222.9000,223.8500,220.6000,222.1000,1227346
2023-12-06,223.0000,223.4000,220.3000,221.0000,1061042
2023-12-07,220.3000,221.0000,218.2000,218.9500,886252
2023-12-08,219.6500,222.3500,219.2500,221.3500,1902718
2023-12-11,223.0000,224.9500,222.1000,223.0000,1898492
2023-12-12,224.0000,235.7000,223.3500,230.7000,6380014
