date,open,high,low,close,volume
2026-08-24,265.0000,274.4000,244.4000,248.4400,99042106
2026-08-25,250.0000,259.1900,248.0000,249.8700,29783775
2026-08-26,252.7500,253.7500,242.2500,244.0000,11638553
2026-08-27,245.0000,255.5000,240.3500,246.2300,14189168
2026-08-28,247.3500,267.9000,245.5200,265.2400,24374432
2026-08-31,266.9000,272.4000,256.0100,257.8900,9443545
2026-09-01,259.3500,283.6500,257.0000,267.6000,32021090
2026-09-02,269.0000,272.8000,262.5500,264.3500,8411510
2026-09-03,267.0500,283.0000,262.2000,280.3000,14643073
2026-09-04,283.0000,308.3000,280.6000,306.7000,23781731
2026-09-07,314.0000,326.8000,309.5000,317.7500,24705575
2026-09-08,319.0000,322.4000,312.4000,318.7500,7903836
2026-09-09,320.0000,339.9500,319.9500,334.4500,16094330
2026-09-10,341.0000,343.9000,329.0000,337.6000,6296249
2026-09-11,337.9000,343.6000,330.3000,338.6000,6734761
2026-09-15,321.7000,321.7000,321.7000,321.7000,946953
