date,open,high,low,close,volume
2023-09-18,122.3000,124.3000,115.0500,117.0000,8359762
2023-09-20,117.0000,117.4000,113.5000,115.7500,6209235
2023-09-21,115.5000,116.0500,111.6000,113.0000,6102470
2023-09-22,113.4500,115.9500,112.9000,115.3500,4513996
2023-09-25,115.9500,116.6000,112.1000,112.7000,5337760
2023-09-26,113.0000,116.3500,111.5500,115.2000,6479105
2023-09-27,115.4000,118.8500,114.0000,118.3500,6694799
2023-09-28,118.9000,119.1500,113.4000,114.3500,5251950
2023-09-29,114.9000,115.4000,112.2000,113.7500,3870584
2023-10-03,114.5000,118.5000,113.7000,118.1500,7866498
2023-10-04,118.9500,119.1000,115.4500,116.8500,9387063
2023-10-05,118.2000,120.2000,117.5000,117.9000,7253716
2023-10-06,119.0000,121.5000,118.1000,118.7500,10993280
2023-10-09,118.0000,118.0000,115.0000,116.1000,5798437
2023-10-10,116.8500,119.0000,116.5500,118.0500,4021829
2023-10-11,118.9000,121.0000,117.9000,119.0000,6855497
2023-10-12,119.8500,120.8000,118.5000,120.5000,4951679
2023-10-13,119.9000,125.2000,118.4500,120.5000,9021545
2023-10-16,121.0000,123.4000,120.8000,122.0500,4392474
2023-10-17,123.7000,124.1500,121.1000,122.0500,3199838
2023-10-18,122.6000,124.0000,119.1500,121.4500,5200008
2023-10-19,120.0000,123.4000,119.2000,122.8000,4628073
2023-10-20,122.7000,123.0000,118.6000,119.5500,2365039
2023-10-23,119.6000,120.2000,111.1000,111.8500,5482959
2023-10-25,110.0000,113.8000,106.5000,107.5000,6738232
2023-10-26,106.8000,108.7500,100.7500,106.9000,8426058
2023-10-27,108.8000,112.5000,108.6000,111.8000,7172519
2023-10-30,112.8000,114.9500,109.9000,110.3500,3697706
2023-10-31,111.0000,111.9500,109.1500,109.8500,5043027
2023-11-01,110.0000,110.5000,106.3000,106.9500,3440129
2023-11-02,107.9500,110.4000,107.4500,108.2000,3285487
2023-11-03,109.2000,110.3000,107.9000,108.9500,3733261
2023-11-06,110.2000,115.0000,110.0000,114.7000,6897381
2023-11-07,115.0000,117.5000,113.8000,116.3000,5019768
2023-11-08,116.9500,118.0000,116.2500,117.5000,2932569
2023-11-09,118.2000,118.3000,115.8000,116.5000,2338719
2023-11-10,115.5000,115.5000,111.8500,113.1000,3780418
2023-11-13,115.0000,115.0000,113.2000,114.1500,2697725
2023-11-15,115.5000,117.2000,113.7000,116.4500,5027548
2023-11-16,116.6000,117.5000,113.6000,113.8500,3693938
2023-11-17,114.6000,117.8000,113.2500,117.2000,4998807
2023-11-20,117.0000,118.1500,115.1000,115.6500,3856942
2023-11-21,115.8000,117.1000,115.3000,116.0500,1946797
2023-11-22,115.8000,116.0000,114.6000,115.6000,2517977
2023-11-23,116.0000,117.4500,115.2000,115.6000,1788231
2023-11-24,116.1500,116.2500,114.5000,114.6500,1868672
2023-11-28,114.6500,115.6500,113.7000,114.2500,2169847
2023-11-29,115.1500,115.1500,113.7500,113.9500,1899326
2023-11-30,113.8500,115.2000,112.8000,114.3000,4279875
2023-12-01,114.3500,115.5000,112.7000,113.0500,7648605
2023-12-04,115.1500,116.5000,113.8500,115.5000,5127313
2023-12-05,116.0000,116.3000,114.3500,114.6500,4139833
2023-12-06,115.2500,119.5000,114.5500,118.6500,8104858
2023-12-07,119.7000,120.5000,117.7500,118.1500,4987329
2023-12-08,118.6500,119.8500,116.4000,117.8000,2407386
2023-12-11,118.0000,119.6000,117.8500,118.4500,2613412
2023-12-12,119.1500,121.3500,117.4000,118.0000,6111311
2023-12-13,118.2500,120.4500,117.9500,119.6500,4023342
2023-12-14,121.0000,122.5000,119.6500,120.6500,4558801
2023-12-15,121.3000,122.9000,120.1000,120.9500,4236188
2023-12-18,121.4000,123.4000,120.6000,122.3000,5092393
2023-12-19,122.8500,122.9000,120.9000,121.8000,2364531
2023-12-20,121.9000,122.8500,115.0000,115.9000,6147828
2023-12-21,114.1000,118.5000,111.8000,118.0500,4537270
2023-12-22,118.6000,122.3500,118.5000,121.4500,7591836
2023-12-26,121.7000,122.1500,119.7500,120.4500,3138284
2023-12-27,121.1000,121.4500,117.5000,118.3000,4175173
2023-12-28,118.4500,120.3000,117.9500,119.6000,2734817
2023-12-29,120.5500,122.0000,119.5500,119.8500,3679246
2024-01-01,119.9000,120.7500,118.5000,118.7000,1627367
2024-01-02,121.2500,133.7000,121.0000,129.8500,80174681
2024-01-03,132.0000,135.8000,127.5000,128.9000,21584469
2024-01-04,130.0000,132.5000,129.0000,129.6000,10193376
2024-01-05,130.5500,131.9000,128.4000,129.3500,4645556
2024-01-08,129.5000,130.6000,126.2500,127.3000,3593865
2024-01-09,129.8000,132.0000,129.0000,130.0500,8736211
2024-01-10,130.4500,135.0000,129.5000,133.9500,14712335
2024-01-11,134.9000,135.9000,130.1000,133.9500,6771821
2024-01-12,133.9500,135.0000,132.3500,133.8000,3860515
2024-01-15,134.5000,138.5000,132.6500,136.9000,9584092
2024-01-16,136.8000,137.6500,133.0000,134.6500,3722022
2024-01-17,133.0000,137.2500,132.4000,133.8500,3340330
2024-01-18,133.0000,135.0000,128.2500,134.0500,3805381
2024-01-19,134.7000,135.6000,133.5000,134.5000,2412669
2024-01-23,135.0000,144.6500,134.4500,138.4000,25901478
2024-01-24,140.0000,141.5000,137.6000,138.4500,8852006
2024-01-25,138.9500,143.5000,135.4000,138.5000,8465747
2024-01-29,139.5000,141.3000,139.1500,139.8500,6173238
2024-01-30,140.7000,140.7000,137.4000,138.9500,3955761
2024-01-31,138.9000,143.5000,137.5000,139.8500,6527384
2024-02-01,141.1500,141.7000,138.0000,138.8000,6043234
2024-02-02,140.9500,144.8000,139.4000,142.0500,12625777
2024-02-05,143.1500,146.4500,138.6000,139.8500,9717495
2024-02-06,140.8500,145.0000,140.8000,142.9500,6098828
2024-02-07,140.9500,142.0000,133.8000,135.1500,9738568
2024-02-08,137.2000,139.6500,136.3500,138.3000,3672067
2024-02-09,139.0000,139.5500,133.5000,136.3000,3302720
2024-02-12,136.2000,136.2500,131.6000,132.0000,3082819
2024-02-13,132.0000,133.3000,126.6500,128.8000,3309306
2024-02-14,127.7500,136.9500,126.3500,135.6000,3129366
2024-02-15,136.1500,138.7000,136.0000,137.7500,2372599
2024-02-16,138.0000,139.8000,134.6500,136.2000,1205593
2024-02-19,136.2000,137.7000,135.7500,136.8000,1074092
2024-02-20,136.8000,142.2500,136.2500,138.5000,4958623
2024-02-21,139.8500,144.6000,134.1000,137.4500,8167463
2024-02-22,138.6500,140.2000,135.2500,138.1500,2751831
2024-02-23,139.2000,147.2500,139.0000,141.7000,11406917
2024-02-26,141.7500,142.8500,139.9000,141.1000,2531650
2024-02-27,142.3000,144.2500,141.0000,141.7000,3670433
2024-02-28,141.7500,142.6000,138.7500,139.7000,4088087
2024-02-29,139.7000,141.2000,137.6000,139.4000,4025652
2024-03-01,140.2500,143.4000,140.1000,141.1500,3727617
2024-03-04,141.5000,146.3500,140.5000,143.2500,7263112
2024-03-05,143.3000,145.3500,140.8000,141.8500,3022364
2024-03-06,141.7500,141.8000,136.8500,139.2500,4590149
2024-03-07,139.5500,140.5000,137.2500,139.4500,1558290
2024-03-11,138.0500,139.4000,133.1000,135.3500,1968011
2024-03-12,135.7000,138.5000,132.8500,137.5500,3137495
2024-03-13,138.7500,140.2000,122.2000,125.0000,6138297
2024-03-14,125.0000,132.0000,122.1500,127.4000,7309854
2024-03-15,128.4000,130.9000,124.6000,129.0500,4559910
2024-03-18,129.5500,132.6500,128.5000,129.7500,2183741
2024-03-19,132.0000,132.4000,128.8000,129.7500,2455962
2024-03-20,129.9000,130.7500,126.1500,127.8000,1878326
2024-03-21,129.6000,134.7500,129.3000,133.6500,3191276
2024-03-22,134.5000,135.6500,132.0500,132.6000,2103033
2024-03-26,132.7000,134.1000,130.3500,132.4000,2733775
2024-03-27,132.9500,135.7000,131.7000,132.5000,4537377
2024-03-28,132.9500,135.3000,130.1000,130.5500,4626109
2024-04-01,131.2000,139.0000,131.2000,137.5500,4686301
2024-04-02,136.4500,139.5000,135.7500,138.3500,3099392
2024-04-03,138.0000,143.3500,137.1500,142.8500,6552938
2024-04-04,143.8500,144.2000,140.4000,142.1500,3315946
2024-04-05,142.1500,144.4000,140.9500,141.5000,3547793
2024-04-08,142.0500,143.8500,140.3500,140.7500,3414420
2024-04-09,141.1500,142.1500,137.0000,137.7000,4101513
2024-04-10,139.9000,141.7500,139.1000,140.6500,2445934
