date,open,high,low,close,volume
2023-09-25,38.4000,38.4000,36.1500,36.4500,3511
2023-09-26,36.9500,38.0000,36.2500,36.2500,2348
2023-09-27,37.3500,37.6000,36.1500,37.2500,6776
2023-09-28,37.2500,37.9500,36.2500,37.3000,4420
2023-09-29,36.5500,38.3000,36.5500,37.4000,3054
2023-10-03,37.9500,37.9500,36.2500,37.4500,2701
2023-10-04,37.4500,37.5000,36.0500,36.4500,2142
2023-10-05,36.9500,37.2000,36.1000,36.9500,2602
2023-10-06,37.4500,37.4500,36.1000,36.5000,5755
2023-10-09,36.0000,36.9000,35.0500,35.2000,7155
2023-10-10,35.3000,35.8000,35.0000,35.8000,12286
2023-10-11,35.8000,37.3500,35.8000,37.2000,9662
2023-10-12,37.0000,37.1000,36.0000,37.1000,2323
2023-10-13,37.0000,37.1000,35.5500,37.0500,5232
2023-10-16,37.2000,38.5000,37.1000,38.4500,19487
2023-10-17,38.7000,40.3500,37.5500,40.3500,63212
2023-10-18,42.0000,42.3500,41.0500,41.2000,39979
2023-10-19,41.0000,41.9500,39.8000,41.2000,16783
2023-10-20,40.5000,42.2000,40.5000,41.8500,11021
2023-10-23,41.8500,41.8500,39.7500,40.3000,29611
2023-10-25,41.8000,41.8000,39.7500,40.7500,8215
2023-10-26,38.8000,40.5000,38.7500,38.9000,1465
2023-10-27,39.0000,39.4000,38.0000,39.0000,4692
2023-10-30,39.9500,40.2000,38.6000,39.6000,1774
2023-10-31,39.6000,40.7000,37.8000,40.4500,6066
2023-11-01,40.1500,40.6000,38.5000,40.5000,15732
2023-11-02,39.0500,40.5000,39.0000,40.4000,10412
2023-11-03,40.0000,41.0000,39.1000,41.0000,16228
2023-11-06,41.8000,41.8000,39.6000,40.9500,3658
2023-11-07,41.4500,41.4500,40.0000,40.6000,2277
2023-11-08,40.7500,41.1500,39.3000,39.9500,9800
2023-11-09,39.1000,40.7000,38.0000,40.2500,6826
2023-11-10,40.8000,41.5000,39.1000,41.3500,4002
2023-11-13,40.0500,41.3000,40.0000,41.0000,1275
2023-11-15,41.4000,41.4000,39.2500,40.1000,3883
2023-11-16,40.6000,40.6000,39.0000,39.2000,2845
2023-11-17,39.2500,40.0000,37.4000,39.4500,21495
2023-11-20,44.0000,46.4500,41.5500,42.3000,124461
2023-11-21,43.0000,43.5000,41.1000,42.0500,29367
2023-11-22,42.2500,42.8000,40.0000,40.4500,47127
2023-11-23,41.0000,41.0000,39.1500,40.6000,84772
2023-11-24,40.6500,40.9000,39.7500,39.9500,43952
2023-11-28,43.9000,43.9000,40.1000,40.5500,42011
2023-11-29,40.8500,40.8500,39.4000,40.4000,11802
2023-11-30,41.0000,41.0000,39.1500,40.3000,63660
2023-12-01,40.3000,41.2000,39.5500,40.4000,27173
2023-12-04,41.0000,41.0000,39.5500,39.9500,10610
2023-12-05,40.1500,40.5000,39.6500,40.4000,6562
2023-12-06,39.9000,41.0000,39.5500,40.6000,3516
2023-12-07,40.9500,41.0000,37.5500,38.6000,47015
2023-12-08,39.6000,40.0000,38.6000,39.0000,13023
2023-12-11,39.4000,39.8000,38.5000,39.4000,7071
2023-12-12,39.8000,40.0000,38.7000,39.1000,10268
2023-12-13,39.6000,39.6000,38.2000,38.4000,9089
2023-12-14,39.0000,39.4000,38.5500,38.8500,4351
2023-12-15,39.0000,39.9500,38.5000,39.6500,12356
2023-12-18,40.0000,40.4000,37.5500,38.6000,44395
2023-12-19,38.6000,38.9500,38.0500,38.6500,13697
2023-12-20,39.4000,40.5000,37.4500,38.7500,54221
2023-12-21,39.0000,46.5000,36.9500,45.8500,1091660
2023-12-22,49.2000,54.4000,48.1000,51.3500,2389223
2023-12-26,51.3000,54.7000,49.1000,51.6000,316943
2023-12-27,51.0000,52.4000,47.5000,49.2000,107304
2023-12-28,48.0000,50.1000,46.1000,46.8500,72636
2023-12-29,46.8500,47.0000,44.5000,44.5000,28232
2024-01-01,44.5000,45.7000,42.3000,44.8000,57132
2024-01-02,44.9000,45.0000,43.3500,43.8000,21469
2024-01-03,43.3000,44.0000,41.7000,42.0000,30478
2024-01-04,42.9000,43.5000,41.5000,42.9000,23860
2024-01-05,42.4000,44.0000,42.0000,43.4000,14540
2024-01-08,43.4000,44.6000,42.6500,43.4500,13918
2024-01-09,43.9500,43.9500,42.2500,42.6000,24551
2024-01-10,42.1500,43.6000,41.3500,43.4500,24738
2024-01-11,43.4500,44.0000,41.3000,41.4500,36979
2024-01-12,42.1500,42.1500,40.6000,41.1000,22225
2024-01-15,41.1000,41.1000,41.1000,41.1000,0
2024-01-16,41.3500,41.6000,40.0000,40.8000,12322
2024-01-17,40.0000,40.9000,38.8000,39.0000,37972
2024-01-18,39.0000,39.6000,37.3000,38.3000,43499
2024-01-19,39.0000,39.2000,37.3000,38.2000,22514
2024-01-23,38.0500,38.9000,37.5500,37.8000,13109
2024-01-24,38.4000,38.4000,36.8000,37.7000,11501
2024-01-25,38.2500,38.2500,36.0000,36.4500,24717
2024-01-29,36.4500,37.5000,36.0500,36.7500,18688
2024-01-30,36.7500,37.4000,36.0000,36.6500,17458
2024-01-31,37.4000,38.4500,36.0000,38.4000,36260
2024-02-01,39.9000,39.9000,37.3000,37.9500,15608
2024-02-02,37.9500,39.3000,37.4000,38.6500,22054
2024-02-05,40.3500,40.5500,39.0000,40.5500,70847
2024-02-06,41.9000,41.9000,39.3000,41.1500,111743
2024-02-07,42.5000,45.2500,41.2000,45.1500,111050
2024-02-08,47.0000,49.5000,44.0500,44.5000,138315
2024-02-09,44.5000,47.9500,41.0500,44.0500,69555
2024-02-12,45.0000,45.0000,40.6000,41.4500,22889
2024-02-13,41.9000,42.4500,40.0500,40.9000,11476
2024-02-14,40.9000,41.4500,39.1500,40.3500,17574
2024-02-15,43.1000,43.7500,40.0000,42.8000,29920
2024-02-16,43.5000,45.9000,41.0500,41.7000,49074
2024-02-19,43.4500,43.4500,42.2000,42.9000,27187
2024-02-20,44.8000,45.0000,42.0000,42.8500,24545
2024-02-21,43.5000,44.2000,42.1000,43.2500,12612
2024-02-22,44.8000,44.8000,42.3000,42.7000,19817
2024-02-23,42.9500,42.9500,41.9000,42.0500,10294
2024-02-26,42.0500,43.1500,40.5000,41.0500,13861
2024-02-27,41.0500,42.0000,41.0000,41.1500,9329
2024-02-28,39.2500,41.4000,37.5500,38.8000,20865
2024-02-29,38.5500,39.8000,37.8000,38.9500,14263
2024-03-01,38.0500,41.3500,38.0500,39.8500,13705
2024-03-04,40.0000,41.3500,39.0500,39.2500,19275
2024-03-05,40.8500,40.8500,36.8000,38.1500,17550
2024-03-06,39.9500,41.9500,36.8000,40.8500,237734
2024-03-07,43.8000,44.9000,42.4000,44.9000,194250
2024-03-11,44.0000,47.8000,42.5000,43.5000,116996
2024-03-12,45.5000,45.5000,41.6500,41.7000,34322
2024-03-13,44.9000,44.9000,37.5500,37.9000,57518
2024-03-14,35.1000,40.0000,35.1000,38.2000,39584
2024-03-15,38.2000,39.7000,35.3000,36.6500,25719
2024-03-18,37.7000,39.9000,36.5000,36.9500,44864
2024-03-19,38.7500,38.7500,37.0500,37.6500,10031
2024-03-20,39.9000,39.9000,35.6500,36.3000,29566
2024-03-21,37.9500,37.9500,36.0000,36.2000,30423
2024-03-22,36.0000,37.4500,36.0000,37.0000,18380
2024-03-26,36.3000,37.7500,34.5000,35.0500,116546
2024-03-27,34.0500,35.5500,31.5500,32.5000,158318
2024-03-28,35.4000,35.4000,32.5000,32.5500,56450
2024-04-01,35.8000,35.8000,33.1000,34.0000,27904
2024-04-02,34.4000,35.5000,33.8000,35.0500,19917
2024-04-03,35.0000,38.5500,35.0000,38.5000,110235
2024-04-04,39.0000,39.3000,37.3500,37.9500,41063
2024-04-05,41.0000,43.7500,39.1500,41.9500,179449
2024-04-08,41.9500,44.5500,41.5000,43.5000,60544
2024-04-09,44.4500,44.4500,40.0000,40.7500,53933
2024-04-10,40.6000,43.0000,40.0500,41.4500,14180
2024-04-12,41.4500,49.7000,40.4500,44.9000,702675
2024-04-15,43.3000,44.8500,40.9000,42.2000,98903
2024-04-16,41.4000,48.9000,41.4000,44.4500,786598
2024-04-18,45.0000,46.3500,44.0000,44.2000,51432
2024-04-19,44.0000,44.0000,42.6000,43.7000,48546
2024-04-22,44.0000,45.4500,43.0000,43.1000,22212
2024-04-23,44.8000,44.8000,42.6000,42.8500,50247
2024-04-24,42.2000,44.1000,42.0000,42.4500,40836
2024-04-25,42.2500,50.4000,42.1000,49.1500,973504
2024-04-26,54.9000,56.7000,52.1500,52.9000,2463807
2024-04-29,52.9500,52.9500,46.6000,47.0000,270057
2024-04-30,47.9000,47.9000,46.1000,46.7000,97972
2024-05-02,46.1000,47.9500,46.1000,47.1000,83522
2024-05-03,47.3500,47.3500,44.1500,45.6500,45624
2024-05-06,45.6500,45.6500,42.0000,43.3000,64334
2024-05-07,42.4000,43.0000,41.0000,41.6000,86380
2024-05-08,42.4500,42.4500,39.0000,40.2500,105330
2024-05-09,40.0000,41.5000,38.6000,40.3000,63000
2024-05-10,39.8000,41.8500,39.2000,40.5000,46070
2024-05-13,40.9000,44.5000,38.1000,42.3500,64942
2024-05-14,42.3000,43.8000,41.7000,42.8000,30513
2024-05-15,43.9500,45.5000,41.5500,44.2000,52093
2024-05-16,45.3000,45.3000,43.1000,43.4000,27052
2024-05-17,44.5000,44.5000,42.0000,42.4000,33972
2024-05-21,45.0000,45.0000,41.6000,42.3500,17837
2024-05-22,43.1500,43.8000,42.0500,42.4000,33032
2024-05-23,43.5000,43.5000,41.4500,41.5000,24386
2024-05-24,43.6500,43.6500,41.8500,42.0000,15400
2024-05-27,42.0000,43.5500,40.5000,41.1500,14655
2024-05-28,42.4000,42.4000,41.2500,41.7000,16633
2024-05-29,41.7000,42.4500,39.1500,40.0000,26568
2024-05-30,40.8500,41.8500,38.3500,39.0000,21540
2024-05-31,39.0500,43.7000,39.0000,41.6000,55580
