date,open,high,low,close,volume
2025-10-14,1710.1000,1749.0000,1650.0000,1689.9000,68793750
2025-10-15,1698.0000,1728.9000,1680.2000,1688.1000,9113558
2025-10-16,1688.9000,1705.0000,1662.0000,1671.3000,4216934
2025-10-17,1675.0000,1701.3000,1627.8000,1668.0000,4992719
2025-10-20,1673.4000,1686.4000,1645.0000,1665.2000,2466878
2025-10-21,1674.2000,1680.5000,1665.5000,1669.2000,491194
2025-10-23,1675.0000,1698.4000,1654.7000,1663.4000,2391748
2025-10-24,1663.4000,1671.5000,1636.1000,1648.7000,1778970
2025-10-27,1643.0000,1655.3000,1628.5000,1650.1000,1513848
2025-10-28,1650.1000,1668.8000,1647.0000,1654.1000,967683
2025-10-29,1653.0000,1665.0000,1646.2000,1655.3000,837306
2025-10-30,1655.0000,1666.9000,1646.6000,1657.7000,923367
2025-10-31,1661.0000,1670.0000,1655.2000,1663.6000,857195
2025-11-03,1660.0000,1665.0000,1633.0000,1649.0000,940042
2025-11-04,1645.1000,1659.8000,1625.2000,1633.4000,834337
2025-11-06,1630.0000,1633.0000,1590.0000,1616.9000,1475569
2025-11-07,1617.0000,1623.0000,1581.1000,1609.4000,1999308
2025-11-10,1592.0000,1687.7000,1587.6000,1646.2000,3052514
2025-11-11,1651.0000,1674.1000,1636.1000,1665.5000,856943
2025-11-12,1665.1000,1668.3000,1636.0000,1657.3000,1389029
2025-11-13,1660.0000,1718.0000,1646.0000,1673.2000,2249129
2025-11-14,1590.0000,1645.2000,1590.0000,1617.8000,3455187
2025-11-17,1621.0000,1634.2000,1605.5000,1623.0000,1413891
2025-11-18,1622.5000,1644.0000,1617.3000,1624.1000,876440
2025-11-19,1650.0000,1690.9000,1642.0000,1668.1000,2706977
2025-11-20,1684.9000,1706.8000,1665.1000,1683.9000,2120142
2025-11-21,1675.0000,1680.0000,1625.5000,1642.4000,1043818
2025-11-24,1638.8000,1649.9000,1605.0000,1616.4000,931629
2025-11-25,1640.0000,1648.6000,1623.1000,1628.2000,541907
2025-11-26,1629.0000,1644.0000,1624.0000,1640.6000,656382
2025-11-27,1643.0000,1652.0000,1623.1000,1630.3000,649257
2025-11-28,1640.0000,1663.0000,1629.0000,1659.3000,772237
2025-12-01,1664.9000,1664.9000,1635.0000,1649.8000,829377
2025-12-02,1645.0000,1645.0000,1616.9000,1626.3000,935664
2025-12-03,1626.0000,1627.9000,1594.0000,1609.7000,1229870
2025-12-04,1608.0000,1625.0000,1598.0000,1605.6000,714563
2025-12-05,1608.0000,1617.0000,1595.0000,1598.7000,406011
2025-12-08,1597.8000,1604.6000,1554.7000,1566.1000,897702
2025-12-09,1560.0000,1603.0000,1533.2000,1600.4000,955382
2025-12-10,1600.0000,1603.7000,1561.8000,1565.1000,752593
2025-12-11,1565.1000,1574.6000,1550.4000,1571.0000,628182
2025-12-12,1571.0000,1580.8000,1555.6000,1571.6000,403292
2025-12-15,1560.0000,1577.0000,1560.0000,1571.7000,293495
2025-12-16,1560.8000,1568.0000,1542.5000,1552.7000,638208
2025-12-17,1562.7000,1562.7000,1536.0000,1550.8000,514769
2025-12-18,1548.9000,1554.8000,1515.5000,1522.3000,357161
2025-12-19,1526.0000,1582.0000,1525.4000,1577.4000,875173
2025-12-22,1572.9000,1595.0000,1548.5000,1561.1000,709116
2025-12-23,1570.0000,1573.0000,1540.0000,1546.6000,481940
2025-12-24,1546.6000,1552.2000,1520.0000,1535.5000,778754
2025-12-26,1530.0000,1538.4000,1518.0000,1522.2000,391312
2025-12-29,1533.0000,1559.4000,1525.1000,1547.5000,703864
2025-12-30,1547.5000,1552.0000,1522.4000,1529.8000,376893
2025-12-31,1528.3000,1535.0000,1509.9000,1521.4000,1030201
2026-01-01,1523.9000,1532.9000,1481.0000,1484.7000,793315
2026-01-02,1485.0000,1495.7000,1460.1000,1483.4000,973436
2026-01-05,1483.4000,1487.0000,1455.2000,1469.5000,914020
2026-01-06,1467.0000,1499.4000,1463.3000,1494.9000,648837
2026-01-07,1490.0000,1497.0000,1449.0000,1456.4000,1515298
2026-01-08,1441.0000,1447.2000,1393.2000,1429.9000,4844370
2026-01-09,1421.0000,1424.4000,1394.4000,1403.3000,2079985
2026-01-12,1400.0000,1402.9000,1373.0000,1389.3000,1669224
2026-01-13,1392.2000,1427.0000,1391.0000,1398.9000,580145
2026-01-14,1400.2000,1402.9000,1386.0000,1391.7000,1247457
2026-01-15,1391.7000,1391.7000,1391.7000,1391.7000,0
2026-01-16,1394.9000,1397.0000,1375.2000,1388.6000,1169597
2026-01-19,1387.0000,1387.0000,1364.2000,1371.0000,717962
2026-01-20,1371.0000,1373.9000,1340.0000,1356.7000,1053961
2026-01-21,1325.5000,1379.4000,1325.5000,1373.4000,647588
2026-01-22,1380.0000,1402.0000,1367.8000,1377.8000,659074
2026-01-23,1380.0000,1408.0000,1379.1000,1399.9000,778477
2026-01-27,1402.5000,1411.0000,1382.1000,1400.1000,792416
2026-01-28,1400.0000,1417.0000,1391.3000,1410.0000,1034441
2026-01-29,1405.0000,1428.8000,1400.0000,1412.8000,489790
2026-01-30,1406.0000,1466.2000,1401.0000,1462.6000,731965
2026-02-02,1400.0000,1439.4000,1400.0000,1434.6000,289362
2026-02-03,1480.0000,1515.9000,1460.1000,1498.9000,1321132
2026-02-04,1499.0000,1534.0000,1492.4000,1526.2000,454037
2026-02-05,1526.2000,1526.6000,1492.4000,1517.5000,297163
2026-02-06,1517.0000,1517.0000,1495.0000,1502.8000,245951
2026-02-09,1502.8000,1524.7000,1493.0000,1521.3000,541292
2026-02-10,1525.0000,1566.0000,1512.7000,1542.1000,784324
2026-02-11,1564.0000,1564.4000,1510.1000,1518.8000,440348
2026-02-12,1410.0000,1491.9000,1392.0000,1469.0000,3797885
2026-02-13,1468.0000,1531.9000,1461.3000,1511.2000,1200452
