date,open,high,low,close,volume
2023-09-18,333.7500,335.9000,330.8500,331.8500,1465602
2023-09-20,330.0000,332.9250,326.5500,327.8250,2149284
2023-09-21,327.7250,329.7750,327.0000,327.2750,1305604
2023-09-22,327.9750,329.9000,324.5000,325.6500,1391082
2023-09-25,325.0000,326.5000,322.7500,323.3250,1303982
2023-09-26,323.9250,324.9250,322.0000,322.4750,829484
2023-09-27,322.5000,324.9250,322.0000,322.4750,1062918
2023-09-28,323.0000,326.0000,321.5250,325.1500,1847548
2023-09-29,325.1500,326.4250,323.4250,324.8750,1746678
2023-10-03,324.0500,324.7750,322.2500,322.6750,940438
2023-10-04,321.5000,322.0000,317.0250,318.7250,1389100
2023-10-05,319.5500,321.0000,318.2500,318.8750,792310
2023-10-06,319.0250,323.0000,319.0250,322.1750,1253230
2023-10-09,319.6000,319.6250,315.0500,317.6500,1437112
2023-10-10,317.6750,320.4750,317.3500,317.7500,962834
2023-10-11,319.0500,321.0000,318.3000,318.6750,1307838
2023-10-12,319.0000,322.1000,318.1000,318.6500,2651652
2023-10-13,318.0000,319.5000,317.0000,317.3250,1231310
2023-10-16,317.3250,320.3500,317.3250,318.5750,2278468
2023-10-17,319.6750,325.9250,319.6250,324.6000,2207988
2023-10-18,324.6000,325.5000,317.2500,318.3000,1751118
2023-10-19,317.2500,320.5000,316.3000,317.3500,1314920
2023-10-20,317.2250,318.9000,316.9000,317.4750,1308438
2023-10-23,317.4750,318.3500,307.5750,308.7250,2210816
2023-10-25,310.0000,311.8000,304.2750,305.5250,2189776
2023-10-26,304.9250,306.2500,298.6750,302.5000,2168882
2023-10-27,304.0000,306.3750,303.0500,303.3250,1235052
2023-10-30,303.3000,304.5750,301.3250,302.1000,931234
2023-10-31,303.2500,304.7750,300.1000,301.1250,1072942
2023-11-01,301.9250,303.9250,299.5000,300.0000,1099432
2023-11-02,301.9000,304.5250,301.1500,303.1250,1483896
2023-11-03,304.0000,305.1500,303.5000,304.0250,837696
2023-11-06,304.9500,306.9500,304.7500,305.7000,1160264
2023-11-07,306.0000,306.9500,305.0750,305.4000,907488
2023-11-08,306.0000,307.7750,305.5000,306.6750,1488550
2023-11-09,307.0000,308.6000,306.7000,307.4000,787250
2023-11-10,307.1250,309.8000,304.0500,305.1250,1343812
2023-11-13,302.5000,303.2500,299.1250,302.7750,2158102
2023-11-15,303.6000,305.5000,303.0500,303.4000,1681204
2023-11-16,303.9250,306.4500,302.1250,304.6500,2734944
2023-11-17,304.6500,309.4000,304.3750,307.3250,2354102
2023-11-20,307.3250,307.9000,304.9750,306.0000,1004818
2023-11-21,306.5000,307.8500,305.0000,305.4500,1437142
2023-11-22,305.5000,306.5750,303.8500,304.3750,1201894
2023-11-23,304.6250,314.0000,304.0000,308.8500,1472102
2023-11-24,310.4750,341.0000,310.2750,338.8250,37994072
2023-11-28,340.5000,347.2500,335.5500,337.1500,16068706
2023-11-29,338.5000,346.0000,336.0250,340.4500,6994982
2023-11-30,341.0000,349.5000,338.5000,339.7500,8611804
2023-12-01,342.5000,343.7000,333.5750,335.4500,3233266
2023-12-04,340.0000,363.8500,340.0000,359.5000,26817452
2023-12-05,360.0000,363.4500,351.3000,357.0250,10157946
2023-12-06,359.9750,375.4000,357.0000,373.0000,19203872
2023-12-07,373.9500,400.0000,368.4500,392.7250,31190682
2023-12-08,395.0000,401.7000,385.0000,386.2250,13854328
2023-12-11,387.5000,391.8250,384.0000,385.4750,4321462
2023-12-12,385.0000,399.5000,385.0000,395.8750,11645002
2023-12-13,397.7500,405.3750,397.7500,402.5250,11947222
2023-12-14,405.5000,410.0000,403.6000,407.6250,8015318
2023-12-15,408.0000,409.4500,396.0000,398.0750,5928292
2023-12-18,399.0000,405.4500,396.7250,400.8250,4343584
2023-12-19,401.6250,403.3500,396.0000,397.0250,2792428
2023-12-20,399.0000,404.7500,377.5500,380.6250,5794508
2023-12-21,376.4250,384.4250,373.1500,382.2500,5739494
2023-12-22,403.5000,410.5000,394.4250,396.4000,21672908
2023-12-26,397.5000,399.3000,390.0000,390.6500,3815194
