date,open,high,low,close,volume
2023-09-18,15161.0000,15275.9502,14910.0996,14980.5498,2044
2023-09-20,14880.5498,15068.7500,14800.0000,14936.0996,3044
2023-09-21,14910.0498,15025.0000,14650.0000,14985.2998,3744
2023-09-22,14985.2998,15161.8496,14810.0498,14862.0996,2247
2023-09-25,14940.2998,14963.5996,14650.0000,14694.2998,2809
2023-09-26,14827.0996,14827.0996,14670.5498,14754.0000,2548
2023-09-27,14766.5996,14870.0000,14640.1504,14687.1504,1263
2023-09-28,14705.7002,14705.7002,14454.5498,14487.0996,2554
2023-09-29,14487.0996,14644.9502,14487.0996,14572.8496,2055
2023-10-03,14572.0498,14800.0000,14384.1504,14568.8496,13949
2023-10-04,14456.0000,14536.2500,14275.4004,14327.5000,12817
2023-10-05,14402.9004,14499.9502,14280.4004,14316.5498,1707
2023-10-06,14384.7998,14498.0000,14251.0996,14296.0000,2405
2023-10-09,14296.0000,14363.6504,14041.5000,14104.7998,2571
2023-10-10,14150.0000,14160.0000,13853.2998,13940.8496,4666
2023-10-11,13926.0000,14125.8496,13926.0000,14040.2998,2184
2023-10-12,14099.0000,14114.1504,13966.6504,14025.2998,1426
2023-10-13,14099.0000,14099.0000,13905.2998,13965.4004,1205
2023-10-16,14031.0000,14079.9502,13801.0000,13844.0000,2095
2023-10-17,13852.0000,14150.0000,13852.0000,14102.0996,3550
2023-10-18,14003.2002,14123.8496,13900.0000,13939.4004,2232
2023-10-19,13939.0000,14059.4004,13869.2002,13962.7500,1508
2023-10-20,14036.2002,14119.9502,13936.6504,14061.7998,2557
2023-10-23,14002.0000,14092.7002,13890.0000,13988.7998,3000
2023-10-25,14000.0000,14062.4004,13400.0000,13785.4004,2852
2023-10-26,13900.9502,13920.0000,12925.0000,13201.0996,16660
2023-10-27,13250.0000,13636.2998,13200.0000,13379.7998,5201
2023-10-30,13430.0000,13457.5996,13250.1504,13341.2002,2511
2023-10-31,13411.4004,13459.9502,13131.3496,13204.0996,3577
2023-11-01,13204.0996,13309.9502,12990.0996,13027.0996,3032
2023-11-02,13095.7002,13128.8496,12908.7002,12985.7998,2233
2023-11-03,13005.0000,13209.0000,12917.2002,13029.6504,7610
2023-11-06,13118.0000,13300.0000,13061.2002,13142.9502,2298
2023-11-07,13180.0000,13250.0000,12990.0000,13022.9502,2630
2023-11-08,13091.5000,13130.7500,12900.0000,12965.4004,3477
2023-11-09,12972.4004,13070.0000,12831.0000,12888.9502,2501
2023-11-10,12956.7998,12990.0000,12801.0000,12837.7500,1403
2023-11-13,13189.9502,13189.9502,12865.0000,12938.2002,3160
2023-11-15,12960.0000,13102.4004,12751.0000,12906.9004,6929
2023-11-16,12906.9004,13094.8496,12722.2998,12782.0498,5533
2023-11-17,12782.0498,12994.9502,12769.2998,12965.5996,6009
2023-11-20,12906.0000,13082.7998,12877.5498,13004.4502,3014
2023-11-21,13090.0000,13198.9004,12921.0996,12935.0498,10355
2023-11-22,12935.0498,13123.0498,12935.0498,13059.0996,1724
2023-11-23,13170.0000,13170.0000,12950.2500,12965.7002,2656
2023-11-24,13015.7002,13263.0000,12976.2500,13163.7500,8895
2023-11-28,13250.0000,13460.0000,13240.0498,13436.0498,4663
2023-11-29,13492.9502,13525.0000,13110.9502,13274.9004,8871
2023-11-30,13210.0000,13357.0498,13151.1504,13184.8496,6274
2023-12-01,13290.0000,13379.4502,13105.0000,13151.9502,2502
2023-12-04,13271.3496,13499.9004,13188.4004,13434.2500,6036
2023-12-05,13370.0996,13864.9004,13350.0000,13807.6504,6652
2023-12-06,13801.6504,13922.9004,13640.0000,13830.3496,3509
2023-12-07,13888.0000,13917.7998,13705.0000,13766.8496,2563
2023-12-08,13806.0000,13868.0000,13475.0000,13509.5000,2354
2023-12-11,13600.0000,13631.5996,13465.0000,13497.2002,1833
2023-12-12,13565.0000,13565.0000,13300.0000,13382.5000,1961
2023-12-13,13465.0000,13465.0000,13300.0000,13400.6504,1238
2023-12-14,13521.8496,13603.9502,13405.7500,13518.8496,2351
2023-12-15,13520.0000,13708.7500,13520.0000,13562.4004,2224
2023-12-18,13550.0000,13670.0996,13501.0498,13558.7002,1844
2023-12-19,13560.4502,13665.0000,13514.0996,13554.9004,3379
2023-12-20,13622.0000,13650.0000,13516.3496,13533.7500,4696
2023-12-21,13470.0000,13525.0000,13299.6504,13418.1504,6001
2023-12-22,13420.0996,13571.0000,13221.4502,13316.6504,19682
2023-12-26,13316.6504,13396.9502,13162.7002,13199.5996,4073
2023-12-27,13199.9004,13418.4502,13199.9004,13338.0000,1850
2023-12-28,13345.0000,13369.6504,13218.0000,13244.9004,2391
2023-12-29,13244.9004,13900.0000,13200.0000,13738.7500,19373
2024-01-01,13738.7500,13888.5498,13650.0000,13722.9004,2901
2024-01-02,13735.4502,13795.7500,13500.0498,13563.9004,2323
2024-01-03,13650.0000,13904.4502,13472.5498,13692.7002,3630
2024-01-04,13675.0000,13777.0000,13550.0996,13649.7998,11034
2024-01-05,13670.0000,14274.9004,13652.2002,14141.4502,13087
2024-01-08,14270.4004,14435.2500,14102.6504,14169.3496,5338
2024-01-09,14399.9004,14399.9004,13870.0000,13939.7002,13863
2024-01-10,13999.0000,13999.0000,13768.7500,13876.5996,3584
2024-01-11,13945.5000,14122.0996,13842.0000,13909.9004,2758
2024-01-12,14000.0000,14059.0000,13740.7002,13789.4502,2068
2024-01-15,13800.0000,13889.9502,13635.0000,13672.5000,2422
2024-01-16,13778.0000,13801.0000,13486.2998,13542.3496,3060
2024-01-17,13555.5000,13623.4004,13350.0000,13405.8496,2277
2024-01-18,13411.0000,13500.0000,13175.0498,13394.3496,2321
2024-01-19,13473.4004,13668.7002,13358.8496,13504.4502,2860
2024-01-23,13984.9004,13984.9004,13270.0000,13357.2002,3340
2024-01-24,13400.0000,13509.7002,13050.0000,13248.2998,4904
2024-01-25,13313.2500,13359.9502,13165.0000,13189.4004,769
2024-01-29,13149.4004,13369.9004,12984.2002,13099.0498,4831
2024-01-30,13060.0000,13269.9004,13000.0000,13032.0996,1727
2024-01-31,13081.0000,13790.0000,13022.0498,13720.1504,6956
2024-02-01,13788.7002,13843.2002,13552.5996,13764.5498,1984
2024-02-02,13720.0000,13950.0000,13658.4502,13745.4502,2907
2024-02-05,13760.9502,13897.8496,13622.2500,13736.9502,3892
2024-02-06,13805.6504,14120.0000,13788.7998,13919.7998,5364
2024-02-07,14219.9502,14272.2998,14018.0000,14092.8496,9103
2024-02-08,14199.8496,14210.0498,13772.4004,13827.7998,5060
2024-02-09,13952.7002,13952.7002,13720.5996,13778.8496,6013
2024-02-12,13847.7500,13847.7500,13608.7998,13616.5996,6903
2024-02-13,13621.0000,13992.0000,13544.4004,13948.9004,4248
2024-02-14,13710.0000,14100.0498,13674.0996,13931.5498,5591
2024-02-15,13931.5498,14379.9004,13730.0996,14095.5498,6437
2024-02-16,13905.0000,14980.0000,13905.0000,14882.9502,14937
2024-02-19,14920.5996,15000.0000,14800.2002,14854.0000,4492
2024-02-20,14850.0000,14968.0996,14671.0000,14723.9502,2539
2024-02-21,14797.5498,14825.0000,14507.5000,14618.3496,3772
2024-02-22,14676.7002,14895.9004,14488.7998,14738.8496,1926
2024-02-23,14800.0000,14940.0000,14677.4502,14753.2002,2224
2024-02-26,14772.3496,14940.0000,14745.7998,14779.3496,3114
2024-02-27,14799.9502,14851.3496,14659.7998,14721.0498,1368
2024-02-28,14851.0000,14851.0000,14477.9004,14497.5000,3330
2024-02-29,14539.9502,14539.9502,14344.4004,14464.2500,3435
2024-03-01,14594.9502,14949.0000,14455.0000,14803.0000,3020
2024-03-04,14891.0996,14891.0996,14301.0000,14471.0000,1688
2024-03-05,14471.0000,14749.0000,14171.0000,14568.4004,1529
2024-03-06,14612.1504,14612.1504,14431.4004,14465.7500,1829
2024-03-07,14466.2500,14870.0000,14445.2998,14691.3496,3139
2024-03-11,14691.3496,14739.9502,14463.4004,14477.0996,1734
2024-03-12,14328.0000,14474.9502,14005.5498,14038.7002,4546
2024-03-13,13950.0000,14165.5996,13333.0498,13725.5000,13172
2024-03-14,13777.0000,14216.0000,13514.7002,13990.2998,3762
2024-03-15,14260.0000,14260.0000,13666.0000,13840.2500,3717
2024-03-18,13891.0000,14000.0000,13668.0498,13906.2500,2759
2024-03-19,13837.0000,14000.0000,13750.0000,13928.4502,2440
2024-03-20,13943.3496,14157.7002,13837.0000,14047.2500,2225
2024-03-21,14109.2500,14441.0000,14109.2500,14371.2002,2643
2024-03-22,14439.0000,14700.0000,14364.5498,14468.6504,3554
2024-03-26,14325.0000,14680.0000,14325.0000,14443.2002,2624
2024-03-27,14593.2002,16650.0000,14500.9004,15124.7500,209773
2024-03-28,15124.0000,15570.0000,14733.1504,15192.2998,42157
2024-04-01,15264.7500,15799.0000,15151.5996,15576.6504,18200
2024-04-02,15664.5000,16558.4004,15600.0000,16365.0996,25349
2024-04-03,16340.0498,17600.0508,16207.0996,17387.6504,43103
2024-04-04,17450.0000,17794.1504,16939.0000,17121.7500,15937
2024-04-05,17200.0000,17500.0000,16930.0996,17139.5000,8599
2024-04-08,17140.0000,17550.0000,16929.4004,17036.4004,7097
2024-04-09,17250.0000,17451.0000,16720.0996,16880.0000,5770
2024-04-10,16990.0000,17390.0000,16812.1992,16909.2500,5322
2024-04-12,17145.5000,17145.5000,16767.9004,16992.8496,5214
2024-04-15,16839.9004,17439.9004,16284.0498,17233.5996,8907
2024-04-16,17348.9492,17549.0000,16985.5996,17061.0000,8418
2024-04-18,17200.0996,17270.0508,16540.7500,16763.9492,12498
2024-04-19,16999.0000,17000.0000,16571.5508,16895.5508,3853
2024-04-22,16900.0000,17287.0996,16900.0000,17045.5000,3455
2024-04-23,17340.0000,17340.0000,16865.0996,16927.3496,3401
2024-04-24,16927.3496,17044.6504,16700.0000,16734.2500,2700
