date,open,high,low,close,volume
2023-09-25,1612.9500,1620.0000,1582.3500,1589.4500,3231962
2023-09-26,1589.4500,1606.6000,1582.0000,1595.2000,1479841
2023-09-27,1594.8500,1599.6000,1583.2500,1589.2000,1991198
2023-09-28,1595.9500,1596.9000,1544.0000,1556.0500,2369699
2023-09-29,1574.0000,1576.5000,1550.1000,1554.2500,1254881
2023-10-03,1597.2000,1598.0000,1533.0500,1537.4000,3436776
2023-10-04,1531.8000,1537.9000,1501.7500,1522.1000,2580901
2023-10-05,1533.0000,1550.8000,1513.0500,1537.9500,1991367
2023-10-06,1545.0000,1554.0000,1540.3500,1548.8500,1743027
2023-10-09,1540.0000,1541.2500,1514.0000,1515.2000,2123175
2023-10-10,1521.4500,1543.8500,1519.2000,1537.8500,1956653
2023-10-11,1540.0000,1559.1500,1540.0000,1556.3000,1536986
2023-10-12,1559.0000,1570.0500,1555.6000,1566.6500,1731806
2023-10-13,1560.5000,1574.4000,1550.3000,1562.4500,1465554
2023-10-16,1562.8500,1577.2500,1558.5000,1574.5500,1089610
2023-10-17,1575.0000,1583.9000,1568.6000,1576.6000,997962
2023-10-18,1576.6000,1579.4500,1561.7500,1574.8500,1212994
2023-10-19,1553.3500,1578.9000,1553.3500,1569.5500,1239578
2023-10-20,1566.0000,1575.0000,1545.1000,1558.2500,1435102
2023-10-23,1548.2500,1574.9000,1546.5000,1565.1500,4069167
2023-10-25,1574.0000,1576.6000,1547.0000,1569.1000,2510769
2023-10-26,1554.0000,1558.2000,1500.0000,1506.1000,3343802
2023-10-27,1508.3500,1533.9500,1507.3000,1510.8000,3341111
2023-10-30,1502.1000,1515.4500,1463.2000,1497.8000,2637486
2023-10-31,1494.2000,1497.3000,1455.5500,1458.6000,2555737
2023-11-01,1464.9000,1485.0000,1450.0000,1454.6000,2627536
2023-11-02,1465.0000,1477.5000,1452.5000,1469.7000,2091122
2023-11-03,1480.0000,1488.1000,1460.4500,1469.0000,2456723
2023-11-06,1481.8000,1492.2000,1473.5500,1488.3000,1271868
2023-11-07,1488.2500,1497.0000,1475.0000,1479.7500,1940908
2023-11-08,1485.0500,1489.4000,1474.0000,1487.4000,1342202
2023-11-09,1487.4000,1558.7000,1487.4000,1552.0500,4831782
2023-11-10,1550.0000,1551.0000,1515.3000,1524.1000,4872228
2023-11-13,1526.2500,1543.3000,1513.0500,1540.2500,1968032
2023-11-15,1549.0000,1550.8000,1533.5500,1544.1500,2782942
2023-11-16,1544.2000,1583.9500,1538.5000,1569.5000,3224223
2023-11-17,1575.0000,1596.0000,1572.6500,1584.5500,2035309
2023-11-20,1589.8000,1589.8000,1540.6000,1552.2000,2918577
2023-11-21,1553.0000,1571.4000,1549.1500,1559.7500,2213144
2023-11-22,1560.0000,1564.6500,1535.0000,1543.4500,1269475
2023-11-23,1556.6000,1560.9500,1535.1000,1545.8500,1552635
2023-11-24,1549.0000,1559.5000,1547.5000,1553.2000,1239270
2023-11-28,1553.2000,1572.0000,1542.1500,1566.0500,2596766
2023-11-29,1576.0000,1623.4000,1567.2500,1619.1000,3581220
2023-11-30,1615.0500,1660.0000,1613.7000,1647.7500,5214960
2023-12-01,1656.0000,1666.0000,1621.2000,1625.5000,2489755
2023-12-04,1662.8500,1675.0000,1639.4500,1656.8500,3001010
2023-12-05,1660.9000,1708.0000,1640.6000,1686.0500,3423953
2023-12-06,1688.1000,1710.4500,1684.1500,1702.4000,2279220
2023-12-07,1703.0000,1706.0000,1681.6500,1692.6500,2461051
2023-12-08,1699.0000,1708.1500,1662.5500,1668.5500,1942667
2023-12-11,1674.0000,1674.4500,1647.1000,1652.2000,2037178
2023-12-12,1663.0000,1670.0000,1626.5000,1635.4000,2051527
2023-12-13,1639.0000,1670.5000,1629.5500,1666.1500,2247441
2023-12-14,1676.0000,1709.8500,1671.0500,1703.5500,3326228
2023-12-15,1727.9000,1739.6000,1698.0000,1724.9500,3858594
2023-12-18,1720.0000,1731.8500,1698.7500,1710.8000,1739425
2023-12-19,1720.0000,1723.8500,1691.3000,1699.3500,1660221
2023-12-20,1710.0000,1711.9500,1640.6000,1646.9500,3047660
2023-12-21,1635.0000,1653.1500,1620.4000,1633.8500,3211338
2023-12-22,1630.0000,1652.0000,1622.7500,1634.2500,2751274
2023-12-26,1640.9000,1669.0000,1634.5000,1662.2500,1203594
2023-12-27,1670.0000,1691.8000,1660.2500,1687.9500,1793638
2023-12-28,1688.9500,1739.9500,1688.4000,1734.4500,2963938
2023-12-29,1730.0000,1758.0000,1715.0000,1729.4000,2273255
2024-01-01,1729.4000,1730.0000,1699.0000,1703.3000,1307485
2024-01-02,1703.6000,1705.0000,1649.4500,1656.2000,2857334
2024-01-03,1672.0000,1678.2000,1648.0500,1655.2500,1927812
2024-01-04,1666.9000,1674.4500,1638.2000,1641.7000,2835768
2024-01-05,1647.9500,1661.5000,1636.5000,1642.0000,1709313
2024-01-08,1648.1500,1653.4000,1606.1000,1616.1500,1492195
2024-01-09,1625.0000,1636.8000,1615.0000,1629.9000,2542484
2024-01-10,1645.0000,1647.4500,1621.3500,1632.8000,1954233
2024-01-11,1643.9000,1651.2500,1625.8500,1628.6500,2228002
2024-01-12,1630.0000,1633.8500,1601.5000,1624.4500,3061539
2024-01-15,1635.0000,1640.9000,1616.1000,1635.5500,1405514
2024-01-16,1638.0000,1640.0000,1617.5500,1620.3500,2236688
2024-01-17,1612.0000,1615.0000,1591.0000,1597.7000,2548169
2024-01-18,1600.0000,1623.3000,1580.6500,1617.2500,2328588
2024-01-19,1624.9500,1659.0000,1622.2500,1655.5500,2836976
2024-01-23,1619.0000,1647.6000,1588.2500,1595.2000,2772880
2024-01-24,1595.0000,1632.3000,1575.0000,1628.1000,2543323
2024-01-25,1631.6000,1642.7500,1603.9000,1635.5000,2038472
2024-01-29,1635.5000,1645.0000,1625.0000,1640.0000,3075670
2024-01-30,1649.9500,1659.5000,1614.4500,1620.3500,2569098
2024-01-31,1615.0500,1658.3000,1609.0500,1651.5500,3154787
2024-02-01,1659.2500,1702.6000,1645.5500,1651.1500,4065784
2024-02-02,1655.0000,1687.0500,1650.0000,1660.7500,3304158
2024-02-05,1676.7000,1712.8500,1665.1000,1703.5500,3525423
2024-02-06,1710.9500,1730.0000,1706.0000,1727.6500,2219874
2024-02-07,1731.4500,1752.0000,1715.7000,1721.0000,1213661
2024-02-08,1729.0000,1743.9000,1675.5500,1685.9000,2550690
2024-02-09,1686.0000,1689.7500,1628.0000,1646.4000,2033950
2024-02-12,1654.0000,1675.0500,1640.5500,1660.4500,1197925
2024-02-13,1670.0000,1679.4000,1623.4500,1646.7500,2075130
2024-02-14,1631.0000,1679.6500,1623.9000,1657.0500,4368695
2024-02-15,1681.0500,1784.9000,1668.1000,1765.0500,9887134
2024-02-16,1788.0000,1864.6500,1776.8500,1835.5500,7188957
2024-02-19,1836.0500,1856.4500,1820.0000,1848.5500,2682236
2024-02-20,1837.4000,1860.0000,1820.5000,1853.6500,1830562
2024-02-21,1849.9000,1889.7000,1846.7000,1859.6500,4466234
2024-02-22,1870.9500,1917.0000,1853.0000,1910.3500,3360123
2024-02-23,1926.3500,1947.8500,1901.1000,1929.9500,3323441
2024-02-26,1935.0000,1951.0000,1925.2000,1929.8000,2436063
2024-02-27,1926.0000,1956.9500,1915.0500,1950.6000,2821465
2024-02-28,1951.9500,1953.1500,1897.0500,1901.6500,2010429
2024-02-29,1902.8500,1950.9000,1892.5500,1932.4000,5539065
2024-03-01,1933.6000,1982.3000,1930.5000,1972.9500,3384932
2024-03-04,1967.0000,1974.9500,1919.0500,1921.0500,1645331
2024-03-05,1925.0000,1968.0000,1923.0500,1939.2500,2208384
2024-03-06,1945.0000,1979.9000,1922.0000,1970.6500,1673183
2024-03-07,1930.1500,1932.1500,1884.3000,1897.5500,18323831
2024-03-11,1913.0000,1913.7000,1873.3000,1894.3500,3250782
2024-03-12,1892.0000,1898.3500,1876.6500,1895.1500,3186510
2024-03-13,1896.0000,1901.4000,1844.2500,1853.7000,4270994
2024-03-14,1853.7000,1895.6000,1844.6000,1890.5500,2388133
2024-03-15,1875.0000,1882.1000,1788.8000,1799.5000,5504948
2024-03-18,1807.9500,1867.4000,1801.0500,1856.0500,3404076
2024-03-19,1856.0500,1865.0000,1826.8000,1843.9000,2189225
2024-03-20,1851.9500,1859.0500,1820.5500,1844.4000,1550415
2024-03-21,1859.9500,1875.0000,1845.0000,1865.8500,2072960
2024-03-22,1865.8500,1905.4500,1847.2500,1878.8000,3786990
2024-03-26,1878.2000,1917.5000,1861.1000,1863.9500,4092744
2024-03-27,1869.9000,1899.9000,1855.3000,1881.1500,4196597
2024-03-28,1881.1500,1962.9500,1870.3500,1921.3500,3790854
2024-04-01,1938.0000,1963.8500,1891.8000,1915.9500,2765845
2024-04-02,1915.9500,1977.5000,1901.4500,1971.9500,3431715
2024-04-03,1967.0000,2003.3000,1956.2000,1989.3000,3615370
2024-04-04,1999.0000,2015.0000,1963.2000,2002.7000,3007920
2024-04-05,1995.3500,2027.4500,1992.2500,2013.3000,2767027
2024-04-08,2018.0000,2087.0000,2016.9000,2078.1001,2781568
2024-04-09,2095.0000,2098.6499,2070.1001,2090.8999,2853137
2024-04-10,2098.4500,2108.6001,2070.0000,2076.2000,2280814
2024-04-12,2084.0000,2087.5000,2051.6499,2070.9500,4008660
2024-04-15,2055.2500,2083.8999,2035.0000,2053.4500,2024919
2024-04-16,2047.0500,2073.7500,2027.7500,2031.3000,1981730
2024-04-18,2031.3000,2087.0000,2016.5000,2024.9500,3539862
2024-04-19,2034.0000,2087.0000,1998.2000,2082.8999,3253248
2024-04-22,2124.5500,2133.0000,2065.0000,2090.6499,2449171
2024-04-23,2096.0000,2114.0000,2056.8501,2062.6001,2886136
2024-04-24,2055.0000,2090.8501,2052.9500,2058.4500,1929834
2024-04-25,2060.0000,2113.9500,2041.9000,2096.8501,3084498
2024-04-26,2099.5500,2103.0000,2038.8000,2044.9000,2952484
2024-04-29,2045.5000,2068.3501,2001.0000,2062.0500,2724604
2024-04-30,2073.0500,2169.0000,2073.0500,2156.3501,5745143
2024-05-02,2165.1001,2204.0000,2165.1001,2185.1499,3347541
2024-05-03,2210.0000,2210.0000,2172.3501,2193.0000,3859227
2024-05-06,2200.4500,2240.0000,2190.0000,2224.9500,2111447
2024-05-07,2236.0000,2236.8999,2164.8501,2191.5000,1727823
2024-05-08,2191.7000,2195.0000,2160.0000,2182.3999,1993202
2024-05-09,2185.5500,2256.7500,2185.0000,2212.5500,3998822
2024-05-10,2211.8501,2231.6499,2183.0000,2193.0500,3045912
2024-05-13,2208.0000,2208.0500,2160.0000,2184.2500,2575573
2024-05-14,2175.0000,2280.3501,2175.0000,2269.8999,3830189
2024-05-15,2281.3000,2317.1499,2256.0000,2302.3000,2569084
2024-05-16,2319.4500,2393.8999,2286.2000,2371.7500,7444517
2024-05-17,2425.3501,2557.9500,2425.3501,2514.6001,9796445
2024-05-21,2503.0000,2536.9500,2467.0000,2522.6499,3747292
2024-05-22,2521.7000,2535.0000,2490.0000,2521.0500,2974921
2024-05-23,2520.0000,2617.3999,2500.2500,2609.2000,4715263
2024-05-24,2589.8000,2605.0000,2572.3999,2579.7500,2919241
2024-05-27,2581.1499,2589.7500,2541.0000,2549.1001,3328559
2024-05-28,2550.0000,2581.9500,2548.0000,2552.8000,1549203
2024-05-29,2510.2500,2547.0000,2500.6001,2533.6499,2720451
2024-05-30,2518.0000,2531.4500,2478.0000,2493.5000,3367101
2024-05-31,2517.7500,2569.2000,2495.1499,2506.2500,8769724
2024-06-03,2575.0500,2654.3501,2570.3999,2634.0000,2701157
2024-06-04,2634.2500,2639.0000,2448.2000,2572.8999,6372249
2024-06-05,2572.8999,2753.7000,2571.8000,2740.9500,4242881
2024-06-06,2745.0000,2761.8999,2670.8999,2699.8501,4992660
2024-06-07,2668.3501,2867.6001,2668.3501,2857.4500,6447821
2024-06-10,2861.0000,2886.0000,2800.0000,2807.5500,2021106
2024-06-11,2821.0000,2855.0000,2813.3999,2835.5500,2298974
2024-06-12,2835.5500,2848.6001,2782.0500,2787.5500,2580846
2024-06-13,2850.0000,2879.1001,2788.6499,2861.7000,2492637
2024-06-14,2875.0000,2946.0000,2865.0000,2928.6001,3515019
2024-06-18,2965.0000,3013.5000,2956.6499,2961.8999,4887512
2024-06-19,2975.0000,2977.0000,2926.4500,2933.8501,3512298
2024-06-20,2945.0500,2954.7500,2857.3000,2871.2000,4024418
2024-06-21,2884.7500,2920.8999,2825.0500,2839.9500,8400461
2024-06-24,2836.5000,2923.9500,2813.0500,2915.8000,2699784
2024-06-25,2921.2000,2947.0000,2891.0500,2909.3999,1910886
2024-06-26,2907.0500,2912.9500,2844.6001,2851.5000,3282318
2024-06-27,2842.0000,2905.0000,2793.0500,2888.9500,6900180
2024-06-28,2855.0000,2896.0000,2855.0000,2866.6499,2548169
2024-07-01,2841.0000,2894.0500,2838.2500,2875.8501,1718501
2024-07-02,2890.2000,2891.0000,2850.0000,2865.1499,1507890
2024-07-03,2871.0000,2895.0000,2865.1001,2877.9500,1019710
2024-07-04,2890.0000,2922.0000,2885.0500,2902.8000,1502213
2024-07-05,2886.0000,2886.0000,2840.0000,2880.6001,1966103
2024-07-08,2880.6001,2918.6001,2847.5000,2851.3501,1631998
2024-07-09,2855.3501,2940.0000,2837.2500,2925.5000,2902129
2024-07-10,2930.0000,2930.0000,2697.8999,2732.0000,14481615
2024-07-11,2757.9500,2757.9500,2691.0000,2698.0500,4314565
2024-07-12,2689.6499,2722.3000,2687.1499,2703.9500,3398732
2024-07-15,2722.8501,2739.0000,2708.1001,2731.0500,2017720
2024-07-16,2754.9500,2766.8501,2740.0000,2756.7500,1925983
2024-07-18,2756.0000,2825.9500,2736.5000,2819.4500,4122844
2024-07-19,2819.9500,2819.9500,2743.0000,2749.3000,2042568
2024-07-22,2751.0500,2819.0000,2725.0000,2804.7500,2208103
2024-07-23,2824.0000,2854.5000,2743.3999,2821.3501,2572524
2024-07-24,2823.0000,2830.3999,2763.6499,2805.5000,2276082
2024-07-25,2799.8000,2827.0000,2781.8000,2811.3999,1857122
2024-07-26,2821.6001,2897.3999,2790.0000,2887.8000,2352661
2024-07-29,2900.0000,2945.0000,2875.5000,2933.0000,2388937
2024-07-30,2945.0000,2950.0000,2904.6001,2922.1001,2290006
2024-07-31,2937.0000,2979.6001,2872.9500,2907.8000,4238740
2024-08-01,2926.5000,2926.5000,2820.1001,2828.3999,4971708
2024-08-02,2810.3000,2810.3000,2733.8501,2749.6499,3041513
2024-08-05,2679.6499,2729.2000,2635.8000,2678.9500,3731770
2024-08-06,2688.3000,2748.7500,2625.7000,2632.9500,3069277
2024-08-07,2697.5000,2704.7500,2661.0000,2680.8501,2479171
2024-08-08,2660.5000,2716.5000,2656.5000,2682.9500,2673182
2024-08-09,2734.0000,2765.0000,2705.0000,2749.1499,2279076
2024-08-12,2749.1499,2757.0000,2708.7000,2717.6499,2321474
2024-08-13,2718.1001,2738.6499,2704.1001,2718.0500,1292521
2024-08-14,2728.8000,2771.9500,2715.3000,2745.2500,2609359
2024-08-16,2789.0000,2845.0500,2776.1499,2840.4500,4376092
2024-08-19,2859.8999,2859.8999,2760.0000,2765.1499,2500718
2024-08-20,2779.7500,2783.2000,2748.5000,2771.3000,1762399
2024-08-21,2774.0000,2780.9500,2755.0000,2769.3999,1497501
2024-08-22,2771.1001,2775.7500,2724.0500,2732.9500,2346622
2024-08-23,2732.9500,2769.0000,2725.3000,2759.0000,1943539
2024-08-26,2764.9500,2799.0000,2753.1001,2793.1001,2765969
2024-08-27,2797.9500,2800.0000,2773.9500,2780.8000,1604159
2024-08-28,2781.8999,2827.0000,2780.8000,2798.0000,1851275
2024-08-29,2789.3501,2801.6499,2741.6499,2757.6001,2237121
2024-08-30,2780.0000,2821.5500,2765.0000,2805.3999,4895220
2024-09-02,2848.8000,2848.8000,2756.5000,2777.0000,2270687
2024-09-03,2780.0000,2798.1001,2772.6001,2784.8501,1592710
2024-09-04,2761.0000,2779.8999,2731.1001,2749.6001,1697000
2024-09-05,2756.2000,2760.0000,2711.8999,2723.1001,2360312
2024-09-06,2723.0000,2738.8999,2680.1001,2698.1001,2835519
2024-09-09,2688.1499,2714.3000,2660.0500,2708.8501,1269082
2024-09-10,2691.2500,2715.0000,2677.0000,2690.0000,2034126
2024-09-11,2681.5000,2708.0000,2644.1001,2654.2500,2034245
2024-09-12,2665.0000,2751.6001,2635.6001,2740.8999,3730285
2024-09-13,2755.0000,2758.5500,2711.7500,2739.1001,2102332
2024-09-16,2740.2000,2784.3000,2732.0500,2757.3999,1234752
2024-09-17,2765.0000,2793.5000,2745.3000,2787.6499,1387175
2024-09-18,2781.5000,2848.0000,2777.6499,2808.2000,2526756
2024-09-19,2812.0000,2852.0000,2792.2000,2797.5000,2807727
2024-09-20,2798.7000,2960.0000,2798.5000,2950.8501,12492909
2024-09-23,2962.7500,3056.8999,2956.1499,3049.8000,3925490
2024-09-24,3020.0000,3098.5500,3020.0000,3074.3000,3697722
2024-09-25,3045.0000,3149.0000,3034.5500,3091.0500,4218815
2024-09-26,3072.0000,3197.2000,3045.6499,3181.1001,4753617
2024-09-27,3171.0000,3222.1001,3152.5500,3183.6499,6803795
2024-09-30,3163.1499,3179.0000,3087.0000,3094.8999,3554400
2024-10-01,3105.5000,3185.4500,3095.8000,3165.5000,4028211
2024-10-03,3085.0000,3171.0000,3072.4500,3129.8501,3237011
2024-10-04,3127.0500,3157.6001,3009.5000,3017.4500,4281562
2024-10-07,3028.0000,3066.9500,2982.8999,3060.2000,2732276
2024-10-08,3074.0000,3176.8999,3066.0000,3165.8501,6060165
2024-10-09,3164.8000,3204.3000,3145.0000,3153.0000,2432656
2024-10-10,3156.0000,3220.3000,3155.0000,3194.3000,2507231
2024-10-11,3200.0000,3210.5000,3121.0000,3134.3501,1652856
2024-10-14,3151.0000,3174.0000,3115.0000,3154.8999,2425178
2024-10-15,3177.0000,3192.9500,3086.5500,3155.8000,2245701
2024-10-16,3138.0000,3147.8999,3052.1499,3068.0000,1972106
2024-10-17,3055.0000,3065.3000,2952.2000,2964.6001,3622197
2024-10-18,2945.3501,2988.8501,2914.7000,2964.2500,3407751
2024-10-21,2959.7500,3001.3999,2892.8999,2998.2000,5059952
2024-10-22,3005.0000,3008.9500,2878.2000,2887.2000,4195638
