date,open,high,low,close,volume
2023-09-26,85.5000,87.0000,85.5000,85.5000,94520
2023-09-27,83.8000,83.8000,83.8000,83.8000,35740
2023-09-28,84.0000,84.1000,83.8000,84.0000,39633
2023-09-29,85.6500,85.6500,85.6500,85.6500,51548
2023-10-03,87.3500,87.3500,86.0000,87.3500,23883
2023-10-04,87.7500,88.0000,87.2500,87.7500,59696
2023-10-05,88.5000,88.7000,88.5000,88.5000,44158
2023-10-06,88.8000,90.2500,88.5500,88.8000,82916
2023-10-09,87.0500,88.8000,87.0500,87.0500,61379
2023-10-10,87.0500,87.2000,85.3000,87.0500,43582
2023-10-11,88.7500,88.7500,87.1000,88.7500,87187
2023-10-12,90.5000,90.5000,90.5000,90.5000,88096
2023-10-13,92.3000,92.3000,92.3000,92.3000,60534
2023-10-16,94.0000,96.9000,94.0000,96.9000,110445
2023-10-17,101.0000,101.7000,99.8500,101.7000,73005
2023-10-18,106.7500,106.7500,106.7500,106.7500,37416
2023-10-19,112.0500,112.0500,112.0500,112.0500,88718
2023-10-20,117.6500,117.6500,106.4500,113.7500,598784
2023-10-23,108.1000,116.0000,108.1000,108.1000,323846
2023-10-25,102.8000,112.0000,102.8000,111.3000,198306
2023-10-26,110.9500,110.9500,105.7500,107.7000,123805
2023-10-27,111.0000,113.0500,108.0000,112.8000,119052
2023-10-30,114.0000,124.0500,113.0000,124.0500,218144
2023-10-31,130.0000,136.4500,129.8000,136.4500,161935
2023-11-01,143.9500,150.0500,140.0000,142.0000,1465975
2023-11-02,146.7000,147.0500,134.9000,135.3000,349210
2023-11-03,131.3500,132.9000,128.5500,128.5500,246106
2023-11-06,130.9500,134.9500,129.8500,134.9500,150569
2023-11-07,141.6500,141.6500,135.1500,141.6500,358427
2023-11-08,145.6500,148.7000,144.5000,148.7000,142215
2023-11-09,148.5500,149.0000,141.3000,141.7500,354562
2023-11-10,134.7000,141.7500,134.7000,134.9500,336918
2023-11-13,133.6000,137.0000,130.9000,134.9500,175985
2023-11-15,136.4000,140.9500,133.6000,138.2000,199856
2023-11-16,139.9500,140.4000,137.0000,137.6000,76429
2023-11-17,138.3500,140.0000,132.9500,134.1500,174251
2023-11-20,134.1500,136.0000,129.5500,131.7500,76616
2023-11-21,131.9500,138.0000,131.0000,134.9500,113675
2023-11-22,137.5000,141.0500,137.3000,138.9500,168614
2023-11-23,139.0000,139.8500,135.7500,137.2500,83650
2023-11-24,137.2500,137.7000,133.8500,134.6500,79484
2023-11-28,136.0000,138.0500,133.6000,136.5500,76194
2023-11-29,136.5000,137.9500,133.0000,133.4500,62469
2023-11-30,133.4500,136.5000,133.0000,134.2500,76844
2023-12-01,135.7500,135.9000,132.5000,132.8500,70504
2023-12-04,131.0000,132.9500,129.9500,130.7500,114277
2023-12-05,132.2500,135.0000,132.2500,133.4500,90457
2023-12-06,133.5000,134.0000,129.5000,130.1500,88720
2023-12-07,130.3500,131.2000,127.3000,128.5000,114915
2023-12-08,129.8500,131.3500,128.5000,128.8000,75345
2023-12-11,128.8000,129.8000,122.5000,124.4000,130086
2023-12-12,125.8000,130.6000,124.2000,130.6000,97859
2023-12-13,132.8000,137.1000,130.9500,137.1000,132338
2023-12-14,140.4000,141.2000,134.0000,135.2000,213487
2023-12-15,139.1500,140.0000,134.0000,134.8000,85776
2023-12-18,134.0000,134.0000,131.0000,132.0000,49232
2023-12-19,134.2000,134.2000,129.5000,130.2500,56173
2023-12-20,128.1500,131.7000,125.1000,126.1500,90682
2023-12-21,123.6500,129.9500,121.0000,127.5000,50676
2023-12-22,128.8500,132.7000,128.0000,130.4500,123866
2023-12-26,130.4500,132.6000,130.1500,131.1500,46897
2023-12-27,130.8000,132.7000,126.3500,129.1000,89897
2023-12-28,130.2500,135.5500,129.3000,135.5500,120726
2023-12-29,140.9000,142.3000,138.0000,142.3000,666111
2024-01-01,145.0000,145.1500,136.5000,137.8500,281192
2024-01-02,141.0000,144.7000,139.3000,144.7000,242933
2024-01-03,148.7500,151.9000,148.7000,151.9000,201379
2024-01-04,159.4500,159.4500,145.5500,147.3000,312468
2024-01-05,147.0000,151.9500,144.8000,147.5500,141540
2024-01-08,150.3000,152.2000,147.4000,148.3500,96734
2024-01-09,148.3500,151.6000,141.6000,143.6500,94378
2024-01-10,142.4000,143.8500,141.4000,142.7500,70285
2024-01-11,144.8000,144.9000,141.7500,142.4000,84764
2024-01-12,143.6000,145.0000,142.3500,143.0500,68078
2024-01-15,145.5000,150.2000,144.0000,150.2000,137869
2024-01-16,151.8500,154.9000,146.7500,148.8000,175993
2024-01-17,146.8000,148.9500,145.0000,146.3000,44710
2024-01-18,145.0000,146.6000,139.0000,143.9000,82655
2024-01-19,148.0000,148.0000,139.7500,140.9000,101676
2024-01-23,142.1500,143.7000,135.0500,135.1500,70604
2024-01-24,137.8000,141.9000,136.5000,141.9000,90537
2024-01-25,144.9000,145.0000,140.5000,142.7500,74512
2024-01-29,142.7500,143.0000,139.5000,140.0000,58282
2024-01-30,140.0500,141.9500,139.5500,140.5500,63264
