date,open,high,low,close,volume
2026-04-23,133.0000,141.0000,132.5500,139.4000,65117
2026-04-24,140.4000,140.4000,134.0000,135.2000,22094
2026-04-27,131.7500,138.0000,131.7500,136.2000,21767
2026-04-28,135.0000,137.9000,135.0000,136.1500,11835
2026-04-29,135.0000,139.6000,135.0000,137.3500,37132
2026-04-30,137.0000,137.0000,133.8000,135.4500,12761
2026-05-04,135.4500,141.7500,135.4500,139.6300,50890
2026-05-05,143.7400,143.7400,137.8900,140.9100,46784
2026-05-06,143.0000,143.0000,137.0000,139.7900,46063
2026-05-07,139.8000,146.3500,135.1000,142.7700,79325
2026-05-08,142.7700,144.3000,141.2600,142.9100,29544
2026-05-11,143.5000,144.4000,136.1900,137.9100,47413
2026-05-12,137.2300,142.0000,134.2200,135.9800,44714
2026-05-13,135.0000,139.6700,130.2000,132.1700,41063
2026-05-14,132.5000,134.7900,132.5000,133.5800,21604
2026-05-15,137.5800,137.5800,130.0000,130.9700,23640
2026-05-18,129.0000,130.1000,124.0700,126.0700,48975
2026-05-19,124.1500,129.4100,124.1500,127.0800,24509
2026-05-20,128.0000,128.2000,124.5000,127.0900,16244
2026-05-21,128.0100,130.0000,126.1600,127.3800,18222
2026-05-22,127.3800,129.5600,125.0400,127.3200,17151
2026-05-25,127.1600,130.0000,125.8700,127.9600,32433
2026-05-26,127.9600,136.9000,127.9600,135.1100,67279
2026-05-27,135.1100,137.0000,134.2100,135.4500,12019
2026-05-28,135.4500,135.4500,135.4500,135.4500,0
2026-05-29,134.2600,137.1700,130.5600,132.6300,27115
2026-06-01,136.9900,138.9000,132.3300,133.4500,14839
2026-06-02,134.2800,134.9500,130.1800,130.7800,22839
2026-06-03,130.8000,133.8400,130.6000,131.6000,11339
2026-06-04,130.6000,133.4000,128.1800,129.1100,41515
2026-06-05,129.0500,133.4000,125.2600,127.1300,31729
2026-06-08,127.9000,128.2800,124.1500,125.0500,23366
2026-06-09,127.4100,129.0000,124.5000,127.8600,27514
2026-06-10,128.5500,129.7800,126.0000,126.8500,19539
2026-06-11,127.0000,128.2100,125.0000,125.5000,11560
2026-06-12,126.9200,128.7700,125.7000,125.9900,31151
2026-06-15,128.7000,130.7900,126.6600,129.7400,67343
2026-06-16,131.0000,132.2000,128.2600,129.4100,18645
2026-06-17,130.0000,131.0000,128.0000,128.7200,40292
2026-06-18,131.0000,132.9800,128.4200,129.0000,70813
2026-06-19,129.0000,136.7800,127.2100,132.0900,170734
2026-06-22,133.0000,144.0000,132.2100,141.9900,187794
2026-06-23,143.0000,144.3500,136.8000,137.7000,105142
2026-06-24,138.3800,157.7700,136.0800,150.0300,1234836
2026-06-25,151.0800,154.7000,143.0000,143.5400,250879
2026-06-26,143.5400,143.5400,143.5400,143.5400,0
2026-06-29,143.9900,145.6900,143.0000,143.7100,52883
2026-06-30,144.9800,149.8400,140.2500,142.4500,88580
2026-07-01,142.0000,143.9900,140.1600,140.8800,53506
2026-07-02,143.8500,144.7000,138.5500,139.5600,58408
2026-07-03,140.8000,144.2000,139.0000,141.7800,83023
2026-07-06,141.9000,145.0000,140.5100,141.5100,42894
