date,open,high,low,close,volume
2023-09-18,132.8500,135.0000,131.0000,135.0000,1760
2023-09-20,135.2500,135.2500,128.2500,134.4000,6211
2023-09-21,133.9500,134.5000,128.6000,133.3500,1305
2023-09-22,131.9000,132.0000,130.0500,131.0000,6055
2023-09-25,134.0500,155.0000,134.0500,151.2500,97278
2023-09-26,150.1000,150.9000,138.1500,140.4500,27543
2023-09-27,139.9500,144.4500,137.1000,139.7000,8376
2023-09-28,140.0000,141.8000,135.0500,139.4000,3553
2023-09-29,139.4500,140.5000,135.8000,138.4500,5459
2023-10-03,139.0500,148.0000,134.5500,140.2000,11167
2023-10-04,142.3000,142.3000,133.8000,135.1500,9866
2023-10-05,137.3000,139.5000,135.5500,138.5500,3576
2023-10-06,137.6500,140.0000,134.0000,135.1000,2508
2023-10-09,138.1000,141.7000,132.7000,139.3500,10707
2023-10-10,142.6000,142.6000,132.3500,135.4000,6517
2023-10-11,134.4000,137.0500,132.7000,134.8000,46741
2023-10-12,134.3500,143.0000,130.8000,140.7500,49079
2023-10-13,140.6000,142.2500,136.0000,138.9500,10885
2023-10-16,139.2500,145.1000,137.6500,142.8500,15786
2023-10-17,144.1500,146.7000,138.1000,141.4000,26936
2023-10-18,141.2000,145.8500,138.9500,139.9000,15457
2023-10-19,142.2000,145.4000,137.2000,144.0500,9232
2023-10-20,139.6000,144.4000,121.0000,141.7000,33123
2023-10-23,145.1000,148.5500,137.6500,138.9000,11449
2023-10-25,141.4500,142.6500,136.9000,139.8000,1407
2023-10-26,143.0000,145.7000,133.1000,144.5000,15928
2023-10-27,149.2000,149.2000,140.8500,146.2500,8371
2023-10-30,144.5000,147.0500,140.5000,141.2000,24224
2023-10-31,143.2500,144.3500,139.1000,140.1000,1629
2023-11-01,140.2000,142.9500,139.0000,142.5500,1216
2023-11-02,143.1000,145.6500,139.0000,143.0500,4089
2023-11-03,141.8000,142.0000,138.2500,139.2000,1857
2023-11-06,143.1500,164.9500,137.5500,158.5000,92612
2023-11-07,175.0000,183.9500,161.3500,163.5500,613896
2023-11-08,164.0000,164.0000,147.0000,150.8500,58473
2023-11-09,153.9500,159.4000,150.2500,155.7500,17560
2023-11-10,155.7500,155.7500,144.9000,146.6500,25885
2023-11-13,150.0500,153.3000,140.0000,145.1000,40640
2023-11-15,145.1500,148.9000,140.0500,142.4000,19884
2023-11-16,142.7500,146.4000,139.4500,142.4000,11514
2023-11-17,144.5500,144.5500,135.8000,139.6500,49845
2023-11-20,147.9500,147.9500,137.6000,139.0000,7905
2023-11-21,141.7500,144.7500,138.0500,140.2500,5597
2023-11-22,139.0500,144.7500,139.0000,140.6500,11125
2023-11-23,139.5000,146.1500,139.0500,145.7000,12713
2023-11-24,148.5000,148.5000,140.3500,141.1000,3113
2023-11-28,142.9500,142.9500,138.5500,139.5500,5617
2023-11-29,144.0000,144.0000,137.8000,140.2000,7328
2023-11-30,141.1000,144.3500,138.9500,139.3000,6643
2023-12-01,136.5000,141.2000,136.5000,138.5500,10070
2023-12-04,142.1000,147.2000,138.0000,141.1000,25058
2023-12-05,143.1000,144.4000,138.0000,141.5000,8247
2023-12-06,140.6000,142.9500,138.0500,140.8000,19096
2023-12-07,141.8500,142.9500,138.8500,140.7500,2841
2023-12-08,140.2000,142.0500,137.5000,139.2500,7243
2023-12-11,139.3500,155.9500,139.3500,149.9000,76038
2023-12-12,154.6500,157.0000,146.7000,149.6000,27185
2023-12-13,153.8500,153.8500,148.2000,149.5500,6002
2023-12-14,150.7500,151.7000,142.6500,144.3000,16581
2023-12-15,141.1000,146.8000,141.0000,142.0500,12691
2023-12-18,146.9000,146.9000,141.0000,142.3000,3815
2023-12-19,138.6000,142.9500,138.6000,139.3000,13572
2023-12-20,141.9500,142.9000,135.7000,137.0500,4981
2023-12-21,140.4500,141.7500,136.0000,139.9500,6777
2023-12-22,142.5000,142.5000,138.1500,139.2500,3480
2023-12-26,139.2500,141.7000,138.1500,138.5000,4699
2023-12-27,143.0000,155.8000,137.5500,148.8500,111265
2023-12-28,148.6500,161.8000,148.6500,156.2000,185971
2023-12-29,156.9000,159.0500,142.0500,150.3000,34201
2024-01-01,148.0000,158.9000,140.1000,149.9000,19642
2024-01-02,150.2000,150.9000,145.9000,148.0500,11564
2024-01-03,153.0000,153.0000,143.7500,145.6500,15687
2024-01-04,149.9500,157.8000,143.6000,148.9000,39770
2024-01-05,148.0000,151.0000,145.0000,147.8500,7065
2024-01-08,150.0500,150.0500,146.2000,146.6000,4774
2024-01-09,146.6500,148.9000,143.2000,146.2500,6376
2024-01-10,149.2000,149.2000,143.2000,145.4000,12358
2024-01-11,147.8500,149.9500,142.0000,144.8500,12797
2024-01-12,146.4000,154.0000,145.4000,148.9000,14618
2024-01-15,154.0000,154.0000,145.0000,147.3500,9744
2024-01-16,147.4500,148.1500,143.5000,144.2500,4366
2024-01-17,144.2500,144.2500,139.8000,141.0500,11426
2024-01-18,143.4000,145.3000,140.5500,144.5500,5645
2024-01-19,146.0000,154.2500,143.9000,148.2500,28851
2024-01-23,153.0000,153.0000,140.0500,142.7000,25056
2024-01-24,148.9500,148.9500,141.0000,144.2500,7399
2024-01-25,144.3000,145.0000,141.0000,142.1500,3688
2024-01-29,144.5000,145.8000,141.5000,143.8000,4744
2024-01-30,144.0500,147.0000,138.5500,145.2500,24465
2024-01-31,147.0000,164.8000,142.2500,158.9000,255108
2024-02-01,159.0000,166.8000,153.6000,164.4500,186324
2024-02-02,166.0000,166.9000,155.1000,156.2000,77337
2024-02-05,160.8500,160.8500,151.0000,151.6000,19445
2024-02-06,153.8500,158.4000,147.0000,151.1000,35004
2024-02-07,153.8000,155.2000,147.0000,150.2000,28825
2024-02-08,153.2500,154.9500,146.8000,149.7000,14755
2024-02-09,136.3500,147.9000,136.3500,140.7500,71711
2024-02-12,145.4000,145.4000,136.0000,137.3500,30251
2024-02-13,138.9500,142.1500,132.5500,140.9500,24297
2024-02-14,138.0500,140.0000,135.8000,137.0000,6642
2024-02-15,140.0000,141.1000,138.3000,139.0000,2695
2024-02-16,140.0000,151.4500,139.1000,148.6500,48287
2024-02-19,147.1500,150.6500,141.2000,142.7500,16125
2024-02-20,140.6500,156.0000,140.6500,151.2000,69176
2024-02-21,154.0000,155.7000,146.2000,147.2500,20933
2024-02-22,149.3000,149.3000,141.0500,144.2500,15488
2024-02-23,144.6500,147.3000,142.5500,144.9000,7893
2024-02-26,146.3000,146.3000,140.0500,141.2000,8009
2024-02-27,138.7000,143.9000,138.7000,140.8000,5761
2024-02-28,143.9000,144.0000,136.1000,138.0500,4672
2024-02-29,140.6500,140.6500,134.2500,135.2000,16218
2024-03-01,136.6000,139.6500,134.1500,135.2000,14117
2024-03-04,138.4000,139.0500,132.1500,133.6500,13336
2024-03-05,135.0500,136.4500,132.0000,134.2000,6570
2024-03-06,135.5000,135.5000,128.0000,132.3000,10637
2024-03-07,134.2000,134.2000,130.1000,131.4500,5552
2024-03-11,132.4000,135.3000,125.1000,129.8000,28926
2024-03-12,127.0500,134.2000,123.0000,123.3000,24744
2024-03-13,127.5500,129.3000,109.0000,110.9500,16785
2024-03-14,112.4500,126.6500,105.4000,112.5000,43115
2024-03-15,113.0000,120.4500,112.0500,115.4000,10319
2024-03-18,119.0000,138.4500,114.2000,136.3000,70037
2024-03-19,139.0500,145.9500,129.0500,131.1000,86544
2024-03-20,131.7000,143.9500,130.0500,132.0500,103704
2024-03-21,133.0000,147.8000,131.8000,143.2500,104687
2024-03-22,139.1500,143.4000,134.1000,135.7000,32978
2024-03-26,140.4000,140.4000,131.1500,135.0000,25771
2024-03-27,136.4000,136.5000,127.2000,133.1000,25743
2024-03-28,136.8000,137.0000,130.3000,130.7500,13947
2024-04-01,130.7500,136.6000,130.7500,136.1500,7107
2024-04-02,134.8500,136.4500,132.4000,135.0000,2384
2024-04-03,137.0500,137.0500,132.2000,134.1500,11903
2024-04-04,134.8500,136.9000,133.5500,135.1500,14419
2024-04-05,136.3500,136.7000,133.6000,135.2000,8967
2024-04-08,137.5000,137.5000,132.7500,136.0500,12698
2024-04-09,136.4500,137.2500,133.6500,134.7000,7559
2024-04-10,134.7500,137.4000,134.0000,134.3000,7762
2024-04-12,133.7000,135.1500,133.3500,133.8500,1058
2024-04-15,125.0500,132.4500,125.0500,129.8000,4456
2024-04-16,133.0000,134.4500,130.2500,131.1000,3371
2024-04-18,131.3500,131.3500,123.3500,125.7500,12515
2024-04-19,127.5000,129.3000,124.1500,127.9000,3473
2024-04-22,131.0000,131.0000,127.3000,128.1500,4971
2024-04-23,127.5500,130.2500,127.1000,128.5500,3477
2024-04-24,124.4500,129.8500,124.4500,126.1000,7992
2024-04-25,127.7500,128.8000,122.6000,125.1000,9088
2024-04-26,128.1000,128.1000,124.8000,127.5000,5589
2024-04-29,129.0000,132.7000,125.3000,127.9000,14547
2024-04-30,129.6000,131.5000,123.9500,129.1500,11207
2024-05-02,131.8500,139.0000,129.3500,135.7500,15776
2024-05-03,135.7500,138.9500,131.1000,134.9000,6586
2024-05-06,134.9000,137.6000,127.0000,128.8500,3033
2024-05-07,129.4500,132.5000,126.3000,128.6500,3284
2024-05-08,129.8500,132.5000,129.5500,131.3000,2703
2024-05-09,128.2500,133.5000,124.7500,126.3500,11324
2024-05-10,125.7000,130.7500,124.7500,125.4000,17694
2024-05-13,126.7500,128.6000,124.2500,126.5500,1519
2024-05-14,128.0500,132.9000,128.0500,131.3500,11770
2024-05-15,131.3500,134.5500,127.6000,129.5500,4078
2024-05-16,130.9500,132.2000,125.0500,127.9000,7058
2024-05-17,129.7000,130.4500,126.7000,127.5000,3326
2024-05-21,128.9500,152.4000,128.3500,141.0500,374063
2024-05-22,141.0500,149.5000,133.3000,148.2500,83293
2024-05-23,150.4000,158.9000,143.8000,153.0000,119207
2024-05-24,150.0000,152.8000,144.5500,145.7000,35729
2024-05-27,151.6000,157.0000,143.3000,150.9500,51180
2024-05-28,149.4500,154.8000,144.2000,145.4500,35587
2024-05-29,146.6500,150.6000,144.0500,146.5500,16557
2024-05-30,164.4000,175.8500,145.0000,147.7000,1400048
2024-05-31,150.7000,169.6500,147.8000,163.7000,787413
2024-06-03,167.9500,172.4000,155.2500,159.5000,131083
2024-06-04,163.0000,163.0000,145.0000,148.5500,55517
2024-06-05,150.8000,165.2000,144.9000,156.2000,71272
2024-06-06,158.5500,166.8000,158.5000,161.8500,33424
2024-06-07,164.3000,164.9500,153.3500,156.9000,56853
2024-06-10,156.9000,177.0000,156.9000,173.8300,216730
2024-06-11,174.0000,183.5000,168.0000,176.8100,161310
2024-06-12,179.4500,182.0000,175.0000,176.4800,194290
2024-06-13,178.6500,178.7000,172.8500,174.7000,45497
2024-06-14,172.9500,178.7900,168.6500,171.5200,47791
2024-06-18,172.0500,178.0000,168.0300,174.6700,81995
2024-06-19,174.7000,176.4200,166.0000,168.6000,55747
2024-06-20,170.0000,175.0100,167.8000,170.2700,45439
2024-06-21,170.9000,173.6800,169.1500,170.3100,28186
2024-06-24,172.8500,172.8500,169.0100,171.2600,20663
2024-06-25,171.2600,174.7400,167.5000,169.7100,25605
2024-06-26,170.4500,173.9900,167.6500,168.7100,18491
2024-06-27,169.2000,172.4500,165.0000,167.1600,19006
2024-06-28,167.9000,173.7500,165.7400,167.3400,37733
2024-07-01,168.0000,170.4900,166.3500,168.8400,14048
2024-07-02,172.0000,173.0000,167.7600,171.1300,25875
2024-07-03,171.1500,173.8300,168.0000,168.2500,35127
2024-07-04,166.4500,184.0000,166.4500,175.4000,165971
2024-07-05,177.7000,178.5000,172.8200,175.5400,31650
2024-07-08,175.5400,179.9000,170.7000,172.1500,24780
2024-07-09,175.0000,175.1900,171.0000,172.3200,20870
2024-07-10,173.2000,175.0000,169.0000,172.1500,16788
2024-07-11,172.1500,183.2000,170.3500,173.4100,76019
2024-07-12,175.0000,184.7000,170.0000,171.2600,151302
2024-07-15,173.7500,176.0000,165.0000,168.1800,35933
2024-07-16,171.9000,171.9000,166.0200,167.3300,28578
2024-07-18,170.0000,172.0000,165.6000,166.3500,24830
2024-07-19,168.0000,168.0000,160.7700,162.5800,19628
2024-07-22,163.0000,165.3900,158.3100,159.5700,13710
2024-07-23,159.5700,160.9500,153.0000,154.1700,20541
2024-07-24,155.7000,169.9000,155.7000,168.6300,59500
2024-07-25,171.9000,171.9000,162.0000,162.9500,29580
2024-07-26,163.0000,165.2900,161.0000,164.0400,21301
2024-07-29,168.0000,168.0000,160.1000,162.1000,18753
2024-07-30,162.0100,166.0000,158.2100,159.6400,32276
2024-07-31,162.9900,162.9900,159.6400,161.6500,12660
2024-08-01,162.9500,163.1800,156.0100,156.9600,26363
2024-08-02,158.9900,158.9900,154.0300,158.5700,10455
2024-08-05,155.4000,155.4000,151.0000,151.4500,21965
2024-08-06,150.0000,155.0000,148.0100,149.1400,12627
2024-08-07,151.2500,154.3500,148.5100,152.6600,12319
2024-08-08,156.0000,183.1500,153.2900,171.8900,364033
2024-08-09,172.0000,175.9500,170.0000,173.2100,59445
2024-08-12,170.0000,172.7900,167.7100,168.2800,21553
2024-08-13,170.0000,176.6000,168.0000,169.0400,26839
2024-08-14,182.0000,182.0000,166.1000,170.1300,102701
2024-08-16,173.5200,184.6500,168.5000,181.9600,103807
2024-08-19,205.0000,218.3500,196.8600,208.3200,1521107
2024-08-20,204.0000,205.2900,193.3500,198.5300,131220
2024-08-21,199.9000,199.9000,189.0000,189.7100,50809
2024-08-22,189.7100,199.1900,180.2200,198.9700,31084
2024-08-23,195.0000,206.9000,192.3000,197.4100,20825
2024-08-26,191.0000,202.0000,187.5300,190.5200,19086
2024-08-27,190.4900,198.6000,182.5000,186.4400,11476
2024-08-28,182.7500,190.0000,180.8500,185.3000,7780
2024-08-29,180.9000,188.5000,180.9000,185.0400,12042
2024-08-30,183.9500,188.9900,180.2000,184.8100,6175
2024-09-02,184.8100,187.0000,177.5000,179.9600,7796
2024-09-03,179.0000,184.9500,176.0000,179.2800,7055
2024-09-04,182.0000,186.4000,177.0500,177.9100,3706
2024-09-05,181.4700,185.0000,169.0100,172.5700,29409
2024-09-06,171.9900,172.0000,165.2000,166.3400,15411
2024-09-09,169.8400,172.7000,160.3100,165.8400,11509
2024-09-10,168.8000,171.4000,165.0000,165.4900,7873
2024-09-11,169.7000,169.7000,165.4900,166.7500,4878
2024-09-12,169.9800,174.0000,161.0200,172.7400,6336
2024-09-13,172.7400,175.0000,167.0000,170.6900,5691
2024-09-16,175.9500,178.4000,168.0000,170.7700,8193
2024-09-17,173.0000,175.8900,168.0000,171.9400,11622
2024-09-18,175.9900,175.9900,167.0100,172.7000,7367
2024-09-19,173.8800,173.8800,165.0000,166.3600,11241
2024-09-20,171.4000,171.4500,164.5500,166.8300,6018
2024-09-23,170.9500,171.0000,165.0000,165.5400,9245
2024-09-24,169.9300,170.0000,161.0000,166.6500,6095
2024-09-25,166.6500,169.8000,160.5500,165.0900,5926
2024-09-26,167.9500,167.9500,157.2500,159.7700,11589
2024-09-27,159.7700,161.7900,156.4000,160.1200,7673
2024-09-30,163.9900,164.0000,156.1000,157.1900,7341
2024-10-01,159.0000,161.1900,154.8000,158.5700,8493
2024-10-03,155.2500,166.4000,155.2000,164.4600,6144
2024-10-04,171.9000,171.9000,158.0400,159.1200,4810
2024-10-07,162.0000,162.9000,151.1600,151.5800,10071
2024-10-08,154.6500,154.6500,148.5000,152.5000,6045
2024-10-09,152.5000,159.9900,152.0800,157.8100,5744
2024-10-10,156.1000,161.8000,156.1000,156.8000,2592
2024-10-11,161.0000,161.0000,156.0000,157.0200,2949
2024-10-14,159.0000,162.8000,157.1000,158.7300,7823
2024-10-15,159.6000,162.0000,156.1000,157.0800,1665
2024-10-16,159.0000,160.3000,154.6000,156.0000,4310
2024-10-17,159.9000,162.0000,153.0000,154.4900,6241
2024-10-18,158.8000,158.8000,151.2600,156.2800,2858
2024-10-21,154.7000,155.0000,150.0100,150.6900,4488
2024-10-22,150.0000,153.9000,144.0000,145.8100,3951
2024-10-23,149.3000,151.0000,144.0000,148.0900,3683
2024-10-24,153.9800,153.9800,144.7600,148.5400,1152
2024-10-25,150.5400,150.5400,141.1100,141.2400,6464
2024-10-28,143.2400,148.3000,143.0000,148.3000,2252
2024-10-29,151.2000,154.0000,145.2500,148.4100,2575
2024-10-30,151.4000,153.9900,145.2000,148.2300,2051
2024-10-31,149.9000,153.7500,145.0000,151.8500,8985
2024-11-01,154.9000,157.0000,151.2000,155.2100,3085
2024-11-04,154.9000,158.7500,150.1500,154.3200,5938
2024-11-05,156.9900,156.9900,150.0000,153.4000,6217
2024-11-06,155.9000,155.9000,150.0000,153.5700,9380
2024-11-07,157.3800,161.2400,150.3000,152.8700,9770
2024-11-08,156.8000,156.8000,150.5000,151.4300,4583
2024-11-11,154.9000,156.4000,150.0000,156.0800,11290
2024-11-12,157.9900,157.9900,151.3000,156.1700,9066
2024-11-13,149.1000,158.1700,149.1000,150.6400,7642
2024-11-14,143.2000,149.0000,143.1000,144.6800,9673
2024-11-18,147.4500,151.9100,142.0000,151.9100,7568
2024-11-19,159.4500,159.5000,156.0500,159.4800,15224
2024-11-21,165.5000,166.4000,159.0000,160.7900,21261
2024-11-22,164.0100,166.0000,159.0000,163.7300,16612
2024-11-25,172.0000,179.7000,161.0000,167.8700,249534
2024-11-26,167.8700,169.9900,160.0000,161.3700,24854
2024-11-27,163.7400,169.4100,160.0000,165.3200,28285
2024-11-28,164.9000,168.4000,158.1600,163.8100,29210
2024-11-29,166.0000,167.8800,160.0000,160.6400,14195
2024-12-02,164.9000,172.6000,161.5000,169.1900,27022
2024-12-03,171.4600,171.7400,163.1000,164.8400,20668
2024-12-04,168.0000,170.0000,161.0000,161.7600,26421
2024-12-05,163.4000,164.9900,160.0100,162.3500,10981
2024-12-06,164.0000,165.6500,161.1500,164.1300,13690
2024-12-09,166.5000,172.8100,165.6000,169.7200,53090
2024-12-10,172.7000,180.0000,167.0000,169.3900,58156
2024-12-11,177.0000,177.0000,161.5400,164.0700,57012
2024-12-12,164.0700,172.0000,164.0700,165.2900,25845
2024-12-13,163.8000,172.5000,163.1500,166.4800,18621
2024-12-16,168.0000,170.9000,163.3800,168.5100,18378
2024-12-17,171.9900,171.9900,164.0000,164.9100,20963
2024-12-18,167.6900,167.9600,160.1500,161.6600,16095
2024-12-19,164.0500,168.0000,160.0000,161.0800,24492
2024-12-20,163.9500,165.9500,156.4000,158.3600,13518
2024-12-23,160.9000,163.9800,152.9900,154.1800,28414
2024-12-24,154.0000,159.5000,151.1500,155.9200,9843
2024-12-26,158.5000,158.9000,146.2200,149.4000,20254
2024-12-27,151.4000,154.9500,148.2100,150.5900,15193
2024-12-30,154.0000,154.0000,147.4100,148.1700,15776
2024-12-31,148.1700,149.7900,148.1700,148.4500,9116
2025-01-01,150.0000,151.5000,147.3000,149.6500,11015
2025-01-02,150.0000,151.8300,145.9900,147.7900,12791
2025-01-03,148.2700,154.0000,148.0700,153.2300,12778
2025-01-06,155.9000,156.5300,145.3000,147.2500,16207
2025-01-07,147.2600,155.0000,147.2600,152.3800,14622
2025-01-08,152.0000,152.0000,145.0000,149.4700,9092
2025-01-09,148.4100,151.9900,147.0000,147.7100,6824
2025-01-10,150.9000,150.9000,145.0000,146.2700,6998
