date,open,high,low,close,volume
2023-09-18,120.9000,121.7000,118.2000,119.5500,81618
2023-09-20,118.0000,120.4000,115.8500,117.1000,64243
2023-09-21,116.9000,120.1500,115.3000,116.4000,37526
2023-09-22,116.5000,119.0000,115.2500,116.8000,33757
2023-09-25,118.5500,119.9000,116.5500,117.2500,35058
2023-09-26,118.7500,119.4500,116.9500,117.2000,36263
2023-09-27,117.4000,121.8000,117.3000,119.8500,46536
2023-09-28,121.0000,121.8000,117.6000,118.0500,36904
2023-09-29,120.3000,120.7000,117.7500,119.0500,31994
2023-10-03,120.7000,121.9500,116.6500,118.1000,31736
2023-10-04,116.7500,118.9000,114.5000,117.0000,39641
2023-10-05,117.5500,118.4000,116.1000,116.5000,25753
2023-10-06,117.2000,120.0000,117.2000,119.7500,32281
2023-10-09,118.5000,118.5000,115.6000,115.9500,24379
2023-10-10,116.1500,118.2000,116.1500,116.4000,15862
2023-10-11,118.0000,122.9500,117.7000,121.0000,78811
2023-10-12,121.9500,125.0000,119.0500,123.7000,70948
2023-10-13,123.6500,124.6000,120.0500,120.8000,58346
2023-10-16,120.0000,122.3500,118.9500,119.6500,35458
2023-10-17,120.3500,127.6000,120.3500,122.8000,96823
2023-10-18,124.3500,124.9000,120.0500,121.0500,41877
2023-10-19,119.5000,127.9000,119.5000,126.1000,173576
2023-10-20,125.8500,127.8000,122.3000,123.9000,81164
2023-10-23,123.0500,125.7500,117.8000,118.4500,103512
2023-10-25,118.9500,120.2500,111.9000,113.5000,82480
2023-10-26,114.0500,115.0000,110.5000,113.7500,61672
2023-10-27,115.0000,117.7500,114.5000,116.4500,32008
2023-10-30,115.5000,119.6000,108.0500,116.7500,235622
2023-10-31,115.5000,117.4500,113.2000,114.2500,63880
2023-11-01,114.7000,116.3500,113.0000,114.0500,74874
2023-11-02,117.9000,117.9000,115.1000,116.3000,35701
2023-11-03,116.0000,118.5000,116.0000,117.8000,32104
2023-11-06,117.8000,122.4000,117.8000,120.4000,38556
2023-11-07,120.4000,120.4000,118.5500,119.1000,18567
2023-11-08,119.9500,121.2500,115.5500,117.2000,29617
2023-11-09,118.0000,118.0000,112.2500,112.9500,104150
2023-11-10,114.6500,115.8000,114.0000,114.4500,36328
2023-11-13,117.4000,117.4000,114.8000,115.0500,41128
2023-11-15,116.8500,117.5000,114.4000,115.1000,90061
2023-11-16,116.0000,116.6500,114.5000,115.0000,32065
2023-11-17,115.0000,116.3000,114.6000,115.0500,28666
2023-11-20,117.0000,117.2500,115.1500,115.6000,25662
2023-11-21,117.8500,117.8500,115.3500,115.7500,23000
2023-11-22,115.7500,122.9500,115.7500,120.2500,124241
2023-11-23,121.7000,122.4500,120.0000,120.1000,63763
2023-11-24,120.4000,120.9500,116.6000,117.4500,34183
2023-11-28,117.8000,119.8500,117.2000,118.4000,40966
2023-11-29,118.4000,121.3000,118.1500,120.7500,36209
2023-11-30,122.4000,123.1500,119.0500,120.6000,52464
2023-12-01,120.7500,121.9500,119.1500,120.0000,33628
2023-12-04,122.0000,122.8000,119.5000,120.3000,36092
2023-12-05,121.0000,123.3500,119.3000,120.3000,50658
2023-12-06,122.5500,122.5500,119.2500,121.0000,46195
2023-12-07,121.2500,121.7000,119.1000,120.3000,31208
2023-12-08,121.4000,121.4000,117.7000,118.2500,58780
2023-12-11,118.3500,119.7000,116.1000,117.4500,40406
2023-12-12,118.1000,122.5000,118.1000,120.7000,90658
2023-12-13,120.7000,121.5000,116.9000,117.7500,73375
2023-12-14,120.2000,120.2000,116.9500,117.4500,40068
2023-12-15,117.4500,119.4000,116.1500,117.0000,51488
2023-12-18,117.0000,119.2000,117.0000,117.3500,17982
2023-12-19,119.0000,124.2000,117.0000,122.5500,126250
2023-12-20,123.0000,125.7000,118.1000,118.6000,169182
2023-12-21,115.2500,118.8000,114.5000,117.5500,47185
2023-12-22,118.5500,121.5000,118.5500,119.9000,40417
2023-12-26,120.0000,122.2500,118.5500,119.1500,16150
2023-12-27,120.9500,121.4000,118.7500,119.2500,31548
2023-12-28,119.5000,138.9000,118.8500,132.1500,2059055
2023-12-29,132.0000,135.9000,127.7000,131.1000,321605
2024-01-01,133.0500,133.0500,129.1000,131.1000,96487
2024-01-02,132.1500,132.9000,126.1000,130.6000,120929
2024-01-03,135.4000,139.8500,134.1000,136.0000,764486
2024-01-04,136.9000,138.4000,133.2500,134.5000,140545
2024-01-05,135.7500,139.0000,132.6000,137.0000,136185
2024-01-08,138.0000,138.0000,132.0000,133.5000,112123
2024-01-09,135.0000,136.9500,133.3000,134.8500,89283
2024-01-10,136.2000,136.2000,128.3000,130.8000,105900
