date,open,high,low,close,volume
2023-09-20,416.9500,416.9500,400.8000,402.5500,256707
2023-09-21,406.6000,407.7000,393.4000,394.1000,189381
2023-09-22,398.0000,398.0000,386.4000,387.6500,190511
2023-09-25,389.0000,396.3500,387.0000,392.3000,100318
2023-09-26,392.2500,394.2000,386.1000,389.3000,64163
2023-09-27,389.9500,392.7000,386.1500,387.9000,87987
2023-09-28,387.5000,391.6000,380.0500,381.2000,195843
2023-09-29,383.0000,388.6000,383.0000,387.7500,64835
2023-10-03,387.0000,392.0000,385.6000,388.1500,75916
2023-10-04,387.0500,389.4000,384.0000,384.8500,51587
2023-10-05,386.2000,387.9500,376.6000,377.5500,152214
2023-10-06,378.9000,379.1500,369.0000,369.7500,256172
2023-10-09,370.0000,373.5000,358.7000,359.7500,272770
2023-10-10,362.9500,363.2000,351.4500,352.2000,439274
2023-10-11,355.9500,357.9500,349.1500,350.0000,550508
2023-10-12,350.0000,355.3000,349.5000,354.5500,421326
2023-10-13,354.5000,379.9500,353.1000,371.4000,1301071
2023-10-16,378.0000,396.9000,376.1500,391.0000,1042058
2023-10-17,394.0500,398.0000,387.5000,389.5500,306624
2023-10-18,389.6500,392.5500,381.5000,382.9500,178245
2023-10-19,383.9000,383.9000,378.5500,380.8000,97208
2023-10-20,384.5500,389.8000,379.8000,381.2000,151766
2023-10-23,384.5000,384.7500,361.0000,368.9500,181849
2023-10-25,350.0000,379.4500,349.5000,368.5500,1216112
2023-10-26,363.9500,363.9500,353.4000,355.6500,350162
2023-10-27,357.0500,362.0500,352.9000,354.2000,246020
2023-10-30,358.7000,358.7000,349.7000,350.2000,173024
2023-10-31,355.9500,355.9500,348.0500,349.8500,130958
2023-11-01,351.2000,355.2500,350.0000,352.0500,224443
2023-11-02,355.5000,357.0000,349.3000,350.1500,364911
2023-11-03,353.1500,353.7500,350.2000,351.5500,103903
2023-11-06,354.0000,366.0000,353.6000,363.9000,190812
2023-11-07,366.0000,366.4500,361.3000,364.5500,94492
2023-11-08,366.0000,371.7500,364.4000,367.9500,114679
2023-11-09,369.5000,370.4000,364.2000,365.8000,65730
2023-11-10,365.4500,365.4500,358.0000,359.1000,115935
2023-11-13,362.6500,364.9000,359.0000,361.2000,73037
2023-11-15,364.8000,364.8500,360.0000,360.8000,123570
2023-11-16,361.0000,375.4500,360.6500,368.2500,257947
2023-11-17,370.0000,372.4000,365.5000,366.5000,104172
2023-11-20,366.4500,373.0000,364.6000,366.8000,102708
2023-11-21,368.7500,373.6000,366.9500,368.2500,99102
2023-11-22,370.0000,373.9000,364.3000,368.4000,88310
2023-11-23,372.0500,372.1000,359.9500,361.2000,157996
2023-11-24,361.2000,365.3000,359.0500,362.2000,127262
2023-11-28,362.9500,364.0000,358.0000,359.3500,101487
2023-11-29,360.8000,360.8000,357.1000,359.3500,109093
2023-11-30,360.0000,361.8000,356.0000,358.4000,247607
2023-12-01,360.0000,363.9500,358.5000,361.7500,117373
2023-12-04,365.0000,371.4500,363.0500,365.3000,278400
2023-12-05,366.0000,370.9500,360.4000,362.2000,242326
2023-12-06,362.5500,364.4000,358.3000,359.9500,272059
2023-12-07,361.5000,362.4000,358.3000,359.9000,229799
2023-12-08,360.0000,383.4000,360.0000,381.3500,2888155
2023-12-11,386.0000,386.4500,374.7500,377.4500,553086
2023-12-12,379.9000,397.7000,376.4000,389.6000,1728149
2023-12-13,391.9500,394.3500,386.0000,386.9500,410689
2023-12-14,389.7500,399.8000,388.0000,397.7500,1050565
2023-12-15,399.9500,404.0000,395.2500,397.1500,831038
2023-12-18,396.1500,404.9000,391.9000,402.4000,598091
2023-12-19,403.0000,404.9500,397.0000,398.0000,431924
2023-12-20,399.4000,402.0500,381.1000,382.9500,394877
2023-12-21,382.6500,392.0000,381.1000,385.0000,344904
2023-12-22,390.9500,394.5500,386.0000,389.0500,356194
2023-12-26,395.0000,395.0000,384.0000,384.8500,211508
2023-12-27,386.0000,389.4500,381.9500,382.8500,166711
2023-12-28,384.8000,386.2000,380.9500,382.6500,268936
2023-12-29,384.9500,389.4000,381.5000,387.8500,453564
2024-01-01,388.8000,396.0000,387.1000,391.4000,210516
2024-01-02,394.9000,439.0000,392.3500,433.4500,3682287
2024-01-03,433.5000,448.2000,433.4500,444.6500,1599978
2024-01-04,443.9500,447.8000,433.4000,435.8000,647802
2024-01-05,439.0000,452.6000,428.3000,447.9000,933456
2024-01-08,455.9500,457.7500,443.2000,447.1500,871153
2024-01-09,449.8500,454.2500,445.0000,447.6000,241373
2024-01-10,448.1000,460.0000,442.8000,448.5500,416012
2024-01-11,453.5000,454.8000,443.1500,446.7000,199068
2024-01-12,446.7000,450.0000,435.0000,437.9500,176505
2024-01-15,438.9500,450.9000,433.0000,445.9000,297683
2024-01-16,446.0000,447.9000,429.1000,437.2000,238362
2024-01-17,435.0000,439.9000,428.2500,437.5500,271202
2024-01-18,439.0000,442.5000,424.0000,438.5000,268201
2024-01-19,440.6000,450.5000,432.9000,434.1000,205413
2024-01-23,429.1500,441.8000,410.2000,416.7000,306310
2024-01-24,417.9000,432.9500,411.1500,431.7000,192218
2024-01-25,431.7000,439.7000,428.4500,433.2000,170799
2024-01-29,435.0000,448.5000,430.0000,437.5500,301376
2024-01-30,420.0000,428.8000,405.8500,416.7500,1134067
2024-01-31,417.0000,423.1500,411.1000,413.4000,233888
2024-02-01,415.0000,421.0000,411.7000,412.8500,225182
2024-02-02,414.9000,419.5000,402.3500,403.8500,266084
2024-02-05,403.8500,411.8500,395.0000,399.8000,445854
2024-02-06,399.8000,411.2000,398.5000,406.1000,265351
2024-02-07,407.0500,412.1000,400.6500,403.2000,176663
2024-02-08,403.2000,404.9500,395.0500,395.9500,159801
2024-02-09,397.9500,397.9500,384.0500,387.1500,231052
2024-02-12,387.1500,389.6000,374.0500,376.3000,176130
2024-02-13,374.0000,381.4500,366.5500,379.6000,146457
2024-02-14,375.0000,381.7000,370.6000,375.2500,164021
2024-02-15,377.1500,395.0000,377.1500,393.6000,184805
2024-02-16,393.6500,396.0500,384.5000,388.1000,122602
2024-02-19,388.0500,393.5500,383.0000,389.9500,98053
2024-02-20,390.9500,409.4000,388.5000,401.6500,298500
2024-02-21,401.9500,403.8000,393.4000,395.5500,81977
2024-02-22,392.0000,396.1000,387.8000,389.9500,132138
2024-02-23,389.1000,398.6000,388.8000,391.9000,98028
2024-02-26,397.9500,412.5000,396.4000,404.8500,472270
2024-02-27,408.0000,447.9000,408.0000,444.7000,2725930
2024-02-28,443.9500,444.7000,420.0000,426.5000,714347
2024-02-29,424.0000,428.4000,417.5000,424.6500,232801
2024-03-01,428.0000,439.7000,422.8000,436.9000,333497
2024-03-04,443.9500,443.9500,427.2000,429.1000,214769
2024-03-05,430.3500,432.4500,425.7500,427.8500,126025
2024-03-06,427.0000,427.0000,408.3500,418.5000,185017
2024-03-07,420.9500,432.7500,417.2500,429.6000,284271
2024-03-11,429.9500,429.9500,416.2000,420.2000,113958
2024-03-12,422.3500,428.1500,405.0000,408.1000,158640
2024-03-13,405.1500,415.7500,390.8500,394.5500,266684
2024-03-14,394.5500,413.9500,392.2500,404.9500,133850
2024-03-15,405.2500,421.7000,403.2500,418.6000,286837
2024-03-18,418.7000,426.0000,415.0000,418.6500,128699
2024-03-19,415.2000,420.7000,410.1000,415.4500,84950
2024-03-20,416.5000,419.5000,406.0500,408.8000,129596
2024-03-21,410.9000,418.9500,408.0500,410.3000,104893
2024-03-22,412.4000,412.8000,405.5000,407.2000,111910
2024-03-26,407.2000,413.7500,403.5000,409.6500,98302
2024-03-27,407.1000,412.4000,399.6500,401.8500,162270
2024-03-28,401.1000,413.7000,401.1000,408.8500,103178
2024-04-01,410.9500,429.9000,410.0000,426.3000,170647
2024-04-02,426.3000,431.8000,424.0000,428.4500,115992
2024-04-03,426.5500,439.8000,426.5500,434.3500,166161
2024-04-04,439.0000,440.2500,419.3000,433.3000,162875
2024-04-05,432.6000,439.0000,431.1000,437.4000,96383
2024-04-08,443.9500,476.0500,436.1500,470.1000,1350938
2024-04-09,475.0500,493.0000,470.1000,472.2500,1302605
2024-04-10,473.8000,475.0000,465.0000,466.7000,174952
2024-04-12,469.4000,475.5000,459.0000,464.5000,212832
2024-04-15,450.0000,457.2000,438.8000,449.0000,338448
2024-04-16,441.0000,462.7000,441.0000,449.5000,182080
2024-04-18,452.0000,459.9000,444.0000,447.5000,159924
2024-04-19,445.0000,457.0000,438.0000,454.6500,131108
2024-04-22,456.9500,458.6000,441.0000,443.2500,159332
2024-04-23,440.0000,456.7000,434.0000,450.7500,769233
2024-04-24,451.0000,473.4500,448.0000,466.5000,1001857
2024-04-25,468.3500,476.2000,462.9000,472.1500,261512
2024-04-26,473.0000,483.2000,470.2000,471.8000,226453
2024-04-29,473.0500,482.0000,472.1500,475.9500,198327
2024-04-30,475.9500,478.8000,467.1500,471.3000,138611
2024-05-02,471.2500,476.3000,463.1000,464.9500,116231
2024-05-03,465.9500,468.6500,455.0000,463.3500,108547
2024-05-06,464.9500,466.8000,452.2000,460.5000,151934
2024-05-07,455.0000,460.2500,437.5000,444.2000,222913
2024-05-08,444.0500,446.0000,437.2000,439.0000,128811
2024-05-09,439.0000,440.0000,428.0000,430.2500,194960
2024-05-10,430.0000,435.8000,420.9500,433.6000,108254
2024-05-13,432.0000,435.4500,422.8000,430.0000,159471
2024-05-14,428.1000,443.0000,428.1000,441.1500,122239
2024-05-15,440.0000,442.0500,433.0500,436.0500,94824
2024-05-16,433.3000,437.2000,428.0000,430.2000,99435
2024-05-17,435.8000,446.7000,428.5500,440.4000,157426
2024-05-21,448.3000,457.8500,438.5000,453.3500,183993
2024-05-22,458.0000,458.0000,445.0000,447.0500,70682
2024-05-23,447.0500,450.3000,439.0000,440.3000,110453
