date,open,high,low,close,volume
2024-09-30,145.0000,152.2500,144.0000,152.2500,4013497
2024-10-01,149.8000,157.5000,145.5000,148.4800,2336173
2024-10-03,141.0500,147.5000,141.0500,141.8000,878985
2024-10-04,140.0000,143.0000,136.0000,138.1300,528570
2024-10-07,138.2500,139.7900,131.2200,131.6800,362914
2024-10-08,128.2000,137.8000,128.0000,136.2800,177971
2024-10-09,137.5000,137.5000,134.4500,135.1600,126225
2024-10-10,135.9900,136.6000,133.0000,134.9900,162494
2024-10-11,134.9900,141.7300,133.9000,141.7300,199935
2024-10-14,145.5000,148.8000,143.0000,147.7400,345829
2024-10-15,150.0000,153.2000,147.0200,150.1700,858429
2024-10-16,150.2000,152.9000,146.3400,148.2100,421979
2024-10-17,148.0000,171.8000,146.8000,167.3900,4874804
2024-10-18,163.9200,169.5000,162.0000,165.0200,1185546
2024-10-21,163.0000,164.7500,155.0100,157.2000,763717
2024-10-22,157.2000,158.9800,145.1000,146.0400,509508
2024-10-23,146.1900,168.4000,146.1900,160.5600,1582775
2024-10-24,162.1700,167.8000,148.5000,150.0500,1094515
2024-10-25,151.4000,154.4100,140.1400,142.0500,775300
2024-10-28,143.5000,145.0900,133.2500,141.5300,860739
2024-10-29,143.0000,143.7800,138.5600,139.0700,373827
2024-10-30,139.0700,141.7100,138.3700,138.7900,322722
2024-10-31,138.0000,141.0000,138.0000,139.3100,207939
2024-11-01,140.0000,142.0000,139.7000,141.3500,97708
2024-11-04,141.9000,141.9000,138.2700,140.5500,224235
2024-11-05,141.0000,144.9000,140.0000,142.7700,245626
2024-11-06,143.0000,148.9900,142.4200,147.6400,304525
2024-11-07,149.0000,160.9900,149.0000,155.1400,995067
2024-11-08,158.4700,165.0000,156.2000,157.6800,1015652
2024-11-11,157.0000,159.4900,151.6600,154.2600,352761
2024-11-12,154.2600,154.6900,147.5000,148.4100,175406
2024-11-13,148.4100,154.2900,142.0000,143.0400,355952
2024-11-14,145.2000,148.2700,143.0000,143.8600,164937
2024-11-18,145.0000,147.6900,141.3100,146.6000,213374
2024-11-19,148.0000,155.0000,147.1100,149.2700,359664
2024-11-21,149.0000,152.3600,144.5000,144.9800,289615
2024-11-22,145.2000,149.5000,144.0000,145.9100,158201
2024-11-25,149.9900,150.5000,144.0000,144.6100,252098
2024-11-26,145.5000,152.7800,144.9000,145.9000,436902
2024-11-27,146.7500,150.0000,143.3500,146.1100,316578
2024-11-28,147.1900,155.9000,146.6000,148.9200,847635
2024-11-29,153.0000,157.9000,147.5000,149.5600,761600
2024-12-02,150.3900,152.9000,147.4500,148.9600,305615
2024-12-03,149.9500,174.3700,149.4200,164.7200,4561904
2024-12-04,166.7000,172.4900,162.0000,163.5100,1188780
2024-12-05,164.2500,195.0000,163.2100,189.9800,7744018
2024-12-06,197.0000,199.8000,181.0100,182.7000,4120314
2024-12-09,181.6000,187.0000,176.0500,182.4200,1057837
2024-12-10,183.3000,186.1000,180.0000,182.8300,437589
2024-12-11,182.9000,192.0000,180.1500,181.4200,953636
2024-12-12,181.7900,182.9800,171.0500,173.8600,543061
