date,open,high,low,close,volume
2023-09-26,380.3100,396.9800,375.9700,396.9800,123340
2023-09-27,413.5500,416.8200,404.0300,416.8200,73535
2023-09-28,419.6000,434.9600,411.0100,418.6000,102720
2023-09-29,418.6000,421.8000,410.0000,416.6600,25560
2023-10-03,406.4000,431.3400,406.4000,426.0000,48805
2023-10-04,427.7900,443.8000,422.2200,438.8600,96005
2023-10-05,442.8000,445.8000,420.2200,428.8600,26855
2023-10-06,431.6100,450.3000,429.6100,450.2500,137585
2023-10-09,450.0000,469.0000,435.6000,464.4000,98445
2023-10-10,467.8000,473.8000,463.0100,469.9800,92560
2023-10-11,476.9900,476.9900,457.1600,461.2800,36265
2023-10-12,467.9100,467.9100,451.8100,454.5600,13970
2023-10-13,459.8000,459.8000,435.6600,446.4600,35335
2023-10-16,449.8000,449.8000,438.4000,447.6400,22795
2023-10-17,451.8000,460.2000,442.1800,452.6200,39320
2023-10-18,452.0000,458.4000,446.5600,451.1400,53330
2023-10-19,450.1900,458.0000,441.0100,450.6600,34320
2023-10-20,452.8000,452.8000,444.0000,444.2000,31260
2023-10-23,461.9900,461.9900,432.0000,434.3000,33335
2023-10-25,439.8000,441.6000,412.5900,414.3900,42255
2023-10-26,419.8000,427.8000,393.6700,423.7300,42515
2023-10-27,423.0200,431.9800,413.1100,422.9800,22050
2023-10-30,431.4300,431.4400,412.0000,426.7100,18280
2023-10-31,432.8000,432.8000,420.4200,430.6400,15820
2023-11-01,430.5100,442.4100,429.2700,440.4000,40020
2023-11-02,442.8000,447.0000,430.4900,442.2900,247635
2023-11-03,442.7200,452.0100,433.3700,441.3500,65440
2023-11-06,435.0000,442.1700,425.0300,429.3700,24050
2023-11-07,431.1100,434.3800,426.0700,430.5800,16955
2023-11-08,422.4000,440.0000,420.0000,438.1200,35660
2023-11-09,439.8000,441.8000,423.4700,432.6800,16560
2023-11-10,412.2000,425.5900,411.0500,415.2600,52655
2023-11-13,431.6000,431.6000,422.8700,428.4500,23210
2023-11-15,428.0200,431.8000,425.0400,429.6300,18335
2023-11-16,432.0000,432.0000,418.0000,420.8300,54420
2023-11-17,425.8000,434.1300,416.0000,419.0300,34700
2023-11-20,423.8000,423.8000,410.0000,417.1000,32250
2023-11-21,422.6000,435.8000,416.5000,430.7800,68940
2023-11-22,433.8000,437.8000,418.0000,421.6200,42715
2023-11-23,422.5700,423.8000,409.6300,413.3500,48365
2023-11-24,412.2000,418.0600,407.1100,415.8100,33360
2023-11-28,418.2000,419.8000,399.3200,400.3300,58610
2023-11-29,396.0100,407.4800,396.0100,399.6300,34540
2023-11-30,396.2200,413.8000,394.0200,411.1600,38710
2023-12-01,413.6000,420.0000,400.2000,407.7100,24960
2023-12-04,414.8000,414.8000,398.2000,407.7700,59250
2023-12-05,407.7700,410.8000,394.0000,402.5800,34205
2023-12-06,402.9700,406.0000,384.8000,393.8800,100795
2023-12-07,399.7900,402.5900,388.9500,390.1900,33250
2023-12-08,392.7300,398.0000,385.3100,393.9100,18550
2023-12-11,399.8000,399.8000,388.3700,390.8300,29245
2023-12-12,366.2000,389.3900,366.2000,381.2900,69840
2023-12-13,385.0000,385.0000,376.0000,379.4200,28430
2023-12-14,385.1100,389.8000,378.0000,379.6500,24795
2023-12-15,381.8000,386.4900,372.0100,380.4900,36255
2023-12-18,378.0000,385.9900,376.5200,381.9800,30590
2023-12-19,386.6400,386.6400,377.7500,381.7700,24805
2023-12-20,383.6500,388.1200,368.0200,372.7100,31320
2023-12-21,374.0000,379.9600,370.2200,374.8500,11115
2023-12-22,370.6100,378.9900,368.1600,369.9800,24445
2023-12-26,370.0000,386.9200,370.0000,379.9300,44685
2023-12-27,386.9200,386.9200,370.0300,374.9000,85045
2023-12-28,378.9400,379.5800,372.0000,375.5700,17350
2023-12-29,410.0000,410.0000,376.2000,379.5100,301385
2024-01-01,393.3900,409.0000,387.8800,400.4300,398720
2024-01-02,409.0000,413.2800,398.0200,410.7500,172310
2024-01-03,413.2000,418.7900,406.2000,410.6900,100990
2024-01-04,412.0000,439.6000,411.2100,431.5100,208065
2024-01-05,434.8000,439.3900,426.0000,427.7800,97030
2024-01-08,433.0000,437.6000,420.6000,425.9800,52455
2024-01-09,434.0000,439.8000,426.3200,429.2800,53480
2024-01-10,432.0000,432.0000,423.0700,424.7200,45890
2024-01-11,432.0000,440.0000,423.4000,431.8100,109655
2024-01-12,435.8000,438.7900,428.4100,433.4500,77110
2024-01-15,433.4500,433.4500,433.4500,433.4500,0
2024-01-16,413.7600,413.8000,390.2000,398.8100,117070
2024-01-17,398.8100,403.1900,386.4100,394.3000,76365
2024-01-18,392.0000,401.9900,388.0000,390.4800,67005
2024-01-19,396.3400,400.0100,388.2400,394.2100,42905
2024-01-23,399.7900,399.7900,389.0000,390.1600,33380
2024-01-24,399.7900,399.7900,387.3200,389.7400,26010
2024-01-25,390.2000,396.7800,388.2000,390.7900,32665
2024-01-29,391.0000,392.3900,381.8000,383.0900,111060
2024-01-30,385.7800,391.8000,378.0000,379.3600,56380
2024-01-31,386.8000,386.8000,372.8000,374.3500,91300
2024-02-01,374.4200,405.0000,374.4200,396.2800,311070
2024-02-02,396.4000,399.7800,388.9900,390.8800,61970
2024-02-05,397.4000,397.4000,380.0300,381.7500,44180
2024-02-06,382.1700,386.0000,378.0000,379.2300,40580
2024-02-07,389.8000,389.8000,380.0200,382.5900,63780
2024-02-08,387.8000,389.7600,381.9800,383.2800,42405
2024-02-09,383.8000,388.4000,373.5700,376.1200,66605
2024-02-12,368.6300,375.1900,361.2000,364.2900,73320
2024-02-13,368.0000,376.9200,351.2000,358.2900,50945
2024-02-14,356.0000,377.4000,351.6700,372.4900,33015
2024-02-15,376.4000,383.3800,370.2000,374.4700,26760
2024-02-16,383.0000,407.8000,383.0000,403.5300,252870
2024-02-19,412.0000,417.7700,408.0100,413.8300,133700
2024-02-20,414.0000,416.0000,395.8900,398.6800,104530
2024-02-21,400.6800,408.7900,394.8100,396.4000,76615
2024-02-22,396.1100,406.0000,396.1100,401.9300,54690
2024-02-23,403.9400,407.2000,400.3200,404.8400,55125
2024-02-26,406.0000,413.5900,403.0000,408.1200,81845
2024-02-27,410.2100,413.1400,406.3100,409.3600,57800
2024-02-28,410.1900,414.8000,397.0600,402.3300,87185
2024-02-29,402.3300,406.1000,393.0500,395.0400,66790
2024-03-01,405.8900,414.0000,398.3200,412.5300,77800
2024-03-04,419.8000,419.8000,408.4000,415.4800,64925
2024-03-05,415.4600,416.4100,403.0000,407.9800,123030
