date,open,high,low,close,volume
2026-03-13,137.0000,152.0000,137.0000,138.5400,907069
2026-03-16,138.8000,141.8900,132.2500,133.2400,491325
2026-03-17,133.9000,139.5900,131.5100,133.1500,650866
2026-03-18,132.9100,142.5000,132.7600,137.9500,501163
2026-03-19,136.9000,139.9900,131.2500,133.2000,362360
2026-03-20,134.2500,138.9900,132.5000,133.9700,479939
2026-03-23,133.9700,134.8500,124.0200,125.8700,413760
2026-03-24,129.5000,138.2500,128.7600,131.9900,931519
2026-03-25,132.0000,144.1200,131.5200,136.3100,1431837
2026-03-27,138.3400,138.7900,130.5000,132.1200,819301
2026-03-30,133.6500,134.8500,120.0000,122.9700,1170283
2026-04-01,124.9900,137.8900,124.1500,133.8200,917242
2026-04-02,132.9000,138.3400,131.5100,135.8700,652660
2026-04-06,136.4500,144.4600,135.5300,140.3200,2089622
2026-04-07,139.9900,141.9500,134.0100,136.3400,2174023
2026-04-08,138.0500,144.3500,138.0000,139.6300,1987753
2026-04-09,139.4800,143.7000,136.2500,137.2400,1076971
2026-04-10,139.4500,141.7500,135.5000,136.9900,2665904
2026-04-13,136.0000,154.0000,135.5000,150.9900,1728231
2026-04-15,152.0000,161.9900,152.0000,157.1000,1479421
2026-04-16,159.5000,162.6800,155.3200,159.0500,1299910
2026-04-17,159.9900,168.9000,159.5000,167.2100,2695112
2026-04-20,173.0000,173.0000,162.5000,164.1000,2041915
2026-04-21,164.7000,166.9000,160.5700,161.2500,1352797
2026-04-22,161.2500,170.6600,161.0000,165.4000,1408413
2026-04-23,165.8900,171.0000,165.4700,168.5900,2743464
2026-04-24,169.8900,172.0100,160.1000,161.0400,340347
2026-04-27,162.0000,166.0000,161.3000,162.7500,2390259
2026-04-28,162.7000,164.4800,155.5100,156.9100,1240892
2026-04-29,158.4000,164.9000,157.6000,163.5300,1874550
2026-04-30,163.9900,164.7600,152.5000,154.2000,881467
2026-05-01,154.2000,154.2000,154.2000,154.2000,0
2026-05-04,156.8000,165.0900,155.3000,160.7200,2333441
2026-05-05,160.8000,165.8600,156.3000,157.2200,2679070
2026-05-06,157.9900,161.8000,152.6600,154.8900,3270856
2026-05-07,155.0000,175.4000,154.5000,170.7600,5379178
2026-05-08,171.4000,175.0000,160.0000,160.5900,3370643
2026-05-11,160.6100,161.8500,151.4900,152.2300,555883
2026-05-12,152.5000,155.4000,143.6600,144.7400,1597616
2026-05-13,144.9000,149.5000,143.3500,144.8600,2515596
2026-05-14,146.0000,149.0000,141.5500,142.8600,1980099
2026-05-15,142.6700,147.8800,139.2200,143.0800,943848
2026-05-18,142.4500,144.7000,140.1500,140.5100,2021309
2026-05-19,140.9500,147.7100,140.9500,145.8000,4702918
2026-05-20,145.4100,153.6300,143.2500,150.8000,1088566
2026-05-21,151.8000,155.9000,151.2500,151.8100,1308820
2026-05-22,152.9900,157.0000,148.1100,151.6000,2712145
2026-05-25,157.5200,157.9900,151.0000,151.5700,1146724
2026-05-26,152.3800,152.6000,148.3000,149.3200,537793
2026-05-27,149.9000,155.2000,149.0000,150.2800,1647954
2026-05-28,150.2800,150.2800,150.2800,150.2800,0
2026-05-29,150.5000,152.9800,141.9200,143.0300,1062677
2026-06-01,145.0000,146.8000,133.0000,134.1400,2847923
2026-06-02,134.1100,144.7300,132.0900,141.6100,1824653
2026-06-03,141.4200,142.6300,130.1100,131.2500,1489056
2026-06-04,131.5000,140.7000,129.5000,131.5300,3238846
2026-06-05,131.5300,137.3000,128.4400,128.9200,3205083
2026-06-08,127.9000,129.4900,118.8000,120.4000,2320675
2026-06-09,121.7000,136.9400,121.4000,123.1600,8894268
2026-06-10,124.1500,125.4000,118.6000,119.9100,2302402
2026-06-11,119.9100,122.3000,109.2500,111.0900,3245791
2026-06-12,113.5000,123.8900,113.5000,117.4600,6018544
2026-06-15,119.9300,121.0000,110.4000,112.3600,1941096
2026-06-16,111.8800,115.9000,110.0000,114.6000,1884172
2026-06-17,114.9900,119.4000,114.9900,117.6500,1329786
2026-06-18,117.8800,119.0000,116.3300,117.4800,769610
2026-06-19,116.6500,118.6400,116.4100,116.9900,847213
2026-06-22,117.3200,123.0000,117.3200,120.8300,1415810
2026-06-23,121.0000,122.4800,118.0000,119.0700,700009
2026-06-24,118.7000,121.5500,115.8500,117.1400,833142
2026-06-25,117.4000,117.9000,110.5500,112.4400,991637
2026-06-26,112.4400,112.4400,112.4400,112.4400,0
2026-06-29,112.0000,114.6400,110.7000,111.7000,809608
2026-06-30,112.2000,119.7700,112.1000,113.2800,1365516
2026-07-01,113.3100,116.0000,113.3000,114.4500,825760
2026-07-02,114.9900,116.9800,113.8000,114.2600,597992
2026-07-03,114.9900,115.8000,112.6400,113.6200,673928
2026-07-06,113.8600,116.5000,112.3000,112.9500,539451
2026-07-07,113.4800,114.6200,111.7500,112.7000,581491
2026-07-08,112.2500,113.4000,104.1600,105.6400,872300
2026-07-09,107.7000,118.8000,107.7000,116.8000,3999130
2026-07-10,117.4000,125.8100,116.8300,118.8600,2675920
2026-07-13,118.4800,123.7600,117.6000,119.5100,1099798
2026-07-14,119.3900,119.8400,111.9900,113.1900,937208
2026-07-15,114.7000,118.1800,112.5000,113.0400,751744
2026-07-16,114.5000,114.6000,110.9500,111.3900,601964
2026-07-17,112.2200,113.8500,110.8200,112.7800,658241
2026-07-20,113.0000,115.2500,112.5000,113.0700,599774
2026-07-21,113.1000,119.9900,112.9300,117.2000,2456411
2026-07-22,117.9900,119.4900,113.5000,114.4900,2034039
2026-07-23,115.5800,119.9800,112.1100,113.2700,2639598
2026-07-24,113.0200,114.1800,109.1100,109.9200,2244547
2026-07-27,111.7500,113.9900,110.5000,111.8600,1816057
2026-07-28,112.0000,113.5400,108.6600,109.4800,2817779
2026-07-29,110.7000,114.0000,109.4400,109.7300,1522590
2026-07-30,110.0100,111.2000,108.3600,109.4000,2181482
2026-07-31,110.0000,111.8400,109.5500,110.0400,688691
2026-08-03,111.1500,113.4900,109.3500,110.4500,2317039
2026-08-04,110.4500,111.0000,107.5000,108.1500,1923406
2026-08-05,108.9500,113.4900,107.2500,107.9000,1530835
2026-08-06,108.1500,110.1500,106.9000,107.8200,1761268
2026-08-07,107.7600,108.6800,101.1500,103.9700,2174787
2026-08-10,103.6500,109.8000,102.5600,103.4500,1553131
2026-08-11,103.9000,105.4400,101.4800,102.1900,1001958
2026-08-12,102.8900,104.7600,100.2500,103.1600,1976838
