date,open,high,low,close,volume
2023-09-25,584.3500,591.2500,581.0000,588.6500,6198
2023-09-26,586.2500,600.3000,586.2500,597.7500,5329
2023-09-27,597.7500,599.7500,586.3000,589.8500,8143
2023-09-28,592.8000,592.8000,580.0000,582.1000,7456
2023-09-29,583.2500,596.3500,582.1000,593.1000,5491
2023-10-03,585.4500,592.4500,577.1000,579.7500,6351
2023-10-04,581.6500,596.3500,579.7500,584.6500,9941
2023-10-05,594.7500,609.4000,589.1500,606.1500,13966
2023-10-06,609.2000,610.8000,601.1500,605.7500,8416
2023-10-09,601.1500,605.4500,591.6000,595.6500,5668
2023-10-10,594.0500,594.7500,580.9500,583.2000,13747
2023-10-11,583.2000,594.8000,583.2000,586.2000,5208
2023-10-12,589.1500,591.6000,582.5000,584.0000,4829
2023-10-13,586.9500,589.3500,584.1500,587.6500,3290
2023-10-16,589.0000,600.0000,581.5500,583.7500,16654
2023-10-17,586.6000,586.7000,574.8000,579.2000,19416
2023-10-18,581.0000,581.0000,574.0000,579.5500,13767
2023-10-19,584.3500,586.7000,566.2000,578.6000,40370
2023-10-20,581.3500,581.3500,573.5000,577.1000,5197
2023-10-23,579.8000,580.0000,562.0000,564.3500,8133
2023-10-25,567.0000,568.3500,551.0000,561.8000,12794
2023-10-26,561.8000,576.0500,559.5500,573.0000,12944
2023-10-27,570.8000,580.0000,567.0000,570.7500,5274
2023-10-30,573.6500,580.0000,565.8500,576.3500,6733
2023-10-31,568.0000,585.0000,567.0000,580.1500,3004
2023-11-01,578.0000,580.3500,568.7500,578.4500,7098
2023-11-02,579.4500,580.0000,563.5000,573.1500,14694
2023-11-03,570.0000,590.0000,570.0000,574.6500,16294
2023-11-06,573.2500,581.4000,564.9500,573.4500,11743
2023-11-07,573.7000,579.1500,571.0500,574.9000,4390
2023-11-08,574.6500,589.6500,572.5500,579.1500,10384
2023-11-09,578.0000,580.5000,570.0000,571.7500,17553
2023-11-10,574.6500,580.0000,567.0000,573.0000,7941
2023-11-13,574.7500,576.4500,569.4000,569.9500,10994
2023-11-15,571.8000,573.7500,564.6000,569.3500,8895
2023-11-16,569.7500,577.4500,560.2500,564.9500,15343
2023-11-17,563.1000,566.6500,541.6500,545.7000,56902
2023-11-20,548.4500,549.9500,536.6000,543.5500,24812
2023-11-21,546.2500,548.4500,538.6500,540.0500,11414
2023-11-22,542.0000,544.9000,538.3500,542.3000,8137
2023-11-23,543.0000,546.9000,536.6500,540.7500,8882
2023-11-24,547.8000,552.0000,540.3500,543.6000,29275
2023-11-28,550.0000,550.0000,538.0500,539.7000,14196
2023-11-29,542.4000,546.3500,537.0500,539.6500,25099
2023-11-30,540.7000,540.8000,536.2500,538.2000,10856
2023-12-01,540.2500,540.9000,535.0000,537.5000,11245
2023-12-04,541.0000,547.0000,537.9000,542.6500,28653
2023-12-05,542.0000,546.4500,538.6000,540.2500,28294
2023-12-06,540.0000,543.8000,537.9500,541.8500,15271
2023-12-07,544.6000,556.0000,539.5000,545.8000,39040
2023-12-08,544.8000,552.3500,538.0000,540.1500,25704
2023-12-11,542.9000,546.4500,536.7000,539.0000,17250
2023-12-12,540.0500,540.0500,528.3000,530.5000,27604
2023-12-13,530.5000,541.3000,524.7500,535.6000,31245
2023-12-14,538.3000,542.4500,534.0000,536.4500,17365
2023-12-15,536.2500,544.0000,536.2500,541.5000,18378
2023-12-18,541.5000,552.3500,536.0500,538.4000,24482
2023-12-19,538.4000,541.5000,536.0000,540.3000,14304
2023-12-20,541.5000,544.2500,531.0000,533.1500,35922
2023-12-21,530.2500,540.4500,525.0000,537.6000,18522
2023-12-22,539.1000,543.0000,535.5000,540.2000,20354
2023-12-26,544.9500,544.9500,538.0000,540.0000,25117
2023-12-27,540.0000,585.3000,540.0000,565.7500,141424
2023-12-28,567.6000,567.6000,555.0500,562.5000,33347
2023-12-29,562.1500,583.0000,561.3000,579.6500,54996
2024-01-01,584.8000,589.3500,574.0500,579.9500,26701
2024-01-02,578.0500,582.3500,562.2000,573.9000,31650
2024-01-03,573.9000,587.8500,565.7500,578.4000,26362
2024-01-04,581.3000,584.7500,570.2000,578.4000,16435
2024-01-05,580.8500,580.8500,570.1500,574.2000,52797
2024-01-08,569.2000,587.0000,569.2000,579.8000,24142
2024-01-09,584.3500,594.9500,578.2500,579.6000,42542
2024-01-10,580.4500,585.0000,572.8000,574.0500,11139
2024-01-11,574.0500,595.0000,568.1000,572.2500,55244
2024-01-12,577.9500,582.4500,563.3000,570.0000,41068
2024-01-15,572.8500,576.7500,565.1500,566.6500,66529
2024-01-16,569.4500,573.4500,561.2000,564.3000,21095
2024-01-17,564.3000,572.7000,560.6000,563.3500,36168
2024-01-18,564.2500,566.1000,548.2500,549.0000,30302
2024-01-19,555.1000,555.1000,545.0000,549.7000,36066
2024-01-23,559.0000,561.1500,530.1000,539.1500,17132
2024-01-24,539.1500,546.9500,535.0000,539.7000,23495
2024-01-25,538.0000,548.0000,534.5500,538.6000,53219
2024-01-29,538.9500,550.0000,535.9500,541.4500,30912
2024-01-30,544.2000,550.9500,541.4000,549.2500,65732
2024-01-31,553.3500,558.3500,544.5500,554.9500,26050
2024-02-01,557.7500,561.1500,548.0000,551.0000,11587
2024-02-02,553.8000,560.0000,545.0000,550.7500,11859
2024-02-05,553.8000,567.4000,536.4000,539.8500,64186
2024-02-06,542.0000,554.0500,532.2000,534.6000,29822
2024-02-07,535.0000,540.9500,533.6000,534.8500,25513
2024-02-08,534.8500,541.3500,533.0000,534.0500,29909
2024-02-09,539.4500,539.9000,520.2500,528.6500,37617
2024-02-12,530.0000,551.0000,515.2500,541.8500,153335
2024-02-13,540.0000,540.0000,523.3000,531.1000,21397
2024-02-14,528.4000,541.0000,526.9000,534.2000,37879
2024-02-15,535.0000,538.1000,518.0000,519.9500,46498
2024-02-16,522.5500,528.8000,504.0000,509.7500,191780
2024-02-19,513.9000,519.0500,503.5000,506.0500,55771
2024-02-20,508.6000,515.0000,499.2500,505.3000,156682
2024-02-21,508.0000,521.0000,499.2500,500.8500,169982
2024-02-22,507.9000,516.0000,499.5000,502.0000,72264
2024-02-23,503.0000,516.9500,500.0000,511.5000,146614
2024-02-26,513.0000,530.7500,513.0000,517.4000,67471
2024-02-27,519.4000,540.0000,514.1000,536.1500,63123
2024-02-28,538.3500,546.0000,525.0000,538.0500,67355
2024-02-29,538.0000,539.8000,530.9000,534.8000,14014
2024-03-01,535.4500,549.6000,520.2500,546.7000,175618
2024-03-04,540.5500,550.0000,527.7500,529.5000,91715
2024-03-05,532.1500,533.9500,513.0500,525.3500,115365
2024-03-06,528.0000,535.3500,521.0000,527.1000,79271
2024-03-07,521.1000,532.6500,520.2500,527.2500,121088
2024-03-11,529.8500,537.0000,523.5000,534.9500,21450
2024-03-12,526.9500,536.5500,523.0000,524.2000,31584
2024-03-13,524.2500,526.4500,510.5000,512.0500,46463
2024-03-14,517.2000,521.4500,510.0000,515.0500,19355
2024-03-15,510.0000,517.0000,510.0000,515.3500,15909
2024-03-18,511.7000,516.3500,507.5000,511.8000,37484
2024-03-19,511.8000,513.0000,507.0000,508.3000,38544
2024-03-20,510.8000,511.9500,506.5000,509.4000,35975
2024-03-21,514.8000,516.2000,506.0000,507.9500,41530
2024-03-22,506.9500,510.5000,506.9000,509.8000,56453
2024-03-26,510.0500,529.8000,508.1000,512.0500,73055
2024-03-27,512.0500,526.0000,510.0000,521.7500,66544
2024-03-28,513.9000,530.0000,513.9000,525.8500,38054
2024-04-01,520.0000,538.8000,520.0000,530.2500,22793
2024-04-02,530.2500,558.0500,529.9500,550.9500,47375
2024-04-03,550.0000,552.2000,540.1000,544.7500,18509
2024-04-04,544.0000,554.5500,544.0000,549.4000,37188
2024-04-05,549.4000,555.0000,547.0000,552.7500,9191
2024-04-08,558.1500,559.4500,550.0000,555.1500,17668
2024-04-09,555.0000,579.8500,551.1000,573.1500,38530
2024-04-10,573.1500,583.3500,560.2500,570.1500,28692
2024-04-12,570.1000,576.1500,557.9500,560.7500,23054
2024-04-15,550.0000,559.2500,546.5500,552.6500,14360
2024-04-16,554.3000,575.0000,545.1000,568.4500,34923
2024-04-18,569.4500,577.5000,560.9500,568.4000,11539
2024-04-19,559.8500,595.0000,538.9000,585.5500,65237
2024-04-22,595.0000,606.3500,575.0000,588.7500,72945
2024-04-23,591.6500,593.9500,580.0000,582.8000,25147
2024-04-24,576.0500,583.9500,573.5000,577.0000,9843
2024-04-25,577.0000,579.6500,568.2500,575.2500,15625
2024-04-26,576.9500,578.1000,565.0000,567.8000,9194
2024-04-29,567.8000,571.4500,556.0000,558.5000,12526
