date,open,high,low,close,volume
2023-10-30,298.0000,298.0000,283.0500,283.0500,240443
2023-10-31,268.9000,270.0000,268.9000,268.9000,29922
2023-11-01,255.4500,255.4500,255.4500,255.4500,10717
2023-11-02,243.0000,268.0000,242.7500,258.5500,166962
2023-11-03,260.0000,271.4500,251.2500,268.7500,151575
2023-11-06,260.0000,270.7500,256.5000,260.7000,69861
2023-11-07,260.0000,269.0000,258.7000,266.8000,36622
2023-11-08,266.8000,280.1000,260.1500,280.0500,361595
2023-11-09,286.0000,290.0000,278.4500,284.4500,69704
2023-11-10,283.9500,289.0000,275.0000,282.0500,28240
2023-11-13,286.9500,319.0000,286.9000,308.2500,138868
2023-11-15,311.0000,320.0000,307.1000,309.8500,128207
2023-11-16,317.0000,317.0000,308.0000,310.8000,96990
2023-11-17,308.0000,313.9000,304.2500,309.9500,66713
2023-11-20,309.9500,311.2000,302.6000,304.2500,103306
2023-11-21,307.5000,313.9000,304.0000,307.1500,177056
2023-11-22,310.0000,312.6500,299.0500,308.0000,367876
2023-11-23,314.9000,320.0000,303.3000,304.5500,88257
2023-11-24,309.1500,312.7000,305.0500,307.8500,72477
2023-11-28,314.0000,314.1000,300.8500,304.6000,112409
2023-11-29,304.6000,309.9500,300.2000,301.9500,77361
2023-11-30,304.9500,307.2000,295.4000,299.7000,145082
2023-12-01,302.2500,303.7000,295.5500,297.5000,40373
2023-12-04,301.0000,303.0000,295.5500,299.0500,60091
2023-12-05,303.0000,303.0000,289.6000,292.1500,78064
2023-12-06,295.0000,307.9500,285.7500,287.8000,309896
2023-12-07,294.0500,294.9500,286.7000,291.9000,50768
2023-12-08,294.8000,297.9500,289.0500,292.8000,961433
2023-12-11,297.0000,313.9500,295.4000,301.7500,81627
2023-12-12,306.3000,316.4000,298.0000,299.4000,211602
2023-12-13,303.3000,303.3000,290.2000,298.1000,73161
2023-12-14,301.6500,302.8500,290.2500,292.9500,272809
2023-12-15,299.9000,312.6500,292.0000,301.2500,188876
2023-12-18,302.4000,326.3500,300.1500,320.9500,414651
2023-12-19,323.5000,332.9000,317.6000,328.7000,215847
2023-12-20,331.3000,338.3000,308.2000,313.3500,259201
2023-12-21,301.1000,323.5500,301.1000,317.1500,104934
2023-12-22,323.5000,326.7000,315.1500,324.4500,87430
2023-12-26,330.8000,330.8500,322.3000,325.6500,48664
2023-12-27,328.7500,339.9000,318.0000,319.4500,74317
2023-12-28,324.9000,331.3500,318.0000,326.8500,84555
2023-12-29,330.0000,334.1000,303.0000,310.3000,241952
2024-01-01,314.0500,318.7000,308.0000,316.2500,51483
2024-01-02,323.0000,323.0000,305.0000,307.8000,86934
2024-01-03,310.0500,319.9000,310.0500,316.3000,71413
2024-01-04,319.9500,328.0000,305.5500,314.5500,205160
2024-01-05,316.0000,321.9000,311.0000,319.2000,85420
2024-01-08,322.0000,322.0000,311.0000,317.0000,80667
2024-01-09,310.0000,325.7000,310.0000,314.5000,118346
2024-01-10,308.9000,320.9000,305.6000,308.5000,105464
2024-01-11,313.3500,319.1000,308.8000,311.2500,93657
2024-01-12,322.0000,322.0000,312.1000,313.4500,50326
2024-01-15,313.4500,313.4500,313.4500,313.4500,0
2024-01-16,310.0000,313.2500,299.0000,300.5000,134992
2024-01-17,298.8000,307.9500,294.5500,298.0000,123025
2024-01-18,301.2000,301.4000,291.5000,292.6000,95556
2024-01-19,293.0000,303.0500,290.7000,293.2500,92155
2024-01-23,294.1000,299.0000,284.5500,285.9500,47027
2024-01-24,285.4500,288.9000,279.0000,286.4000,124335
2024-01-25,287.0000,295.8000,285.0000,288.1000,39225
2024-01-29,285.0000,298.8500,285.0000,292.8500,62325
2024-01-30,295.0000,295.0000,287.1000,290.1500,43330
2024-01-31,298.8500,298.8500,282.6500,291.8500,52769
2024-02-01,291.8500,292.0500,280.0000,286.8500,107666
2024-02-02,285.5500,298.0000,282.0500,292.1000,92999
2024-02-05,296.5000,298.9500,287.9000,290.9000,99110
2024-02-06,293.2500,299.0000,290.8000,297.1500,45802
2024-02-07,291.1000,304.7000,291.1000,295.4500,101338
2024-02-08,296.0000,301.0000,286.0000,291.6000,114989
2024-02-09,291.6000,295.0000,283.1000,291.1000,69126
2024-02-12,290.5500,290.5500,274.0000,276.3000,67839
2024-02-13,275.0000,275.2000,266.0000,270.9500,62385
2024-02-14,270.9500,277.2000,264.4500,272.1500,102984
2024-02-15,276.2500,278.8500,270.0000,271.2500,46576
2024-02-16,274.9000,278.0000,270.0000,272.7000,67851
2024-02-19,272.7000,281.0000,269.0000,274.7000,94671
2024-02-20,278.8000,278.8000,270.0000,271.8500,88567
2024-02-21,273.2500,280.9000,270.1000,272.0500,60594
2024-02-22,275.2500,275.2500,255.7500,262.0000,213340
2024-02-23,264.6000,278.1500,264.6000,268.3500,501690
2024-02-26,268.3500,288.0500,266.9000,278.9500,199120
2024-02-27,281.7500,287.3000,277.2500,280.9000,65759
2024-02-28,281.3000,281.3000,271.1000,274.0000,67894
2024-02-29,272.9000,277.4500,261.8500,269.7000,59147
2024-03-01,271.7500,278.3500,268.1000,269.7000,134727
2024-03-04,272.0500,274.7000,268.6500,270.3000,88300
2024-03-05,270.0000,273.0000,263.6500,265.3500,80107
2024-03-06,261.5000,272.9000,256.0000,261.8500,62053
2024-03-07,263.1000,265.0500,257.0000,264.0000,69042
2024-03-11,265.1000,278.5000,263.7000,268.8000,70535
2024-03-12,268.8500,269.5500,251.1000,253.4000,220800
2024-03-13,255.9500,256.9500,245.0000,249.8500,148920
2024-03-14,245.1000,263.1500,245.1000,254.4500,53371
2024-03-15,254.0500,263.2000,250.3500,253.6500,86850
2024-03-18,257.4500,258.3000,251.5000,253.4000,34073
2024-03-19,255.2000,258.0000,250.8000,251.9000,44451
2024-03-20,253.0500,257.0000,249.5500,251.1500,76236
2024-03-21,253.6500,271.0000,245.9000,258.1000,1026277
2024-03-22,263.4500,269.0000,262.3500,264.4000,131527
2024-03-26,260.0500,277.8000,251.2500,260.1000,1407881
2024-03-27,267.5000,283.0000,263.3500,273.4500,378433
2024-03-28,277.5000,280.9500,272.4500,275.9000,115691
2024-04-01,275.0000,287.4500,275.0000,282.6000,96320
2024-04-02,285.4500,297.0000,284.9000,289.9500,224310
2024-04-03,290.0000,302.0000,288.0500,298.6500,128854
2024-04-04,300.7500,313.0000,300.7500,306.9500,154494
2024-04-05,307.0000,310.1500,301.8000,308.7500,70560
2024-04-08,319.5000,320.1000,301.0000,306.4000,129468
2024-04-09,309.5000,313.5000,299.0500,302.6500,87254
2024-04-10,305.4500,310.8000,300.0000,301.9500,60449
2024-04-12,297.4000,304.8000,297.4000,303.3500,66866
2024-04-15,295.1000,304.5000,290.0500,299.4000,84845
2024-04-16,296.4500,305.9000,295.6500,296.8500,159209
2024-04-18,299.2000,302.9500,291.5000,294.9500,60376
2024-04-19,289.0000,294.8500,283.2000,286.5000,100241
2024-04-22,290.5500,304.5000,285.6000,292.2000,114506
2024-04-23,291.9500,299.9500,288.2000,290.3500,64997
2024-04-24,293.8000,295.6000,285.5000,290.8000,72962
2024-04-25,292.0000,295.3000,286.3000,289.7000,65142
2024-04-26,290.7000,300.5000,290.4000,296.9000,116277
2024-04-29,302.4000,304.9500,293.5000,296.6500,102347
2024-04-30,299.6500,299.6500,292.2000,294.1000,69486
2024-05-02,299.8500,352.9000,299.8500,348.3000,1434249
2024-05-03,374.0000,374.9000,352.1000,358.1000,1802150
2024-05-06,356.9000,379.9000,353.3000,358.7500,360544
2024-05-07,358.7500,361.2000,334.6000,342.0000,250028
2024-05-08,342.0000,356.5500,341.8000,348.4000,179772
2024-05-09,348.0000,354.1500,336.0000,342.2500,133416
2024-05-10,346.9500,357.0000,340.0500,346.5000,145395
2024-05-13,349.9500,353.6500,336.5000,342.5500,87667
2024-05-14,342.5500,354.7000,342.5500,347.0500,64547
2024-05-15,347.0500,360.0000,346.6500,352.1000,126525
2024-05-16,353.8000,356.8000,346.2000,349.3500,73586
2024-05-17,354.6000,354.6000,340.5000,343.2500,72377
2024-05-21,355.0000,355.1500,337.5500,340.6500,82593
2024-05-22,345.7500,347.3500,328.0000,331.4500,169825
2024-05-23,351.0000,388.0000,344.3500,368.8000,1457016
2024-05-24,379.0000,387.9000,373.0500,383.1000,560843
2024-05-27,381.4500,384.3000,365.1000,368.5500,225058
2024-05-28,368.5500,373.7500,363.2000,368.0000,155585
2024-05-29,367.0000,371.7000,362.4000,366.4500,87278
2024-05-30,363.1500,365.8000,348.0000,350.3000,143624
2024-05-31,355.5500,355.5500,344.3000,348.9000,128201
2024-06-03,364.0000,367.0000,347.1000,350.7000,160426
2024-06-04,350.3500,350.6000,283.0000,330.7000,402375
2024-06-05,335.6500,338.4500,311.9500,332.4000,146848
2024-06-06,339.4000,358.8500,339.3500,354.2500,170903
2024-06-07,353.0000,378.8500,352.7500,373.1500,174280
2024-06-10,373.0000,373.0000,364.1500,368.7500,79346
2024-06-11,368.7500,417.0000,368.7500,411.9500,738760
2024-06-12,414.8000,419.0000,406.4000,407.6500,200362
2024-06-13,408.0000,440.9500,403.3000,437.6000,438196
2024-06-14,435.1000,453.0000,433.2000,448.9500,251332
2024-06-18,449.0500,474.9500,448.9500,472.8500,285588
2024-06-19,471.9500,477.0000,450.5000,457.2000,169346
2024-06-20,454.1500,472.2000,450.0500,459.4500,79190
2024-06-21,460.8000,461.2000,451.2000,456.3000,47283
2024-06-24,456.3000,482.4000,456.0500,477.5500,209781
2024-06-25,475.0000,478.7000,466.3000,473.6000,89661
2024-06-26,474.1000,484.9500,472.2000,480.4500,117727
2024-06-27,479.8000,483.8000,457.9000,464.3500,101805
2024-06-28,469.8500,478.0000,461.1000,464.6500,106988
2024-07-01,468.7000,479.8500,464.8500,478.4500,77146
2024-07-02,475.0000,494.9500,473.0500,482.6000,102658
2024-07-03,484.0000,489.9500,473.5500,487.8500,95348
2024-07-04,487.8500,500.0000,486.9500,491.3000,192746
2024-07-05,499.0000,499.0000,475.2500,480.4500,82137
2024-07-08,476.2000,493.0000,459.2500,491.3000,190138
2024-07-09,492.0500,505.0000,483.5500,487.4500,114058
2024-07-10,494.9000,536.0000,490.0500,528.3500,445880
2024-07-11,526.9500,528.2500,505.0000,512.7500,268576
2024-07-12,506.3000,532.0000,501.2000,521.4000,198092
2024-07-15,518.0000,525.3500,505.0000,518.5000,112423
2024-07-16,520.8000,553.7000,518.9500,536.1000,310963
2024-07-18,536.1000,580.8000,532.1000,561.9500,319039
2024-07-19,553.5000,560.7500,529.7000,537.8000,156339
2024-07-22,539.0000,565.8000,530.0500,538.9500,140458
2024-07-23,537.0000,552.1000,518.1000,528.8000,217497
2024-07-24,534.0000,555.0000,524.2500,533.1500,140956
2024-07-25,530.0000,543.9500,527.4500,540.3000,70171
2024-07-26,542.3500,555.0000,540.0000,547.1500,61616
