date,open,high,low,close,volume
2023-09-18,146.2000,150.0000,146.2000,149.0000,41289
2023-09-20,145.1000,145.3000,138.7000,141.7500,363343
2023-09-21,143.1500,144.4500,139.0000,139.6500,80846
2023-09-22,140.7000,141.8000,135.1500,137.1000,114048
2023-09-25,140.9500,141.1000,136.0000,140.4500,83929
2023-09-26,141.0000,141.0000,138.0000,138.8500,33819
2023-09-27,139.8000,140.9000,137.1000,139.2500,74018
2023-09-28,140.0500,142.9500,138.1000,139.5500,46152
2023-09-29,140.5000,145.0000,139.7000,141.6000,99609
2023-10-03,142.9000,143.6500,140.1500,141.0500,61520
2023-10-04,140.9000,142.5000,140.0000,141.9000,52305
2023-10-05,143.0000,143.0000,141.0000,141.1500,28774
2023-10-06,142.4000,142.6000,141.5000,142.4500,46610
2023-10-09,140.4000,141.9500,137.0000,137.5000,57934
2023-10-10,139.9000,140.6000,137.2000,138.1500,48428
2023-10-11,138.2000,143.4000,137.9500,141.9500,36430
2023-10-12,142.8500,154.9000,141.0000,152.1500,203522
2023-10-13,154.0000,155.0000,152.1000,153.8500,144877
2023-10-16,152.6500,156.4500,149.8500,151.7000,57274
2023-10-17,152.9000,153.4500,147.5500,151.5500,88290
2023-10-18,150.0000,154.9500,144.1000,145.7500,107552
2023-10-19,147.0500,147.4000,139.2500,144.1000,140965
2023-10-20,142.8000,150.0000,142.0000,146.8500,50924
2023-10-23,143.0000,147.9500,129.3000,135.2000,245111
2023-10-25,134.2000,141.0000,130.7500,136.7000,74818
2023-10-26,135.0000,135.9500,129.5000,133.6000,75634
2023-10-27,130.0000,145.7500,129.3500,142.9500,251805
2023-10-30,144.0000,144.7000,138.5000,142.8000,88858
2023-10-31,144.8000,144.8000,140.8000,141.7000,31473
2023-11-01,141.7000,142.6000,138.5500,139.9500,26770
2023-11-02,140.9500,142.9500,139.1000,140.4500,26699
2023-11-03,141.8500,144.5000,140.0500,141.3000,33431
2023-11-06,142.6500,145.0000,142.0500,142.6500,32007
2023-11-07,142.6500,147.4500,141.0000,142.2500,37022
2023-11-08,143.6000,145.9000,141.8000,144.4500,28459
2023-11-09,144.5000,149.5500,142.0500,145.7500,69817
2023-11-10,145.7500,150.9500,143.8000,144.5500,54418
2023-11-13,147.7500,154.4000,145.5000,152.9000,119367
2023-11-15,153.8500,154.3500,146.8000,147.9000,101397
2023-11-16,148.0500,150.4000,145.3500,147.2000,78626
2023-11-17,149.7000,149.7000,143.0000,145.0000,60621
2023-11-20,142.4000,148.2000,142.4000,146.4000,51706
2023-11-21,147.9000,148.0000,145.0000,145.5000,35208
2023-11-22,146.9500,147.0000,143.8500,145.2500,38674
2023-11-23,145.2000,145.4000,141.8500,143.9500,22037
2023-11-24,145.0500,148.1500,142.7500,143.9500,78969
2023-11-28,141.2500,144.5000,141.2500,143.0500,40309
2023-11-29,145.9000,145.9000,143.0000,144.0500,27499
2023-11-30,145.0000,147.3500,143.1500,146.2500,54931
2023-12-01,147.0000,147.0000,141.5000,143.9500,71065
2023-12-04,147.0000,149.0000,143.0000,146.2500,82193
2023-12-05,146.2500,146.3000,143.0000,143.5000,33746
2023-12-06,143.5500,145.0500,141.9000,143.0500,60339
2023-12-07,143.7500,144.7000,140.5000,141.3500,58406
2023-12-08,142.7500,146.9000,141.8500,145.0000,91227
2023-12-11,146.3000,147.3500,143.3000,145.1500,54977
2023-12-12,146.5500,149.7000,142.7000,144.7000,91369
2023-12-13,146.1500,148.3500,144.6500,147.1000,85732
2023-12-14,148.5500,148.5500,144.6000,145.5000,66422
2023-12-15,147.7000,148.1500,144.8500,147.8000,56705
2023-12-18,151.0000,151.2000,147.0000,147.8500,49229
2023-12-19,149.3500,149.3500,145.0000,145.2000,42796
2023-12-20,146.6000,147.9500,141.2000,142.0500,102598
2023-12-21,142.0500,145.7500,137.4500,144.1000,66234
2023-12-22,142.5000,147.0000,140.5500,145.0000,64931
2023-12-26,146.4500,163.0000,146.4500,160.4000,969457
2023-12-27,161.9000,162.9000,157.1500,159.3000,194158
2023-12-28,163.0000,170.0000,158.8500,166.7500,417841
2023-12-29,167.0000,168.2500,160.6000,163.2000,183998
2024-01-01,179.7000,195.8000,172.6500,187.5000,2914371
2024-01-02,188.5000,212.9000,179.4000,206.2000,1926115
2024-01-03,202.9500,233.3000,201.1500,226.5000,2142180
2024-01-04,226.5000,231.9000,212.1000,216.9500,461781
2024-01-05,216.9500,220.0000,210.0000,216.2000,241339
2024-01-08,217.6000,220.1500,208.0000,211.2500,179257
2024-01-09,212.8000,218.0000,212.2500,213.3000,114266
2024-01-10,213.9000,216.7500,208.5500,213.0000,120526
2024-01-11,214.9000,229.5000,214.9000,219.8000,221822
2024-01-12,222.0000,222.2000,212.5500,215.7500,82525
2024-01-15,217.4000,221.4500,212.8500,215.2500,131035
2024-01-16,216.6500,217.4500,210.5000,211.9500,84459
2024-01-17,209.9000,214.0000,206.1000,209.3500,94142
2024-01-18,207.5000,217.9000,199.7000,214.7000,139591
2024-01-19,216.9000,216.9000,209.4000,211.4500,72836
2024-01-23,215.8500,219.6500,203.0000,211.5000,131994
2024-01-24,214.2500,223.9500,211.5500,218.9000,115050
2024-01-25,224.0000,224.0000,213.0000,214.3000,91718
2024-01-29,222.7000,222.7000,203.0000,211.8500,95466
2024-01-30,214.4500,222.0000,213.1000,218.6500,125615
2024-01-31,222.8000,222.8000,216.0000,217.8000,22996
2024-02-01,220.9500,220.9500,207.0000,211.2500,75739
2024-02-02,210.9000,217.9000,207.9000,211.5000,44278
2024-02-05,211.5000,217.0000,208.0000,208.6500,43287
2024-02-06,208.0000,211.0000,203.5000,209.2500,30009
2024-02-07,211.0000,217.0000,210.3000,212.2000,49046
2024-02-08,214.2500,216.5000,210.3000,210.5500,24567
2024-02-09,205.0000,205.0000,200.0500,200.4000,145636
2024-02-12,199.0000,200.0000,190.4000,190.9500,87022
2024-02-13,181.5500,199.0000,181.4000,195.5000,71237
2024-02-14,191.9000,195.0000,185.9500,193.3500,34338
2024-02-15,195.9000,201.0000,192.0000,198.4500,46197
2024-02-16,198.4500,199.5000,189.0000,191.1500,36729
2024-02-19,197.4000,199.0000,191.0000,195.3500,19722
2024-02-20,194.2000,194.2000,185.6000,192.1500,99645
2024-02-21,190.6500,191.5000,185.2000,188.9500,28614
2024-02-22,188.9000,188.9000,179.5500,184.1000,62849
2024-02-23,183.6000,189.9000,180.0000,189.3500,26513
2024-02-26,189.0000,198.8000,189.0000,198.8000,59081
2024-02-27,208.7000,208.7000,200.0000,208.7000,140258
2024-02-28,219.0000,219.1000,211.0000,216.9500,166453
2024-02-29,218.0000,224.0000,206.1000,214.4000,75036
2024-03-01,214.4000,217.0000,207.0000,211.3500,51533
2024-03-04,215.0000,219.0000,203.2500,208.4000,19775
2024-03-05,203.0000,213.9000,201.2500,208.8000,35630
2024-03-06,212.9000,212.9000,198.9000,204.7000,29969
2024-03-07,207.6000,208.0000,200.0000,202.0000,46026
2024-03-11,204.0000,212.1000,204.0000,212.1000,36799
2024-03-12,222.0000,222.7000,213.0000,214.9000,113257
2024-03-13,215.0000,224.9000,204.1500,204.2000,54677
2024-03-14,194.0000,214.3500,194.0000,209.9500,48541
2024-03-15,209.9500,209.9500,199.5500,207.2000,37290
2024-03-18,212.8500,216.9500,201.0000,209.7500,25593
2024-03-19,209.7000,214.0000,201.0000,203.8500,27878
2024-03-20,203.8500,210.0000,198.0000,207.5500,34634
2024-03-21,209.0500,209.0500,204.0000,207.6500,12902
2024-03-22,207.6500,210.0000,201.5000,204.5500,23772
2024-03-26,207.8000,208.0000,195.8500,198.1500,51106
2024-03-27,204.4500,208.0000,199.2500,202.9000,30430
2024-03-28,197.4500,204.9500,197.4500,202.1000,27020
2024-04-01,202.9500,212.2000,200.0000,212.2000,49853
2024-04-02,216.5000,222.7000,212.2000,216.9000,72138
2024-04-03,216.9000,219.8000,209.0000,210.4500,56559
2024-04-04,208.0000,214.6500,206.1000,209.9000,28071
2024-04-05,209.0000,219.3000,204.0000,217.0000,49613
2024-04-08,217.8500,227.0000,211.0000,218.3500,76398
2024-04-09,221.7000,229.2500,212.0500,228.8000,82509
2024-04-10,233.4000,240.0000,230.0000,237.5000,127509
2024-04-12,237.4000,237.4000,225.6500,225.6500,54414
2024-04-15,217.0000,229.0000,214.4000,222.8500,50300
2024-04-16,222.5000,224.7000,215.0000,216.9000,33751
2024-04-18,220.0000,225.0000,215.0000,223.8000,30318
2024-04-19,216.0000,224.0000,214.6000,220.8500,27944
2024-04-22,223.4500,231.7000,222.0000,227.3000,23400
2024-04-23,221.1000,235.8000,221.1000,234.0000,77121
2024-04-24,235.4000,238.8500,226.0000,229.9000,53246
2024-04-25,230.0000,237.7500,225.8500,235.1000,61142
2024-04-26,233.1000,246.8500,231.6500,246.8500,245548
2024-04-29,247.0000,259.1500,247.0000,259.1500,116375
2024-04-30,268.1000,272.1000,246.9500,266.2500,236288
2024-05-02,274.7000,274.7000,265.5500,269.9500,74228
2024-05-03,273.8000,283.4000,258.2000,263.9500,205228
2024-05-06,264.0000,272.7500,258.5500,262.1500,62402
2024-05-07,268.6500,268.6500,252.1000,255.2500,49814
2024-05-08,244.4000,268.0000,244.4000,263.5500,99177
2024-05-09,263.5500,263.5500,252.0000,254.4000,49036
2024-05-10,254.4000,260.0000,248.2500,253.6000,43791
2024-05-13,259.9000,259.9000,240.9500,250.3000,68619
2024-05-14,254.4500,260.0000,250.0500,256.7000,30539
2024-05-15,257.9500,269.5000,257.9000,269.1000,72314
2024-05-16,266.2000,278.0000,266.0000,269.0000,50960
2024-05-17,271.4000,271.4000,261.4000,265.6000,30025
2024-05-21,282.0000,282.0000,264.1500,266.9500,36180
2024-05-22,267.9000,274.0000,263.5500,271.3500,28539
2024-05-23,280.0000,280.4500,270.5500,275.1000,45547
2024-05-24,276.0000,277.9000,261.3500,264.9000,114347
2024-05-27,265.2000,275.0000,264.6000,270.9500,74079
2024-05-28,271.0000,276.1500,270.5500,271.8500,46143
2024-05-29,276.0000,277.6500,270.0500,271.1500,36346
2024-05-30,270.1000,275.0000,268.0500,268.7500,26503
2024-05-31,276.0000,276.0000,261.3500,265.0000,40571
2024-06-03,271.1500,278.2500,252.5500,257.8000,66017
2024-06-04,257.0000,268.9000,244.9500,263.5500,92701
2024-06-05,263.5500,263.5500,250.4000,253.4000,101005
2024-06-06,258.9500,266.0000,255.8000,264.5500,39217
2024-06-07,259.5000,276.0000,259.5000,272.9000,105245
2024-06-10,275.8000,286.5000,273.0000,286.5000,130480
2024-06-11,285.0000,300.8000,283.1500,289.2000,232767
2024-06-12,296.8500,296.8500,284.3500,288.5000,72892
2024-06-13,295.7000,295.7000,286.0000,289.6000,48290
2024-06-14,294.8000,304.0000,286.5000,297.6000,89447
2024-06-18,309.0000,312.4500,298.0500,312.4500,167395
2024-06-19,316.9500,317.2000,298.5500,303.6500,63307
2024-06-20,307.0000,307.0000,293.0500,297.2000,58268
2024-06-21,297.0000,297.0000,288.0000,290.2000,48676
2024-06-24,297.0000,301.8000,277.2500,297.0000,81447
2024-06-25,299.0000,300.3500,291.2500,296.8000,30898
2024-06-26,295.0500,300.0000,294.8500,297.3500,39326
2024-06-27,300.0000,302.0000,294.5500,298.0500,50697
2024-06-28,302.3500,304.2500,292.1500,293.3500,16942
2024-07-01,287.5500,308.0000,284.0500,301.1500,58044
2024-07-02,303.0000,307.0000,303.0000,305.5000,199245
2024-07-03,305.5500,320.7500,305.5500,320.7500,132993
2024-07-04,330.0000,335.9000,319.9500,326.1000,77696
2024-07-05,321.0000,330.5500,312.0000,316.7500,46841
2024-07-08,323.8000,325.0000,307.9500,320.8500,46899
2024-07-09,320.8500,324.8500,318.0000,321.9500,26983
2024-07-10,328.4000,338.0000,323.3000,329.6000,268618
2024-07-11,330.0000,333.7000,321.7500,324.2000,72463
2024-07-12,325.0000,326.0000,315.0000,317.4500,44890
2024-07-15,318.7000,331.4000,316.0000,320.2500,41232
2024-07-16,318.9000,330.0000,311.0000,313.6500,56395
2024-07-18,318.4500,319.5000,304.4000,309.3500,47077
2024-07-19,310.0000,315.9000,293.9000,309.3000,53995
2024-07-22,310.0000,312.0000,298.8500,304.3000,49199
2024-07-23,303.0000,306.8500,289.1000,301.0000,34379
2024-07-24,306.0000,316.0500,302.1000,315.8000,70570
2024-07-25,317.8000,317.9500,310.1000,314.2000,26150
2024-07-26,314.2000,326.4000,312.4500,318.6000,45820
2024-07-29,322.8000,322.8000,313.0500,316.1500,50126
2024-07-30,324.9000,327.9000,316.3000,318.3500,40389
2024-07-31,324.7500,324.7500,313.0000,315.5500,32386
2024-08-01,311.0000,323.7000,311.0000,315.2500,45212
2024-08-02,301.3000,322.0000,301.3000,319.7500,53305
2024-08-05,307.7500,318.2000,303.8000,303.8000,75993
2024-08-06,308.7500,314.8000,293.5500,305.0000,70233
2024-08-07,314.0000,320.2500,300.0500,316.2000,53065
2024-08-08,316.4000,324.9500,305.7500,306.8500,32882
2024-08-09,309.9500,314.0000,305.0000,309.8000,62511
2024-08-12,314.0000,325.2500,313.8000,320.8500,73457
2024-08-13,321.0000,326.8500,318.1500,322.2500,43853
2024-08-14,322.2500,323.0500,309.9500,315.9500,35037
2024-08-16,310.0000,311.0000,300.1500,300.1500,110606
2024-08-19,298.0000,298.1000,285.1500,285.1500,196679
2024-08-20,278.0000,290.0000,270.9000,271.0500,328123
2024-08-21,270.9500,277.3000,264.3000,269.5000,152780
2024-08-22,268.0000,274.5000,259.8500,271.2000,144489
2024-08-23,271.0000,275.0000,265.0000,265.8500,52738
2024-08-26,270.0000,270.0000,258.1000,259.6000,75810
2024-08-27,266.7500,271.7000,256.0500,258.0500,94251
2024-08-28,258.4000,265.4000,255.0000,256.3000,98700
2024-08-29,258.2000,259.6000,243.5000,246.6000,86823
2024-08-30,246.6500,258.9000,244.0000,258.2500,221996
2024-09-02,261.8000,261.8000,250.0000,254.0000,92590
2024-09-03,251.2000,258.2000,251.2000,253.0000,69156
2024-09-04,250.1000,258.0000,250.0000,257.1500,43435
2024-09-05,254.4000,270.0000,254.4000,261.5000,102118
2024-09-06,260.0000,264.3500,260.0000,260.1500,65423
2024-09-09,263.7000,263.7000,248.1000,250.6500,76988
2024-09-10,250.6500,253.1500,243.0000,246.4000,93050
2024-09-11,246.4000,251.0500,239.2000,241.6500,63348
2024-09-12,246.3000,248.8500,238.8000,246.3000,53904
2024-09-13,248.3000,249.0000,239.3000,244.5500,61001
2024-09-16,246.7000,252.0000,240.9500,248.3500,96327
2024-09-17,254.4000,254.4000,241.0000,242.3500,53750
2024-09-18,246.8000,249.9000,242.0000,244.6500,31455
2024-09-19,247.5000,249.2500,233.0000,235.2500,99285
2024-09-20,237.9500,241.5000,233.5000,240.2500,50325
2024-09-23,240.0000,249.8000,240.0000,247.5500,52649
2024-09-24,250.8000,259.9000,247.0000,256.7500,85481
2024-09-25,259.4500,263.6500,251.0500,256.2500,58181
2024-09-26,254.3000,258.5000,249.0000,251.0000,50710
2024-09-27,251.9000,263.4000,248.0000,255.4000,62673
2024-09-30,255.4000,268.1000,252.1000,256.5000,77678
2024-10-01,253.1000,265.7000,253.1000,264.5500,43495
2024-10-03,264.3500,264.3500,253.0000,254.3500,48889
2024-10-04,254.0000,255.4000,245.0000,245.9500,29025
2024-10-07,245.2500,258.0000,233.6500,253.2500,106684
2024-10-08,253.0000,266.7500,246.4500,264.5000,73574
2024-10-09,266.0000,268.5000,255.0000,258.7500,43181
2024-10-10,259.2500,268.4000,255.2500,265.1000,36316
2024-10-11,261.3500,267.0000,260.3000,264.4000,31021
2024-10-14,272.0000,272.0000,253.1500,258.1500,36291
2024-10-15,259.1500,262.9000,256.6500,259.3500,11308
2024-10-16,261.2000,271.7000,255.9000,268.7000,109456
2024-10-17,268.7000,278.0000,266.0000,272.0000,76264
2024-10-18,272.8000,273.6000,261.6000,268.2000,32810
2024-10-21,264.0000,272.4500,264.0000,265.4500,45697
2024-10-22,264.0000,270.9000,252.0000,253.2500,62850
2024-10-23,256.9500,275.0000,252.1500,270.3000,166267
2024-10-24,266.1000,271.3500,245.1500,258.3500,188804
2024-10-25,259.9000,270.7000,250.5000,260.6500,120713
2024-10-28,262.5000,262.7500,252.6000,260.0500,58233
2024-10-29,259.0000,271.5000,256.8500,267.3500,96702
2024-10-30,271.0000,275.5500,261.2000,269.9500,82922
2024-10-31,273.0000,274.0000,263.3000,269.9500,59462
2024-11-01,275.0500,284.9500,273.7500,276.8000,33135
2024-11-04,277.0500,278.7000,267.3000,269.9500,49908
2024-11-05,266.1500,277.0000,266.1500,275.2500,57581
2024-11-06,275.2500,277.0000,268.4500,269.6500,54687
2024-11-07,269.6500,272.2000,265.0500,266.9000,30790
2024-11-08,267.4500,270.0000,259.3000,265.8500,44434
2024-11-11,265.4000,265.4000,254.5000,256.2500,43496
2024-11-12,256.3500,260.2500,250.1000,251.6000,25969
2024-11-13,251.2500,252.5000,243.2000,245.7000,63264
2024-11-14,245.7000,248.6500,237.1500,244.0500,76766
2024-11-18,251.9500,251.9500,240.0000,246.2000,55893
2024-11-19,246.0000,250.3000,238.0000,241.0000,50870
2024-11-21,247.4000,247.4000,234.0000,234.7000,49273
2024-11-22,234.6500,239.1500,231.1500,236.4000,38732
2024-11-25,240.9000,252.0000,230.8500,246.7000,71198
2024-11-26,251.9500,254.0000,243.0000,245.0000,25664
2024-11-27,245.0000,245.7000,238.5500,243.7000,44391
2024-11-28,245.0000,248.5000,240.0500,244.3500,29003
2024-11-29,247.7500,247.7500,241.0000,244.3000,55545
2024-12-02,244.3000,266.4000,241.2800,262.2400,120362
2024-12-03,267.7000,271.3300,258.2300,260.3200,72416
2024-12-04,265.0100,265.1400,256.0000,258.8900,44863
2024-12-05,258.8000,264.9000,257.5500,261.7600,24538
2024-12-06,263.0000,277.7400,256.0000,275.4400,85668
2024-12-09,277.9000,308.0000,276.4000,303.6800,264144
2024-12-10,301.5000,308.7900,296.7900,302.7300,138616
2024-12-11,300.4000,309.9000,296.1200,300.0200,44659
2024-12-12,299.3000,320.6900,287.9500,308.6300,105171
2024-12-13,313.2500,313.2500,302.7200,308.6300,67464
2024-12-16,309.0000,318.6300,306.0300,308.7900,40621
2024-12-17,310.4000,314.7900,305.0000,311.2300,41550
2024-12-18,312.8000,312.8000,296.8200,304.3000,31434
2024-12-19,303.0200,303.0400,286.0000,294.9400,35008
2024-12-20,296.4000,296.4000,281.0100,286.0300,57828
2024-12-23,287.0000,295.0000,276.5000,279.6700,25933
2024-12-24,280.0000,282.7900,277.5000,279.8300,19140
2024-12-26,285.5000,294.6000,271.0000,272.1700,84794
2024-12-27,276.2500,276.2500,268.0000,270.5500,22725
2024-12-30,270.0000,276.0000,264.0100,266.2700,57615
2024-12-31,265.9000,278.0000,263.8000,271.6200,30653
2025-01-01,269.3000,282.9500,269.3000,277.7000,34770
2025-01-02,280.0000,280.0000,270.1500,273.0500,22580
2025-01-03,273.8500,280.8000,272.4500,278.2500,19929
2025-01-06,279.7000,279.7000,257.9500,264.2000,61661
2025-01-07,265.0000,270.0000,261.8000,265.9500,54934
2025-01-08,265.9500,272.0000,258.0000,259.0500,72277
2025-01-09,257.1000,262.7000,256.8500,260.1000,34792
2025-01-10,258.2000,260.3500,250.0000,254.0000,41581
2025-01-13,250.4000,254.6500,243.1000,246.6500,69884
