date,open,high,low,close,volume
2025-08-06,385.0000,418.8000,373.5000,408.6500,15361082
2025-08-07,402.0000,424.9000,400.1000,417.6000,3922205
2025-08-08,416.4000,488.9000,413.0500,431.7500,22851935
2025-08-11,432.5000,458.6000,421.0500,425.2500,5308308
2025-08-12,426.8000,447.7000,416.9500,441.8500,4240701
2025-08-13,444.7500,454.4500,432.2000,435.5500,1659061
2025-08-14,437.7500,439.4000,420.0000,425.4000,1023028
2025-08-18,430.0000,439.0000,425.4000,435.4000,831432
2025-08-19,438.0500,468.8000,438.0500,459.6000,2192414
2025-08-20,462.0000,472.5000,452.3500,463.8000,1247852
2025-08-21,463.9000,467.0500,446.8000,451.1000,723073
2025-08-22,453.2000,494.0000,453.2000,465.2000,4418881
2025-08-25,470.0000,493.0000,456.0000,467.5500,4045668
2025-08-26,473.4500,485.0000,447.0000,456.5000,1590397
2025-08-28,458.0000,459.2500,425.0000,429.0000,1032003
2025-08-29,431.5000,442.9500,426.2000,432.8000,615683
2025-09-01,437.1000,439.8000,426.6000,434.6000,377731
2025-09-02,435.8000,448.4000,431.0000,435.3000,434212
2025-09-03,434.0000,438.6500,412.9500,415.9500,1080736
2025-09-04,422.7000,422.9500,403.9000,410.8500,573633
2025-09-05,413.6000,421.7000,397.2500,413.8000,913812
2025-09-08,420.0000,439.8000,420.0000,434.0000,807634
2025-09-09,430.9000,434.0500,425.0000,428.4500,289103
2025-09-10,431.4500,438.0000,421.6500,428.8500,429585
2025-09-11,428.8500,428.8500,417.7000,419.8500,249783
2025-09-12,422.3000,430.0000,417.0000,428.2000,244657
2025-09-15,431.0000,433.5000,420.2500,422.7500,200131
2025-09-16,425.7000,425.9500,417.5000,418.9500,257667
2025-09-17,421.7000,424.0000,412.2500,413.7500,289209
2025-09-18,417.9500,422.3500,415.2000,417.2000,184815
2025-09-19,418.2000,434.0000,415.2500,431.2000,378194
2025-09-22,432.9000,439.8500,422.6500,424.1500,337069
2025-09-23,424.9000,424.9000,412.5000,419.4000,316536
2025-09-24,417.7000,417.8500,410.0000,411.6500,188994
2025-09-25,413.4500,413.4500,400.0000,401.7500,252399
2025-09-26,400.0000,403.9000,385.1000,389.3500,365496
2025-09-29,397.1000,398.2000,385.0000,390.1000,159209
2025-09-30,389.0000,392.9000,381.9000,383.2500,183041
2025-10-01,384.0000,406.9000,383.1000,400.8000,316761
2025-10-03,406.8000,406.8000,388.6500,391.4000,219495
2025-10-06,391.4000,394.1000,384.9500,387.5000,189066
2025-10-07,391.0000,391.0500,378.8500,380.9000,146552
2025-10-08,384.6500,384.6500,370.0000,373.5500,221352
2025-10-09,373.5500,375.4500,364.0000,365.8500,209939
2025-10-10,370.0000,388.0000,368.0000,376.9500,452695
2025-10-13,373.0000,375.1000,367.4500,368.3500,102509
2025-10-14,368.9500,419.8500,366.3000,406.7500,4679708
2025-10-15,410.0000,427.6000,407.9500,423.5500,845747
2025-10-16,420.2000,439.9000,417.2500,430.9000,853086
2025-10-17,433.0000,446.8000,430.8500,442.1000,1077673
2025-10-20,445.0000,446.0000,435.0000,441.6000,337863
2025-10-21,445.0000,451.9500,444.9500,449.2500,200271
2025-10-23,455.8500,464.4000,450.5000,457.8000,601530
2025-10-24,460.0000,477.8000,454.5000,472.7000,915862
2025-10-27,475.0000,476.8000,458.0000,465.1500,530648
2025-10-28,464.9000,468.0000,448.3500,453.0500,310784
2025-10-29,453.0500,468.0000,451.0000,461.8000,256549
2025-10-30,464.6500,474.8000,459.6000,464.9500,385110
2025-10-31,465.0000,466.0000,450.0000,454.6000,181537
2025-11-03,449.0500,465.0000,444.0000,453.7000,771568
2025-11-04,453.7000,460.0500,444.1000,450.2000,748340
2025-11-06,446.0000,449.0500,431.3000,437.4000,305100
2025-11-07,439.1500,524.8500,435.9000,502.7500,8373413
2025-11-10,508.5000,535.9000,506.1500,514.2500,2930076
2025-11-11,518.9000,518.9000,413.0500,436.0000,4803327
2025-11-12,439.5000,468.0000,425.3000,437.2500,1505923
2025-11-13,435.5000,446.7500,433.1500,440.0500,562228
2025-11-14,435.0000,443.9000,434.1000,437.4500,234006
2025-11-17,436.0000,442.4500,427.5500,428.7000,318355
2025-11-18,431.9000,431.9000,418.6500,420.3500,227541
2025-11-19,420.3500,422.5000,401.1000,405.4000,388960
2025-11-20,406.9000,408.0500,391.0000,394.8000,412283
2025-11-21,394.9500,400.4500,390.0000,393.3500,258143
2025-11-24,393.3500,394.9500,380.5500,384.1000,151089
2025-11-25,387.4500,388.7500,380.0000,382.1000,197168
2025-11-26,384.1000,398.9500,384.0000,393.9500,298517
2025-11-27,400.5000,410.6500,388.3000,392.1500,391227
2025-11-28,393.0000,394.9000,382.0500,390.1000,186901
2025-12-01,395.0000,397.1000,385.0000,387.0500,141525
2025-12-02,385.0500,387.6000,379.5000,380.9500,130548
2025-12-03,383.9000,383.9000,371.9000,379.6500,139971
2025-12-04,379.0000,382.4500,368.6500,371.7000,202463
2025-12-05,375.4000,375.4500,362.7000,364.7500,146349
2025-12-08,365.5500,371.9500,350.0500,352.0500,153536
2025-12-09,351.8500,392.0000,349.8500,379.5000,1190618
2025-12-10,383.4000,383.4000,367.6500,372.2000,139425
2025-12-11,378.1500,378.1500,363.0000,369.7000,137984
2025-12-12,369.7000,379.9000,368.4000,378.0000,134817
2025-12-15,378.0000,383.1000,373.3500,380.4000,77677
2025-12-16,383.7000,390.1000,375.3000,385.2500,151009
2025-12-17,383.0000,386.6000,370.0000,381.9500,137979
2025-12-18,381.0000,384.7000,368.5000,376.8500,177146
2025-12-19,385.0000,385.0000,370.1000,374.6500,117016
2025-12-22,377.6500,383.9000,376.7000,379.0000,100253
2025-12-23,379.3000,379.3000,365.0000,368.7500,134261
2025-12-24,371.0000,397.4000,371.0000,391.3500,858671
2025-12-26,392.0000,395.1000,380.1000,381.8500,197262
2025-12-29,389.8000,389.8000,372.2500,377.9000,159406
2025-12-30,380.9000,380.9000,372.5000,376.3000,83574
2025-12-31,380.0500,387.8000,377.3500,382.9500,118674
2026-01-01,382.0000,387.4500,381.0000,382.4500,103637
2026-01-02,385.0000,386.8000,377.4500,384.2000,167600
2026-01-05,385.0000,387.5500,371.3500,374.2000,214430
2026-01-06,375.0000,378.4500,371.6500,374.3000,96196
2026-01-07,374.3000,375.2000,371.6500,372.7000,46036
2026-01-08,370.4000,372.3500,358.1500,362.5500,157304
2026-01-09,362.5500,363.8000,346.4500,350.5500,159936
2026-01-12,352.0000,352.0000,340.0000,345.1500,157204
2026-01-13,345.0000,355.0000,345.0000,348.8500,84659
2026-01-14,349.0000,352.0000,340.2000,341.6000,87035
2026-01-15,341.6000,341.6000,341.6000,341.6000,0
2026-01-16,343.0000,344.3500,332.6500,333.6500,83748
2026-01-19,333.6500,342.8500,330.1000,339.2500,122318
2026-01-20,339.0000,339.0000,320.9000,321.9500,120271
2026-01-21,321.9500,326.5500,305.6500,310.6500,133266
2026-01-22,316.4500,326.2000,311.0000,317.3500,83305
2026-01-23,319.9000,319.9000,296.1500,298.5500,204417
2026-01-27,309.0000,309.0000,291.0000,296.1500,175523
2026-01-28,300.2500,306.3000,297.2000,302.7500,83406
2026-01-29,308.8000,309.9500,296.6500,300.3500,75138
2026-01-30,300.3500,333.6500,295.4000,317.4500,314071
2026-02-02,306.7500,314.9000,291.0000,305.7500,117964
2026-02-03,335.5000,366.9000,326.5500,334.7000,779930
2026-02-04,337.4000,364.8000,330.0000,356.6000,290689
2026-02-05,359.4500,387.0000,346.9500,371.9000,178746
2026-02-06,370.2500,378.1000,360.0000,364.5000,235778
2026-02-09,368.8500,385.0000,332.6500,351.2500,1105441
2026-02-10,353.7000,362.6500,341.0000,344.4000,200178
2026-02-11,347.5000,348.0000,330.3500,332.9000,111466
2026-02-12,337.4500,337.4500,320.3000,333.1500,135519
2026-02-13,332.0000,345.9000,332.0000,337.7000,112378
2026-02-16,338.9000,354.7000,334.8000,353.5500,188146
2026-02-17,348.2000,355.4500,345.1500,350.6500,104791
2026-02-18,351.9000,364.8500,341.2000,355.2500,338709
2026-02-19,358.1000,361.5000,353.8000,358.3000,101620
2026-02-20,358.3000,358.6500,353.9500,355.2000,81455
2026-02-23,356.0000,356.4000,323.7500,325.1000,454892
2026-02-24,326.0000,330.9500,311.0000,315.0500,243457
2026-02-25,316.6000,320.9000,298.9500,302.7000,209909
2026-02-26,305.0000,305.7000,295.2500,298.4500,250045
2026-02-27,301.4000,301.4500,291.6000,297.4000,169053
2026-03-02,281.0000,307.5000,281.0000,292.0500,264505
2026-03-04,289.7500,294.8000,284.0500,288.8500,185987
2026-03-05,290.0000,294.9500,282.5500,290.8500,143005
2026-03-06,290.8500,299.7500,287.9000,295.1500,87244
2026-03-09,287.0000,294.9500,281.0000,288.2000,85057
2026-03-10,294.5500,303.9000,288.5500,300.4500,117966
2026-03-11,302.4500,313.4500,295.5500,298.7000,120451
2026-03-12,296.0000,299.5000,289.0000,293.4500,73231
2026-03-13,289.0000,294.8000,281.7000,282.8500,100603
2026-03-16,281.3000,288.9000,270.0000,286.6500,135354
2026-03-17,290.9500,291.7500,280.0000,280.7500,104605
2026-03-18,283.0000,288.9500,277.3000,281.3500,214978
2026-03-19,277.0000,277.4000,265.0000,267.8000,138279
2026-03-20,270.0000,278.0000,268.4000,271.0500,85217
2026-03-23,262.5000,264.6000,246.0000,248.0000,257606
2026-03-24,252.0000,253.5000,243.1000,249.8000,236888
2026-03-25,253.5000,287.9000,252.0000,269.7000,1928853
2026-03-27,265.0000,267.0500,241.6000,244.1500,618700
2026-03-30,244.0000,249.1000,223.0500,226.4500,473173
2026-04-01,230.0000,259.2700,230.0000,253.6200,516619
2026-04-02,244.4000,270.0000,241.0000,266.2900,373360
2026-04-06,261.0000,299.8900,261.0000,292.6000,1025395
2026-04-07,291.1500,308.4000,287.0700,297.4600,379989
2026-04-08,309.0000,319.4500,305.0000,308.3300,267390
2026-04-09,308.3300,312.9500,300.1000,303.4000,167843
2026-04-10,307.0000,310.2000,303.0000,305.4300,100681
2026-04-13,299.0000,314.9500,290.6800,309.7300,179610
2026-04-15,316.0000,324.0000,312.0000,321.4300,197995
2026-04-16,328.0000,330.5000,320.0500,327.0200,119088
2026-04-17,329.0000,337.0000,324.3500,329.3700,181655
2026-04-20,335.0000,346.6700,324.2800,338.8400,242031
2026-04-21,341.5500,343.9200,334.1300,337.2400,95448
2026-04-22,337.2000,340.7900,327.0700,337.2500,120587
2026-04-23,337.5000,342.0000,327.8000,330.0200,111790
2026-04-24,328.0000,333.6700,310.3700,317.4500,108207
2026-04-27,318.5900,338.0000,318.5900,333.6000,146267
2026-04-28,333.0000,342.2500,331.5700,333.9700,123336
2026-04-29,333.0000,341.9800,332.4300,334.7600,94801
2026-04-30,334.7000,335.6600,324.0000,332.0800,57525
2026-05-01,332.0800,332.0800,332.0800,332.0800,0
2026-05-04,335.0000,345.6500,332.0000,337.2000,126892
2026-05-05,341.0000,341.0000,332.0000,332.8000,91863
2026-05-06,329.0000,329.0000,318.6000,321.6000,291363
2026-05-07,324.1500,328.9000,320.1000,326.5000,119943
2026-05-08,326.0000,328.6500,320.4000,322.1000,86000
2026-05-11,322.0000,333.5500,320.0000,323.6000,123713
2026-05-12,325.2000,333.0000,283.6000,290.3000,1249508
2026-05-13,285.2500,303.0000,285.2500,300.3000,230345
2026-05-14,302.7000,309.9000,285.0000,308.2000,235377
2026-05-15,309.9500,311.6000,301.7500,309.2000,51558
2026-05-18,304.6000,309.0000,294.2500,305.6000,116545
2026-05-19,301.6000,312.0000,299.0000,301.1000,129910
