date,open,high,low,close,volume
2024-01-23,460.0000,518.0000,445.0000,464.1000,16154100
2024-01-24,469.9500,479.8500,452.0500,454.9000,2599376
2024-01-25,455.9000,466.8000,430.5500,464.3000,1854715
2024-01-29,467.0000,473.9500,447.0500,451.3000,939452
2024-01-30,451.2500,451.2500,436.1000,450.1000,1036781
2024-01-31,450.9000,462.7000,444.5000,458.7500,960173
2024-02-01,459.9000,481.0000,450.5000,475.2500,1145404
2024-02-02,481.2000,489.9500,475.0000,486.0000,905769
2024-02-05,492.6500,533.0000,490.0000,525.2500,1808132
2024-02-06,545.0000,559.7500,516.5000,524.1000,1007735
2024-02-07,525.0000,542.3000,515.2500,528.0000,504433
2024-02-08,528.0000,551.7000,528.0000,547.6500,614528
2024-02-09,553.4500,553.5500,516.4000,523.2500,675982
2024-02-12,526.9000,526.9000,472.0000,497.8500,397824
2024-02-13,489.9500,539.7000,488.4500,515.1000,759109
2024-02-14,501.8000,505.0000,476.0000,488.2000,481066
2024-02-15,494.5500,512.0000,472.5000,508.2000,434641
2024-02-16,503.0000,513.5500,474.4500,493.5500,760855
2024-02-19,494.0000,494.3000,472.0000,474.6500,378025
2024-02-20,476.0000,492.4500,458.7500,489.5000,551661
2024-02-21,492.0000,517.8500,485.7500,512.5000,852098
2024-02-22,510.6000,520.0000,498.4000,511.0500,232300
2024-02-23,514.9500,517.6500,502.5500,513.7500,215022
2024-02-26,502.1000,538.0000,502.1000,513.1000,786285
2024-02-27,513.1000,523.6500,493.6000,515.9000,343575
2024-02-28,527.9500,544.4500,503.4500,513.8500,908672
2024-02-29,510.5500,520.9000,496.4000,513.2000,404284
2024-03-01,519.0000,519.0000,507.1000,509.8500,346099
2024-03-04,515.9500,515.9500,499.0000,509.0000,137444
2024-03-05,503.9000,508.6000,491.3000,505.3000,312015
2024-03-06,505.0000,505.0000,488.0000,501.4500,159872
2024-03-07,500.1000,508.7500,494.5000,499.8500,194706
2024-03-11,499.8500,502.4500,477.1000,491.6000,155558
2024-03-12,490.0000,490.9000,472.5500,475.8500,197601
2024-03-13,477.7500,482.2000,445.5000,454.3000,490707
