date,open,high,low,close,volume
2026-08-18,20.3300,27.6800,20.3300,25.0500,1451
2026-08-19,26.5000,27.4500,21.0000,23.5600,2778
2026-08-20,25.4000,27.4900,23.7500,25.2800,7427
2026-08-21,25.2800,25.2800,24.1500,25.2000,1682
2026-08-24,26.5800,26.5800,25.1100,25.4800,872
2026-08-25,26.4300,27.9900,25.0000,26.0000,6092
2026-08-26,27.8000,27.8000,25.5000,26.9900,3361
2026-08-27,25.6000,27.3800,25.0000,25.5000,4211
2026-08-28,25.5800,26.5000,25.0000,25.9100,1313
2026-08-31,26.0300,26.5000,26.0300,26.4900,101
2026-09-01,26.0600,27.0000,25.2100,26.9900,1869
2026-09-02,23.8000,27.2900,23.8000,26.7000,4283
2026-09-03,26.4300,27.0000,24.0000,25.0800,2755
2026-09-04,26.9000,26.9000,25.1600,26.2900,1645
2026-09-07,26.9400,26.9400,24.0000,26.9000,2926
2026-09-08,27.0000,27.9000,25.0000,25.6200,772
2026-09-09,27.7200,30.7400,26.9900,30.7400,101210
2026-09-10,32.7900,36.8000,29.9600,35.2200,493535
2026-09-11,34.5900,36.2000,31.7000,31.7000,64727
2026-09-15,31.0000,31.0000,28.5300,28.5300,34469
2026-09-16,27.9000,27.9000,25.6800,25.8100,21105
