date,open,high,low,close,volume
2024-08-27,118.0000,118.2000,112.1000,112.1000,15748
2024-08-28,106.5000,106.5000,106.4900,106.4900,1082
2024-08-29,101.1600,101.1600,101.1600,101.1600,236
2024-08-30,96.1000,96.1000,96.1000,96.1000,2612
2024-09-02,91.2900,91.2900,91.2900,91.2900,1531
2024-09-03,86.7200,86.7200,86.7200,86.7200,319
2024-09-04,82.3800,90.0000,82.3800,83.2900,89105
2024-09-05,79.7000,79.7500,79.1200,79.1200,11417
2024-09-06,75.1600,75.1600,75.1600,75.1600,2725
2024-09-09,71.4000,71.4000,71.4000,71.4000,1330
2024-09-10,85.5000,85.6800,59.0500,62.5800,948413
2024-09-11,64.0000,68.8500,60.0000,61.2200,183311
2024-09-12,62.2600,63.9600,56.7200,60.3800,60577
2024-09-13,60.3900,63.0500,59.0000,59.9400,33388
2024-09-16,59.9400,61.0300,59.0000,60.2200,12571
2024-09-17,60.2200,60.2200,58.0000,58.8700,5582
2024-09-18,59.9000,59.9000,56.0500,56.9700,11631
2024-09-19,56.0000,56.0000,54.2500,54.3700,13443
2024-09-20,55.8000,55.8500,53.0500,54.7400,14792
2024-09-23,55.2000,56.8000,54.0000,55.5300,3704
2024-09-24,55.5000,58.3000,55.0000,58.1600,10898
2024-09-25,58.1600,60.4500,56.5000,58.4000,4657
2024-09-26,59.0000,60.2500,55.9000,59.4100,5160
2024-09-27,60.8500,60.8500,56.4300,56.5600,6288
2024-09-30,59.0000,59.0000,54.1500,57.0800,2751
2024-10-01,57.3800,58.4900,55.0600,57.6900,1536
2024-10-03,57.6900,58.4000,54.8000,55.0000,2071
2024-10-04,55.0000,57.3900,53.0600,53.1400,2079
2024-10-07,53.1400,55.3900,53.1400,54.0600,115
2024-10-08,53.9900,55.9000,52.4500,55.8100,857
2024-10-09,58.0000,58.0000,53.1000,57.3100,6566
2024-10-10,55.0000,57.7000,54.5000,57.5400,1249
2024-10-11,57.5400,59.2500,55.0000,57.4500,1146
2024-10-14,55.0000,58.0000,54.9000,57.9300,805
2024-10-15,56.4900,59.6500,56.4900,58.9000,5311
2024-10-16,56.6000,58.9700,56.6000,57.2600,1304
2024-10-17,57.0000,58.0000,55.1100,57.2200,859
2024-10-18,55.1100,56.0000,55.0000,55.9800,2462
2024-10-21,54.8700,58.0000,54.5000,55.2700,3006
2024-10-22,54.0000,55.5500,52.5000,52.5000,2116
2024-10-23,54.9000,54.9000,50.0000,50.7100,2685
2024-10-24,51.1000,53.2400,50.0000,53.2300,3223
2024-10-25,55.8900,55.8900,51.0100,54.7400,742
2024-10-28,55.9700,55.9700,54.8500,55.5000,140
2024-10-29,55.5000,57.5000,52.8100,56.5000,337
2024-10-30,58.3500,58.3500,53.7600,54.1000,642
2024-10-31,56.4900,56.5000,53.0000,55.6600,1390
2024-11-01,55.0000,57.3900,55.0000,56.8300,412
2024-11-04,58.3500,58.3500,53.9900,54.2200,2173
2024-11-05,56.9000,56.9000,54.0000,54.5300,1563
2024-11-06,54.5300,55.9500,53.1700,54.8900,1347
2024-11-07,56.9000,56.9000,53.1000,54.9000,755
2024-11-08,57.6000,57.6000,54.0000,54.0000,351
2024-11-11,56.6900,56.6900,53.0000,53.5300,111
2024-11-12,53.0000,56.0000,53.0000,54.8900,497
2024-11-13,52.5100,54.8000,52.5100,53.1900,39
2024-11-14,53.5000,54.0000,50.5300,50.5300,1666
2024-11-18,50.5300,53.0500,48.0600,51.6800,1810
2024-11-19,51.9000,53.9000,50.0000,52.9000,529
2024-11-21,55.0000,55.0000,52.4500,52.4500,277
2024-11-22,54.9500,54.9500,49.9500,50.2700,93
2024-11-25,50.2700,52.0900,49.0100,51.9900,3909
2024-11-26,51.9900,51.9900,51.9800,51.9800,189
2024-11-27,53.2800,53.2800,49.5000,50.0000,1156
2024-11-28,48.0000,52.0000,48.0000,51.4900,5995
2024-11-29,48.9100,52.5000,48.9100,49.4100,1439
2024-12-02,51.8800,51.8800,49.0000,51.6900,1857
2024-12-03,51.6900,52.0000,49.1100,51.4900,5779
2024-12-04,51.4900,52.0000,49.4000,50.5300,668
2024-12-05,50.0000,51.0000,48.9100,50.3200,4222
2024-12-06,49.7000,52.0000,49.0500,52.0000,3690
2024-12-09,52.0000,52.0000,49.5000,51.6300,5601
2024-12-10,50.3400,54.2100,50.3400,54.1300,7236
2024-12-11,56.8300,56.8300,54.2200,56.8000,31947
2024-12-12,56.8300,59.5500,54.5000,57.5300,13441
2024-12-13,59.5000,60.4000,57.0000,58.4500,27320
2024-12-16,61.0000,61.0000,56.0000,57.6300,27676
2024-12-17,56.0000,58.4800,56.0000,56.3900,22485
2024-12-18,58.8000,59.2000,56.8000,56.9900,59808
