date,open,high,low,close,volume
2023-09-25,1020.6000,1021.9500,1002.9000,1012.6500,287808
2023-09-26,1011.0000,1042.0000,1011.0000,1029.7500,377520
2023-09-27,1029.7000,1029.7000,1013.5000,1019.9000,255915
2023-09-28,1018.0000,1023.3000,1003.9500,1010.6500,280159
2023-09-29,1012.9500,1032.3500,1011.3500,1028.8500,193266
2023-10-03,1041.0500,1117.7500,1041.0500,1109.1000,4386461
2023-10-04,1103.0500,1149.0000,1098.3000,1122.6000,3410444
2023-10-05,1129.6000,1130.0000,1105.5500,1113.3000,642978
2023-10-06,1118.8500,1125.7500,1101.0000,1113.5500,371682
2023-10-09,1101.5500,1118.0000,1095.3000,1111.9000,340775
2023-10-10,1114.9500,1120.4500,1096.2500,1108.6500,364115
2023-10-11,1112.4500,1114.0000,1104.9500,1112.2000,273344
2023-10-12,1112.9500,1128.0000,1108.3000,1123.0000,890758
2023-10-13,1122.0500,1144.9000,1119.2500,1128.1000,428638
2023-10-16,1128.0500,1144.6500,1118.0500,1135.2000,285118
2023-10-17,1145.0000,1152.0000,1135.9000,1140.6000,441067
2023-10-18,1145.9500,1146.6000,1115.5000,1126.7500,384142
2023-10-19,1122.0000,1126.7500,1111.4500,1123.8500,163501
2023-10-20,1110.5500,1122.0000,1019.5000,1030.0500,2595361
2023-10-23,1030.0000,1045.0000,1010.0000,1018.7500,1165882
2023-10-25,1018.9500,1041.7500,1004.5500,1011.5500,577020
2023-10-26,1012.1000,1015.9500,978.7500,989.6500,617562
2023-10-27,993.6500,1012.0000,982.5500,988.3000,805510
2023-10-30,1020.0000,1055.0000,1002.9000,1017.1500,1808306
2023-10-31,1020.0000,1038.9500,1011.2000,1032.4000,401714
2023-11-01,1029.4000,1029.4000,999.0000,1004.0000,493487
2023-11-02,1017.0000,1035.9500,1009.1500,1034.7000,719525
2023-11-03,1036.0500,1044.7500,1030.0000,1038.9500,278304
2023-11-06,1044.4000,1057.0000,1041.2500,1054.0500,338727
2023-11-07,1055.0000,1058.2000,1045.0000,1055.6500,249674
2023-11-08,1056.0000,1057.5500,1043.0500,1046.9000,168582
2023-11-09,1048.9500,1048.9500,1026.0000,1028.7000,309436
2023-11-10,1030.0000,1046.6500,1019.6000,1041.8000,574853
2023-11-13,1035.0000,1041.1000,1028.0500,1038.9000,181011
2023-11-15,1042.8000,1051.0000,1038.3500,1041.8500,153816
2023-11-16,1044.9000,1070.9500,1040.5500,1053.8000,719134
2023-11-17,1052.9500,1055.9500,1044.5000,1048.4500,149295
2023-11-20,1053.6000,1053.6000,1032.0500,1035.6000,160884
2023-11-21,1038.0500,1047.5000,1033.0000,1037.0500,268950
2023-11-22,1038.0000,1040.5000,1018.5000,1023.4000,226752
2023-11-23,1028.5000,1029.5000,1017.5500,1027.4500,121875
2023-11-24,1030.0000,1032.0000,1021.5500,1024.5500,152188
2023-11-28,1028.8500,1029.5000,1017.6500,1027.1500,196542
2023-11-29,1029.0000,1038.9000,1028.6000,1033.6000,138606
2023-11-30,1037.0000,1060.0000,1026.7000,1041.3500,306319
2023-12-01,1046.8000,1081.9000,1043.1000,1063.1000,530734
2023-12-04,1075.0000,1112.9500,1064.0000,1098.7500,825132
2023-12-05,1098.7500,1118.5500,1092.2000,1114.9000,686954
2023-12-06,1121.0000,1121.6000,1109.8000,1117.0500,338749
2023-12-07,1120.0000,1171.0000,1115.2000,1166.5000,1164295
2023-12-08,1172.6000,1178.1500,1140.6000,1155.7500,635564
2023-12-11,1164.8000,1191.7000,1158.5500,1178.9000,950267
2023-12-12,1187.9000,1187.9000,1167.0500,1170.3500,419012
2023-12-13,1175.0000,1189.1500,1162.6500,1173.7000,637923
2023-12-14,1180.2500,1184.8500,1160.2000,1174.4500,256766
2023-12-15,1179.5000,1184.9000,1159.1500,1182.9000,371580
2023-12-18,1185.0000,1211.9500,1175.3000,1189.0500,1109155
2023-12-19,1189.0500,1198.0500,1178.3500,1189.8000,619998
2023-12-20,1195.7000,1220.4500,1150.1000,1155.4000,846071
2023-12-21,1140.0000,1195.8500,1136.0000,1188.7000,475391
2023-12-22,1203.0000,1203.0000,1184.4000,1194.7000,358185
2023-12-26,1196.1000,1209.9500,1180.2500,1190.0500,307082
2023-12-27,1193.0500,1198.6500,1174.0000,1183.0500,240780
2023-12-28,1183.0500,1199.9500,1173.0500,1197.9000,260463
2023-12-29,1200.0000,1231.4000,1196.0000,1200.5000,776003
2024-01-01,1201.0000,1224.7500,1194.3000,1203.6500,301407
2024-01-02,1210.0000,1233.5000,1187.9500,1215.9000,489638
2024-01-03,1219.7500,1227.0000,1200.2500,1222.0000,315833
2024-01-04,1227.0000,1241.0000,1223.0000,1228.3000,342832
2024-01-05,1228.6000,1252.0000,1227.0000,1238.1000,420644
2024-01-08,1245.5000,1246.3500,1200.0500,1203.1000,330150
2024-01-09,1198.1500,1216.7500,1194.0000,1198.2500,344748
2024-01-10,1190.1000,1193.3500,1168.2500,1179.6000,531087
2024-01-11,1180.9500,1246.1500,1180.9500,1240.1000,1250975
2024-01-12,1248.0000,1272.0000,1235.9000,1264.2000,917002
2024-01-15,1269.9500,1269.9500,1242.9000,1260.5000,284330
2024-01-16,1265.0000,1275.0000,1249.0000,1262.7000,309296
2024-01-17,1257.9500,1274.9500,1240.4000,1255.9000,564413
2024-01-18,1261.9000,1311.4500,1242.1000,1301.5500,1548220
2024-01-19,1320.0000,1345.0000,1312.3000,1326.0000,789847
2024-01-23,1335.9500,1354.4500,1307.0000,1312.3500,863272
2024-01-24,1336.2000,1351.3500,1303.5500,1345.8500,1207986
2024-01-25,1352.0000,1387.0000,1338.2000,1374.1500,1167895
2024-01-29,1388.0000,1419.4000,1381.0000,1414.4000,767465
2024-01-30,1420.0000,1460.1500,1415.7500,1443.7000,953020
2024-01-31,1450.0000,1488.8000,1446.5500,1479.2500,811516
2024-02-01,1484.7000,1514.6500,1450.1000,1463.5000,797426
2024-02-02,1480.0000,1506.4000,1467.9500,1476.9500,494868
2024-02-05,1471.5000,1490.8000,1456.0000,1467.9500,304608
2024-02-06,1468.5500,1539.9000,1468.5500,1533.9500,621305
2024-02-07,1554.3000,1554.3000,1475.1500,1486.8000,739074
2024-02-08,1489.9000,1499.2500,1471.0000,1478.4500,448628
2024-02-09,1483.9500,1489.8500,1440.4000,1474.0000,283592
2024-02-12,1470.0000,1486.9500,1446.6000,1451.7500,442124
2024-02-13,1459.4000,1479.1500,1435.7000,1476.8000,404130
2024-02-14,1465.0000,1494.0000,1450.8000,1490.1000,196433
2024-02-15,1494.3500,1534.8000,1493.1500,1512.0000,500046
2024-02-16,1530.0000,1530.0000,1507.2000,1517.2000,326595
2024-02-19,1524.7500,1534.9000,1519.1500,1521.1000,142127
2024-02-20,1530.0000,1532.9500,1486.3000,1512.0500,215874
2024-02-21,1513.5500,1520.0000,1494.1500,1510.5500,454971
2024-02-22,1510.5500,1534.8500,1495.0000,1533.4000,234284
2024-02-23,1547.8500,1547.8500,1514.3000,1523.6000,286551
2024-02-26,1526.9500,1537.0000,1498.4500,1506.2500,460565
2024-02-27,1504.7500,1520.0000,1499.0000,1512.5500,273929
2024-02-28,1512.5500,1525.7000,1462.0500,1466.0000,366217
2024-02-29,1461.2000,1496.9000,1452.7500,1484.3500,431939
2024-03-01,1498.9500,1508.6000,1487.4000,1498.8500,118471
2024-03-04,1503.0000,1552.0000,1503.0000,1541.6500,422161
2024-03-05,1564.0000,1580.0000,1541.3000,1565.4000,718963
2024-03-06,1525.0000,1525.0000,1297.3000,1329.6000,8693251
2024-03-07,1330.0000,1341.8500,1310.0000,1315.9500,2049304
2024-03-11,1329.0500,1329.0500,1268.0000,1275.9500,965070
2024-03-12,1275.5000,1314.7000,1263.6000,1304.3000,1151120
2024-03-13,1311.2000,1326.2000,1201.0000,1220.3000,1388921
2024-03-14,1230.1000,1288.0000,1215.9500,1271.5500,1452041
2024-03-15,1273.9500,1279.6500,1243.0000,1264.2000,420785
2024-03-18,1270.9000,1295.4500,1257.0000,1268.9500,573260
2024-03-19,1269.0000,1275.8000,1248.7000,1261.7000,349893
2024-03-20,1256.7500,1290.7500,1252.9500,1284.8000,376912
2024-03-21,1292.4500,1325.0000,1285.7000,1321.7500,459823
2024-03-22,1310.0000,1342.7000,1302.7500,1339.5000,724555
2024-03-26,1342.0000,1362.8500,1316.5000,1356.9000,549827
2024-03-27,1364.9500,1381.0000,1352.0500,1370.2500,518074
2024-03-28,1370.5000,1376.7000,1346.0000,1364.0500,463057
2024-04-01,1368.5000,1394.9000,1365.6500,1385.0000,243263
2024-04-02,1398.8500,1410.0000,1386.8500,1400.8500,295389
2024-04-03,1399.0500,1407.8000,1388.0000,1405.3500,267238
