date,open,high,low,close,volume
2023-09-22,57.5000,57.7000,56.5500,56.8000,104280
2023-09-25,57.2000,57.2000,55.6000,56.6000,141847
2023-09-26,57.0000,57.3000,56.2500,56.4000,71660
2023-09-27,56.6000,56.9000,56.2000,56.5000,80784
2023-09-28,56.6000,56.9000,56.0000,56.2500,54431
2023-09-29,56.6500,57.6500,56.1000,56.7500,112147
2023-10-03,56.4500,57.5000,56.4500,57.1000,63100
2023-10-04,57.5000,57.5000,55.8000,56.3500,95187
2023-10-05,56.9000,57.2000,56.0500,56.3000,96431
2023-10-06,56.4500,57.4500,56.4000,56.8000,86063
2023-10-09,56.1500,56.4000,54.9000,55.1000,317803
2023-10-10,55.2500,56.1500,55.2500,55.7000,91883
2023-10-11,56.0000,57.8000,55.9500,56.7000,191122
2023-10-12,56.7000,57.6000,56.6000,56.7500,82430
2023-10-13,56.3000,57.1000,55.1500,55.8500,182463
2023-10-16,56.6500,57.2500,55.7500,56.7500,202094
2023-10-17,57.3000,57.6000,56.1000,56.6000,133595
2023-10-18,57.3500,58.5000,56.7500,56.9500,263238
2023-10-19,57.3000,57.6500,56.2000,57.3500,124093
2023-10-20,57.3500,58.4500,56.8000,56.9500,203929
2023-10-23,56.9500,57.1000,53.3000,53.9500,153736
2023-10-25,53.5000,55.0000,51.9000,52.6000,152117
2023-10-26,52.8500,52.8500,50.5000,52.2500,149120
2023-10-27,52.8500,53.4500,52.0500,52.4500,141959
2023-10-30,52.9000,53.1000,51.7000,52.7500,92619
2023-10-31,53.2500,53.6500,52.8000,53.1500,98979
2023-11-01,53.7000,53.7000,52.1000,52.4000,52381
2023-11-02,53.2000,53.7500,52.7500,53.0000,59832
2023-11-03,53.5500,54.5500,53.1000,54.0500,81357
2023-11-06,54.5000,57.0000,54.0000,55.7000,289940
2023-11-07,56.8000,56.8000,54.1000,54.4000,126671
2023-11-08,55.2500,55.5500,54.5000,54.6500,57411
2023-11-09,54.7000,55.5500,54.2000,54.6000,56616
2023-11-10,55.2000,55.2000,53.3500,53.9000,106814
2023-11-13,59.0500,64.4500,59.0500,61.9500,2334720
2023-11-15,63.0000,64.6000,61.2000,63.7500,979849
2023-11-16,65.0000,65.3500,62.1500,62.6000,509151
2023-11-17,62.0000,64.0000,62.0000,62.7500,313844
2023-11-20,63.0000,65.0000,62.7500,63.0500,458088
2023-11-21,63.9500,64.9500,62.8000,63.2000,372616
2023-11-22,63.4500,69.8000,62.9500,67.6500,3389918
2023-11-23,67.8000,79.4500,67.8000,73.3500,10415648
2023-11-24,77.1000,82.0000,77.1000,81.5000,8117137
2023-11-28,81.5000,81.5000,77.5000,78.4000,1650200
2023-11-29,79.5000,85.9500,76.4000,81.8000,3124647
2023-11-30,82.5000,83.8000,79.7000,80.7500,637028
2023-12-01,82.0000,83.5000,78.1000,78.9000,470068
2023-12-04,79.9000,90.8500,78.3000,88.7000,4709572
2023-12-05,88.9000,91.9500,87.0000,89.1500,1275602
2023-12-06,88.9500,89.9000,84.1500,85.4000,784065
2023-12-07,85.8500,87.9000,85.1000,86.6000,431798
2023-12-08,86.8000,88.5000,84.2500,85.7000,502370
2023-12-11,86.5000,87.7000,84.9000,85.6500,285984
2023-12-12,86.0500,86.7000,82.0000,82.8000,425917
2023-12-13,83.0000,85.2000,82.3000,83.1000,453196
2023-12-14,83.6500,86.9000,82.1500,83.4000,668362
2023-12-15,83.9500,84.4500,81.7000,82.2000,311338
2023-12-18,82.6500,84.3500,81.1000,82.8500,476818
2023-12-19,83.2000,84.9000,82.1500,83.6000,270116
2023-12-20,84.0000,84.5500,77.1000,78.0000,539389
2023-12-21,76.1000,81.0000,76.1000,80.0500,413129
2023-12-22,80.8000,81.9000,79.2000,80.7000,228158
2023-12-26,80.1000,82.6500,79.0000,79.3000,382946
2023-12-27,79.4500,87.2000,79.4500,87.2000,2094806
2023-12-28,88.5000,89.0000,84.5000,85.9500,977188
2023-12-29,86.1000,89.4000,85.5000,87.1000,509658
2024-01-01,88.4000,93.0000,86.5500,89.3500,1072210
2024-01-02,90.0000,90.5000,86.3500,88.9000,495268
2024-01-03,89.0000,93.5000,87.3500,90.4000,1303260
2024-01-04,90.9000,92.2000,89.9500,90.3000,358137
2024-01-05,90.8000,91.8000,87.8000,89.4000,457699
2024-01-08,90.1000,91.1000,87.1500,88.3500,431745
2024-01-09,88.8000,97.1500,87.5500,97.1500,2754786
2024-01-10,101.7000,106.8500,101.0000,106.7000,4118076
2024-01-11,107.7000,109.0000,103.5000,104.6500,1708007
2024-01-12,104.5000,106.7500,104.0000,104.9500,524196
2024-01-15,104.9500,115.0000,104.9500,113.8500,2408144
2024-01-16,114.8000,114.8000,108.1500,109.4000,928338
2024-01-17,108.2500,109.0500,106.0500,106.7000,486431
2024-01-18,107.8000,109.0000,101.4000,108.2500,614891
2024-01-19,110.0000,111.3500,108.3000,110.7500,475952
2024-01-23,109.6000,112.2000,102.6000,103.9000,425851
2024-01-24,103.9500,109.0500,103.1500,108.8000,339740
2024-01-25,110.7000,110.7000,107.0500,108.1500,126641
2024-01-29,108.1500,110.0000,103.3000,104.4000,327505
2024-01-30,104.5500,107.5000,103.9500,106.7000,291247
2024-01-31,107.0000,108.4000,104.2000,104.8500,218054
2024-02-01,106.8500,106.9000,101.2500,102.3000,257960
2024-02-02,102.9500,105.4000,97.2000,101.1000,641737
2024-02-05,104.0000,104.9000,98.5000,100.1500,319962
2024-02-06,100.5000,102.4500,100.0000,101.0500,176986
2024-02-07,103.3500,103.3500,99.0000,100.2000,245543
2024-02-08,99.5000,104.5000,99.0000,99.5500,328320
2024-02-09,99.0500,102.4500,95.8500,98.9000,200675
2024-02-12,100.9000,102.0000,94.0000,94.4000,243578
2024-02-13,94.4000,98.8000,90.4500,94.9500,306448
2024-02-14,92.0000,99.2500,90.2000,90.2000,647532
2024-02-15,86.3000,90.0000,85.7000,87.0000,909549
2024-02-16,87.0000,89.9500,86.4000,88.6000,453317
2024-02-19,89.3500,90.6000,87.6000,89.6000,243100
2024-02-20,89.0000,90.9000,88.3000,88.7500,188269
2024-02-21,91.0000,91.6000,88.8000,89.4500,185554
2024-02-22,90.9500,91.3500,88.0000,90.8500,213012
2024-02-23,91.9000,92.0000,88.8000,89.7000,149212
2024-02-26,90.8000,90.8000,87.8500,88.2000,138543
2024-02-27,88.0500,90.0000,87.4500,88.4000,108899
2024-02-28,88.2000,89.4000,85.3000,86.2000,143683
2024-02-29,86.2000,87.0000,84.0500,84.9500,124147
2024-03-01,84.2500,89.1500,84.2500,89.1500,184901
2024-03-04,91.8000,91.8000,88.0000,88.3500,231038
2024-03-05,88.4000,91.3000,88.0500,89.0500,135134
2024-03-06,88.5000,89.0500,84.6000,84.7500,182207
2024-03-07,87.1500,87.1500,84.7500,85.0000,93353
2024-03-11,85.0000,86.7500,82.2000,82.5500,115217
2024-03-12,82.4000,83.0500,78.4500,78.8500,165516
2024-03-13,78.8500,80.3000,74.9000,74.9000,165809
2024-03-14,72.2000,77.5000,71.1500,76.6500,313867
2024-03-15,78.4000,78.4000,74.9000,75.7000,114362
2024-03-18,76.9500,79.0500,76.0000,76.3500,321636
2024-03-19,77.7500,77.7500,74.5500,75.2000,135095
2024-03-20,75.1000,78.0000,73.8000,75.3500,107844
2024-03-21,77.4500,77.4500,76.0500,76.5500,103395
2024-03-22,76.5500,80.3500,76.5500,78.8000,175666
2024-03-26,80.0000,82.7000,79.6000,82.7000,192412
2024-03-27,83.8000,85.5000,80.1000,80.8000,337750
2024-03-28,80.8500,83.5000,79.1000,79.5000,223951
2024-04-01,82.5000,83.4500,80.6000,82.9000,117509
2024-04-02,83.3500,84.8500,82.4500,83.9000,99737
2024-04-03,83.9000,87.3000,83.5000,86.0000,315551
2024-04-04,87.4500,88.8000,86.2500,87.0500,122088
2024-04-05,87.2500,87.7000,85.1500,86.6500,82086
2024-04-08,88.8500,88.9000,85.1000,87.0000,148087
2024-04-09,87.4500,88.2500,85.2000,85.9500,77284
2024-04-10,85.2500,87.1500,85.0500,85.3000,63172
2024-04-12,85.0000,86.4500,83.0000,83.6000,84843
2024-04-15,82.9500,82.9500,80.1000,81.8000,89966
2024-04-16,81.5500,83.7000,81.5500,82.3500,48505
2024-04-18,82.5000,84.0000,80.5000,80.9500,103038
2024-04-19,80.0000,81.8500,80.0000,81.5500,77441
2024-04-22,84.8500,84.8500,82.1500,83.0000,73541
2024-04-23,83.9500,84.9000,83.1000,84.4500,64192
2024-04-24,84.4500,85.6000,83.8500,84.2000,85413
2024-04-25,85.4000,85.4000,84.0000,84.4000,48876
2024-04-26,84.3500,85.2000,83.4000,84.1000,61457
2024-04-29,85.4000,85.4000,83.5000,83.8500,66192
2024-04-30,84.9000,85.8000,83.5000,84.0500,108839
2024-05-02,84.8500,87.0000,84.0500,84.4500,122802
2024-05-03,84.8500,85.5000,83.0000,83.6500,96358
2024-05-06,84.9000,84.9000,81.8000,82.1000,57958
2024-05-07,82.1000,82.4500,79.3000,80.0000,95605
2024-05-08,79.6000,81.6000,79.6000,80.7000,75117
2024-05-09,81.0000,84.4500,79.0500,79.3500,143859
2024-05-10,80.3500,80.5000,79.0000,80.3000,47529
2024-05-13,80.6500,80.6500,78.0000,79.6000,61252
2024-05-14,80.6500,82.0000,79.8000,80.9500,52153
2024-05-15,80.3500,83.8000,80.3500,82.4500,90705
2024-05-16,83.0000,83.9000,81.7500,82.3500,47644
2024-05-17,82.7500,84.2000,82.3500,82.6000,66382
2024-05-21,82.8000,83.2500,81.2000,81.6500,111405
2024-05-22,81.6000,83.5000,81.1500,81.5500,80449
2024-05-23,82.0500,83.4000,81.5000,81.9500,86580
2024-05-24,82.6000,83.0000,81.0000,81.9500,131457
2024-05-27,85.7000,86.0000,84.0000,84.4000,376498
2024-05-28,84.0000,84.9500,81.4000,81.7500,101211
2024-05-29,81.0500,83.0500,81.0500,81.5500,92043
2024-05-30,81.8500,81.8500,79.1000,79.7000,105334
2024-05-31,81.4500,81.4500,79.3000,80.2000,44759
2024-06-03,83.7000,83.7000,80.7000,80.9500,93217
2024-06-04,81.4500,81.4500,76.9000,76.9500,98821
2024-06-05,77.1500,78.6000,74.7000,77.7500,140829
2024-06-06,79.8000,81.6000,77.8500,81.6000,146604
2024-06-07,83.2000,85.3500,83.1000,83.9000,500961
2024-06-10,84.7000,88.6500,84.0500,86.1100,646980
2024-06-11,86.8000,88.0000,85.0000,85.3000,209171
