date,open,high,low,close,volume
2023-09-18,437.0000,438.8000,419.4000,424.9000,258945
2023-09-20,432.9000,432.9000,412.0000,425.8500,121602
2023-09-21,423.9000,430.0000,403.0000,407.2500,68704
2023-09-22,408.0000,423.9500,403.0000,409.7500,72570
2023-09-25,413.9500,419.0000,405.2500,411.8500,69500
2023-09-26,414.2000,418.2500,409.2000,413.5000,43782
2023-09-27,415.0000,445.6500,411.0000,440.8500,337166
2023-09-28,440.8000,447.4500,426.0000,429.6000,114929
2023-09-29,435.3000,444.4000,428.3500,437.4500,58547
2023-10-03,442.0000,442.3000,430.0000,438.4000,43030
2023-10-04,438.4000,438.4000,414.6000,422.2500,100810
2023-10-05,424.0000,435.0000,418.8000,420.2000,31692
2023-10-06,419.9500,437.0000,419.9500,430.0500,68529
2023-10-09,425.0000,429.2500,413.8000,422.8500,51367
2023-10-10,424.0500,458.3000,421.6500,449.0500,374236
2023-10-11,456.8500,460.0000,447.1000,452.0500,81053
2023-10-12,452.0500,454.6000,434.3500,440.3500,51200
2023-10-13,444.9000,450.0000,440.4000,444.9500,31563
2023-10-16,451.6000,451.6000,432.3000,437.8000,51785
2023-10-17,443.0000,443.4500,431.8000,435.1500,27670
2023-10-18,439.0000,441.4500,428.0500,436.8000,43092
2023-10-19,434.1000,438.6500,430.2000,436.0500,16852
2023-10-20,439.8000,443.0000,429.4500,440.7000,37130
2023-10-23,442.2500,444.8500,396.0000,401.2500,101042
2023-10-25,401.0000,414.2000,391.0000,396.1000,58899
2023-10-26,393.2000,415.0000,381.3000,410.4500,80017
2023-10-27,417.8000,427.6000,411.1000,417.0500,46170
2023-10-30,407.0500,407.0500,381.7000,392.2500,181267
2023-10-31,409.0000,409.0000,391.0500,396.4000,56528
2023-11-01,396.4000,404.2500,391.0000,392.4000,41375
2023-11-02,393.1500,399.2000,392.1000,393.8500,21716
2023-11-03,393.9000,401.2000,391.2500,393.2500,23596
2023-11-06,393.3000,399.8000,386.0000,387.4500,48222
2023-11-07,391.7000,391.7000,385.0000,387.1500,41744
2023-11-08,386.0000,392.6500,386.0000,387.2500,37503
