date,open,high,low,close,volume
2023-09-20,23.9759,24.7458,23.6735,24.1409,17079
2023-09-21,23.8934,26.5330,23.8934,26.5330,253835
2023-09-22,27.7153,29.1725,26.6705,29.1725,402190
2023-09-25,29.6399,31.8121,26.4505,27.1104,409200
2023-09-26,26.6430,27.9627,26.6430,27.5778,68082
2023-09-27,28.6776,28.6776,26.7804,27.4953,100382
2023-09-28,27.6878,28.7051,26.9729,27.7703,402959
2023-09-29,28.7601,28.8426,27.0829,27.7428,243061
2023-10-03,28.6226,28.6226,27.3853,28.0452,221446
2023-10-04,28.0452,30.8497,27.2479,30.8497,481169
2023-10-05,31.5921,32.1695,29.7499,30.2448,208231
2023-10-06,29.9699,31.4546,29.9699,30.6848,286288
2023-10-09,29.6949,30.4098,28.6226,29.0625,112444
2023-10-10,29.1450,29.6949,28.7876,29.2825,87087
2023-10-11,29.6949,30.6848,29.2825,29.5025,85103
2023-10-12,29.5025,31.0422,29.1725,30.7123,91986
2023-10-13,30.2448,31.3997,29.7774,30.1349,91080
2023-10-16,30.2448,30.3548,29.3925,29.6949,24931
2023-10-17,30.1624,31.7021,29.4750,30.2448,128301
2023-10-18,29.8049,30.9047,29.4200,30.2174,149259
2023-10-19,30.7123,30.7123,29.3100,29.9149,69666
2023-10-20,30.4648,30.9322,29.3375,29.8599,79211
2023-10-23,29.1725,30.2174,28.2102,28.3477,71273
2023-10-25,29.0351,29.3100,26.4505,26.5330,75454
2023-10-26,26.3955,28.8151,25.8181,27.2204,60077
2023-10-27,27.4953,29.3650,26.4505,28.6776,52147
2023-10-30,28.4027,28.8426,27.7978,28.2652,24738
2023-10-31,28.8976,29.0351,27.7703,28.0452,18794
2023-11-01,28.2927,30.0524,27.9077,29.4200,67129
2023-11-02,30.1074,30.1074,29.1450,29.6949,20579
2023-11-03,29.5850,30.3823,29.2275,29.8324,9343
2023-11-06,29.5850,29.9149,27.7153,28.4027,17786
2023-11-07,28.1827,29.3650,28.0452,28.7876,14549
2023-11-08,29.3925,30.0524,28.8151,29.4200,21958
2023-11-09,29.5850,29.6399,27.9902,28.9251,38682
2023-11-10,30.2448,30.2448,28.7051,29.7499,55527
2023-11-13,30.4098,31.3447,29.7224,30.4923,76540
2023-11-15,31.8946,32.3620,31.3722,31.7846,135623
2023-11-16,32.3895,32.3895,31.4546,31.8671,66580
2023-11-17,32.8019,32.8019,31.3447,31.8121,57173
2023-11-20,32.0595,32.0870,31.0972,31.3447,68400
2023-11-21,32.1145,32.1420,29.8599,31.0422,118087
2023-11-22,31.2897,32.6094,30.5748,31.1247,221443
2023-11-23,31.2897,32.1695,31.1522,31.7846,32998
2023-11-24,32.3895,32.3895,31.8396,31.9221,46713
2023-11-28,32.5270,32.8569,31.9496,32.3345,79246
2023-11-29,32.8019,32.9669,31.5096,32.0045,109047
2023-11-30,32.4720,32.6644,31.0697,31.2347,217420
2023-12-01,32.0595,32.0595,31.2347,31.3447,74045
2023-12-04,31.9496,31.9496,30.3823,31.2347,44940
2023-12-05,31.3722,32.7194,30.9047,32.4720,113179
2023-12-06,32.9669,33.3243,31.7296,32.2245,45398
2023-12-07,32.9669,38.6584,32.0870,38.6584,1067370
2023-12-08,42.8102,43.9925,41.3255,42.1778,1553742
2023-12-11,42.1778,42.7002,40.2531,40.7481,220364
2023-12-12,41.0780,41.0780,37.5036,37.9710,186933
2023-12-13,37.4211,38.1910,36.0739,36.7887,51032
2023-12-14,37.3936,38.6034,36.2938,38.2735,62194
2023-12-15,39.5658,39.5658,36.3763,36.8987,48542
2023-12-18,38.7134,38.7134,36.2938,37.5861,33827
2023-12-19,37.5861,38.1910,36.9812,37.8610,17697
2023-12-20,37.6961,37.6961,35.9639,36.0464,34116
2023-12-21,34.8641,35.9639,34.3691,35.6889,15649
2023-12-22,35.9639,37.1187,34.6991,36.2663,13871
2023-12-26,36.2663,37.8610,35.1940,36.9537,17628
2023-12-27,36.9537,36.9537,35.4690,36.1563,25567
2023-12-28,35.7439,36.1838,35.1665,35.4415,14417
2023-12-29,36.6787,36.6787,35.4965,35.9364,7901
2024-01-01,35.5514,36.2663,35.5514,35.7439,16615
2024-01-02,36.8162,36.8162,35.1940,35.3590,12338
2024-01-03,36.1563,36.1563,34.6441,35.0565,16919
2024-01-04,35.3315,36.0189,34.9465,35.6339,9527
2024-01-05,35.9914,35.9914,35.3865,35.5239,28699
2024-01-08,35.7439,36.1563,35.1940,35.5514,15000
2024-01-09,35.5514,36.1288,34.8641,35.0015,27810
2024-01-10,35.1940,35.1940,34.0942,34.6166,16060
2024-01-11,34.6166,35.6889,34.3966,34.6716,20101
2024-01-12,34.6716,36.4038,34.2317,35.4415,26253
2024-01-15,36.1563,37.2012,33.8192,37.1462,80537
2024-01-16,37.1462,38.0810,36.5688,36.7612,47833
2024-01-17,36.6238,38.5484,35.0840,37.3386,39104
2024-01-18,39.1808,39.1808,38.8784,39.1808,117249
2024-01-19,41.1330,41.1330,41.1330,41.1330,64252
2024-01-23,42.3153,43.9925,42.3153,42.3153,82410
2024-01-24,42.3428,42.3428,42.3153,42.3428,78687
