date,open,high,low,close,volume
2023-09-25,252.0000,257.5500,249.7000,253.1000,13428
2023-09-26,252.7000,265.0000,250.4000,253.2000,71610
2023-09-27,253.0000,258.0000,252.0000,254.1500,15951
2023-09-28,256.9000,257.9500,251.2500,251.8500,25292
2023-09-29,251.5000,255.9000,250.3500,251.1500,21158
2023-10-03,254.8000,255.0000,248.3000,253.0500,13451
2023-10-04,252.1500,254.5000,240.6000,243.2500,24736
2023-10-05,244.1000,248.0500,240.5000,242.2500,23973
2023-10-06,245.9500,246.4500,242.2500,244.2000,5493
2023-10-09,244.2000,244.2000,234.0500,235.8500,14459
2023-10-10,239.4500,241.9500,235.1000,238.8000,15997
2023-10-11,242.1000,245.0000,238.0000,238.7500,11578
2023-10-12,238.1000,243.9000,235.1000,235.8500,11356
2023-10-13,236.0000,240.1500,235.0000,235.4500,15982
2023-10-16,233.5000,241.3000,233.5000,236.8000,12479
2023-10-17,240.4000,240.4000,236.0000,236.4500,10885
2023-10-18,235.2000,246.9500,235.1500,240.1000,43368
2023-10-19,241.8000,245.2500,237.2000,239.8000,12655
2023-10-20,240.3500,247.8500,239.0000,240.2500,23186
2023-10-23,243.8000,243.8000,210.5500,222.2000,51579
2023-10-25,223.7000,229.3500,214.0000,216.4000,20948
2023-10-26,218.1000,221.7000,210.3000,219.1000,11288
2023-10-27,222.3500,224.9500,215.7500,219.9000,20847
2023-10-30,219.5000,223.2000,218.0000,219.9500,13985
2023-10-31,223.8500,223.8500,216.0000,219.1500,7398
2023-11-01,222.5500,223.9500,214.9000,215.7000,8201
2023-11-02,219.1000,223.8500,217.2000,220.1500,8127
2023-11-03,218.7500,225.0000,218.7500,222.2500,9545
2023-11-06,222.2500,229.4500,220.3000,223.7000,12176
2023-11-07,224.9000,227.9000,223.5000,224.5000,9645
2023-11-08,227.6500,231.0000,222.4000,226.8500,12210
2023-11-09,228.0000,233.3000,226.1000,228.1000,15539
2023-11-10,225.0000,228.1500,220.4000,222.8000,11091
2023-11-13,229.9000,229.9000,222.5500,225.6500,11744
2023-11-15,229.1500,243.9000,222.5000,236.3000,80974
2023-11-16,237.9000,237.9000,230.0000,230.5500,15624
2023-11-17,230.6000,233.9500,226.0000,227.9500,11925
2023-11-20,231.4500,235.6500,228.4500,229.2000,7801
2023-11-21,230.3000,235.0000,227.6000,229.4000,13039
2023-11-22,231.8500,233.7500,227.5000,228.7500,21438
2023-11-23,231.7000,240.0000,229.0000,230.9500,60825
2023-11-24,232.0500,237.9500,229.0000,229.7000,18384
2023-11-28,230.4500,234.8000,227.2500,230.5000,16912
2023-11-29,230.5000,231.0000,227.5000,229.0500,10953
2023-11-30,231.0000,231.7000,227.8500,228.7500,8171
2023-12-01,232.2500,232.2500,227.2500,227.5500,22160
2023-12-04,232.0000,232.0000,227.9000,228.3000,10623
2023-12-05,229.9500,237.0000,228.0000,232.4500,42525
2023-12-06,230.0000,235.4500,229.1500,230.5000,15206
2023-12-07,233.7000,234.0000,230.5000,232.3500,15195
2023-12-08,235.4000,235.4000,229.5500,230.9500,14011
2023-12-11,230.9500,230.9500,223.3500,227.6000,20739
2023-12-12,230.5000,230.5000,225.0000,226.5500,11431
2023-12-13,227.6000,229.0000,226.0000,226.9500,7666
2023-12-14,230.0000,230.0000,222.6000,225.1500,15982
2023-12-15,225.0000,228.6000,224.8000,225.7500,18853
2023-12-18,224.5000,229.0000,224.0000,225.2500,14587
2023-12-19,225.3000,228.1000,224.1000,226.3500,10230
2023-12-20,226.6000,229.1500,216.0500,217.9500,21787
2023-12-21,217.9000,224.0000,213.1000,218.1500,17879
2023-12-22,221.5500,225.9000,216.6500,225.4500,19773
2023-12-26,225.4500,226.4500,217.3500,221.1000,16088
2023-12-27,221.1000,229.5500,221.1000,228.1500,29668
2023-12-28,231.0000,231.0000,225.0000,226.2000,17550
2023-12-29,225.0000,229.4500,223.3500,225.4500,17181
2024-01-01,225.0000,234.6000,225.0000,228.8500,34771
2024-01-02,230.7000,231.3000,224.3500,229.6500,15261
2024-01-03,232.9000,234.9500,225.5000,230.7000,17363
2024-01-04,233.9000,233.9000,225.8000,227.7000,14934
2024-01-05,228.7000,231.3500,217.6000,224.3500,42179
2024-01-08,225.0000,228.0000,222.7500,224.0000,41313
2024-01-09,225.2000,227.2500,223.3500,224.2500,16030
2024-01-10,224.2000,227.1500,221.8500,224.0000,7541
2024-01-11,227.5000,227.5000,223.2500,224.1500,14990
2024-01-12,225.1500,226.5500,222.6000,225.1500,21939
2024-01-15,225.3000,226.9000,224.5500,225.5500,26743
2024-01-16,226.9500,234.8500,225.0000,227.4500,58377
2024-01-17,230.0000,230.7000,225.0000,226.8000,22271
2024-01-18,227.5500,228.9500,220.6000,224.1000,12120
2024-01-19,224.6000,240.0000,224.1000,238.6500,127131
2024-01-23,251.9500,251.9500,230.1000,231.3000,52194
2024-01-24,234.7500,234.7500,227.0000,231.5000,20731
2024-01-25,231.5500,234.0500,226.0000,230.8500,21512
2024-01-29,230.8500,233.1000,226.5000,229.9500,13956
2024-01-30,230.0000,236.3500,227.0000,229.5000,38053
2024-01-31,232.5000,244.2500,230.5500,236.6000,75436
2024-02-01,238.7000,244.0000,233.2500,237.8500,45068
2024-02-02,241.0000,248.0000,232.1500,233.4500,45962
2024-02-05,234.6000,235.9500,226.0000,227.2500,42540
2024-02-06,226.0500,230.5000,221.5000,222.4500,124938
2024-02-07,223.6000,231.6000,216.7000,222.3000,255102
2024-02-08,223.9500,224.9500,216.8500,218.8000,85164
2024-02-09,219.8500,219.8500,212.0000,213.4000,52245
2024-02-12,207.4000,209.4000,186.0000,188.7000,194550
2024-02-13,193.0000,198.0000,188.0000,193.0500,31440
2024-02-14,192.6000,202.8000,190.0500,198.3000,38179
2024-02-15,201.0000,201.7000,198.2500,199.1000,18820
2024-02-16,199.9500,201.3000,194.0000,194.9500,28118
2024-02-19,196.0500,197.9500,191.3500,196.0000,25681
2024-02-20,195.0000,204.9500,195.0000,203.2000,30794
2024-02-21,205.0000,206.1500,196.3500,198.9000,23711
2024-02-22,201.1000,201.4500,191.9000,194.0000,15770
2024-02-23,195.9500,198.7000,194.0000,197.1000,11413
2024-02-26,197.2500,205.0000,195.3500,202.8000,29672
2024-02-27,203.1000,204.2000,198.0000,198.7000,16596
2024-02-28,204.5000,204.5000,193.1000,195.6500,16685
2024-02-29,197.9000,198.4000,193.0500,194.7000,12772
2024-03-01,194.9500,202.0000,194.9500,199.3000,39515
2024-03-04,200.0000,202.9000,196.3000,197.0500,15498
2024-03-05,195.0000,198.9000,193.8500,195.7000,22450
2024-03-06,195.0500,199.8500,189.7500,193.9000,26321
2024-03-07,199.7000,201.5000,190.7500,198.9000,53514
2024-03-11,198.8000,202.0000,194.2000,195.8000,22378
2024-03-12,194.9000,194.9000,190.0000,190.3500,13216
2024-03-13,193.0000,193.0000,180.0000,185.1000,31623
2024-03-14,183.0000,189.4500,180.9500,184.3500,41095
2024-03-15,184.9500,186.6500,181.0000,182.8500,14302
2024-03-18,187.9500,187.9500,183.4000,184.2000,50112
2024-03-19,183.5500,190.2000,182.5000,185.3000,30235
2024-03-20,183.2000,186.1000,183.2000,183.5500,12263
