date,open,high,low,close,volume
2023-09-25,331.0500,332.7000,327.0000,329.7000,131356
2023-09-26,329.9000,334.8500,328.2000,330.9000,315726
2023-09-27,331.0000,333.3500,325.1500,331.5000,532327
2023-09-28,331.5000,336.4000,327.8500,332.9500,830177
2023-09-29,335.0000,335.8000,325.6500,327.9500,286571
2023-10-03,330.0000,336.1500,318.0000,335.1500,639264
2023-10-04,335.0500,340.4000,330.5000,332.6000,917871
2023-10-05,333.0000,335.6500,331.3000,334.5500,493695
2023-10-06,334.5500,337.6500,332.0500,334.5500,580642
2023-10-09,333.0000,346.7000,328.3000,336.9500,1984541
2023-10-10,336.5000,341.9500,334.0000,339.2500,332700
2023-10-11,343.0000,354.5000,343.0000,350.6500,793917
2023-10-12,353.3500,392.0000,352.1500,379.1500,9091616
2023-10-13,378.0000,398.0000,375.3000,394.3000,3886730
2023-10-16,390.0500,397.8500,384.0000,386.9500,846795
2023-10-17,386.2500,391.5500,381.2500,382.6500,599713
2023-10-18,382.0000,383.9500,368.3500,372.1500,722895
2023-10-19,372.0000,372.0000,362.1000,365.6000,657297
2023-10-20,365.6000,372.4000,363.0500,369.2500,451264
2023-10-23,370.0000,377.0000,352.0000,358.1500,588617
2023-10-25,360.0000,363.7500,353.3500,360.1500,457152
2023-10-26,356.9000,361.5500,345.0000,357.7500,645297
2023-10-27,359.0000,376.7000,358.6000,371.8000,399821
2023-10-30,371.9000,378.5000,368.1500,370.9000,402987
2023-10-31,375.6500,394.2500,372.3000,391.4500,2434016
2023-11-01,391.0500,391.5500,376.5500,383.9000,563218
2023-11-02,386.6500,390.8000,381.6000,385.2500,325416
2023-11-03,387.3000,396.0000,381.7000,393.5000,977763
2023-11-06,395.6000,406.8000,387.3000,403.7500,1566642
2023-11-07,403.7500,414.9000,396.0500,405.4500,2271345
2023-11-08,408.0000,412.5000,401.0500,405.1000,738450
2023-11-09,401.3500,403.0500,388.0500,400.3500,715787
2023-11-10,397.0000,400.0000,392.1000,397.4500,349028
2023-11-13,400.0000,412.3000,396.1500,402.7000,775284
2023-11-15,404.0000,414.8000,400.3000,405.0000,976156
2023-11-16,406.0000,421.1000,405.0000,417.2000,1221767
2023-11-17,416.7500,424.1500,412.2000,421.0500,855888
2023-11-20,420.2500,425.2500,416.3500,417.7000,357574
2023-11-21,418.7000,421.9500,411.2000,412.1000,281986
2023-11-22,414.0000,422.1000,405.0000,409.3000,471683
2023-11-23,410.2500,420.8500,410.2500,419.2000,379954
2023-11-24,419.3500,422.4000,404.1000,407.1500,412102
2023-11-28,409.7000,413.2000,402.9500,406.4000,296946
2023-11-29,408.5000,411.5000,406.0000,410.0500,228364
2023-11-30,411.0000,419.6500,410.0500,418.1500,476921
2023-12-01,421.0000,433.2000,418.3000,429.1500,1053375
2023-12-04,433.8000,443.8500,432.4500,441.4500,784375
2023-12-05,441.0000,448.3000,438.0500,444.5000,761094
2023-12-06,444.6500,454.9000,435.2500,451.6500,1022670
2023-12-07,451.9500,455.0000,430.0000,441.8000,1225404
2023-12-08,444.9000,448.0000,432.0500,433.5500,380016
2023-12-11,435.5000,443.9000,435.0000,438.5500,325124
2023-12-12,440.9000,446.9000,438.0500,442.5000,462212
2023-12-13,444.7500,472.7500,443.5000,459.6500,2244015
2023-12-14,459.6500,461.5000,440.0000,442.3500,884870
2023-12-15,448.1000,452.0000,438.6000,448.7500,1115598
2023-12-18,451.0500,451.0500,440.6000,444.1000,651722
2023-12-19,446.2500,454.3000,442.5000,449.0500,726180
2023-12-20,465.0000,489.0000,453.0000,459.6000,6318489
2023-12-21,454.8500,460.0000,443.2500,457.2500,900623
2023-12-22,457.4500,459.5500,444.7000,455.3000,968681
2023-12-26,455.3000,457.2500,440.8000,443.5000,858535
2023-12-27,447.0000,449.0000,437.0000,438.6000,484960
2023-12-28,439.6000,441.8500,432.2500,434.5500,924151
2023-12-29,436.8500,449.0000,433.4000,447.8500,889357
2024-01-01,447.8500,458.1500,447.1500,455.9000,472726
2024-01-02,457.0000,471.7000,454.0000,466.8000,1269708
2024-01-03,467.4000,473.8000,458.6500,460.1000,822519
2024-01-04,462.4000,473.9000,461.0500,471.5000,450586
2024-01-05,474.5000,483.0000,473.0000,480.5000,926324
2024-01-08,484.0500,487.9500,467.0500,469.6500,568937
2024-01-09,472.5000,498.0000,472.5000,491.6500,1605525
2024-01-10,500.0000,503.4500,480.6000,484.0500,1006907
2024-01-11,486.7000,502.1000,486.7000,500.2500,838761
2024-01-12,502.9000,520.4500,498.5500,514.6000,1646773
2024-01-15,514.6000,514.6000,514.6000,514.6000,0
2024-01-16,508.5500,519.0000,498.3500,501.4000,988672
2024-01-17,500.9000,500.9000,484.4000,486.3500,554902
2024-01-18,488.9000,512.5000,482.6500,510.8500,1480835
2024-01-19,513.5000,516.7000,493.0000,496.8500,868855
2024-01-23,510.6000,510.7000,484.0000,486.3500,711112
2024-01-24,486.4000,506.0000,484.8000,497.2000,641901
2024-01-25,500.0000,527.2000,497.1500,516.5000,1159116
2024-01-29,516.5000,526.9500,511.0000,523.5000,991081
2024-01-30,523.6000,541.4000,502.5500,520.5000,2506967
2024-01-31,519.9500,537.2000,519.0500,524.7500,1155284
2024-02-01,528.7500,531.4500,500.5000,507.3000,1282375
2024-02-02,510.7000,512.2000,497.0000,505.3500,703418
2024-02-05,508.9500,509.6000,486.4000,490.4000,1095582
2024-02-06,493.8000,507.5000,489.1000,504.5000,764778
2024-02-07,506.9500,513.2000,487.0000,499.4500,661465
2024-02-08,499.4500,501.7000,489.6000,494.9000,345848
2024-02-09,497.0000,502.0000,477.6500,483.7000,554300
2024-02-12,490.7500,491.0000,474.0000,480.1000,400703
2024-02-13,480.1000,482.6000,471.5000,475.2500,699315
