date,open,high,low,close,volume
2026-08-18,134.0000,148.1000,134.0000,134.0000,335324
2026-08-19,127.3000,127.3000,127.3000,127.3000,11328
2026-08-20,120.9400,133.6600,120.9400,133.6600,130220
2026-08-21,128.0000,140.3400,126.9800,126.9800,464929
2026-08-24,131.9700,131.9700,120.6400,120.6400,112279
2026-08-25,116.0000,119.3900,114.6100,114.6100,94447
2026-08-26,110.0200,114.9000,108.8800,108.8800,171484
2026-08-27,103.4400,107.4500,103.4400,103.4400,39226
2026-08-28,98.2700,105.0000,98.2700,103.0700,88867
2026-08-31,104.0000,108.2200,101.0100,108.2200,31624
2026-09-01,113.6300,113.6300,104.0000,105.3100,94404
2026-09-02,107.7000,107.7000,103.2500,103.9400,25843
2026-09-03,104.5000,107.0000,99.3200,104.7500,39226
2026-09-04,106.5000,108.0600,104.0000,107.7400,16687
2026-09-07,109.0000,109.0000,103.0100,104.7300,18222
2026-09-08,106.0000,109.9600,104.8200,109.9500,18469
2026-09-09,113.0000,115.4400,110.1000,114.4000,69353
2026-09-10,115.0500,120.0000,111.1100,115.8900,78107
2026-09-11,116.5000,116.5000,110.1000,110.1100,24335
2026-09-14,110.1100,110.1100,110.1100,110.1100,0
2026-09-15,110.1100,115.4000,105.2000,114.2500,45167
2026-09-16,113.7000,115.7800,108.5400,109.2100,22636
2026-09-17,109.9000,112.6500,108.5000,111.8000,11705
2026-09-18,112.3500,112.9900,109.0000,109.9400,6114
2026-09-21,108.6000,115.0000,108.6000,114.7600,14633
2026-09-22,116.5000,116.8500,113.0200,114.9800,9396
2026-09-23,114.0000,115.4900,112.0000,113.3800,6337
2026-09-24,116.0000,116.0000,109.5700,115.1100,20710
2026-09-25,118.9000,118.9000,114.9000,116.1500,15391
