date,open,high,low,close,volume
2023-09-20,4449.0000,4522.0000,4423.9502,4515.3501,107901
2023-09-21,4510.0000,4510.0000,4459.9502,4493.7998,84700
2023-09-22,4522.0000,4522.0000,4460.0000,4469.3501,102180
2023-09-25,4455.0000,4524.7998,4443.0000,4451.0498,108295
2023-09-26,4475.0000,4477.9502,4415.0000,4440.9502,90454
2023-09-27,4449.0000,4458.6499,4430.7998,4444.8501,71124
2023-09-28,4469.8999,4469.8999,4329.0000,4357.6499,422876
2023-09-29,4000.0000,4000.0500,3726.6499,3766.7000,3246796
2023-10-03,3800.0000,3863.0000,3782.0000,3820.3501,828923
2023-10-04,3820.0000,3843.9500,3769.0000,3825.1499,415070
2023-10-05,3751.5000,3764.5000,3650.0500,3695.6001,1819526
2023-10-06,3727.5000,3745.0000,3696.0500,3718.6499,441921
2023-10-09,3712.0500,3735.0000,3674.0000,3719.8999,295898
2023-10-10,3739.0000,3760.0000,3695.6001,3703.2000,194379
2023-10-11,3726.2500,3747.9500,3698.0000,3702.3000,273902
2023-10-12,3722.5000,3727.4500,3691.6499,3719.1001,234432
2023-10-13,3718.5000,3725.9500,3681.0000,3691.5500,251564
2023-10-16,3700.0000,3711.8000,3680.0000,3695.1499,153337
2023-10-17,3715.0000,3723.9500,3682.9500,3696.8000,180414
2023-10-18,3705.0000,3710.0000,3650.0500,3675.3999,211278
2023-10-19,3670.0000,3674.9500,3641.0000,3648.3000,121817
2023-10-20,3640.3000,3697.8999,3601.0000,3606.3999,169108
2023-10-23,3600.0000,3624.3999,3515.0000,3530.2500,377393
2023-10-25,3498.2000,3542.6499,3454.0000,3476.3000,237988
2023-10-26,3443.0000,3455.0000,3409.0000,3429.8000,264742
2023-10-27,3435.0000,3455.0000,3403.5500,3431.9500,264861
2023-10-30,3425.0000,3435.0000,3356.5500,3424.1499,484497
2023-10-31,3454.0000,3490.0000,3415.0000,3438.2500,208068
2023-11-01,3390.0000,3522.0000,3375.0000,3479.7500,765465
2023-11-02,3505.0000,3533.0000,3469.8999,3477.0500,140765
2023-11-03,3480.0000,3575.0000,3480.0000,3538.8501,169256
2023-11-06,3550.1001,3642.8000,3537.2000,3636.0500,202226
2023-11-07,3645.5500,3645.5500,3585.0000,3604.6499,103360
2023-11-08,3636.0000,3649.3000,3597.1001,3603.1499,93643
2023-11-09,3618.0000,3634.9500,3575.0000,3597.2500,60709
2023-11-10,3572.0000,3614.0000,3556.3999,3609.4500,77028
2023-11-13,3639.7500,3689.0000,3622.0000,3638.1001,145731
2023-11-15,3658.0000,3671.2000,3640.0000,3645.6001,58681
2023-11-16,3658.8999,3668.8000,3634.8000,3649.7500,95145
2023-11-17,3659.9500,3659.9500,3615.0000,3620.0500,106571
2023-11-20,3623.9500,3644.6001,3585.1001,3606.8000,196698
2023-11-21,3622.9500,3666.0000,3612.1001,3626.7500,79702
2023-11-22,3634.9500,3654.4500,3600.8999,3610.4500,73308
2023-11-23,3610.0000,3739.0000,3610.0000,3708.1001,367164
2023-11-24,3712.0000,3744.4500,3702.0000,3732.7500,157927
2023-11-28,3740.0000,3743.3999,3671.4500,3692.7000,187097
2023-11-29,3700.0000,3723.7500,3684.5500,3703.7500,348892
2023-11-30,3719.9500,3720.0000,3675.1001,3701.1001,109143
2023-12-01,3720.0000,3767.8501,3710.5500,3729.8999,116640
2023-12-04,3766.0000,3769.0000,3732.2000,3740.1001,146820
2023-12-05,3745.0000,3839.5000,3734.1499,3803.4500,247849
2023-12-06,3825.0000,3835.0000,3783.0000,3794.4500,130672
2023-12-07,3794.4500,3818.6001,3764.8501,3795.8999,97569
2023-12-08,3820.0000,3827.8999,3755.0000,3802.8999,130517
2023-12-11,3800.0000,3812.1499,3765.7500,3801.0000,57768
2023-12-12,3815.0000,3831.6001,3749.6001,3769.3999,113701
2023-12-13,3774.9500,3804.3000,3724.7000,3789.8501,68326
2023-12-14,3800.0000,3883.0000,3784.8501,3862.6499,248411
2023-12-15,3872.0000,3979.4500,3826.8999,3870.7500,421049
2023-12-18,3869.8000,3915.0000,3842.3000,3881.8000,140390
2023-12-19,3881.7000,3884.0000,3825.8501,3867.3999,86789
2023-12-20,3881.0000,3920.8999,3699.0000,3721.3000,215895
2023-12-21,3686.3000,3826.8000,3680.2000,3743.8999,194924
2023-12-22,3762.0000,3817.0000,3737.6499,3763.5000,174458
2023-12-26,3778.0000,3835.0000,3756.1001,3797.8501,151623
2023-12-27,3820.0000,3881.0000,3771.0000,3851.0000,194880
2023-12-28,3860.5500,3868.8000,3816.0000,3840.5500,98788
2023-12-29,3852.0000,3884.0000,3820.0000,3853.2000,85727
2024-01-01,3852.0000,3883.4500,3832.0500,3857.5500,70286
2024-01-02,3860.0000,3897.3999,3811.2500,3856.8501,90311
2024-01-03,3864.6001,3882.0000,3835.1499,3867.8501,74420
2024-01-04,3870.0000,3882.8501,3779.6001,3796.2000,296664
2024-01-05,3799.9500,3829.8999,3782.6001,3822.6499,150782
2024-01-08,3825.0500,3827.9500,3600.0000,3609.7000,637074
2024-01-09,3610.0000,3633.0000,3475.8000,3500.8501,726913
2024-01-10,3520.0000,3535.3501,3461.1001,3491.0500,349077
2024-01-11,3519.9500,3551.6001,3495.2000,3531.3999,274714
2024-01-12,3565.0000,3565.0000,3522.0500,3534.8501,235308
2024-01-15,3544.0000,3550.9500,3508.3999,3536.2000,219075
2024-01-16,3525.0000,3542.0000,3482.2000,3489.7500,154577
2024-01-17,3482.2000,3510.0000,3435.0000,3445.9500,185354
2024-01-18,3445.9500,3459.9500,3388.0000,3402.5000,187213
