date,open,high,low,close,volume
2023-09-25,211.2500,218.0875,207.0000,212.1500,4072872
2023-09-26,211.2500,216.2375,209.0125,210.2500,1730720
2023-09-27,208.7750,211.7750,206.2625,206.8875,1440076
2023-09-28,206.5000,211.1000,204.0125,209.5625,1934364
2023-09-29,209.7375,210.7500,206.3000,208.9750,740080
2023-10-03,208.7500,211.8000,206.8750,208.5375,961452
2023-10-04,207.4875,208.9375,204.2625,205.8500,557064
2023-10-05,208.7500,219.7500,208.0750,216.4875,7574872
2023-10-06,217.9875,219.3750,215.7500,217.0500,1194912
2023-10-09,213.7375,219.2500,204.7625,217.5875,2009228
2023-10-10,218.1250,223.9875,214.9625,217.0375,2396864
2023-10-11,217.8625,219.7375,212.5000,213.6750,885732
2023-10-12,215.2500,216.9875,213.6125,214.3250,937264
2023-10-13,214.2500,216.8750,207.6875,210.3625,774612
2023-10-16,210.3625,212.6625,207.0875,211.7000,984036
2023-10-17,213.1250,215.6250,210.7500,211.7000,834436
2023-10-18,212.0000,213.5625,208.8000,211.9125,466000
2023-10-19,211.9125,212.9875,208.1375,208.8500,473448
2023-10-20,209.2500,210.7125,205.0000,205.9750,535276
2023-10-23,207.5000,208.9375,187.5000,194.8000,1710448
2023-10-25,195.2500,201.1125,191.7375,196.2375,1079540
2023-10-26,194.7500,200.2500,188.5000,196.4125,1030288
2023-10-27,196.6750,200.4375,196.5750,198.3125,449444
2023-10-30,198.5000,199.7500,195.9750,198.8500,505972
2023-10-31,199.6250,204.1125,199.3750,202.4750,663284
2023-11-01,203.2500,204.4250,199.5000,202.5000,382400
2023-11-02,203.0000,204.9875,200.5500,202.3500,304768
2023-11-03,204.4125,204.5000,200.7625,201.9625,264552
2023-11-06,204.4875,206.2500,202.7375,203.8625,377080
2023-11-07,205.4875,209.0000,203.3500,208.3375,695888
2023-11-08,209.0000,210.0000,206.0250,207.9750,431756
2023-11-09,212.5000,216.1500,201.8000,205.1000,2198640
2023-11-10,200.8375,206.2500,200.8375,205.0375,555912
2023-11-13,204.5625,206.6500,203.0000,204.9125,500716
2023-11-15,204.9125,207.1625,203.2625,205.1125,369980
2023-11-16,205.9625,206.1250,201.3125,202.6375,646824
2023-11-17,204.4500,204.5000,200.0000,201.2250,607096
2023-11-20,201.2500,204.4875,198.5000,200.3875,450012
2023-11-21,203.2500,203.2500,199.0000,199.4750,466764
2023-11-22,200.5625,201.1250,198.7625,200.5500,361160
2023-11-23,200.7500,201.8000,199.2500,199.7750,231276
2023-11-24,200.5000,201.3750,198.7875,200.8125,329484
2023-11-28,200.8125,202.5000,197.9875,199.6500,334604
2023-11-29,200.0000,200.2500,197.7750,198.1625,349420
2023-11-30,199.2375,200.1875,197.8750,199.6500,373984
2023-12-01,200.5000,201.0000,198.1875,198.6125,513724
2023-12-04,201.7000,201.7000,197.7500,198.6500,367880
2023-12-05,199.5000,200.0625,196.1750,196.6250,459972
2023-12-06,197.5000,198.7125,194.5125,195.4625,494952
2023-12-07,195.5250,198.5000,195.4125,197.5875,503848
2023-12-08,200.5000,206.8750,199.1125,203.4000,3228628
2023-12-11,204.8000,206.1250,198.6875,199.4375,1087604
2023-12-12,201.0000,203.5000,199.5000,201.3625,912484
2023-12-13,203.2500,218.7500,203.2250,213.9000,16312260
2023-12-14,216.2500,219.2500,213.7500,214.6125,3767460
2023-12-15,216.2500,221.2500,214.8250,216.4125,2897836
2023-12-18,216.8375,224.7500,214.2625,222.1875,4657540
2023-12-19,223.0000,227.0500,217.5000,218.8000,2250780
2023-12-20,219.9500,229.9250,207.1750,210.8500,7642700
2023-12-21,210.9375,223.7250,210.0500,219.3500,3363844
2023-12-22,220.7000,221.9875,217.5000,218.9375,1345472
2023-12-26,218.9750,220.5000,213.0125,214.7500,1208852
2023-12-27,215.7375,218.2375,212.5250,215.1875,1010344
2023-12-28,215.9750,216.6500,212.6250,213.6125,722212
2023-12-29,213.6125,220.0000,211.7125,214.1625,1250896
2024-01-01,215.2500,218.0000,213.0000,214.2625,602384
2024-01-02,215.0000,216.1000,210.0125,212.1875,609724
2024-01-03,212.1875,213.8125,209.5000,211.4625,637568
2024-01-04,211.7500,213.2500,211.5000,212.0875,333148
2024-01-05,212.5000,218.3625,210.4875,212.4500,1158280
2024-01-08,212.8375,217.7500,210.0000,215.0500,1177724
2024-01-09,215.9875,218.6250,213.5000,214.4625,594328
2024-01-10,215.2375,220.8750,213.0125,216.2625,2030288
2024-01-11,217.0000,226.7500,215.2500,225.6375,4661564
2024-01-12,228.7375,243.7250,227.7625,236.6125,15436620
2024-01-15,236.6125,236.6125,236.6125,236.6125,0
2024-01-16,241.2250,244.8875,236.4375,242.0125,3102464
2024-01-17,239.5125,241.8125,232.7750,234.1875,1530024
2024-01-18,237.7375,238.7625,216.3875,228.3125,3421968
2024-01-19,230.4250,236.3750,227.0250,228.2125,1844072
2024-01-23,232.0000,233.8000,218.9125,221.9625,1802764
2024-01-24,224.4250,226.9500,220.0000,224.5875,1041292
2024-01-25,224.5875,230.7250,223.5000,227.6125,816124
2024-01-29,229.6000,232.2375,221.2500,223.3500,882232
2024-01-30,226.2500,226.4000,215.3875,217.5000,908052
2024-01-31,216.7500,223.7500,216.7500,222.3375,1112792
2024-02-01,222.3375,222.9875,215.5250,217.0375,719092
2024-02-02,218.9875,220.6250,213.0375,215.4375,705428
2024-02-05,215.2500,215.9875,207.5250,209.1125,774240
2024-02-06,209.9875,220.4500,209.2750,216.6375,1599924
2024-02-07,225.2000,229.2125,217.8875,221.0250,4143804
2024-02-08,221.0250,221.2375,216.0000,216.9875,580388
2024-02-09,216.5000,220.9000,211.7875,214.2000,1029252
2024-02-12,214.2500,219.3750,208.7500,216.6750,1002520
2024-02-13,216.6875,218.9875,209.5000,212.8125,821116
2024-02-14,210.7500,213.2875,209.0625,211.2750,589388
2024-02-15,211.2750,214.0125,210.0375,212.1875,513920
2024-02-16,212.2500,215.5875,210.8750,212.4000,465016
2024-02-19,212.5000,213.9875,210.9250,211.7625,493480
2024-02-20,212.8750,214.9125,206.8750,208.3250,503996
2024-02-21,208.8750,210.3750,200.0000,200.6625,1550184
2024-02-22,202.0000,202.6500,193.2500,196.5375,1961616
2024-02-23,198.5125,202.1375,197.1250,198.2125,995728
2024-02-26,199.2500,199.2500,193.2500,194.1125,822556
2024-02-27,194.1125,196.2500,191.9125,195.0875,835452
2024-02-28,195.3000,197.0000,188.0500,189.0875,897596
2024-02-29,191.2500,192.0000,185.5000,186.6250,1087292
2024-03-01,189.0000,191.0875,186.2500,188.3000,761088
2024-03-04,195.9875,197.2375,187.0000,187.9625,1395372
2024-03-05,188.3125,188.3125,182.5000,183.8750,1506876
2024-03-06,183.5000,184.9875,174.5000,175.8000,1454576
2024-03-07,177.4000,179.0000,172.2500,173.1500,1588596
2024-03-11,173.4125,174.4000,167.5000,168.5375,1113860
2024-03-12,168.6250,169.8500,163.8500,168.1250,1713692
2024-03-13,168.6000,169.5250,155.0000,157.6750,1856708
2024-03-14,157.7500,163.7125,156.2500,161.9750,1246592
2024-03-15,161.5000,169.0000,160.7625,168.0250,1215940
2024-03-18,168.7500,170.5000,165.6750,169.8500,786768
2024-03-19,170.4250,173.3250,167.0000,168.6125,933972
2024-03-20,170.0000,170.0000,164.0375,168.3750,712472
2024-03-21,169.5000,172.4750,168.5000,171.6750,729872
2024-03-22,171.4750,173.9000,170.0500,173.1125,622300
2024-03-26,173.2375,176.7125,167.5000,168.4250,1042248
2024-03-27,168.9125,169.0875,163.7625,165.3500,1870204
2024-03-28,165.3500,169.6000,163.7625,167.8625,1219012
2024-04-01,168.1250,173.8000,168.1250,173.2375,686380
2024-04-02,174.6375,178.2500,173.2375,176.7375,608404
2024-04-03,177.0000,178.2500,174.0000,174.6875,712536
2024-04-04,175.4000,175.9750,167.5000,169.0625,1281160
2024-04-05,169.9500,171.4250,166.8250,167.4500,1270968
2024-04-08,170.4875,170.5000,166.5000,167.0125,624616
2024-04-09,167.6125,169.0000,162.3000,162.7875,3511072
2024-04-10,163.1375,164.8625,160.4875,162.4750,4102716
2024-04-12,163.7500,170.6500,162.9375,163.5500,4746524
2024-04-15,163.5375,163.5375,157.8750,159.6250,1080224
2024-04-16,158.0000,162.5000,157.5250,158.9625,905944
2024-04-18,161.5000,164.2500,159.7500,160.3000,1057084
2024-04-19,160.2500,160.2500,155.2625,156.2000,1582792
2024-04-22,159.7375,160.0000,157.0250,159.0500,712044
2024-04-23,159.8000,164.4250,159.8000,161.5125,767368
2024-04-24,163.5000,164.5000,161.5000,162.7125,998080
2024-04-25,162.7500,162.7500,159.1625,159.5375,1002220
2024-04-26,159.5000,160.5000,156.9125,157.7000,879556
2024-04-29,159.9500,161.0000,158.2500,159.2875,594084
2024-04-30,159.5000,161.1125,158.2625,160.3125,788512
2024-05-02,160.7500,160.7500,154.6250,155.9000,1969756
2024-05-03,156.7500,160.5000,156.3250,159.5750,1256396
2024-05-06,159.5000,160.9625,158.0125,160.2625,930184
2024-05-07,161.0000,161.0000,157.4000,159.0125,1150072
2024-05-08,159.2500,160.4500,157.3000,157.9875,666360
2024-05-09,158.0000,158.7500,152.5000,153.8125,494072
2024-05-10,154.3625,156.2125,152.5000,154.3750,779652
2024-05-13,154.5000,155.0000,150.0875,151.7750,551792
2024-05-14,152.0000,153.7500,151.6375,153.2750,465768
2024-05-15,154.5000,154.5000,152.0000,152.2875,398056
2024-05-16,153.0125,155.5000,153.0000,154.4375,614812
2024-05-17,154.9750,156.4875,154.1500,155.2500,1001124
2024-05-21,155.2500,155.4250,153.5375,154.8750,431012
2024-05-22,155.0000,155.2750,152.9875,153.8875,461272
2024-05-23,154.2375,154.5875,153.3875,153.8250,378152
2024-05-24,153.8625,154.6000,153.0250,153.5875,509844
2024-05-27,147.8750,172.7125,147.8750,168.1375,13253248
2024-05-28,168.2500,180.7250,164.1625,176.4500,18184880
2024-05-29,174.4875,174.4875,168.7500,172.9500,3602460
2024-05-30,172.5000,178.6125,171.4125,176.2375,3174844
2024-05-31,175.4125,176.6625,171.9000,175.4625,1473100
2024-06-03,178.7250,202.5000,176.4500,197.1875,16137276
2024-06-04,197.0000,199.2500,162.9250,168.8000,4510336
2024-06-05,169.3125,182.4625,157.5000,174.3125,2928244
2024-06-06,178.9000,204.6000,178.7625,202.4125,12682340
2024-06-07,200.6250,208.7250,198.2500,202.6000,5452840
2024-06-10,202.6000,204.9250,197.5125,200.3500,1741936
2024-06-11,200.3500,212.8750,196.9750,211.6250,5229104
2024-06-12,212.7500,220.2375,212.7500,215.2250,3260712
2024-06-13,215.5000,217.2250,211.4375,212.9750,2271960
2024-06-14,215.2625,218.2000,210.5000,215.5875,1838568
2024-06-18,217.4625,222.0000,213.2500,217.8250,2399676
2024-06-19,220.0000,226.2500,214.5000,215.7500,4522644
2024-06-20,215.2500,221.0000,213.7500,215.0875,1928100
2024-06-21,216.6125,218.6625,213.1625,216.3500,1781344
2024-06-24,211.2500,215.7500,209.6625,211.8375,3284556
2024-06-25,213.2375,218.0000,211.5000,212.8750,1221304
2024-06-26,214.7500,215.6000,207.9875,208.9375,1515404
2024-06-27,206.2500,209.6000,201.2625,203.3250,1245968
2024-06-28,203.7500,221.7250,203.7500,217.2750,5288504
2024-07-01,215.3750,222.4750,215.3750,221.5000,8947608
2024-07-02,222.4875,233.2250,220.2750,231.1750,7230704
2024-07-03,233.5000,236.1000,227.0000,228.1250,2386816
2024-07-04,229.5000,229.5000,225.0625,227.7000,1485168
2024-07-05,228.5000,231.4000,221.3000,229.6500,1928804
2024-07-08,230.2500,242.5000,230.2500,233.5750,4731876
2024-07-09,230.5000,240.5875,230.5000,233.9250,2538056
2024-07-10,233.9250,234.7500,223.5000,226.0000,1589672
2024-07-11,226.0000,230.7750,225.0250,226.9125,860064
2024-07-12,229.1875,232.9125,225.4500,226.6500,1500632
2024-07-15,225.4875,230.5875,223.5875,227.1500,1389616
2024-07-16,227.1500,236.9750,227.1500,230.6375,2562208
2024-07-18,215.0250,233.7500,213.7500,231.8125,9982668
2024-07-19,229.1250,233.1500,221.5000,222.8250,2365660
2024-07-22,219.8750,222.4750,217.5000,218.3375,997676
2024-07-23,219.4875,220.2125,206.0625,218.8375,1160312
2024-07-24,220.0500,229.9750,220.0375,228.4375,1161620
2024-07-25,226.0000,231.2500,225.0000,227.9375,1794916
2024-07-26,232.0875,232.0875,225.2375,226.2875,684740
2024-07-29,225.7500,232.8875,225.2500,226.0250,700884
2024-07-30,226.7000,232.4875,225.4250,226.4250,1059380
2024-07-31,228.7125,232.0000,225.7500,226.7125,1001760
2024-08-01,227.3250,242.2500,226.5375,237.3375,5132048
2024-08-02,238.7500,258.7250,237.5125,245.3500,19927692
2024-08-05,238.7250,241.3000,225.5000,227.3750,6210416
2024-08-06,233.3250,238.4250,224.0000,225.6500,7305476
2024-08-07,230.0000,232.8500,223.7875,226.3875,2212092
2024-08-08,227.7500,239.4125,225.3000,232.7125,4355548
2024-08-09,235.1125,241.2500,230.3500,236.6625,2215032
2024-08-12,234.9500,243.7500,232.3125,237.5000,3557640
2024-08-13,238.7500,245.3750,232.6250,234.9250,3015120
2024-08-14,233.5125,235.1250,228.7500,230.4000,1959968
2024-08-16,231.6750,242.5000,230.8750,235.7000,3885580
2024-08-19,237.5125,240.4500,231.8625,234.2625,1707460
2024-08-20,236.2250,236.6000,231.3250,234.0000,1023944
2024-08-21,235.0000,249.4750,233.5125,241.7875,5477888
2024-08-22,242.6250,244.1125,236.5250,237.9500,1433400
2024-08-23,239.2500,243.7375,233.7500,235.2000,2022708
2024-08-26,236.2875,238.7500,232.5625,233.3625,1274956
2024-08-27,233.3625,245.0375,233.3625,236.6125,5697524
2024-08-28,237.7250,239.9875,233.2500,236.6500,3472352
2024-08-29,236.1000,237.7000,231.5000,235.3625,1638048
2024-08-30,236.1250,237.7375,230.2500,232.1750,1580108
2024-09-02,232.5000,234.2375,227.8750,229.6000,1248968
2024-09-03,230.0000,233.0000,227.7750,229.5375,1505120
2024-09-04,229.0875,242.2500,228.0500,236.5625,6752456
2024-09-05,237.2375,241.6125,235.3125,236.0125,2915468
2024-09-06,237.0000,238.7500,228.8375,229.9750,1793796
2024-09-09,232.0000,237.4875,229.4875,231.0375,2074736
2024-09-10,234.1250,244.9875,233.7500,240.6750,12787468
2024-09-11,242.4750,247.3125,236.3125,241.2750,11196408
2024-09-12,245.0000,254.7000,244.6875,252.0500,11842380
2024-09-13,260.0000,264.7500,244.4625,262.4125,27503896
2024-09-16,268.5000,270.8500,261.2625,266.2625,8945560
2024-09-17,265.0000,269.7500,260.7250,267.0875,6275832
