date,open,high,low,close,volume
2023-09-25,1898.8500,1898.8500,1766.5000,1766.5000,54
2023-09-26,1836.8000,1836.8000,1780.0000,1788.6500,42
2023-09-27,1860.1500,1860.1500,1819.4500,1819.9000,10
2023-09-28,1784.0500,1803.9500,1750.0000,1792.7000,329
2023-09-29,1864.0000,1864.0000,1760.9000,1798.7500,242
2023-10-03,1798.5000,1832.9500,1775.0000,1809.7000,234
2023-10-04,1818.8000,1819.3500,1740.5500,1772.2500,196
2023-10-05,1843.0000,1843.0000,1808.0000,1812.1000,167
2023-10-06,1814.5500,1848.6000,1767.0500,1802.6500,323
2023-10-09,1788.7000,1796.0000,1751.0000,1773.5000,59
2023-10-10,1752.5500,1796.0000,1752.0000,1777.4000,240
2023-10-11,1785.8000,1791.1500,1750.0000,1769.4000,70
2023-10-12,1772.2500,1825.9500,1771.0000,1809.7500,38
2023-10-13,1794.0000,1800.0000,1718.5000,1757.8000,138
2023-10-16,1827.7000,1849.0000,1778.0000,1802.0000,260
2023-10-17,1811.7000,1811.7000,1778.8000,1799.0000,146
2023-10-18,1776.4000,1778.0000,1763.0000,1774.4500,110
2023-10-19,1774.9000,1881.9000,1774.9000,1813.3500,493
2023-10-20,1801.8500,1879.8500,1795.0000,1842.9000,1156
2023-10-23,1800.0000,1850.0000,1749.2000,1770.9500,477
2023-10-25,1799.8500,1840.5000,1713.4500,1727.9500,359
2023-10-26,1723.5500,1726.0000,1675.0000,1709.5000,137
2023-10-27,1777.8500,1790.0000,1732.4000,1764.0000,49
2023-10-30,1764.0000,1799.8000,1710.1000,1738.7000,163
2023-10-31,1751.7500,1770.9500,1700.0000,1724.0500,326
2023-11-01,1721.3500,1730.1000,1717.0000,1725.1000,29
2023-11-02,1714.1500,1757.1000,1714.1500,1741.2500,80
2023-11-03,1735.4500,1749.2500,1727.0000,1727.5500,220
2023-11-06,1758.1500,1810.4500,1744.8000,1789.3000,180
2023-11-07,1807.2000,1807.2000,1741.0000,1777.2500,157
2023-11-08,1745.6000,1775.9000,1744.1000,1766.5000,55
2023-11-09,1773.3000,1780.1500,1762.0000,1772.9500,35
2023-11-10,1788.0000,1788.0000,1767.0000,1771.2500,15
2023-11-13,1769.7500,1797.1000,1769.7500,1795.0000,30
2023-11-15,1756.0000,1789.0000,1750.0000,1774.7500,126
2023-11-16,1754.3000,1800.0000,1754.3000,1797.7500,775
2023-11-17,1801.1500,1801.1500,1780.0000,1781.4000,30
2023-11-20,1799.5500,1807.2000,1790.1500,1791.2000,183
2023-11-21,1791.2000,1800.0000,1778.1000,1789.5500,187
2023-11-22,1794.0000,1819.9500,1790.0000,1807.8000,263
2023-11-23,1810.5500,1817.0000,1799.4000,1809.1500,155
2023-11-24,1808.8500,1924.8000,1800.3500,1899.5500,2113
2023-11-28,1900.0000,1999.0000,1881.0000,1911.9000,657
2023-11-29,1911.9000,1948.0000,1865.3000,1906.2500,773
2023-11-30,1845.0500,1899.0500,1845.0500,1877.5500,200
2023-12-01,1825.0500,1907.4500,1825.0500,1890.0000,114
2023-12-04,1887.5000,1918.0000,1877.0000,1889.6000,910
2023-12-05,1826.0000,1925.0000,1826.0000,1901.0500,203
2023-12-06,1923.5500,1923.5500,1855.1000,1870.8500,512
2023-12-07,1860.0000,1903.0000,1860.0000,1886.5000,83
2023-12-08,1961.0000,1961.0000,1801.0000,1815.8500,313
2023-12-11,1810.6500,1848.0000,1810.6500,1842.2000,110
2023-12-12,1844.1000,1870.0000,1825.0000,1841.5000,445
2023-12-13,1800.0500,1889.0000,1800.0500,1844.3000,163
2023-12-14,1848.4500,1858.0000,1801.0000,1819.5000,208
2023-12-15,1821.5500,1849.0000,1800.0000,1825.4500,348
2023-12-18,1898.0000,1898.4500,1797.4000,1826.4500,490
2023-12-19,1818.6000,1899.0000,1817.0000,1886.0000,807
2023-12-20,1878.6500,1899.0000,1810.0000,1861.6000,287
2023-12-21,1872.0000,1925.0000,1833.4500,1894.0500,2602
2023-12-22,1918.8000,1918.8000,1820.7500,1858.7500,395
2023-12-26,1900.2500,1924.2000,1869.7000,1873.3500,420
2023-12-27,1896.2500,1918.9000,1870.7000,1909.2500,17779
2023-12-28,1913.0500,1925.0000,1885.1000,1893.1500,310
2023-12-29,1896.2000,1900.0500,1816.0000,1853.2500,557
2024-01-01,1899.0000,1901.0000,1872.0000,1890.4000,366
2024-01-02,1890.4500,1910.0000,1853.7000,1903.6500,837
2024-01-03,1901.2500,1903.0000,1870.5000,1895.7000,141
2024-01-04,1893.5000,1909.8500,1885.0000,1891.0500,167
2024-01-05,1879.9500,1900.9000,1879.9500,1885.1500,108
2024-01-08,1885.4000,1919.2500,1860.0000,1873.2500,129
2024-01-09,1873.4500,1890.0500,1870.0500,1873.7000,65
2024-01-10,1900.0000,1916.0000,1877.0500,1902.7000,385
2024-01-11,1866.1500,1910.0000,1866.0000,1910.0000,107
2024-01-12,1860.9000,1904.9500,1851.0000,1893.5500,234
2024-01-15,1877.2000,1899.0000,1866.0000,1880.7000,120
2024-01-16,1875.6000,1890.9000,1875.0000,1884.7500,214
2024-01-17,1890.0000,1898.0000,1850.0000,1852.7000,995
2024-01-18,1852.0500,1895.0000,1827.0500,1855.4500,135
2024-01-19,1851.3500,1870.0000,1842.0000,1850.5000,319
2024-01-23,2030.0000,2030.0000,1822.0500,1883.3000,243
2024-01-24,1889.3000,1890.0000,1836.0500,1874.9000,105
2024-01-25,1855.1500,1900.0000,1849.7500,1889.2000,260
2024-01-29,1890.9000,1989.3500,1836.1000,1901.9000,2196
2024-01-30,1911.7000,1911.7000,1888.0000,1896.0000,28
2024-01-31,1947.3000,1950.5500,1810.0000,1901.9000,527
2024-02-01,1905.3500,1975.0000,1905.0000,1939.8000,687
2024-02-02,1960.0500,2014.0000,1852.6000,1893.7500,1128
2024-02-05,1993.0000,1993.0000,1871.0000,1900.0000,436
2024-02-06,1975.9500,1976.3000,1872.0000,1888.0000,249
2024-02-07,1959.0000,1959.0000,1886.0000,1905.1000,93
2024-02-08,1893.5500,1906.0500,1850.1000,1887.7000,116
2024-02-09,1890.0000,1903.7500,1870.0000,1889.6000,169
2024-02-12,1896.4500,1896.9000,1813.5500,1843.7500,378
2024-02-13,1823.2500,1824.0000,1702.7000,1757.1500,826
2024-02-14,1826.0000,1826.0000,1733.1000,1791.5000,204
2024-02-15,1755.0000,1843.5500,1755.0000,1833.2000,192
2024-02-16,1808.6500,1824.0000,1720.0000,1760.2000,635
