date,open,high,low,close,volume
2023-09-25,154.8000,166.0000,152.5000,154.4500,10455356
2023-09-26,155.7500,161.4500,151.0000,153.9000,1371574
2023-09-27,154.0000,159.9000,153.0000,157.2500,646398
2023-09-28,160.9500,173.4000,160.0000,164.3000,3405977
2023-09-29,165.6500,167.9000,162.0000,163.7000,362365
2023-10-03,164.5000,166.0000,162.6000,165.0500,267817
2023-10-04,165.0000,165.9500,159.8500,161.9000,333076
2023-10-05,162.9500,165.0000,161.4000,163.5500,177497
2023-10-06,163.5500,166.8000,162.7000,163.7000,193125
2023-10-09,160.0000,162.5000,158.0000,158.8000,198245
2023-10-10,160.2500,164.4000,160.2500,161.1000,194472
2023-10-11,161.7500,164.1500,160.0000,161.9000,179222
2023-10-12,162.0000,163.2500,159.6000,160.6000,224000
2023-10-13,160.4500,163.9500,157.5500,158.7500,275016
2023-10-16,160.2000,160.2000,155.6000,156.6500,262803
2023-10-17,155.0000,159.4000,155.0000,156.8500,161167
2023-10-18,159.8000,161.0000,155.1000,159.5500,269404
2023-10-19,158.3500,159.6500,156.9000,158.3500,122644
2023-10-20,158.3000,168.8000,157.0000,161.7000,806951
2023-10-23,163.0000,172.0000,152.8500,154.8500,604595
2023-10-25,157.3000,158.1500,151.5500,156.0500,336298
2023-10-26,156.3000,159.4000,151.2000,158.1500,268589
2023-10-27,163.0000,164.8000,158.4000,162.1000,294803
2023-10-30,163.5000,165.7500,159.5000,162.0500,269002
2023-10-31,174.2000,174.2000,161.0500,163.1500,1440616
2023-11-01,163.8000,169.9000,162.0500,166.6000,477318
2023-11-02,167.5000,169.8000,164.0500,165.4500,157876
2023-11-03,168.4500,168.9500,164.1500,165.6500,162990
2023-11-06,166.8500,171.4000,165.6000,166.8000,478265
2023-11-07,166.8000,173.0000,164.0500,166.6000,512465
2023-11-08,167.9000,170.9000,166.9500,168.8500,271367
2023-11-09,171.0000,194.3000,171.0000,176.6500,9297753
2023-11-10,177.8000,182.5000,172.0500,175.6500,831048
2023-11-13,177.5000,178.9000,172.6000,173.4000,495392
2023-11-15,177.2500,177.2500,172.4000,173.3500,270450
2023-11-16,173.9000,176.7500,173.1500,174.6500,237127
2023-11-17,173.2000,175.3000,171.1500,173.2000,224867
2023-11-20,173.2000,175.7000,170.3000,171.7500,212635
2023-11-21,172.7000,174.4500,170.3500,171.3500,148625
2023-11-22,171.9500,174.2000,170.5500,171.9000,188804
2023-11-23,173.2000,178.6500,171.3500,171.9500,480207
2023-11-24,173.6500,174.2000,171.1500,172.0500,147576
2023-11-28,173.5000,173.6000,171.0500,171.8000,133469
2023-11-29,172.0000,174.9000,171.8500,172.3500,244025
2023-11-30,172.9000,173.7000,171.3500,171.9500,219623
2023-12-01,172.9000,173.6500,171.7000,172.0000,139925
2023-12-04,174.4000,174.4000,171.8000,172.4000,182088
2023-12-05,173.0000,179.3000,171.5000,177.0500,455125
2023-12-06,177.9000,178.8000,174.2000,175.0500,144319
2023-12-07,173.7000,178.0500,173.7000,175.0000,222306
2023-12-08,175.0000,177.2000,174.9000,175.8000,195958
2023-12-11,176.3000,176.8500,174.0000,174.7500,117304
2023-12-12,175.9500,176.9500,174.0500,174.9500,134653
2023-12-13,174.9500,175.9000,172.9500,174.3500,90873
2023-12-14,174.5500,176.4500,173.0500,174.0000,121548
2023-12-15,174.9000,175.8000,169.0000,170.6500,182549
2023-12-18,170.7500,171.6500,168.2000,170.6500,119889
2023-12-19,171.3000,172.0500,168.3500,169.4500,118863
2023-12-20,170.3000,170.3000,159.0000,160.5500,248644
2023-12-21,160.5500,167.9000,151.1000,161.9500,293313
2023-12-22,162.0500,166.5500,161.3000,165.3500,147108
2023-12-26,165.9000,167.0000,161.5000,162.8000,137618
2023-12-27,163.0000,165.9000,162.0500,163.4500,93248
2023-12-28,164.3000,166.2000,161.7500,164.3500,116028
