date,open,high,low,close,volume
2023-09-18,143.0500,145.9500,140.8000,143.2000,3277633
2023-09-20,142.0000,150.8000,140.3000,145.0500,4452638
2023-09-21,145.0000,147.3000,138.0500,139.0000,2036658
2023-09-22,139.4000,140.9000,136.4000,138.2000,1396230
2023-09-25,138.6500,142.7000,137.0000,140.0500,1518810
2023-09-26,139.9500,140.8000,137.3500,138.1000,788613
2023-09-27,138.2000,140.0000,136.5000,139.0500,686691
2023-09-28,139.1000,143.4500,136.2500,140.6000,2256578
2023-09-29,141.4000,141.5500,138.7000,140.5000,607300
2023-10-03,139.3500,141.5500,138.2500,139.4000,539738
2023-10-04,138.9500,138.9500,134.3000,135.6500,655775
2023-10-05,134.3500,138.0000,133.1000,137.0500,755373
2023-10-06,138.0000,141.2500,136.8500,139.4500,1152064
2023-10-09,137.0000,138.9500,134.2500,135.6000,538607
2023-10-10,136.7000,138.7000,136.1000,137.9500,373698
2023-10-11,138.6000,140.7000,136.2500,137.1500,537705
2023-10-12,138.2500,139.1500,135.6500,137.8000,464426
2023-10-13,136.8000,138.9500,136.0500,136.6500,235831
2023-10-16,136.6000,142.9500,136.6000,142.3000,1247657
2023-10-17,144.1000,147.0000,141.6000,142.5500,2179146
2023-10-18,142.6500,144.4000,138.7500,143.5500,942691
2023-10-19,143.3500,149.6500,141.0000,143.6000,3917534
2023-10-20,144.5000,154.6500,143.6000,149.1500,8417902
2023-10-23,150.2000,152.7000,137.1000,138.5500,2430220
2023-10-25,139.6500,144.7000,134.5500,136.5000,1026184
2023-10-26,136.4000,138.7000,130.1000,135.5500,1355864
2023-10-27,134.9000,139.1500,134.7000,136.7500,627073
2023-10-30,136.8000,138.2000,135.0000,136.1500,371587
2023-10-31,137.5000,142.9500,136.8500,138.8500,1216305
2023-11-01,139.1500,140.0000,136.6000,137.0500,382615
2023-11-02,137.9500,141.6500,136.7500,138.1000,484719
2023-11-03,138.9000,142.2000,136.7500,138.3000,718605
2023-11-06,139.0500,142.2000,138.8000,141.1500,559632
2023-11-07,141.9000,144.5000,141.4000,143.2000,683207
2023-11-08,144.3000,147.0500,143.5000,144.7500,893492
2023-11-09,136.2000,138.9500,133.0000,137.4500,1990390
2023-11-10,138.6000,138.9500,136.3000,138.0500,472788
2023-11-13,141.5000,142.5000,140.4000,141.1000,400315
2023-11-15,142.6000,145.7500,140.7000,143.3500,816044
2023-11-16,143.3500,151.8500,143.0500,148.5000,4047602
2023-11-17,148.9500,155.2000,147.5000,151.9500,3555936
2023-11-20,151.1000,156.0000,149.0000,155.0000,2264225
2023-11-21,156.2500,166.5000,156.2000,164.9000,6705888
2023-11-22,165.0000,177.8500,164.0500,176.4500,14490879
2023-11-23,176.8000,176.8000,169.2500,174.2000,3013181
2023-11-24,176.0000,209.0000,175.0000,209.0000,34862627
2023-11-28,213.1000,237.3000,203.7000,226.1000,50665997
2023-11-29,228.0000,234.0000,223.0000,232.0000,11176875
2023-11-30,227.9500,255.2000,227.0000,255.2000,11577826
2023-12-01,261.9000,261.9000,229.7000,231.2500,9486945
2023-12-04,236.8000,245.0000,229.7000,241.9000,5614362
2023-12-05,241.9000,247.4500,230.5000,232.1000,4998735
2023-12-06,233.9500,236.6000,224.4000,228.2000,2873141
2023-12-07,228.0500,241.2000,226.3000,236.7000,4048849
2023-12-08,235.4500,236.4500,226.4500,228.1500,1686202
2023-12-11,228.5000,232.3000,227.5000,228.1500,847753
2023-12-12,229.9500,244.4000,229.9000,236.8000,6108711
2023-12-13,238.5000,238.6000,231.9000,235.0000,1006148
2023-12-14,238.0000,238.0000,229.0500,230.5500,1080086
2023-12-15,232.4000,235.8000,221.4500,224.2500,1559222
2023-12-18,226.0000,228.8500,223.1500,226.4500,1049860
2023-12-19,228.0500,231.2000,222.8000,225.4500,891298
2023-12-20,227.2000,234.7500,212.0000,213.8500,2703005
2023-12-21,213.8500,217.1500,209.0500,216.4000,1193573
2023-12-22,219.7000,223.0000,214.2000,217.5500,1018764
2023-12-26,216.2000,216.9500,210.7500,212.7500,1391536
2023-12-27,216.8500,219.6500,212.2500,213.2500,1012111
2023-12-28,215.6000,216.9500,212.2000,213.4500,931536
2023-12-29,213.1000,215.8500,209.0500,210.3500,924302
2024-01-01,212.5000,218.8000,210.7000,216.6000,1222181
2024-01-02,217.5000,221.4500,211.9500,213.6500,1222196
2024-01-03,215.3500,222.0000,214.0500,218.5000,1310544
2024-01-04,219.5000,231.5000,218.0000,227.9500,3121729
2024-01-05,229.8000,234.1500,226.5000,229.2000,1591835
2024-01-08,229.9500,230.0000,220.3500,222.1000,817294
2024-01-09,224.1000,225.4500,219.2000,221.3500,409218
2024-01-10,222.4000,222.4000,213.8000,215.6000,650247
2024-01-11,213.9000,216.8000,212.3000,213.6000,1031575
2024-01-12,215.5000,217.4500,214.3000,215.1000,364103
2024-01-15,216.5000,221.4000,212.6000,216.9500,1019951
2024-01-16,219.2000,229.0000,217.3500,223.6000,3123417
2024-01-17,221.4000,235.0000,218.0500,222.8000,3883931
2024-01-18,223.4000,225.7000,214.0000,221.2000,1037623
2024-01-19,223.0000,243.3000,222.5000,242.9000,7328949
2024-01-23,240.0000,243.8000,224.2000,227.0000,2683583
2024-01-24,224.9500,239.4500,221.5000,235.5500,2912763
2024-01-25,236.7000,241.9500,229.8000,231.4000,1050944
2024-01-29,233.4000,243.5500,231.0000,237.6000,2102914
2024-01-30,240.0000,249.4000,235.2000,246.3000,2830449
2024-01-31,248.3000,255.3500,241.1000,243.2500,3027687
2024-02-01,243.2500,246.2000,235.5000,239.8500,1332461
2024-02-02,241.1500,248.6500,238.6000,242.1000,1613433
2024-02-05,243.9500,266.3000,243.1000,265.6500,7739988
2024-02-06,270.0000,289.3000,267.2000,276.1500,7621909
2024-02-07,279.1500,289.0000,270.3500,272.8500,3553419
2024-02-08,277.0000,314.4500,277.0000,304.4000,20964304
2024-02-09,311.0000,324.7000,282.4000,290.9500,9670302
2024-02-12,290.9500,290.9500,241.0000,246.7500,5656098
