date,open,high,low,close,volume
2023-09-18,1273.6500,1281.7000,1240.0500,1246.8500,522794
2023-09-20,1239.0000,1244.2000,1210.0000,1223.2000,265483
2023-09-21,1219.0000,1237.0000,1212.2000,1217.1000,258972
2023-09-22,1220.0000,1230.0000,1197.7000,1202.9500,235799
2023-09-25,1206.5000,1243.6000,1206.4500,1218.8500,319835
2023-09-26,1218.9000,1227.0000,1202.0000,1208.9000,173010
2023-09-27,1207.0000,1226.0000,1203.0000,1211.0500,192022
2023-09-28,1212.0000,1219.9500,1195.0000,1197.5500,174032
2023-09-29,1199.4500,1220.0000,1194.0500,1200.8500,171253
2023-10-03,1200.8500,1208.0500,1195.6000,1202.7500,180301
2023-10-04,1189.0500,1215.0000,1189.0500,1193.7500,223176
2023-10-05,1193.7500,1209.0000,1185.0000,1192.8000,169821
2023-10-06,1195.0000,1202.5500,1185.0000,1189.6500,168251
2023-10-09,1185.0000,1186.0000,1134.0000,1143.7000,342640
2023-10-10,1146.6500,1182.0000,1146.6500,1174.7000,212633
2023-10-11,1183.0000,1207.6000,1175.0000,1176.6000,355153
2023-10-12,1184.3000,1192.0000,1173.0000,1179.9500,187638
2023-10-13,1175.0000,1185.3000,1170.1500,1174.3500,204554
2023-10-16,1180.4000,1190.0000,1156.0000,1162.5000,136189
2023-10-17,1168.9500,1175.8000,1155.0000,1159.7000,115600
2023-10-18,1162.0000,1167.3000,1140.0000,1141.7000,175519
2023-10-19,1145.0000,1145.7500,1120.0000,1123.7000,178817
2023-10-20,1122.7000,1170.0000,1102.0000,1118.2500,249367
2023-10-23,1120.0000,1147.8000,1075.0500,1080.4000,455321
2023-10-25,1080.4000,1117.6000,1052.1000,1070.2500,450338
2023-10-26,1070.2500,1079.7000,1018.0000,1060.3500,606739
2023-10-27,1072.0000,1166.3500,1068.0000,1136.3000,1229651
2023-10-30,1145.0500,1153.9500,1103.1500,1139.5500,526270
2023-10-31,1146.0000,1169.0000,1128.0500,1139.2500,454772
2023-11-01,1144.0000,1195.0000,1137.0500,1164.6000,772933
2023-11-02,1178.0000,1196.0000,1171.0000,1187.0500,482924
2023-11-03,1197.0000,1202.4500,1172.0000,1176.7000,369859
2023-11-06,1218.0000,1223.0000,1179.0000,1184.8000,789322
2023-11-07,1189.8500,1191.9500,1160.0000,1163.8500,289883
2023-11-08,1170.8000,1182.2500,1162.0000,1173.5000,276381
2023-11-09,1176.0000,1200.0000,1165.1500,1171.6500,372157
2023-11-10,1171.9000,1175.5000,1157.1500,1162.5500,193172
2023-11-13,1179.0500,1181.5500,1168.0000,1172.8000,149257
2023-11-15,1184.0000,1197.0000,1175.0500,1178.5000,271158
2023-11-16,1184.0000,1237.0000,1177.4000,1200.7000,1272206
2023-11-17,1205.0500,1218.4500,1190.7000,1196.2000,324030
2023-11-20,1199.9500,1308.0000,1193.9000,1294.0500,4878125
2023-11-21,1315.0000,1338.0000,1261.0000,1268.7500,1904461
2023-11-22,1275.3000,1294.4500,1242.2000,1258.5000,846768
