date,open,high,low,close,volume
2026-08-18,537.0500,543.0000,537.0500,537.0500,17961
2026-08-19,533.0000,563.9000,533.0000,560.6500,20875
2026-08-20,575.0000,575.0000,544.0500,564.1000,18280
2026-08-21,570.0000,580.0000,535.9000,555.1000,15288
2026-08-24,557.6000,566.9500,545.0000,553.9500,13499
2026-08-25,562.9000,562.9500,545.0000,546.2000,9369
2026-08-26,545.8500,565.0000,545.8500,556.5000,6603
2026-08-27,565.0000,565.0000,540.0000,541.4000,8373
2026-08-28,564.9500,564.9500,546.0000,546.7000,4526
2026-08-31,550.0000,561.7500,520.0000,532.5500,9861
2026-09-01,554.3500,554.3500,505.9500,514.1500,20299
2026-09-02,510.5500,520.0000,501.0000,502.0500,19205
2026-09-03,494.0000,527.1500,494.0000,527.1500,132633
2026-09-04,547.8000,552.9500,530.3500,542.4000,16907
2026-09-07,535.1000,544.9500,515.3000,522.0000,14827
2026-09-08,522.0000,537.6500,513.0500,531.2000,23535
2026-09-09,550.0000,550.0000,525.0500,540.4000,11378
2026-09-10,546.0000,549.0000,527.0500,546.0000,15825
2026-09-11,545.0000,545.0000,535.0000,540.4500,10095
2026-09-15,555.3000,560.2000,513.4500,518.5000,19227
2026-09-16,519.1000,531.2000,495.0000,524.7500,8604
