date,open,high,low,close,volume
2023-09-25,562.4000,566.5500,552.0000,554.4000,46039
2023-09-26,554.4000,563.4500,546.0000,548.6500,62551
2023-09-27,548.6500,573.4500,547.5500,559.2500,68426
2023-09-28,559.2500,569.0000,554.8000,560.5500,30667
2023-09-29,559.0500,561.0000,551.0000,554.1000,21242
2023-10-03,552.8500,560.9500,544.1000,548.0500,34723
2023-10-04,548.0500,549.9500,531.1500,538.5500,43234
2023-10-05,541.5000,552.5500,538.1000,545.8500,18658
2023-10-06,548.0000,566.5000,543.9500,562.5500,67566
2023-10-09,553.0000,560.0000,543.2500,547.6000,45560
2023-10-10,547.6000,562.0000,545.0000,550.3500,43147
2023-10-11,554.0000,565.9500,553.9500,556.6500,25377
2023-10-12,556.2500,564.3500,545.0000,551.5500,30269
2023-10-13,552.2000,563.9500,550.0000,558.8500,24654
2023-10-16,561.5000,586.2500,558.5500,580.6000,88871
2023-10-17,585.0000,587.9000,571.0000,572.9500,31290
2023-10-18,577.0000,577.0500,560.0000,568.9000,32713
2023-10-19,568.9500,624.9500,566.9000,591.1500,233275
2023-10-20,598.5000,614.3000,545.5000,570.8000,221465
2023-10-23,558.0000,558.0000,486.0000,498.4000,190294
2023-10-25,499.4000,528.0000,485.5000,502.2500,96661
2023-10-26,495.0000,497.6000,480.5500,484.5500,70939
2023-10-27,488.8000,547.0000,487.8000,502.9500,163133
2023-10-30,505.0000,516.6500,497.0000,500.4500,75306
2023-10-31,506.0000,515.4000,497.0500,505.1500,84199
2023-11-01,507.8500,517.0500,499.0000,501.9000,39225
2023-11-02,510.0000,511.4500,492.3500,497.6500,25189
2023-11-03,494.0000,514.5000,494.0000,510.8000,32401
2023-11-06,509.8000,518.0500,506.6000,511.4000,28447
2023-11-07,515.0000,515.0000,499.3000,502.7500,18375
2023-11-08,504.0000,522.1500,501.5500,515.0500,62108
2023-11-09,515.7500,565.0000,515.7500,553.1000,185965
2023-11-10,549.9000,573.4000,544.1000,549.5500,144952
2023-11-13,551.4500,555.9000,541.4500,548.9000,28527
2023-11-15,554.7000,569.0000,551.3000,559.6500,61946
2023-11-16,560.0000,568.2500,553.8500,560.3000,28676
2023-11-17,564.0000,568.0000,550.2500,557.3500,27933
2023-11-20,559.9000,597.4500,558.2500,580.2000,124282
2023-11-21,583.4500,589.7500,573.6000,585.1500,42667
2023-11-22,587.0000,625.0000,565.3500,618.9500,229661
2023-11-23,621.0000,636.8000,610.6000,615.1000,131154
2023-11-24,614.8000,619.0000,583.6000,592.5000,52286
2023-11-28,592.5000,595.4500,573.4500,578.0000,38906
2023-11-29,583.6500,598.0000,570.0500,577.2000,29953
2023-11-30,577.8500,594.5500,572.2500,582.7500,47542
2023-12-01,583.0500,590.4500,580.5000,584.4500,24885
2023-12-04,592.0000,592.9000,578.8000,585.3500,35891
2023-12-05,587.7000,593.4500,570.3500,575.0000,24445
2023-12-06,577.9000,582.5000,565.0000,577.3500,49006
2023-12-07,580.0000,580.1500,561.0000,568.1000,22348
2023-12-08,571.0000,571.4500,558.0000,563.5000,26551
2023-12-11,558.1000,575.0000,558.1000,561.7000,30235
2023-12-12,564.2500,572.0000,552.0500,557.7500,32378
2023-12-13,559.6000,575.1000,553.8500,571.7000,29595
2023-12-14,590.1000,686.0000,590.1000,684.2000,1766787
2023-12-15,700.0000,723.0000,662.6000,685.5500,1450866
2023-12-18,686.7500,728.9000,672.2500,706.3000,457354
2023-12-19,707.2500,721.9500,690.6000,699.5000,158076
2023-12-20,695.0000,740.0000,664.8500,692.8500,408534
2023-12-21,687.0000,710.8500,627.8000,640.2000,2299158
2023-12-22,654.9500,654.9500,626.7500,634.7000,1254641
2023-12-26,635.0000,637.9000,615.1500,628.1500,349340
2023-12-27,631.7000,636.0000,620.5500,628.0500,267769
2023-12-28,624.1000,638.0000,611.0000,625.2500,164432
2023-12-29,627.0000,631.3500,615.3500,624.9000,136967
2024-01-01,627.4000,633.2500,602.1000,609.0500,119931
2024-01-02,610.5000,617.4000,595.1500,609.7000,175333
