date,open,high,low,close,volume
2025-11-06,750.1000,760.0000,692.5500,713.6500,16614143
2025-11-07,714.0000,727.0000,702.2000,706.9500,1427316
2025-11-10,704.9500,708.9500,672.0500,675.4000,1032335
2025-11-11,673.0000,690.5000,671.0500,686.6500,530962
2025-11-12,691.9500,691.9500,663.4000,667.7500,535229
2025-11-13,667.0000,678.9500,656.1000,664.8500,752964
2025-11-14,654.1000,682.4000,645.7000,667.1500,911209
2025-11-17,667.2000,690.5000,664.2000,679.7000,448303
2025-11-18,680.0000,682.8000,667.2500,671.8000,266069
2025-11-19,670.5000,716.9000,670.5000,707.2000,1777363
2025-11-20,714.2500,714.2500,675.0000,678.7000,420738
2025-11-21,678.7000,679.9500,662.5500,666.6000,295570
2025-11-24,670.0000,670.3000,645.0000,648.7500,253811
2025-11-25,651.9000,658.0000,642.0000,655.5500,151982
2025-11-26,657.9000,667.8000,655.6500,661.3500,140884
2025-11-27,663.9500,667.8000,656.0000,657.7000,130544
2025-11-28,663.7000,666.5000,646.5000,648.3500,169219
2025-12-01,648.3500,653.0000,625.8000,632.4500,231646
2025-12-02,632.6000,636.2000,618.0000,620.1500,192738
2025-12-03,615.1000,617.5500,602.3000,610.8500,274605
2025-12-04,615.0000,625.0000,603.0500,618.8000,324321
2025-12-05,618.7000,633.2000,616.1000,630.8500,190117
2025-12-08,625.9500,625.9500,605.0000,609.3000,168008
2025-12-09,609.0000,618.8500,597.2000,613.7000,211534
2025-12-10,615.0000,618.5000,612.1500,615.0000,189146
2025-12-11,615.1000,623.0000,615.1000,622.2000,131469
2025-12-12,621.9500,626.3000,621.0000,624.6500,46483
2025-12-15,623.7000,624.0000,608.4000,611.2000,106811
2025-12-16,611.7500,616.0000,609.0500,614.4000,71997
2025-12-17,627.0000,627.0000,601.0000,606.0500,114888
2025-12-18,606.0500,606.9000,591.1000,598.6000,135330
2025-12-19,597.0000,601.2500,587.0500,596.6500,160835
2025-12-22,599.6000,611.9000,594.0500,606.4000,173518
2025-12-23,610.0000,615.9000,598.1000,609.6000,150516
2025-12-24,609.4000,615.5000,609.0000,612.0000,227397
2025-12-26,619.0000,619.0000,600.0000,604.0500,208676
2025-12-29,605.0000,637.9500,604.0500,624.1000,458213
2025-12-30,624.1000,632.6500,614.1000,628.6500,193887
2025-12-31,623.5000,636.8500,623.5000,634.9500,248099
2026-01-01,633.3000,638.5000,630.2000,633.5000,58929
2026-01-02,635.0000,641.7500,625.7500,635.4000,81248
2026-01-05,630.0000,632.2500,616.4000,617.4500,55565
2026-01-06,617.4500,636.9000,613.0000,616.4500,104669
2026-01-07,617.0000,624.0500,616.2000,620.7500,73353
2026-01-08,620.7500,620.7500,600.0000,604.9500,110606
2026-01-09,604.8500,612.8500,597.4500,604.8000,84629
2026-01-12,603.4500,607.0000,592.0500,605.4500,76007
2026-01-13,609.0000,613.3500,602.0000,611.4500,54465
2026-01-14,608.3500,612.0000,604.5000,609.3500,42771
2026-01-15,609.3500,609.3500,609.3500,609.3500,0
2026-01-16,609.0000,612.7000,605.4500,606.0500,45055
2026-01-19,603.4000,605.9500,595.8000,600.0000,77978
2026-01-20,598.0000,600.0000,590.0000,591.8500,97588
2026-01-21,590.5000,595.5500,585.0000,592.5500,107623
2026-01-22,598.9500,609.6000,598.9000,601.4500,57843
2026-01-23,601.0500,601.0500,590.5000,590.9000,48080
2026-01-27,590.5000,590.9000,565.9500,574.1000,132162
