date,open,high,low,close,volume
2023-09-22,319.5000,323.9000,316.7500,318.0500,161678
2023-09-25,319.3500,323.2500,315.0000,317.1000,136469
2023-09-26,318.5000,319.8000,314.4000,315.7000,78474
2023-09-27,315.0000,317.0000,312.2000,314.8500,41507
2023-09-28,316.0000,316.9500,305.0000,305.7000,102445
2023-09-29,307.5000,311.8500,306.1500,308.5500,81749
2023-10-03,306.3000,312.0000,304.0000,308.0500,45301
2023-10-04,307.6500,309.8000,303.0000,307.8500,61314
2023-10-05,309.4000,313.2500,307.0000,309.2500,51174
2023-10-06,309.9500,314.9000,309.0500,313.1500,50514
2023-10-09,313.0000,313.0000,298.6000,303.1000,66215
2023-10-10,304.6500,309.2500,302.5500,304.7500,91810
2023-10-11,305.0000,311.7000,304.0000,305.4000,44164
2023-10-12,306.9500,309.0500,303.7000,306.4000,42482
2023-10-13,306.1500,314.9000,303.7500,311.4500,97777
2023-10-16,313.6000,324.7000,310.7500,319.6000,167553
2023-10-17,321.0000,339.8500,318.7500,327.2500,558768
2023-10-18,329.2500,339.7000,320.1500,327.4000,173448
2023-10-19,327.4000,330.9000,322.6000,323.4000,52221
2023-10-20,323.4000,329.1500,314.0000,317.6500,62369
2023-10-23,318.9000,320.0000,307.0000,309.5500,88885
2023-10-25,302.0000,312.9500,302.0000,306.4000,47064
2023-10-26,304.7000,316.4000,291.0000,308.5000,87738
2023-10-27,310.0500,325.9000,309.1000,322.8000,119940
2023-10-30,321.0000,327.9000,316.2500,322.0500,115796
2023-10-31,323.7000,327.9000,320.1500,323.0500,67349
2023-11-01,323.7000,326.0500,312.3500,316.7500,72023
2023-11-02,318.3500,322.9500,311.0500,317.0500,89992
2023-11-03,318.0500,320.5500,314.5500,315.1500,48003
2023-11-06,316.7000,330.0000,315.3000,320.4500,214601
2023-11-07,322.0000,323.0000,314.8500,321.4000,82513
2023-11-08,322.9000,326.7500,308.9500,310.4000,256904
2023-11-09,310.4000,316.2500,308.0000,309.4000,84405
2023-11-10,310.0000,311.0000,301.8500,303.5500,138761
2023-11-13,306.0000,310.0500,303.0000,309.0500,94428
2023-11-15,311.3500,316.0500,309.6500,312.2000,151799
2023-11-16,315.0000,316.0000,309.0000,309.9000,73745
2023-11-17,306.7000,309.5500,305.2500,305.9500,119589
2023-11-20,305.9500,309.9500,296.8500,308.3000,68163
2023-11-21,308.3000,322.0000,308.3000,310.9000,324475
2023-11-22,317.0000,324.6000,309.0000,312.8500,408723
2023-11-23,312.9000,315.8500,304.0000,307.2500,226705
2023-11-24,308.7000,320.9500,306.6500,310.8000,309972
2023-11-28,312.0000,319.3500,308.1000,311.5500,258637
2023-11-29,313.9500,314.9500,307.2500,310.2000,155023
2023-11-30,312.6000,316.9500,308.1500,309.5000,281659
2023-12-01,311.5000,314.4500,307.0000,308.3500,151578
2023-12-04,310.9500,315.0000,308.1500,311.9000,220146
2023-12-05,313.1500,355.0000,311.2000,348.1000,1505257
2023-12-06,351.6000,354.0000,340.0500,344.3500,838572
2023-12-07,346.1000,352.4000,338.3500,340.9500,412530
2023-12-08,342.6500,345.1000,334.5000,337.4500,282409
2023-12-11,339.7000,343.4000,332.5000,333.9500,165782
2023-12-12,336.2500,345.0000,333.5000,336.4000,252346
2023-12-13,338.5500,343.0500,325.8000,334.7000,276786
2023-12-14,338.0000,341.4000,332.1500,334.4000,232002
2023-12-15,335.8500,342.1000,334.3000,338.6500,203968
2023-12-18,339.6000,344.7000,333.3000,335.6500,211968
2023-12-19,336.9500,339.8000,334.0500,336.4500,240617
2023-12-20,336.6000,350.0000,316.1500,320.0000,656256
2023-12-21,318.8000,332.6000,314.6000,330.1000,347893
2023-12-22,330.1000,335.4000,326.1500,330.7000,186364
2023-12-26,330.7000,334.0000,321.0000,330.9500,368148
2023-12-27,330.0500,347.9000,328.5000,332.2500,471697
2023-12-28,333.9500,336.3500,330.0500,331.7500,134558
2023-12-29,332.0000,336.6000,330.0500,331.9000,127775
2024-01-01,332.9000,341.9500,332.8500,338.4500,142051
2024-01-02,339.0000,342.3000,331.6000,335.8000,165224
2024-01-03,338.0000,344.5000,333.9500,338.7500,108782
2024-01-04,340.0000,343.7000,331.8000,334.7000,210709
2024-01-05,336.4500,338.7500,332.5000,333.1500,121977
2024-01-08,333.0000,334.4000,325.0000,326.4500,181496
2024-01-09,326.3500,331.4000,323.6500,325.7500,100631
2024-01-10,325.4500,326.6500,320.1500,322.1000,118829
2024-01-11,322.1000,344.2000,320.0500,335.2500,517983
2024-01-12,336.9000,339.0000,331.9500,333.6000,159900
2024-01-15,340.0000,340.0000,330.0000,331.0500,123695
2024-01-16,330.0000,341.5000,329.0000,332.9500,255230
2024-01-17,330.0000,335.8000,325.0500,326.0500,140821
2024-01-18,325.9000,332.8000,320.2000,330.9500,107740
2024-01-19,332.0000,335.7000,326.2000,331.0500,628338
2024-01-23,335.0000,335.0500,311.0500,314.7000,195728
2024-01-24,315.9000,318.3000,308.0000,315.8500,126030
2024-01-25,319.0000,324.4000,316.0000,321.7500,123120
2024-01-29,324.7000,331.6500,321.6000,330.3500,256533
2024-01-30,332.8000,339.9000,328.5500,335.0000,252427
2024-01-31,334.1500,365.9500,333.4500,359.2000,1325321
2024-02-01,364.6000,370.9500,356.8500,361.8500,680929
2024-02-02,363.8000,369.3000,331.0000,333.7000,1237123
2024-02-05,334.0000,334.5500,312.1000,314.6000,427439
2024-02-06,315.9000,331.0000,315.0000,325.7500,333967
2024-02-07,325.7500,326.9500,318.2000,319.4500,132131
2024-02-08,320.4000,323.0500,317.0000,318.4000,125339
2024-02-09,319.4000,320.9500,309.0500,318.9500,204545
2024-02-12,320.8000,320.8000,304.1000,307.0000,134743
2024-02-13,306.9500,319.4000,305.2000,313.7500,183560
2024-02-14,310.0500,324.2500,310.0500,322.0000,159931
2024-02-15,322.0000,336.9000,321.3500,334.2500,879200
2024-02-16,336.0000,341.2500,330.5500,333.7500,330484
2024-02-19,334.6500,335.6000,328.0500,329.9500,144640
2024-02-20,330.9500,371.4500,330.9500,355.7500,1702275
2024-02-21,359.4500,366.6500,344.1000,346.5500,569582
2024-02-22,348.0000,363.6000,341.6000,360.4000,563215
2024-02-23,363.7000,369.9000,354.0500,358.3500,386522
2024-02-26,358.4500,387.0000,354.2500,371.5500,1294471
2024-02-27,374.5000,377.9500,352.2000,355.3000,515185
2024-02-28,356.0000,360.4500,342.4000,344.7500,266453
2024-02-29,345.0000,348.4000,341.1000,344.4000,125825
2024-03-01,344.9500,355.7000,344.9500,352.4500,198469
2024-03-04,351.4500,357.4500,345.5500,352.8000,158132
2024-03-05,352.1000,362.0000,350.8500,353.2000,161893
2024-03-06,349.6500,359.4500,340.4000,343.7000,198981
2024-03-07,340.1000,353.0000,340.1000,345.6500,161397
2024-03-11,345.1000,356.0000,330.1000,332.6500,198522
2024-03-12,333.7000,340.0000,320.5500,323.8500,181531
2024-03-13,324.0000,334.1000,299.8000,304.5000,303813
2024-03-14,304.0000,321.1500,304.0000,318.6000,164417
2024-03-15,312.2000,329.3000,312.2000,324.9500,162588
2024-03-18,326.6000,333.0000,321.3500,323.5000,158080
2024-03-19,320.8500,332.0000,312.0000,318.5500,112229
2024-03-20,318.0000,326.4500,313.5000,322.4000,127212
2024-03-21,323.5000,328.9500,320.3000,321.7500,138860
2024-03-22,320.8000,325.3500,320.8000,323.3500,88399
2024-03-26,325.0000,339.4500,321.7000,334.6500,250727
2024-03-27,333.9000,339.9000,326.3500,332.1500,164867
2024-03-28,330.0000,337.0000,326.6500,332.5000,86774
2024-04-01,334.1500,343.7000,333.0000,334.9500,120521
2024-04-02,336.6500,354.9500,336.6500,353.5500,172998
2024-04-03,352.8000,355.3500,344.9000,345.9000,131060
2024-04-04,346.0000,354.9500,341.1000,344.0500,136946
2024-04-05,344.0000,346.4500,339.8500,344.0500,100941
2024-04-08,345.8000,347.0500,337.0500,338.2000,78421
2024-04-09,339.9000,342.4000,331.1000,335.1000,96882
2024-04-10,334.9500,338.4000,332.0500,333.7500,88936
2024-04-12,332.0500,336.5500,328.5000,329.3500,113944
2024-04-15,325.0500,326.9000,316.0500,321.7000,82411
2024-04-16,321.0000,340.9500,321.0000,333.6000,153570
2024-04-18,334.7000,347.4000,332.5000,334.6000,141889
2024-04-19,327.2000,342.5000,325.2500,338.1000,110333
2024-04-22,338.6500,344.9000,338.6500,340.7000,71850
2024-04-23,342.4500,342.4500,336.9500,340.1500,41302
2024-04-24,337.5000,342.4500,335.1000,338.4000,88835
2024-04-25,334.2500,339.8000,332.0000,333.4500,62056
2024-04-26,333.4500,336.7500,332.0500,335.7500,51003
2024-04-29,336.9000,337.4500,328.0000,331.6500,80519
2024-04-30,333.2500,341.2500,333.2000,335.1000,114406
2024-05-02,336.4000,342.8000,329.6500,334.2500,107432
2024-05-03,333.7000,352.8000,332.0500,347.9500,608177
2024-05-06,349.0000,351.9500,333.0000,333.7000,157878
2024-05-07,335.4000,347.0000,333.5500,336.9000,104447
2024-05-08,334.0000,338.0000,329.3000,334.5500,65487
2024-05-09,334.8500,336.2000,325.0000,326.0500,81121
2024-05-10,326.9000,334.8000,324.0500,326.7500,53060
2024-05-13,327.3500,330.3000,322.2000,326.4500,48430
2024-05-14,327.7000,330.2500,325.4000,327.1500,62733
2024-05-15,324.4500,334.4500,324.4500,331.7000,59536
2024-05-16,331.7000,334.5000,324.0000,328.6500,135474
2024-05-17,328.7000,340.0000,328.1500,333.4000,117455
2024-05-21,340.0500,351.3500,337.0000,347.6000,146294
2024-05-22,348.9000,358.6000,345.9500,352.9500,239892
2024-05-23,351.3000,352.3500,342.9500,348.4500,149893
2024-05-24,349.3000,351.4500,345.0000,347.2500,95464
2024-05-27,348.2500,392.0000,347.1000,368.7000,2583769
2024-05-28,372.9000,399.0000,366.0000,378.8500,2280033
2024-05-29,378.1000,384.0500,372.5000,376.0000,257181
2024-05-30,373.6000,379.2000,361.6000,364.2000,171548
2024-05-31,364.2000,368.8500,356.1000,358.9000,90795
2024-06-03,375.0000,375.4000,355.9000,357.7000,197070
2024-06-04,357.7000,357.7000,293.5000,323.0500,567437
2024-06-05,329.0000,347.1000,315.0500,345.2000,217026
2024-06-06,348.2000,374.4000,348.2000,365.8000,356022
2024-06-07,370.2000,396.0000,366.8000,381.6500,698499
2024-06-10,383.0000,389.2000,377.8500,379.4500,131205
2024-06-11,380.1000,385.2000,375.5500,379.5500,85585
2024-06-12,380.3000,389.9000,372.3000,379.4500,127718
2024-06-13,379.9000,383.9000,375.0000,378.4000,84251
2024-06-14,385.0000,404.9500,380.8000,393.6500,788445
2024-06-18,402.0000,417.0000,393.0000,406.6500,984601
2024-06-19,405.9000,411.6500,398.3500,404.5000,288523
2024-06-20,407.9000,412.6500,400.5000,403.2000,217862
2024-06-21,404.2000,419.8500,404.0000,411.8500,314795
2024-06-24,411.0000,420.9500,407.0500,412.7000,206447
2024-06-25,413.0000,416.1000,405.0000,411.3500,112110
2024-06-26,411.3500,412.0500,401.1500,403.4500,79449
2024-06-27,401.7000,407.1000,390.1000,396.4000,160735
2024-06-28,402.1500,406.2500,392.1000,393.4500,71197
2024-07-01,397.4000,398.4500,391.0000,395.2000,93427
2024-07-02,398.0000,410.8500,394.0500,404.3500,174925
2024-07-03,405.0000,411.8000,402.0000,407.0000,136136
2024-07-04,409.0000,414.4000,402.8000,407.2500,115747
2024-07-05,408.0000,412.5000,397.8500,403.6500,164404
2024-07-08,405.4500,409.0000,397.0000,399.9500,100727
2024-07-09,401.9500,433.0500,399.2500,418.8000,612930
2024-07-10,420.4000,421.0000,402.6500,406.6500,219891
2024-07-11,407.0000,414.8500,403.3500,409.0500,153511
2024-07-12,410.0000,419.7000,405.5500,407.4000,87288
2024-07-15,409.4500,410.8000,396.8500,397.5000,258003
2024-07-16,398.9000,415.0000,395.0000,400.4500,253573
2024-07-18,398.4000,416.0000,388.8000,392.4000,330092
2024-07-19,394.0000,404.3000,383.0500,393.3000,276587
2024-07-22,405.0000,434.1500,402.0500,414.3000,996980
2024-07-23,411.2500,424.0000,401.1000,415.1500,340310
2024-07-24,419.7000,441.0000,416.3000,431.9500,568044
2024-07-25,433.0000,444.2500,422.7500,425.5500,293004
2024-07-26,426.1000,443.9000,422.1000,424.5500,309958
2024-07-29,426.0000,452.2000,426.0000,439.9500,549565
2024-07-30,440.9000,452.5000,427.5500,433.9500,690760
2024-07-31,433.0000,437.3000,409.5000,413.4500,488774
2024-08-01,415.7000,420.8000,405.7500,416.1500,340075
2024-08-02,410.1500,427.2000,408.2500,425.2500,175530
2024-08-05,415.0500,423.9000,401.9000,410.1000,320426
2024-08-06,414.0000,420.0000,395.0000,396.2500,220684
2024-08-07,400.0000,409.8500,398.4000,408.5000,96932
2024-08-08,409.0500,410.0500,400.1000,401.7500,89846
2024-08-09,405.4000,413.0000,402.5000,404.9500,93634
2024-08-12,406.5000,414.8500,395.6000,406.4000,162563
2024-08-13,408.2000,413.0000,399.9000,404.1500,160884
2024-08-14,405.4500,406.1500,388.3000,390.9000,84237
2024-08-16,390.0000,405.4000,380.1500,401.8000,316048
2024-08-19,404.5500,411.0000,399.4000,400.6000,197657
2024-08-20,402.4000,421.9000,402.4000,413.3500,318818
2024-08-21,415.4500,417.8500,411.0000,413.1500,81398
2024-08-22,411.2500,422.1000,410.3500,416.5500,167890
2024-08-23,416.0000,425.9500,412.4000,420.7000,156257
2024-08-26,422.9000,426.5000,417.3000,420.4000,106512
2024-08-27,420.4500,426.5000,417.0500,418.8000,77896
2024-08-28,419.8000,425.0000,416.0000,420.1000,88338
2024-08-29,420.8500,423.7000,407.6000,411.6500,86998
2024-08-30,413.4500,420.4000,406.9500,415.6500,114897
2024-09-02,424.0000,424.0000,408.2000,412.4500,74854
2024-09-03,415.8000,417.0000,407.5500,410.7000,106824
2024-09-04,409.0000,414.8500,404.5000,411.0500,100331
2024-09-05,412.9500,417.9500,409.0000,410.0500,104073
2024-09-06,410.0500,414.4000,404.8500,410.7000,172994
2024-09-09,410.5000,415.7000,406.3500,409.3500,110753
2024-09-10,409.9500,417.6000,409.9500,415.0000,70930
2024-09-11,416.7000,421.9000,410.2500,412.6500,117177
