date,open,high,low,close,volume
2023-09-18,71.0000,73.2500,70.3000,72.1000,3465653
2023-09-20,71.4500,74.2500,70.0000,73.7000,4309133
2023-09-21,74.1500,75.4000,71.4500,72.0000,6654501
2023-09-22,72.0500,72.7000,70.9000,71.1500,1602279
2023-09-25,71.5000,73.6500,71.1500,71.5500,2058968
2023-09-26,71.4500,73.2500,71.3500,71.7000,1792615
2023-09-27,71.8000,72.6000,70.2500,70.9000,2053871
2023-09-28,71.2000,72.4000,70.4000,71.8000,2341068
2023-09-29,72.0000,72.3500,71.2000,71.7500,1437674
2023-10-03,71.9000,73.5500,71.6000,72.1000,2680284
2023-10-04,71.9500,72.2000,70.2500,70.5000,2291806
2023-10-05,71.3000,71.8000,70.1000,70.4000,1359734
2023-10-06,70.6000,71.1000,68.2500,68.6000,2986563
2023-10-09,68.0000,68.0000,66.0000,66.3000,2560661
2023-10-10,66.3000,67.4000,66.3000,66.8500,1470813
2023-10-11,67.0000,67.7000,66.7500,66.9500,1976538
2023-10-12,67.3500,68.9000,67.0500,68.0000,2824072
2023-10-13,67.5000,68.8000,67.2000,67.8000,1922218
2023-10-16,67.8000,69.7000,67.3000,67.9000,4580528
2023-10-17,68.5500,69.6500,67.6000,67.9500,2756536
2023-10-18,68.2000,68.3000,66.3000,66.8500,2571711
2023-10-19,66.7500,67.6000,66.2000,66.9500,1803579
2023-10-20,66.8000,67.6000,65.4500,65.7000,1287502
2023-10-23,65.7000,66.1500,62.7500,63.1000,2667952
2023-10-25,63.0000,64.4000,61.7500,62.2000,2278015
2023-10-26,62.0000,62.0000,58.6500,58.9500,6969389
2023-10-27,59.4500,61.3500,58.8500,60.5500,4213115
2023-10-30,60.5500,61.0500,59.5000,60.5500,1242235
2023-10-31,60.8500,62.8500,60.8000,61.4500,2367538
2023-11-01,63.7500,65.7500,62.6000,63.5000,8967684
2023-11-02,64.4500,65.0000,62.7500,63.2000,2684903
2023-11-03,63.6000,64.8000,63.6000,64.0500,2116045
2023-11-06,64.7000,65.1000,63.6000,63.8000,1764354
2023-11-07,64.0000,64.2000,63.0500,63.4000,1480202
2023-11-08,63.6000,64.0000,62.9000,63.1000,1462900
2023-11-09,63.3000,63.5500,62.6000,62.7000,942960
2023-11-10,63.0000,63.4000,62.5500,62.9000,2048705
2023-11-13,63.7500,64.3000,62.8000,63.0000,1539574
2023-11-15,63.8500,63.8500,62.0000,62.3500,1703175
2023-11-16,62.4000,63.2000,62.1500,62.3500,1173408
2023-11-17,62.4500,62.7000,62.1000,62.2000,1189946
2023-11-20,62.3000,64.6000,62.3000,62.6000,2644681
2023-11-21,63.1000,65.4000,62.9000,64.1500,6982656
2023-11-22,64.4500,66.1000,63.8000,64.1000,3881441
2023-11-23,64.3000,66.0000,64.1000,65.6000,3094241
2023-11-24,65.8500,66.3000,64.2500,64.5000,2110596
2023-11-28,64.8000,66.7000,64.6000,66.1000,4671045
2023-11-29,66.4000,66.5500,65.2500,65.6000,1764415
2023-11-30,65.7500,66.0500,64.6000,65.1500,1911041
2023-12-01,65.5000,65.9500,64.7500,64.9500,2328652
2023-12-04,66.0000,67.6000,65.1000,66.2000,5304008
2023-12-05,66.2500,68.3000,65.9000,66.8500,4998547
2023-12-06,67.3000,69.8000,66.7500,69.3000,10064307
2023-12-07,69.5000,70.2500,67.7500,68.1500,4677256
2023-12-08,68.5000,70.4000,67.2000,68.5500,4940070
2023-12-11,68.7500,69.3000,67.8500,68.5000,2651781
2023-12-12,68.8500,70.4000,67.8500,68.9500,3968149
2023-12-13,69.4500,73.3000,68.7000,72.6500,15355082
2023-12-14,73.4500,73.9500,71.5000,71.8500,7539632
2023-12-15,71.8500,74.2000,71.5000,71.9000,4898468
2023-12-18,72.4000,73.0000,70.3000,71.1500,4106530
2023-12-19,71.0000,71.5500,70.0000,70.6000,3110635
2023-12-20,70.9000,72.3500,66.2500,66.5500,5988645
2023-12-21,65.1000,68.1000,65.1000,67.2000,3380798
2023-12-22,67.9000,69.9500,67.6500,69.0000,3275148
2023-12-26,69.5000,70.5000,68.8500,69.1000,2612594
2023-12-27,69.5000,71.1500,67.9000,68.8500,4795486
2023-12-28,68.8500,69.4500,67.7000,67.9500,4878826
2023-12-29,68.1000,69.1000,67.4500,67.8500,2886706
2024-01-01,67.8500,71.5000,67.8000,70.9500,6594178
2024-01-02,71.3000,77.4500,71.3000,76.8000,34424246
2024-01-03,78.7000,80.9500,77.6500,79.8000,34745055
2024-01-04,80.5500,83.4500,79.8500,80.8500,22968958
2024-01-05,81.5000,82.1000,78.0000,78.4500,13068252
2024-01-08,78.9000,80.1000,76.6000,76.9500,7631203
2024-01-09,77.6000,79.7500,77.5000,78.4000,6873491
2024-01-10,78.4000,79.6500,77.1500,78.6500,6845554
2024-01-11,79.2000,79.8500,78.3500,78.7500,5219640
2024-01-12,79.0000,80.4000,78.0000,78.3500,5301488
2024-01-15,78.3500,78.3500,78.3500,78.3500,0
2024-01-16,77.5500,79.2000,75.5000,77.3500,5388711
2024-01-17,76.4000,78.5000,75.5000,76.0000,5228885
2024-01-18,75.9500,77.4000,73.6000,76.9000,4873811
2024-01-19,77.4500,78.3000,75.3500,75.8500,4761938
2024-01-23,82.5500,83.5000,77.1000,77.4500,14210157
2024-01-24,77.9500,80.6000,76.5000,80.1000,6346356
2024-01-25,80.7000,82.0000,79.7500,81.0500,10239577
2024-01-29,81.6000,82.6000,79.7000,80.1000,4633478
2024-01-30,80.6000,80.6000,78.4000,78.6500,3442663
2024-01-31,78.6500,81.7500,78.5000,79.7500,9934130
2024-02-01,80.2000,80.5000,77.5000,77.9000,5825923
2024-02-02,78.2000,78.7000,75.5000,75.7500,6673106
2024-02-05,76.3500,80.0000,74.7000,78.3000,12099082
2024-02-06,75.1000,76.1000,72.6000,74.0500,12837713
2024-02-07,74.1000,77.0000,74.1000,75.7500,5631300
2024-02-08,79.0000,85.9000,75.8000,82.1500,66120706
2024-02-09,82.9500,83.6000,77.8000,81.8500,17138290
2024-02-12,82.4000,82.7500,76.7500,78.4500,11711409
2024-02-13,78.7000,78.7500,75.2500,76.8500,6567153
2024-02-14,75.8000,78.7000,75.5000,77.2500,3728534
2024-02-15,77.9000,81.5500,77.8000,80.0000,7620943
2024-02-16,80.4000,80.7500,78.0500,78.5500,3718499
2024-02-19,78.2500,79.1500,77.5000,77.9000,4318608
2024-02-20,77.8000,78.4500,76.1500,76.8000,3063029
2024-02-21,77.0000,80.7000,76.8500,77.5000,12621597
2024-02-22,78.3000,78.3500,76.0000,76.7000,5258453
2024-02-23,77.3000,81.1500,76.8000,80.9000,11687120
2024-02-26,80.3000,80.7000,78.6000,79.0000,3146575
2024-02-27,78.8000,79.5500,76.7500,77.3000,3463389
2024-02-28,77.3000,77.8000,75.5500,76.0500,3856434
2024-02-29,76.1000,76.7000,75.2000,76.0500,2867493
2024-03-01,76.4500,77.8500,76.1000,76.7000,2471558
2024-03-04,77.3500,78.0000,75.1000,75.5000,1763408
2024-03-05,75.6500,76.4000,74.5000,76.0000,3490426
2024-03-06,75.9500,75.9500,73.2500,74.7500,4115988
2024-03-07,74.8000,75.9000,74.1500,74.3500,1505202
2024-03-11,74.5000,75.4000,72.7500,75.0000,3693232
2024-03-12,75.3000,75.7000,73.1000,73.7000,2826031
2024-03-13,73.0500,73.7500,68.5000,69.0000,5423334
2024-03-14,68.1500,71.6500,68.0000,70.9500,2058117
2024-03-15,70.9500,72.1000,69.1500,70.0500,1559418
2024-03-18,70.1000,70.7500,69.3500,70.0000,994670
2024-03-19,68.9500,69.8000,67.0000,67.1500,2793539
2024-03-20,67.8500,68.5500,66.0500,66.2500,1774874
2024-03-21,67.0000,68.1000,66.7500,67.6000,1228904
2024-03-22,67.6000,68.5000,67.2500,68.0500,1335838
2024-03-26,65.3500,68.3500,64.1000,66.6500,5162075
2024-03-27,66.0000,68.8000,66.0000,68.0000,3204795
2024-03-28,68.8000,68.9000,66.0000,66.4000,1735157
2024-04-01,66.4000,70.2500,66.4000,69.9000,2091253
2024-04-02,70.0000,71.5000,69.9000,71.3000,1858994
2024-04-03,71.0000,72.8000,70.9500,72.3000,2512635
2024-04-04,72.5500,74.2500,72.4500,73.8500,3157565
2024-04-05,73.7500,75.1500,71.1500,74.8500,2771384
2024-04-08,75.8000,75.8000,72.5500,72.7500,1258252
2024-04-09,73.2000,74.1500,71.8000,72.1500,1705724
2024-04-10,72.1500,73.6500,71.7000,72.5000,1443016
2024-04-12,71.9000,73.0000,71.0000,71.2000,1157942
2024-04-15,69.8000,70.3500,68.0500,69.1500,1445630
2024-04-16,68.8000,70.4000,68.5500,69.7500,748165
2024-04-18,70.2500,70.6500,68.5000,68.6500,1188984
2024-04-19,66.9500,69.3500,66.9500,68.9000,1220410
2024-04-22,69.0000,70.1500,69.0000,69.5000,922159
2024-04-23,70.5000,70.7000,69.6000,70.2000,1030788
