date,open,high,low,close,volume
2023-09-25,197.4000,201.0000,195.0000,196.9500,491296
2023-09-26,195.2000,203.0000,195.2000,197.7000,390309
2023-09-27,198.1000,199.5000,195.3000,198.7500,339254
2023-09-28,199.5500,207.4000,199.5000,201.2000,1150768
2023-09-29,203.5000,216.8000,201.0000,213.9500,3302536
2023-10-03,216.5000,222.8000,213.0000,215.8000,2957100
2023-10-04,214.0000,215.6000,205.5500,209.9000,1233580
2023-10-05,212.0000,213.1000,207.3000,209.8500,511131
2023-10-06,210.4500,214.0000,208.0000,210.9000,472112
2023-10-09,207.1000,209.9000,202.0000,203.3000,573380
2023-10-10,206.0000,209.1500,203.3500,204.8000,498929
2023-10-11,206.4500,214.3500,205.3500,212.7500,930588
2023-10-12,213.0000,218.0000,210.1000,215.1000,818500
2023-10-13,214.9000,223.2500,213.1500,215.0500,1404688
2023-10-16,215.0500,216.7000,208.2500,211.1500,476445
2023-10-17,212.8000,228.0000,211.1500,221.7000,2375687
2023-10-18,221.7000,227.0000,216.3000,219.8500,1169041
2023-10-19,219.5000,230.5500,217.5000,223.9000,1632469
2023-10-20,224.2500,226.2500,214.1000,216.9500,634783
2023-10-23,217.9000,218.4000,190.6500,195.2000,1416244
2023-10-25,196.4000,203.4500,192.6500,199.8000,871544
2023-10-26,199.0500,204.9000,193.0000,203.2000,761787
2023-10-27,206.0000,211.5000,204.3000,205.3500,683104
2023-10-30,206.9500,209.0000,202.5000,203.1000,310419
2023-10-31,203.1000,206.9000,202.6000,203.8500,289503
2023-11-01,204.7000,224.7000,204.7000,215.7500,1769869
2023-11-02,218.0000,222.8000,213.2000,214.8500,427739
2023-11-03,215.9500,226.0000,215.2500,219.6000,1029582
2023-11-06,220.4500,229.5000,220.4500,223.9000,1356434
2023-11-07,225.1500,227.2000,220.8000,222.4000,464031
2023-11-08,223.0000,224.1500,217.6500,223.2000,483187
2023-11-09,223.5000,228.2000,219.0000,220.8000,577986
2023-11-10,227.0000,229.0000,218.3500,225.6500,1354820
2023-11-13,227.7000,228.8000,221.0000,222.2000,302654
2023-11-15,222.2000,225.9500,221.0000,221.3500,401089
2023-11-16,222.4000,223.6000,217.0500,217.9000,368051
2023-11-17,219.3500,220.0000,212.5500,214.9500,488979
2023-11-20,215.0500,218.9500,210.0500,212.8500,490703
2023-11-21,213.1000,216.0000,211.6000,212.6500,310757
2023-11-22,212.6500,215.4000,207.4500,210.6500,409383
2023-11-23,211.9000,222.0000,211.0500,218.8000,731414
2023-11-24,219.2000,219.8000,215.0000,215.8000,305444
2023-11-28,216.0000,224.0000,214.0000,221.2000,896874
2023-11-29,222.9500,227.9000,217.4000,218.7500,889601
2023-11-30,219.8000,224.8000,215.7000,223.5500,673715
2023-12-01,225.0000,225.2000,220.0000,220.6500,444421
2023-12-04,225.0000,225.5000,219.0000,221.5000,297815
2023-12-05,222.2500,224.2000,219.2000,220.1500,438280
2023-12-06,221.6500,241.5000,221.0000,237.2000,3915787
2023-12-07,239.0000,252.5000,238.9500,249.0500,2454057
