date,open,high,low,close,volume
2026-04-02,366.0000,397.0000,365.1000,390.0000,4226926
2026-04-06,390.0000,399.0000,387.9500,396.5500,533846
2026-04-07,399.0000,399.0000,384.8500,395.0000,293879
2026-04-08,400.0000,406.0500,393.5500,404.1000,883674
2026-04-09,396.0000,409.7500,394.8000,396.2500,256600
2026-04-10,402.2500,416.9000,399.6000,410.1500,345075
2026-04-13,401.0000,412.8500,398.5500,406.3500,242097
2026-04-15,414.0000,424.9000,406.6000,421.3000,420708
2026-04-16,424.4500,438.0000,417.3500,429.6500,740163
2026-04-17,431.8000,453.1500,428.4000,439.4500,920892
2026-04-20,448.7000,459.9000,446.0000,455.6500,616867
2026-04-21,460.0000,476.3500,457.2500,469.4500,635248
2026-04-22,468.0000,479.9500,452.5000,458.8000,725760
2026-04-23,454.5000,462.2000,448.1000,453.1500,278672
2026-04-24,455.0000,456.1500,441.4500,449.4500,257736
2026-04-27,452.8000,477.0000,447.1000,464.4000,753930
2026-04-28,462.8500,489.0000,460.4500,483.0500,485014
2026-04-29,492.7500,498.0000,478.0000,492.6000,565192
2026-04-30,495.5500,499.5500,481.2000,489.8500,355040
2026-05-01,489.8500,489.8500,489.8500,489.8500,0
2026-05-04,489.9500,493.7000,473.0500,489.6000,217572
2026-05-05,488.9500,497.7500,483.8000,487.8000,158021
2026-05-06,494.0000,494.0000,468.0000,481.2500,436975
2026-05-07,480.0000,512.0000,480.0000,492.0500,494885
2026-05-08,493.8000,523.0000,493.8000,509.5000,747768
2026-05-11,512.9500,514.4500,498.6000,501.8500,296159
2026-05-12,499.3500,505.6000,489.0000,494.6500,369443
2026-05-13,498.5000,525.0000,498.4500,512.5500,416104
2026-05-14,522.0000,554.0000,518.2000,536.5500,649058
2026-05-15,539.4500,557.9000,523.7000,549.8500,885564
2026-05-18,552.9000,552.9000,527.0500,534.6000,318596
2026-05-19,537.9000,549.9000,529.3500,540.3500,226922
2026-05-20,541.9000,579.9000,524.4000,559.2500,512083
2026-05-21,579.0000,581.9000,550.1500,555.0000,477696
2026-05-22,556.0000,563.7000,550.1000,551.7000,172994
2026-05-25,558.4000,570.0000,547.7000,555.2000,465991
2026-05-26,559.6000,579.0000,555.3000,574.6000,250164
2026-05-27,574.4000,586.3000,566.2500,571.5000,251135
2026-05-28,571.5000,571.5000,571.5000,571.5000,0
2026-05-29,563.0000,572.0000,514.3500,551.4500,505080
2026-06-01,551.9500,559.9000,523.0000,532.5000,330557
2026-06-02,527.7500,549.5000,523.5000,543.7500,143502
2026-06-03,549.4000,552.4000,532.0000,542.3000,151018
2026-06-04,551.0000,551.0000,510.2500,514.9500,218062
2026-06-05,517.6000,522.6000,492.6500,499.8000,373198
2026-06-08,493.0000,507.0000,492.6500,496.6000,148804
2026-06-09,495.0000,504.5500,474.4000,482.2500,252561
2026-06-10,482.3000,488.0000,452.0000,466.8000,427827
2026-06-11,466.0000,468.9000,433.2000,440.9500,920869
2026-06-12,445.9500,464.9500,445.1000,458.7500,195220
2026-06-15,478.9500,488.2000,463.8000,479.0000,453272
2026-06-16,488.0000,492.0000,473.9000,487.2500,154221
2026-06-17,490.9500,535.9500,479.1000,529.8000,1174530
2026-06-18,560.9500,572.5000,546.5000,551.6000,1315740
2026-06-19,564.0000,599.0000,558.0000,590.8500,1199323
2026-06-22,602.0500,620.3500,585.3000,620.3500,1082101
2026-06-23,651.3500,651.3500,637.0000,651.2000,1359895
2026-06-24,658.9500,676.9500,640.1000,661.8500,749403
2026-06-25,664.0000,676.0000,652.7000,660.2500,259714
2026-06-26,660.2500,660.2500,660.2500,660.2500,0
2026-06-29,668.5000,673.1500,627.2500,627.2500,403767
2026-06-30,615.0000,634.4000,601.3500,616.7500,452487
2026-07-01,617.1000,647.5500,610.0000,616.0500,465538
2026-07-02,619.9000,619.9000,585.2500,597.1500,467276
2026-07-03,605.5000,605.5000,567.3000,567.3000,465033
2026-07-06,567.0500,570.3500,541.8500,548.3000,675493
2026-07-07,557.9000,575.7000,552.0500,562.4000,392497
2026-07-08,556.0000,567.6500,538.0000,542.7000,272431
2026-07-09,548.5000,569.8000,545.0000,567.8000,281940
2026-07-10,572.0000,577.5000,558.2000,567.2500,273789
2026-07-13,546.0000,586.9500,546.0000,574.3500,381826
2026-07-14,581.9500,590.0000,566.0000,567.6000,472087
2026-07-15,569.9000,579.9000,565.3000,574.2500,261319
2026-07-16,582.4500,598.7000,575.4000,591.2500,492508
2026-07-17,596.0000,596.9000,570.0000,572.6500,249538
2026-07-20,570.0000,574.5500,561.7500,567.1500,135151
2026-07-21,565.0000,573.9500,560.2000,562.9500,104122
2026-07-22,561.0000,567.3000,551.0000,554.0500,115210
2026-07-23,554.8000,566.5000,550.3500,552.8500,97766
2026-07-24,550.0000,575.0000,549.0500,568.2500,150639
2026-07-27,575.8000,580.4500,560.0500,565.7000,172709
2026-07-28,569.0000,569.0000,543.0000,548.1500,110405
2026-07-29,550.7500,558.0000,524.0000,533.7000,238790
