date,open,high,low,close,volume
2023-09-18,590.8500,590.9000,575.0000,581.3000,1161278
2023-09-20,580.0000,587.8000,572.0500,575.0500,1150047
2023-09-21,575.0500,585.0000,565.5000,570.5000,738010
2023-09-22,572.6500,575.7500,557.3000,568.8000,999664
2023-09-25,564.6000,592.0000,563.0000,588.7500,2083803
2023-09-26,591.0000,601.4500,581.3000,586.5000,1325522
2023-09-27,588.0000,590.7000,579.3000,584.3500,690699
2023-09-28,585.9000,596.8000,580.0000,582.7000,958775
2023-09-29,584.2500,590.7000,584.1500,586.6000,614477
2023-10-03,587.8000,607.0000,587.5500,599.1000,1660143
2023-10-04,598.0000,599.2500,573.1500,579.7500,1098707
2023-10-05,580.8000,584.8500,569.0000,571.0500,775600
2023-10-06,575.2000,580.9500,572.2500,578.4000,817393
2023-10-09,571.0000,576.1000,565.8500,573.9000,872051
2023-10-10,578.0000,589.9500,576.8000,585.5500,601343
2023-10-11,589.9500,601.0000,584.8000,593.0000,1251534
2023-10-12,593.0000,600.0000,588.0000,593.7500,571756
2023-10-13,593.7500,614.6500,588.3500,591.9000,1396768
2023-10-16,594.5500,594.7000,581.1000,591.5000,478586
2023-10-17,592.5000,601.4500,587.0000,590.1000,541111
2023-10-18,587.1000,591.0000,578.0000,582.4000,506855
2023-10-19,580.9500,580.9500,573.0000,574.6000,462925
2023-10-20,572.6500,588.2000,569.5500,572.1500,709531
2023-10-23,573.1500,578.0000,535.1500,538.4000,2167004
2023-10-25,538.6000,551.7500,513.3500,518.3500,1707804
2023-10-26,519.5500,523.2000,502.6000,517.3500,1317797
2023-10-27,523.0000,543.9500,523.0000,539.9000,797874
2023-10-30,544.6500,545.9500,528.0500,531.1500,462118
2023-10-31,538.7000,546.9500,531.0000,535.5500,1193578
2023-11-01,522.8500,535.8000,522.8500,534.1000,787462
2023-11-02,538.0000,543.2000,534.1000,537.8500,629208
2023-11-03,540.0000,553.0000,537.6000,547.3500,812985
2023-11-06,551.1500,558.8000,551.1500,555.4500,533260
2023-11-07,556.0000,565.9000,555.0500,557.8000,412205
2023-11-08,559.1500,572.3500,556.3500,569.0500,778419
2023-11-09,570.0000,572.3500,559.0000,561.2000,320714
2023-11-10,560.0000,571.5500,557.2000,566.9000,291371
2023-11-13,568.5000,574.9000,559.3500,563.4500,430007
2023-11-15,570.0000,572.8500,562.0000,565.2500,266661
2023-11-16,565.2500,574.8000,562.0000,564.6000,397719
2023-11-17,572.3500,594.9500,569.1500,585.8000,2048477
2023-11-20,588.0000,609.0000,586.1500,591.7500,1650857
2023-11-21,594.0000,598.9500,583.1000,585.8000,439339
2023-11-22,588.4000,589.9000,576.0000,579.8500,374246
2023-11-23,582.8000,622.5000,580.2500,615.9000,3563795
2023-11-24,619.0000,628.0000,607.2000,609.1500,2114629
2023-11-28,620.0000,624.7500,611.2500,621.6000,1196803
2023-11-29,621.6000,641.0000,614.2500,634.0000,2570162
2023-11-30,635.0000,650.5000,630.6000,644.6000,2158170
2023-12-01,644.5500,649.1500,628.0000,630.4000,818065
2023-12-04,637.8000,640.8500,621.9500,637.0000,1022726
2023-12-05,639.0000,644.0000,628.0000,640.2000,801473
2023-12-06,642.0000,644.8500,631.9000,639.9000,761992
2023-12-07,631.0000,634.0000,584.0000,607.5000,4580644
2023-12-08,575.0000,586.4000,522.6000,545.0500,12289856
2023-12-11,536.0000,554.6000,527.2500,549.2000,4749117
2023-12-12,555.5000,562.5000,538.1000,545.7000,1894744
2023-12-13,551.6500,551.6500,542.1500,544.3000,809003
2023-12-14,545.2500,551.3500,530.1000,532.2000,2441018
2023-12-15,535.0000,546.9000,534.1000,542.7500,1530257
2023-12-18,585.0000,585.0000,563.1500,569.8500,4666001
2023-12-19,575.0000,575.4000,560.0500,561.6000,871947
2023-12-20,562.0000,565.0000,533.0000,536.7000,1525304
2023-12-21,534.0000,549.0000,526.2000,545.9500,653983
2023-12-22,548.0500,568.6500,548.0000,562.0500,1240592
2023-12-26,565.0000,566.4000,555.8000,557.0500,427372
2023-12-27,559.7500,561.9000,545.0000,546.6000,630828
2023-12-28,538.7000,559.9500,538.7000,553.2000,972324
2023-12-29,553.2000,563.8000,550.2000,556.0000,977339
2024-01-01,560.0000,562.9000,555.3500,556.5500,385363
2024-01-02,556.5500,559.6000,544.8500,547.9000,797897
2024-01-03,547.9000,558.0000,546.1000,551.2500,555369
2024-01-04,553.4000,555.1000,550.2500,552.6500,399653
2024-01-05,557.5000,561.2000,545.9500,548.2000,842720
2024-01-08,555.0000,555.4000,538.5000,540.3500,681653
2024-01-09,541.9500,546.0000,534.0000,535.7000,589366
2024-01-10,535.7000,541.0000,531.5000,538.6500,450415
2024-01-11,540.0000,544.8500,537.0000,538.3000,329493
2024-01-12,538.0500,543.6500,533.0000,534.1000,439439
2024-01-15,540.7500,540.7500,522.8000,525.7000,923423
2024-01-16,525.0000,540.0000,523.5500,529.7000,867609
2024-01-17,525.0000,532.6500,518.0000,522.3500,620753
2024-01-18,520.0000,526.0000,508.8000,518.1000,515627
2024-01-19,520.0500,527.0000,518.0000,519.7500,341823
2024-01-23,520.0000,522.9500,504.3000,511.0500,935210
2024-01-24,512.0000,521.0500,503.3500,517.0000,654337
2024-01-25,517.9500,526.0000,508.0000,511.5000,803267
2024-01-29,519.3500,519.3500,509.8500,512.5500,922791
2024-01-30,510.0000,513.2500,504.1000,506.7500,729467
2024-01-31,510.6000,511.6000,496.6500,498.1000,1224932
2024-02-01,504.0000,509.0000,493.8000,496.8000,1164136
2024-02-02,496.6500,503.1500,475.0500,477.2500,2919250
2024-02-05,481.9500,489.9500,470.9500,472.9500,1613404
2024-02-06,473.1500,509.6000,473.0500,508.0500,2598404
2024-02-07,516.8500,516.8500,498.2500,500.2000,1129060
2024-02-08,503.2500,510.9000,500.0500,508.2500,971071
2024-02-09,511.0000,512.8000,491.2500,499.5500,900226
2024-02-12,503.5000,503.5000,480.5000,483.1000,935411
2024-02-13,485.0000,488.8500,472.0000,479.0500,749477
2024-02-14,476.9500,498.7500,475.7500,497.7000,973493
2024-02-15,499.9000,510.0000,499.0000,503.9000,557178
2024-02-16,507.9000,509.3500,497.5500,499.7000,435611
2024-02-19,506.4500,518.0000,503.2500,512.3000,829661
2024-02-20,512.5000,519.9000,506.0000,511.2500,737839
2024-02-21,512.7500,514.6000,500.0000,501.2500,472478
2024-02-22,502.1000,513.7000,497.1000,508.9500,610907
2024-02-23,508.9500,518.6000,504.3000,513.6500,635886
2024-02-26,513.7000,520.0000,509.9000,513.6000,584313
2024-02-27,513.5000,532.9000,512.0000,516.0500,1321179
2024-02-28,518.7000,519.5000,500.0000,503.7000,467164
