date,open,high,low,close,volume
2023-09-25,597.8500,613.8500,591.8000,609.6500,204801
2023-09-26,609.9500,618.1500,600.7000,604.5500,221485
2023-09-27,604.5500,611.2500,601.1500,604.9500,127381
2023-09-28,606.0000,625.0000,598.1000,601.8500,228635
2023-09-29,603.1500,609.7000,599.5000,602.6000,314996
2023-10-03,602.0000,620.0000,592.1000,618.1000,377953
2023-10-04,620.1000,630.8500,606.2000,626.0500,502708
2023-10-05,638.0000,677.8000,631.1000,671.3000,3114305
2023-10-06,671.3000,683.0000,665.1000,667.7000,1327215
2023-10-09,697.0000,700.9500,663.8500,670.5000,2684389
2023-10-10,670.5000,796.4000,666.9500,727.5000,9717755
2023-10-11,727.0000,755.3500,713.3000,723.8000,4322262
2023-10-12,723.8000,729.8000,717.3500,724.0500,587276
2023-10-13,715.9500,728.0500,711.1000,716.0500,477912
2023-10-16,725.7000,735.0000,717.0000,721.4000,865344
2023-10-17,727.5000,729.9500,711.1000,714.2500,299083
2023-10-18,716.9000,738.4500,712.3500,732.7500,904831
2023-10-19,728.9000,738.9000,717.0500,734.2500,475063
2023-10-20,731.1000,754.2000,726.1000,743.8000,1076512
2023-10-23,745.4000,757.9000,711.0000,746.4000,1239894
2023-10-25,743.0000,809.8000,715.0500,757.8500,3739552
2023-10-26,754.9500,819.6000,723.1500,784.3500,1536873
2023-10-27,784.3500,787.8500,736.0500,748.1000,1872390
2023-10-30,743.0000,763.9000,733.7500,751.3000,670629
2023-10-31,752.4500,778.5000,736.8000,765.7000,1020355
2023-11-01,756.0000,774.0000,738.0000,749.8500,1297233
2023-11-02,749.8500,764.9500,742.0000,747.1000,759721
2023-11-03,751.7000,787.0000,750.0500,780.1500,2067814
2023-11-06,780.0500,805.5000,773.0000,800.6000,1474546
2023-11-07,800.5500,817.5000,781.0000,791.0000,1142035
2023-11-08,830.0000,848.0000,818.3500,832.7500,2500450
2023-11-09,836.5000,878.0000,830.0500,868.4500,3043326
2023-11-10,865.0500,887.4000,853.2000,873.1500,1949702
2023-11-13,864.1000,866.6000,840.0000,843.0000,762389
2023-11-15,855.1000,880.5500,852.0000,872.6500,915985
2023-11-16,876.9000,924.9000,873.0500,912.2000,1101486
2023-11-17,910.0000,910.0000,872.3500,878.0500,789275
2023-11-20,880.6000,908.6000,872.1000,892.0500,1189371
2023-11-21,893.0000,914.9000,891.0000,904.7500,562402
2023-11-22,902.5000,912.9000,895.2000,905.7000,506903
2023-11-23,903.0000,957.4000,903.0000,916.7500,2092379
2023-11-24,924.7500,931.0000,893.5500,925.0500,1335321
2023-11-28,932.0000,968.0000,930.6000,956.7000,611069
2023-11-29,964.9500,966.3000,945.0000,952.6000,360464
2023-11-30,959.7000,1050.0000,953.4500,1002.9000,3306553
2023-12-01,1018.5500,1048.7000,1016.8000,1037.8000,1625407
2023-12-04,1050.0000,1148.1500,1022.2000,1104.9000,3365855
2023-12-05,1107.1500,1111.9500,1059.3500,1080.3500,1532927
2023-12-06,1070.6000,1105.0000,1032.0000,1072.2500,1746016
2023-12-07,1100.0000,1155.0000,1071.1500,1126.2000,1529994
2023-12-08,1132.0000,1192.5000,1130.0000,1186.4500,2946858
2023-12-11,1194.0000,1198.3000,1150.7000,1177.4500,1533204
2023-12-12,1178.0000,1185.2500,1081.1000,1102.2000,2335479
2023-12-13,1113.2000,1205.0000,1062.1000,1166.0500,3140457
2023-12-14,1174.8000,1231.3000,1150.1500,1164.6000,2484295
2023-12-15,1164.9000,1169.6000,1105.0000,1113.9000,1839174
2023-12-18,1132.9000,1153.9000,1107.3000,1139.3500,759381
2023-12-19,1142.0000,1150.0000,1127.4000,1134.9500,348661
2023-12-20,1138.0000,1143.4500,1080.0000,1108.4000,758958
2023-12-21,1065.4000,1095.0000,1041.0500,1064.1500,623074
2023-12-22,1074.8000,1122.2000,1074.8000,1114.9000,786067
2023-12-26,1115.5000,1129.5500,1109.0000,1121.3000,448110
2023-12-27,1120.0000,1147.5500,1118.0000,1141.9500,496198
2023-12-28,1149.0000,1164.0500,1132.2500,1150.8000,547795
2023-12-29,1155.0000,1185.8500,1142.0000,1178.9000,858059
2024-01-01,1162.9000,1212.9000,1160.0000,1188.7000,826558
2024-01-02,1180.1000,1219.6500,1171.4000,1201.6000,547303
2024-01-03,1194.0500,1311.1500,1188.0000,1258.2500,723269
2024-01-04,1244.5500,1416.9000,1240.0000,1355.3500,1903112
2024-01-05,1343.1500,1383.0500,1313.0500,1329.6500,1476137
2024-01-08,1336.0500,1364.5500,1311.5500,1329.2500,1191345
2024-01-09,1326.8500,1350.0000,1305.3000,1335.5000,734779
2024-01-10,1385.9500,1385.9500,1325.0000,1364.1000,1553858
2024-01-11,1370.0000,1410.0000,1348.7000,1378.2000,1206845
2024-01-12,1375.1000,1412.0000,1355.7500,1380.5500,955729
2024-01-15,1395.1000,1440.0000,1335.2000,1353.9000,1173631
2024-01-16,1365.0000,1397.7000,1281.5000,1322.7000,1382518
2024-01-17,1302.0000,1311.0500,1273.0000,1288.9000,659790
2024-01-18,1288.9000,1318.2500,1226.0000,1302.1000,863090
2024-01-19,1318.8000,1324.0500,1235.0000,1276.2000,853862
2024-01-23,1295.6000,1299.9000,1077.4500,1136.4500,1523802
2024-01-24,1145.0000,1262.2500,1065.2000,1196.5000,2350268
2024-01-25,1180.1000,1257.0000,1145.0500,1204.7000,1327051
2024-01-29,1205.0000,1230.2500,1162.8000,1212.8000,1005109
2024-01-30,1215.0000,1230.9500,1195.3500,1216.6500,977333
2024-01-31,1228.9000,1302.9500,1217.0000,1265.4000,908595
2024-02-01,1265.4000,1272.9500,1226.3000,1241.7000,418078
2024-02-02,1248.0000,1269.6000,1190.3500,1211.8000,406348
2024-02-05,1180.0000,1229.7000,1163.0000,1200.2500,785469
2024-02-06,1200.9500,1249.9000,1195.8000,1222.9000,267190
2024-02-07,1237.0000,1254.8500,1206.9500,1226.4500,281927
2024-02-08,1224.0000,1240.9500,1201.0500,1212.4500,611497
2024-02-09,1212.4500,1219.8500,1157.5000,1202.5000,558738
2024-02-12,1203.1000,1224.3000,1151.1500,1175.0500,357708
2024-02-13,1140.0000,1164.9500,1101.0000,1143.3000,643137
2024-02-14,1050.0000,1149.8000,1043.3000,1100.7500,1021950
2024-02-15,1126.9500,1140.4500,1104.1000,1132.5000,1092414
2024-02-16,1142.9000,1214.0000,1125.2500,1197.8500,650945
2024-02-19,1215.0000,1228.4500,1151.5000,1162.6500,650188
2024-02-20,1169.8000,1183.9000,1133.8000,1164.5000,642882
2024-02-21,1168.8000,1204.1000,1166.0000,1190.2500,837602
2024-02-22,1190.1000,1228.8500,1189.0000,1212.1000,645625
2024-02-23,1221.5000,1267.0000,1210.8500,1230.4000,1389711
2024-02-26,1223.0000,1254.8000,1214.0000,1222.9000,285015
2024-02-27,1216.2500,1232.6000,1190.0000,1209.9500,983837
2024-02-28,1209.9500,1246.7000,1162.0000,1229.0500,879240
2024-02-29,1201.1000,1218.4000,1132.7000,1166.7500,5787071
2024-03-01,1154.3000,1185.9500,1143.1500,1167.4500,805788
2024-03-04,1213.0000,1213.0000,1173.1500,1180.0000,931156
2024-03-05,1187.0000,1202.0000,1168.9000,1194.6000,613674
2024-03-06,1191.9000,1211.4500,1180.0000,1195.3500,579147
2024-03-07,1210.0000,1246.7500,1159.0500,1181.1500,512742
2024-03-11,1181.1500,1189.8000,1160.3500,1179.6500,569650
2024-03-12,1182.8500,1202.7500,1113.0500,1158.4000,961616
2024-03-13,1135.2000,1159.0000,1048.2500,1123.0000,2104976
2024-03-14,1093.0000,1119.4500,1061.5500,1071.7000,1363698
2024-03-15,1066.8500,1097.9000,1025.0000,1043.5000,2567838
2024-03-18,1020.0000,1038.8500,995.0000,1005.1500,1256250
2024-03-19,1005.0000,1014.0000,967.3000,992.6000,830869
2024-03-20,998.0000,1045.9500,995.0000,1036.5500,531753
2024-03-21,1047.0500,1069.0000,1007.2000,1048.6500,1322879
2024-03-22,1065.5000,1119.4000,1065.0000,1100.5000,1096113
2024-03-26,1119.0000,1157.2000,1112.0500,1150.2000,1069965
2024-03-27,1154.9000,1197.9000,1154.9000,1190.7500,737202
2024-03-28,1181.0000,1193.5500,1136.0500,1170.0000,962594
2024-04-01,1188.0000,1274.0000,1188.0000,1267.0500,931780
2024-04-02,1279.7500,1344.5000,1279.2500,1313.6500,1813880
2024-04-03,1308.1000,1338.3500,1271.0000,1301.5500,790813
2024-04-04,1299.9500,1320.0000,1262.4500,1304.4000,803341
2024-04-05,1338.0000,1349.8000,1283.0000,1291.8000,794266
2024-04-08,1309.0000,1328.0000,1262.0500,1275.4500,1184371
2024-04-09,1295.0000,1317.7000,1250.0000,1258.2500,595545
2024-04-10,1265.5000,1286.3000,1235.2500,1248.3500,293819
2024-04-12,1238.0000,1246.9000,1180.0000,1190.6500,1085911
2024-04-15,1166.0000,1238.9500,1160.0500,1217.4500,752583
2024-04-16,1217.8000,1243.7500,1199.1500,1203.1500,530342
2024-04-18,1206.0500,1249.8000,1201.0500,1227.1500,1086324
2024-04-19,1203.0000,1244.0000,1195.7000,1231.0500,448359
2024-04-22,1234.5000,1273.0000,1231.0000,1242.9000,1768616
2024-04-23,1251.9500,1290.0000,1248.4500,1287.4500,573231
2024-04-24,1295.0000,1317.2500,1280.9000,1311.0000,366978
2024-04-25,1309.9500,1316.2500,1287.0000,1310.9000,281549
2024-04-26,1291.0000,1360.0000,1291.0000,1354.9000,562076
2024-04-29,1362.8000,1374.7500,1322.3000,1327.0500,401616
2024-04-30,1331.2500,1390.0000,1318.6000,1380.2500,815384
2024-05-02,1375.9500,1415.0000,1354.3500,1400.8500,698169
2024-05-03,1411.8500,1478.2500,1400.5000,1460.6000,2627902
2024-05-06,1482.0000,1566.0000,1427.3000,1557.5000,1891822
2024-05-07,1548.6000,1559.0000,1421.6500,1470.6500,1804645
2024-05-08,1470.0000,1562.8500,1422.0000,1546.8000,1535933
2024-05-09,1540.0000,1541.8000,1461.1500,1488.5500,1244138
2024-05-10,1488.5500,1537.2500,1426.1500,1519.6000,1082573
2024-05-13,1480.0000,1499.7500,1426.9500,1482.6000,1185236
2024-05-14,1482.6000,1539.0000,1477.1000,1490.3000,864669
2024-05-15,1492.4500,1557.0000,1480.0500,1545.0500,1072564
2024-05-16,1555.0000,1582.4000,1515.0000,1524.8000,1195071
2024-05-17,1530.0000,1590.0000,1510.0500,1561.4000,888136
2024-05-21,1600.2000,1634.8500,1556.3500,1598.9000,811232
2024-05-22,1599.9500,1645.0000,1580.0000,1603.5500,1465733
2024-05-23,1615.0000,1676.0000,1597.5000,1658.5000,711000
2024-05-24,1652.0500,1674.0000,1600.0000,1618.4500,795315
2024-05-27,1637.9000,1649.4000,1603.0500,1611.5000,732570
2024-05-28,1611.5000,1633.0500,1503.0000,1552.0500,601868
2024-05-29,1534.6000,1600.4000,1496.9000,1505.1000,1570831
2024-05-30,1512.6500,1552.0000,1506.3500,1538.2500,941306
2024-05-31,1579.0000,1624.9000,1561.8500,1597.5500,1529688
2024-06-03,1675.0000,1785.0000,1664.1000,1735.2000,2148632
2024-06-04,1749.8000,1749.8000,1388.2000,1511.7500,1835536
2024-06-05,1506.0500,1736.3000,1386.0500,1643.1000,2045541
2024-06-06,1698.5500,1798.8000,1685.0000,1759.3500,1288450
2024-06-07,1784.0000,1822.0000,1723.4000,1761.0000,1175405
2024-06-10,1771.9500,1870.0000,1767.6000,1841.3500,1800712
2024-06-11,1877.9000,1899.4500,1843.5500,1872.2500,979758
2024-06-12,1867.6000,1870.0000,1802.3500,1847.7500,1427538
2024-06-13,1869.9500,1910.0000,1854.2000,1872.6000,1025720
2024-06-14,1910.9500,1998.0000,1901.0000,1926.8500,1887272
2024-06-18,1940.0000,2000.0000,1913.0500,1935.1500,1509558
2024-06-19,1929.0500,1929.0500,1837.0000,1867.4000,1182059
2024-06-20,1882.0000,2050.5500,1867.1500,2013.8000,2237306
2024-06-21,1985.0000,2038.7500,1975.0000,1983.2000,2424858
2024-06-24,2039.0000,2074.8000,1942.8000,2056.8000,1930738
2024-06-25,2066.0000,2066.6001,1962.0000,1989.8000,1358629
2024-06-26,2005.5000,2025.0000,1906.8500,1927.0500,1490105
2024-06-27,1905.1000,1923.6500,1815.0500,1855.1000,1394620
2024-06-28,1863.9500,1916.0500,1830.2000,1892.6000,1605160
2024-07-01,1892.9500,1893.4000,1823.5000,1840.4000,1143475
2024-07-02,1852.0000,1884.5000,1817.6500,1843.6500,1570874
2024-07-03,1856.0000,1859.7500,1766.0000,1799.7000,1250173
2024-07-04,1802.2000,1825.6500,1776.2500,1795.3500,1016524
2024-07-05,1801.9500,1831.5000,1784.1500,1815.2000,1371075
2024-07-08,1820.8000,1842.6500,1763.1000,1778.5000,821746
2024-07-09,1777.0500,1804.7000,1765.0000,1782.4500,524115
2024-07-10,1795.0000,1804.7000,1739.4500,1786.8500,810175
2024-07-11,1800.0000,1803.3500,1750.0000,1767.7000,1444574
2024-07-12,1767.7000,1810.5000,1751.0500,1765.1500,796464
2024-07-15,1751.0000,1788.9500,1701.5500,1754.6500,1030909
2024-07-16,1751.0000,1854.7000,1751.0000,1807.9500,2667043
2024-07-18,1805.0000,1832.0000,1730.0000,1756.6000,928449
2024-07-19,1761.0000,1795.0000,1712.4500,1787.5000,853776
2024-07-22,1746.0500,1793.3500,1733.7500,1774.3000,711527
2024-07-23,1768.0000,1834.9500,1669.2000,1762.2500,1357712
2024-07-24,1765.0000,1900.0000,1755.7500,1887.7500,1605106
2024-07-25,1887.7500,1887.7500,1829.8500,1850.0500,1540843
2024-07-26,1854.9500,1917.0000,1820.0000,1833.4500,829213
2024-07-29,1834.6000,1904.9500,1816.3500,1881.2000,1161585
2024-07-30,1880.0000,1880.9500,1837.0000,1848.2000,557791
2024-07-31,1866.7000,1876.9500,1805.5500,1815.9000,753139
2024-08-01,1817.8500,1820.0000,1748.0500,1755.3500,949470
2024-08-02,1745.0000,1745.0000,1670.9000,1695.7500,1919960
2024-08-05,1651.0000,1686.4000,1592.3500,1623.4500,1881878
2024-08-06,1695.0000,1714.7500,1628.3000,1635.8500,1246359
2024-08-07,1681.0000,1695.0000,1632.5000,1646.7500,706982
2024-08-08,1649.0500,1698.5000,1649.0500,1669.0000,955043
2024-08-09,1698.0000,1725.0000,1666.6000,1718.1500,662853
2024-08-12,1715.1000,1771.0000,1693.2000,1766.6500,826399
2024-08-13,1770.0000,1792.9500,1726.3000,1778.0500,1227799
2024-08-14,1788.4000,1858.5000,1775.6000,1787.5000,1754791
2024-08-16,1805.0000,1844.9000,1790.5000,1817.2500,981320
2024-08-19,1847.2500,1878.5000,1836.1500,1841.6000,798704
2024-08-20,1840.0000,1841.6000,1761.3000,1771.1500,763209
2024-08-21,1772.1000,1775.0000,1728.0500,1739.5500,811800
2024-08-22,1758.6000,1765.5500,1715.0000,1744.9000,656497
2024-08-23,1740.0000,1754.5500,1668.6000,1677.6500,1075265
2024-08-26,1681.4000,1774.0000,1655.0000,1761.5500,1244073
2024-08-27,1760.0000,1771.9000,1694.2500,1706.3000,1752960
2024-08-28,1718.3500,1762.9000,1697.0000,1714.5000,1512626
2024-08-29,1730.0000,1757.4500,1692.3500,1725.5500,2267184
2024-08-30,1755.0000,1871.6500,1738.8000,1813.1500,22806543
2024-09-02,1789.7000,1845.0000,1776.0000,1785.6000,1913058
2024-09-03,1785.6000,1827.9000,1770.1000,1786.7500,1515507
2024-09-04,1780.0500,1881.0000,1757.2500,1868.6500,1592631
2024-09-05,1870.0000,1884.9000,1765.1000,1782.1500,1972935
2024-09-06,1815.0000,1829.9500,1770.0000,1819.0000,1224053
2024-09-09,1795.0000,1828.0000,1740.0500,1801.0500,1793244
2024-09-10,1807.8000,1854.0000,1771.0000,1836.5000,1429192
2024-09-11,1830.0000,1830.0000,1770.1000,1789.2500,1271510
2024-09-12,1794.0000,1919.4000,1775.0000,1884.9000,1751409
2024-09-13,1860.0000,1918.5000,1844.0000,1858.6000,1374268
2024-09-16,1851.2000,1891.6000,1805.0000,1834.9000,1108831
2024-09-17,1847.7000,1972.0000,1801.1500,1917.4000,3853977
2024-09-18,1917.0000,1917.0000,1855.0000,1874.4000,797327
2024-09-19,1884.9500,1950.9500,1846.0000,1899.5000,1464864
2024-09-20,1889.0000,1951.7500,1866.9000,1878.9000,1158294
2024-09-23,1893.9000,1919.0000,1865.0000,1892.4000,1017548
2024-09-24,1900.0000,1928.8000,1847.4000,1869.0500,1149021
2024-09-25,1850.0000,1865.9500,1800.0000,1840.1000,1475358
2024-09-26,1850.0000,1915.0000,1797.1500,1825.9500,1608171
2024-09-27,1825.9500,1879.8000,1781.3500,1868.5000,1135179
2024-09-30,1838.0000,1870.0000,1801.0000,1845.2500,900018
2024-10-01,1832.5000,1832.5000,1792.5500,1817.6500,814457
2024-10-03,1781.0000,1833.9000,1740.0000,1755.8000,910056
2024-10-04,1744.0500,1775.0000,1687.1000,1750.8000,847689
2024-10-07,1735.0000,1751.0000,1700.5500,1739.5500,669474
2024-10-08,1705.0000,1829.0000,1703.4000,1816.4500,753857
2024-10-09,1816.4500,1873.0000,1797.0500,1858.2000,840242
2024-10-10,1870.0000,1870.0000,1840.0500,1862.0500,495113
2024-10-11,1860.0500,1878.9000,1833.4500,1854.5000,300548
2024-10-14,1864.9500,1904.0000,1847.0500,1855.6500,693775
2024-10-15,1865.0000,1909.8500,1851.5500,1902.4000,479360
2024-10-16,1899.0500,1906.7500,1851.0500,1864.6000,460772
2024-10-17,1836.0000,1847.9000,1778.5500,1793.6000,782319
2024-10-18,1750.0000,1773.5000,1732.0000,1766.8000,582412
2024-10-21,1773.0000,1791.9000,1725.0500,1752.3000,380417
2024-10-22,1737.0000,1743.8500,1690.4500,1718.5000,439341
2024-10-23,1699.9000,1725.9500,1663.2500,1720.1500,390868
2024-10-24,1736.5000,1751.7000,1680.2500,1692.0000,426800
2024-10-25,1685.0500,1729.0000,1645.2000,1706.9500,296904
2024-10-28,1695.0000,1695.6500,1650.0000,1655.2500,462706
2024-10-29,1664.0000,1673.0500,1596.0500,1604.9000,902504
2024-10-30,1575.0000,1675.0000,1530.0000,1646.2500,1040037
2024-10-31,1646.9500,1657.9500,1602.7000,1636.4500,558521
2024-11-01,1636.4500,1671.9500,1619.9500,1639.7500,70555
2024-11-04,1640.0000,1654.8500,1583.4500,1592.0500,393884
2024-11-05,1599.4000,1611.9500,1555.1500,1599.7000,708228
2024-11-06,1618.0000,1713.0000,1606.3000,1674.0500,1165166
2024-11-07,1677.0000,1710.0500,1640.0000,1647.0500,385607
2024-11-08,1652.8500,1658.0000,1573.0500,1579.8500,668541
2024-11-11,1580.0000,1646.0000,1557.1000,1612.2500,674221
2024-11-12,1600.0500,1633.0000,1580.0000,1592.6000,403123
2024-11-13,1587.7000,1590.5500,1505.9500,1519.6000,861736
2024-11-14,1524.6000,1553.0000,1508.6500,1547.2000,615995
2024-11-18,1569.9500,1590.0000,1527.3000,1541.1500,562367
2024-11-19,1531.0000,1595.0000,1526.0500,1582.9500,654595
2024-11-21,1603.2500,1655.0500,1580.0000,1649.8500,741709
2024-11-22,1640.0000,1651.9000,1598.0500,1631.0500,441917
2024-11-25,1665.0000,1749.9500,1645.0000,1729.9500,1525736
2024-11-26,1744.3000,1755.0000,1700.0500,1706.1500,256692
2024-11-27,1654.0000,1674.3500,1620.0000,1629.4500,1327672
2024-11-28,1644.0000,1690.2500,1633.0500,1671.5500,546347
2024-11-29,1660.0000,1668.9000,1628.5000,1650.5500,999199
2024-12-02,1634.7000,1735.0000,1615.9000,1718.2500,1253750
2024-12-03,1733.4500,1753.8500,1715.0000,1724.1500,550710
2024-12-04,1719.2000,1779.3000,1711.5500,1770.5500,753423
2024-12-05,1780.0000,1780.0000,1718.6000,1734.0000,378500
2024-12-06,1747.9000,1756.6500,1725.1000,1738.1500,313886
2024-12-09,1738.4500,1764.7500,1732.0000,1742.1000,307698
2024-12-10,1755.0000,1762.9500,1722.6500,1750.5000,393134
2024-12-11,1751.2500,1758.0000,1725.7500,1751.9000,279628
2024-12-12,1744.0000,1777.3500,1735.0000,1741.3000,664800
2024-12-13,1738.0000,1768.9500,1710.0000,1754.6500,781498
2024-12-16,1764.2000,1837.4000,1760.0000,1830.7500,2188201
2024-12-17,1831.0000,1900.0000,1830.7500,1854.4000,2017891
2024-12-18,1860.0000,1895.8000,1826.1000,1888.0500,1237817
2024-12-19,1853.9500,1890.0000,1843.9500,1863.7500,652028
2024-12-20,1868.9500,1878.5500,1760.0000,1794.5000,2860828
2024-12-23,1777.7500,1779.5500,1725.6500,1755.0500,833331
2024-12-24,1762.9000,1787.0000,1737.0000,1751.9000,612341
2024-12-26,1745.0000,1761.5500,1698.4500,1751.8000,481456
2024-12-27,1745.0000,1762.5000,1730.3000,1752.5000,235400
2024-12-30,1751.9000,1774.1000,1652.0000,1675.0000,953245
2024-12-31,1678.0000,1708.0000,1665.6000,1694.0000,535023
2025-01-01,1688.3000,1693.9500,1645.5000,1653.5500,457902
2025-01-02,1666.4000,1668.2500,1632.0500,1662.4500,434737
2025-01-03,1662.4500,1682.0000,1646.7000,1656.2500,320490
2025-01-06,1660.0500,1670.0000,1578.2000,1594.9500,819534
2025-01-07,1590.0000,1611.7000,1575.0000,1583.4500,787790
2025-01-08,1577.5500,1584.9500,1545.1000,1568.6000,525611
2025-01-09,1570.0000,1571.3500,1515.5500,1521.2500,368327
2025-01-10,1532.0000,1539.0000,1485.6500,1492.4000,557750
2025-01-13,1450.1000,1470.0000,1408.1000,1426.6500,1025557
2025-01-14,1426.0000,1451.1500,1413.9000,1426.3000,943578
2025-01-15,1440.0000,1451.6000,1406.9500,1439.3500,423470
2025-01-16,1450.0000,1497.0000,1440.0500,1449.8500,322369
2025-01-17,1452.0000,1484.0000,1439.2000,1472.2000,570227
2025-01-20,1472.9000,1484.4000,1454.8500,1463.5000,338038
2025-01-21,1463.5000,1481.9500,1382.0000,1388.9000,975343
2025-01-22,1390.0000,1391.9500,1297.3500,1319.3000,2838088
2025-01-23,1312.7500,1366.1500,1305.4500,1342.6000,1519127
2025-01-24,1344.8500,1358.6500,1235.0000,1255.6500,1730028
2025-01-27,1240.0000,1256.5000,1221.3500,1243.8500,1664609
2025-01-28,1259.6500,1305.0000,1211.1500,1271.1000,1026594
2025-01-29,1271.1000,1322.0000,1261.2500,1318.4000,818604
2025-01-30,1320.0000,1353.3000,1312.2000,1342.3500,541192
2025-01-31,1283.8500,1387.5500,1250.1500,1359.5000,1513344
2025-02-01,1370.2000,1490.8000,1370.2000,1431.7000,2982704
2025-02-03,1421.0000,1457.3500,1385.0000,1425.1500,1116995
2025-02-04,1425.1500,1431.9500,1402.9500,1421.4000,953776
2025-02-05,1421.4000,1430.0000,1372.0000,1379.3500,1371415
2025-02-06,1386.4000,1391.4500,1355.5500,1366.3500,621465
2025-02-07,1366.3500,1379.9000,1331.0000,1347.7000,1067338
2025-02-10,1347.3500,1348.9500,1298.0000,1324.8500,525607
2025-02-11,1319.0000,1322.4000,1271.0500,1311.1500,780980
2025-02-12,1310.0000,1310.0000,1213.6500,1220.1500,3308431
2025-02-13,1192.1500,1256.0500,1192.1500,1237.9000,2113080
2025-02-14,1236.0000,1245.8000,1206.3500,1227.1500,703491
2025-02-17,1202.7000,1245.6500,1185.5000,1240.4000,725092
2025-02-18,1245.0000,1254.7000,1201.1000,1217.1500,1009231
2025-02-19,1218.1000,1248.9500,1206.8000,1230.0500,1279701
2025-02-20,1228.0000,1260.0000,1197.2000,1250.3000,1265922
2025-02-21,1245.0000,1262.9000,1204.0000,1216.3000,913356
2025-02-24,1209.6000,1212.4500,1160.0000,1186.1000,2658937
2025-02-25,1187.8500,1208.9500,1173.6500,1192.0000,592872
2025-02-27,1178.9500,1179.0000,1128.5500,1134.5500,1523020
