date,open,high,low,close,volume
2023-09-18,168.0000,172.4000,166.0000,169.5000,38319
2023-09-20,167.0000,170.8000,166.5500,167.7000,38199
2023-09-21,170.0000,170.0000,166.2500,168.1000,16884
2023-09-22,170.3000,170.3000,164.0000,165.1500,55013
2023-09-25,167.9000,169.7500,166.0000,167.2000,20041
2023-09-26,167.9500,168.9500,165.6000,166.0000,30718
2023-09-27,165.4000,167.7000,163.1500,165.5000,28226
2023-09-28,165.5000,173.7500,164.9500,172.8500,70828
2023-09-29,181.4500,181.4500,175.4500,181.4500,83613
2023-10-03,189.4500,189.4500,176.2000,177.9000,77067
2023-10-04,176.0000,179.2000,174.3000,175.8000,35190
2023-10-05,178.9500,179.0000,171.5000,172.3500,25989
2023-10-06,175.8000,175.8000,170.0000,170.3000,41126
2023-10-09,171.0000,171.0500,164.0000,166.9500,35886
2023-10-10,169.9000,173.5000,168.3000,170.3500,20581
2023-10-11,172.0000,174.0000,171.0000,173.7500,39736
2023-10-12,175.9500,176.4000,172.2000,173.2000,21326
2023-10-13,173.2000,175.9000,171.0000,172.3500,32830
2023-10-16,172.0500,175.5000,171.5500,172.1000,36765
2023-10-17,172.5000,174.0000,171.6000,172.8000,19960
2023-10-18,174.0000,183.4500,173.9500,175.9500,67549
2023-10-19,177.0000,178.4500,174.0500,176.0500,26894
2023-10-20,176.0500,178.9000,172.0000,172.7500,19463
2023-10-23,172.5000,174.7000,166.2000,167.7000,38322
2023-10-25,169.0000,171.9500,160.2000,164.4000,40463
2023-10-26,164.3000,166.9000,151.2000,164.2000,82169
2023-10-27,160.3000,169.4000,160.1000,165.2500,19947
2023-10-30,165.2500,166.0000,160.0000,163.0000,26106
2023-10-31,166.0000,167.7500,161.0000,161.6500,21471
2023-11-01,161.0000,164.5000,160.9500,163.3500,12629
2023-11-02,165.0000,169.0000,161.6000,164.9500,24269
2023-11-03,166.0000,171.0000,164.6000,168.1000,35030
2023-11-06,172.9000,184.9000,170.0000,184.9000,97014
2023-11-07,203.3500,203.3500,203.3500,203.3500,75304
2023-11-08,209.9000,219.0000,205.0000,206.6000,270105
2023-11-09,210.0000,213.9500,197.0000,205.0500,155488
2023-11-10,208.9500,209.9000,202.8000,204.7000,65781
2023-11-13,208.9000,209.8500,193.0000,195.8000,72378
2023-11-15,197.8000,210.0000,197.7500,199.6000,86511
2023-11-16,205.0000,205.0000,196.0000,198.2000,60900
2023-11-17,198.2000,201.6500,195.1000,196.6500,27914
2023-11-20,201.5000,216.3000,201.5000,216.3000,107705
2023-11-21,237.0000,237.9000,228.2000,237.9000,81267
2023-11-22,244.8500,244.8500,226.0000,227.1500,272657
2023-11-23,233.5000,238.3000,227.5000,229.7500,104723
2023-11-24,234.9500,236.9000,227.0000,228.0500,65650
2023-11-28,228.0500,234.5500,227.5500,231.2000,55868
2023-11-29,232.6000,233.0000,227.0500,228.1000,27198
2023-11-30,232.9000,232.9000,222.5500,229.8000,33485
2023-12-01,232.9500,232.9500,220.2500,221.8000,39744
2023-12-04,224.9500,232.8500,223.6000,232.8500,58190
2023-12-05,236.8500,238.5000,225.0000,227.6000,55836
2023-12-06,225.1000,238.0000,225.1000,235.2000,41529
2023-12-07,239.9000,246.9500,232.0500,246.9500,131665
2023-12-08,259.2500,259.2500,255.0000,259.2500,135592
2023-12-11,272.2000,272.2000,265.2500,272.2000,90991
2023-12-12,285.8000,285.8000,285.8000,285.8000,29796
2023-12-13,300.0500,300.0500,271.5500,271.5500,171883
2023-12-14,258.0000,269.4000,258.0000,258.0000,183383
2023-12-15,247.0000,265.0000,245.5000,246.8500,63962
2023-12-18,252.9500,259.0000,249.0000,253.9500,52134
2023-12-19,257.0000,259.0000,250.2500,252.0500,28381
2023-12-20,257.0000,258.0000,239.4500,239.6500,40737
2023-12-21,232.0000,249.0000,227.7000,241.8500,33696
2023-12-22,248.0500,251.0000,234.0000,239.0000,23119
2023-12-26,240.0000,250.9500,240.0000,250.9500,34468
2023-12-27,249.3000,249.4000,241.3000,244.8000,24004
2023-12-28,245.0000,248.5000,236.0000,241.8500,22553
2023-12-29,242.0000,245.0000,239.0000,241.5000,17544
2024-01-01,247.0000,249.9000,241.5000,246.4500,19077
2024-01-02,251.0000,257.4000,250.0000,255.1000,28449
2024-01-03,260.0000,260.0000,244.5500,254.3500,24416
2024-01-04,252.5000,258.0000,249.3500,253.3500,16141
2024-01-05,257.3000,257.3000,248.5000,249.2000,19898
2024-01-08,251.7500,255.0000,242.9000,251.1000,17374
2024-01-09,251.1500,255.8000,242.3000,245.4500,24344
2024-01-10,249.9000,249.9000,241.3000,243.0000,17148
2024-01-11,241.0000,245.0000,240.0000,242.4000,31320
2024-01-12,246.0000,246.9000,240.0000,241.3000,14784
2024-01-15,241.3000,241.3000,241.3000,241.3000,0
2024-01-16,237.7500,241.9000,235.0000,236.0500,15085
2024-01-17,236.0500,236.0500,232.0000,232.9500,18238
2024-01-18,237.9000,237.9000,221.3000,233.6000,56943
2024-01-19,232.7500,233.6000,225.0000,232.2500,28987
2024-01-23,229.8500,229.8500,217.7500,221.3000,40050
2024-01-24,224.7000,224.7000,215.0000,220.1000,17122
2024-01-25,218.0000,220.0000,213.0000,213.7500,36699
2024-01-29,217.9500,218.9500,209.0000,210.0500,43999
2024-01-30,208.7500,218.0000,208.1500,217.6000,37036
2024-01-31,219.9000,220.0000,216.0000,217.9500,23688
2024-02-01,219.8500,228.0000,218.0000,226.8500,35946
2024-02-02,232.9500,236.8500,220.2000,225.7000,28017
2024-02-05,231.9500,231.9500,214.4500,214.5500,63653
2024-02-06,217.7000,218.9500,204.0000,212.1000,45056
2024-02-07,212.0000,214.8500,205.6000,208.9000,47680
2024-02-08,209.0500,217.7000,209.0500,213.5500,45717
2024-02-09,219.0000,219.0000,202.9000,202.9000,73687
2024-02-12,194.0000,202.9500,192.7500,192.7500,35199
2024-02-13,183.3000,192.9500,183.1500,190.4000,101518
2024-02-14,185.0000,197.0000,181.0000,192.2000,38401
2024-02-15,192.0000,194.9500,187.1000,190.6500,24938
2024-02-16,190.6500,197.0000,183.5000,193.4000,34533
2024-02-19,193.4000,196.9000,184.0000,189.7500,47964
2024-02-20,189.7000,189.7000,185.5000,187.7000,25555
2024-02-21,189.7000,197.0500,185.1000,196.5500,48655
2024-02-22,196.0000,199.0000,188.1000,190.9500,31658
2024-02-23,192.0000,194.9000,188.0000,192.5500,17702
2024-02-26,192.5500,194.5500,187.9500,189.9500,18206
2024-02-27,190.0000,190.0000,182.0000,185.1000,24082
2024-02-28,186.0000,187.0000,177.2500,179.9000,23841
2024-02-29,180.0000,185.0000,175.0500,182.5000,27089
2024-03-01,187.8500,187.8500,180.1000,181.4500,12600
2024-03-04,181.6500,184.9000,177.8000,180.2000,16468
2024-03-05,180.0000,180.0000,175.2000,177.4500,14498
