date,open,high,low,close,volume
2023-09-25,134.6000,136.5000,133.5000,133.8500,757021
2023-09-26,134.7000,136.2500,133.4500,133.9000,1053931
2023-09-27,133.9500,135.1500,131.4500,132.9000,1439309
2023-09-28,133.8500,135.5000,131.4500,131.7000,988725
2023-09-29,132.6000,134.1000,131.6000,132.7500,672310
2023-10-03,131.7500,133.6000,131.7500,132.0000,654548
2023-10-04,131.5500,133.6500,130.4000,131.2500,822673
2023-10-05,131.9000,134.7500,131.9000,133.7000,1034474
2023-10-06,134.6500,139.4500,134.1500,138.5500,1855162
2023-10-09,136.0000,137.8000,132.8500,133.7000,1410972
2023-10-10,134.0000,135.8000,133.8000,134.8000,573994
2023-10-11,135.7500,137.8500,133.7000,134.2500,611379
2023-10-12,135.1500,138.9000,134.1000,137.0000,1154989
2023-10-13,136.5000,137.2500,135.2000,136.1500,761028
2023-10-16,136.2000,137.2500,135.0000,135.5500,1041937
2023-10-17,136.8000,138.4500,135.8000,136.8000,735036
2023-10-18,137.7000,141.9000,137.0500,139.3000,1911662
2023-10-19,139.6000,139.8000,136.8000,138.4500,870799
2023-10-20,145.0000,151.5000,145.0000,147.3500,10470351
2023-10-23,147.3500,147.8000,133.5000,134.1500,3031276
2023-10-25,136.4500,137.4500,129.6500,131.8500,2401249
2023-10-26,132.1000,133.7000,125.6000,132.6000,3411610
2023-10-27,134.4000,142.4000,134.1000,140.0000,3744377
2023-10-30,140.6000,142.4000,136.6000,141.0000,1652870
2023-10-31,141.0000,142.8000,139.0000,140.4500,1580022
2023-11-01,140.2000,141.5000,135.1000,137.2000,939930
2023-11-02,139.3500,146.4000,138.2500,144.2000,3386196
2023-11-03,144.6000,149.0000,144.5500,145.3000,2009839
2023-11-06,146.2500,149.2500,145.8000,147.2000,2481032
2023-11-07,147.7000,148.0500,143.8000,144.9000,1231387
2023-11-08,145.7000,148.0500,145.0000,146.4500,902429
2023-11-09,147.0000,150.0000,142.7500,143.9000,2677779
2023-11-10,144.2500,147.7000,143.3500,145.2500,1920962
2023-11-13,149.0000,156.9000,148.6500,154.8000,6617929
2023-11-15,158.0000,161.9000,156.2500,158.2500,5892136
2023-11-16,159.0000,160.9000,156.9500,158.0000,2717536
2023-11-17,159.0000,165.4500,158.2500,160.6000,5697377
2023-11-20,161.8500,166.4000,159.0000,159.7000,4021725
