date,open,high,low,close,volume
2026-08-18,37.0600,38.5000,36.0000,37.3600,16736
2026-08-19,38.1100,38.1100,36.0500,36.1800,9422
2026-08-20,38.0000,39.6400,35.5800,36.5100,26656
2026-08-21,38.0000,41.8000,36.8000,40.3400,65255
2026-08-24,40.3500,41.7500,38.5600,40.5100,28716
2026-08-25,42.7900,46.0000,39.9700,43.6400,30067
2026-08-26,42.2100,44.8500,39.0100,41.0100,29949
2026-08-27,43.9000,43.9000,39.2300,40.2600,13432
2026-08-28,41.0000,42.0000,40.0000,40.7400,5809
2026-08-31,42.9900,43.0000,40.0000,41.0200,9637
2026-09-01,41.4000,41.4000,39.9900,40.9700,2670
2026-09-02,40.1000,40.2900,38.7500,39.4400,1281
2026-09-03,39.1000,40.6200,39.1000,39.9100,1242
2026-09-04,41.0000,41.3500,39.0300,40.6800,9343
2026-09-07,40.6800,41.0000,38.2200,39.3000,7999
2026-09-08,39.0100,41.0000,39.0100,39.8500,7175
2026-09-09,40.4000,40.4000,38.6700,39.5100,5717
2026-09-10,39.5000,39.9000,39.1000,39.2300,5768
2026-09-11,39.2300,41.4800,38.4900,40.2000,13066
2026-09-15,43.5000,48.2400,41.0000,48.2400,43332
2026-09-16,57.8800,57.8800,57.8800,57.8800,41492
2026-09-17,63.6600,63.6600,63.6600,63.6600,216505
