date,open,high,low,close,volume
2023-09-22,211.4000,222.5500,209.3000,221.2000,4089982
2023-09-25,221.2000,228.7000,217.5000,228.0000,4731573
2023-09-26,228.0000,233.5000,223.7500,224.8000,2961254
2023-09-27,225.1000,226.1500,222.5000,223.2500,1601129
2023-09-28,224.3500,225.0000,219.3000,220.3000,1294829
2023-09-29,221.0500,226.5000,220.6000,223.9000,1485114
2023-10-03,223.7000,225.3000,220.0500,221.3500,1219260
2023-10-04,220.8000,220.8000,213.5000,215.6000,1385160
2023-10-05,216.4000,217.7500,213.2000,214.2000,1004205
2023-10-06,214.6000,223.7500,213.7500,218.9500,3329998
2023-10-09,213.7500,213.7500,207.0500,209.4000,1934002
2023-10-10,211.0000,215.6500,211.0000,211.7000,1519434
2023-10-11,212.7000,216.4000,212.0000,212.7500,1215658
2023-10-12,213.0000,219.5000,212.1000,218.6000,2141889
2023-10-13,220.0000,243.5000,220.0000,227.1000,20200307
2023-10-16,229.2500,229.5000,222.6000,223.4500,3017857
2023-10-17,225.0000,244.5000,223.1500,239.0000,16253985
2023-10-18,239.8000,239.8000,229.5500,232.2000,4103316
2023-10-19,231.5000,237.0000,229.0000,233.0500,2974412
2023-10-20,233.3000,244.5000,232.8000,235.0000,8135226
2023-10-23,236.0500,236.2500,215.0000,215.6500,5416321
2023-10-25,217.9000,222.7500,205.2000,210.9500,3613502
2023-10-26,210.0000,219.9000,202.5000,217.7500,3618353
2023-10-27,224.9000,229.2000,220.2000,224.0500,4809251
2023-10-30,224.6000,225.5500,220.0500,220.8500,1671473
2023-10-31,222.0000,234.4000,221.0500,222.6500,6088418
2023-11-01,223.5000,226.9000,220.3500,221.3000,1619567
2023-11-02,231.0000,234.9000,225.5000,232.9000,5701461
2023-11-03,234.2000,237.0000,230.2000,231.8500,3315093
2023-11-06,232.9500,248.0000,230.7500,240.5500,11409685
2023-11-07,241.5000,252.8000,239.3000,246.8000,13367409
2023-11-08,247.8500,258.3000,246.4000,248.3500,11483761
2023-11-09,249.6500,253.2000,246.1000,247.8500,4785231
2023-11-10,248.9000,253.0000,243.4000,251.2000,4475520
2023-11-13,254.2500,259.6000,252.0000,254.1000,4509054
2023-11-15,257.2000,257.9000,250.7500,252.5500,4905345
2023-11-16,252.6000,254.5000,246.1000,248.0000,3072142
2023-11-17,247.9500,274.0000,246.1000,271.1500,23639908
2023-11-20,271.9000,273.8000,260.5500,263.1000,6760411
2023-11-21,264.4500,278.5000,262.8500,270.9500,13265197
2023-11-22,272.3000,284.6000,263.2500,281.5500,12411441
2023-11-23,282.0000,294.8000,280.7500,292.1500,13862092
2023-11-24,291.8000,296.3500,282.8000,287.0500,8992210
2023-11-28,290.0000,294.7000,284.9000,291.4500,6891364
2023-11-29,292.6000,293.4500,285.0000,285.9500,4875099
2023-11-30,287.0000,294.0000,273.7500,290.5000,7247727
2023-12-01,291.1500,298.5000,280.0500,282.0000,8917695
2023-12-04,287.3000,292.3000,283.5500,286.3000,5706431
2023-12-05,287.5000,292.0000,280.4500,289.6000,3193642
2023-12-06,289.6000,289.8000,285.0500,285.8000,2442375
2023-12-07,285.0000,288.2500,282.0000,285.3500,2149036
2023-12-08,286.6000,299.6500,283.3000,287.1500,10910935
2023-12-11,288.4000,302.0000,287.0500,294.2000,9532610
2023-12-12,296.5500,297.7500,286.7500,289.4500,3640487
2023-12-13,290.0000,291.3000,286.5500,287.5500,1970587
2023-12-14,289.2000,305.8000,288.5000,299.2000,15366090
2023-12-15,301.4500,306.8000,295.2500,297.0000,6313593
2023-12-18,297.4000,304.8000,293.1500,300.9500,4354425
2023-12-19,302.0000,320.8500,300.2500,314.8000,16494360
2023-12-20,317.4500,317.7000,285.0500,289.2500,8202803
2023-12-21,285.0000,294.8000,279.0500,291.5500,6265463
2023-12-22,295.7500,304.0000,293.0500,296.3500,5361397
2023-12-26,297.8500,301.7500,294.0000,297.7500,3613177
2023-12-27,299.0000,302.8000,294.2000,296.5000,2245883
2023-12-28,297.5000,298.8500,292.5500,293.4500,1904472
2023-12-29,298.0000,348.0000,297.5500,338.0000,45390991
2024-01-01,340.9000,371.1500,339.9500,353.0500,31508799
2024-01-02,355.1500,363.9000,345.3500,353.9500,12587553
2024-01-03,354.0000,374.0000,349.2000,363.2500,15491354
2024-01-04,366.0000,369.7000,353.0000,355.2500,10470903
2024-01-05,357.4000,361.0000,347.7000,355.8500,4043982
2024-01-08,356.7500,357.4000,343.5500,347.1500,6629486
2024-01-09,350.9000,355.3000,346.0000,349.2500,6116697
2024-01-10,351.0500,356.5000,345.6000,351.3000,6277305
2024-01-11,353.3000,359.8000,351.5000,352.9500,4931697
2024-01-12,355.0000,358.4000,353.1000,355.5000,2303153
2024-01-15,355.5000,355.5000,355.5000,355.5000,0
2024-01-16,367.3500,374.4000,352.1500,359.4500,6458140
2024-01-17,356.9500,368.0000,349.2000,362.8500,5747854
2024-01-18,367.5500,372.7000,345.1000,363.0000,6218795
2024-01-19,365.6000,395.9000,362.2000,386.8000,26165417
2024-01-23,446.0000,449.3000,382.9500,387.2500,27738038
2024-01-24,387.2500,407.0500,369.0000,397.4000,14014839
2024-01-25,407.0500,459.2000,406.2000,437.7500,59292767
2024-01-29,440.8000,446.5000,428.0000,430.1500,9928039
2024-01-30,433.7000,450.9500,420.0000,423.6500,8411710
2024-01-31,427.0000,439.5000,421.7000,437.4500,7534984
2024-02-01,443.0000,446.7500,417.2000,419.9500,10730870
2024-02-02,424.0000,426.6000,411.5500,419.0000,5184893
2024-02-05,422.0000,429.5000,405.0000,409.6000,4771098
2024-02-06,410.9000,414.0000,398.0000,410.6500,4665753
2024-02-07,414.8000,438.5000,412.8500,424.6500,8557930
2024-02-08,429.0000,446.5000,422.6000,432.3500,8199828
2024-02-09,430.0000,441.0000,393.1000,396.8500,9165487
2024-02-12,396.8500,398.6000,356.0000,363.3000,11328623
2024-02-13,358.0000,381.7000,354.7500,366.5000,10213124
2024-02-14,366.0000,385.5000,361.8000,376.4000,6295167
2024-02-15,379.8500,391.8000,378.7000,384.9500,4384229
2024-02-16,386.4500,388.8000,371.7000,378.7000,3936621
2024-02-19,380.0000,408.6000,378.5000,390.2500,7770487
2024-02-20,392.0000,399.7500,386.6500,389.8000,2543909
2024-02-21,391.8000,394.7000,374.2000,375.8000,2559860
2024-02-22,378.8000,383.0000,369.0000,380.3500,2465889
2024-02-23,381.8500,413.3000,381.5500,407.7500,15712272
2024-02-26,409.9000,428.0000,404.2000,424.8500,10397183
2024-02-27,418.0000,483.6000,417.4000,469.9500,48166328
2024-02-28,473.5000,491.4500,448.2500,454.4500,21720777
2024-02-29,456.0000,458.2000,433.3500,448.9500,14087679
2024-03-01,455.0000,458.5000,443.8500,446.5500,6447880
2024-03-04,459.8000,469.3500,438.5500,440.6500,5682501
2024-03-05,442.6500,451.2500,430.7000,438.3000,7003977
2024-03-06,434.9000,438.3500,414.6500,418.2000,4755245
2024-03-07,419.3000,428.5500,418.6000,421.3500,3888393
2024-03-11,422.6500,433.9500,406.7000,411.2500,3789355
2024-03-12,411.2500,413.2000,382.3500,385.3000,5599997
2024-03-13,387.9500,394.7000,308.2500,308.2500,14482150
