date,open,high,low,close,volume
2023-09-18,1040.0000,1046.3000,1016.5000,1020.2000,347290
2023-09-20,1024.9000,1041.9500,1021.4000,1035.1500,180056
2023-09-21,1038.7000,1048.0000,1028.0000,1034.4000,113004
2023-09-22,1034.4000,1056.9500,1021.0500,1049.2000,248908
2023-09-25,1055.1500,1057.9500,1030.1500,1033.9500,242296
2023-09-26,1034.5000,1052.5000,1026.0000,1035.7500,173262
2023-09-27,1035.6500,1042.9500,1029.0500,1034.1500,277062
2023-09-28,1032.5500,1054.0000,1029.3500,1032.6500,285803
2023-09-29,1036.0000,1041.3000,1022.3500,1028.3500,206906
2023-10-03,1036.6000,1051.9000,1030.0000,1046.3000,358440
2023-10-04,1044.9000,1051.9000,1034.8500,1036.8000,132911
2023-10-05,1041.0500,1043.5000,1034.0000,1035.9000,97100
2023-10-06,1036.0000,1049.0000,1029.1000,1041.3000,90549
2023-10-09,1041.3000,1052.8000,1029.2000,1045.6500,107184
2023-10-10,1055.0000,1072.0000,1048.5500,1060.4500,230433
2023-10-11,1059.0000,1075.6000,1035.0000,1049.1500,139125
2023-10-12,1050.9000,1070.0000,1047.5500,1063.0000,151614
2023-10-13,1051.0000,1087.8000,1048.0500,1080.1000,240650
2023-10-16,1087.0000,1090.0000,1058.0000,1059.8000,192807
2023-10-17,1061.5000,1095.0000,1061.5000,1090.7500,198458
2023-10-18,1081.2500,1089.1500,1045.0000,1048.2000,129073
2023-10-19,1048.2000,1087.4500,1045.2000,1077.6500,214190
2023-10-20,1077.6500,1097.2500,1070.6500,1076.5500,220188
2023-10-23,1087.0500,1139.0000,1075.0500,1111.3500,589016
2023-10-25,1130.0500,1142.0000,1093.0000,1130.4500,359185
2023-10-26,1132.8500,1147.8000,1070.0000,1132.9500,593680
2023-10-27,1130.0000,1142.0000,1103.8000,1130.4500,234699
2023-10-30,1142.5500,1145.0000,1115.0000,1137.2000,113535
2023-10-31,1120.0000,1120.0000,1055.0000,1063.1500,815453
2023-11-01,1072.0000,1076.1500,1043.3500,1056.7500,229476
2023-11-02,1065.9500,1077.9000,1047.0000,1051.0500,161249
2023-11-03,1063.0000,1063.4000,1030.0500,1037.5500,183953
2023-11-06,1049.9500,1056.0000,1020.1000,1025.3000,104410
2023-11-07,1029.8000,1043.0000,992.9500,1009.3000,431573
2023-11-08,1010.0000,1030.9500,1010.0000,1019.2500,150339
2023-11-09,1021.0000,1026.4000,1000.0000,1009.4000,129464
2023-11-10,1009.4000,1025.5500,1002.5500,1017.9000,50330
2023-11-13,1028.3000,1038.8000,1014.0000,1017.0500,69683
2023-11-15,1029.8500,1039.0000,1012.3500,1021.9000,95427
2023-11-16,1020.6000,1087.0000,1020.6000,1054.8000,374176
2023-11-17,1058.5000,1095.0000,1049.2000,1084.5000,193316
2023-11-20,1085.0000,1178.0000,1074.0000,1113.4000,564208
2023-11-21,1123.7000,1127.9000,1085.0500,1096.4500,150172
2023-11-22,1104.9500,1159.4500,1104.9500,1131.3000,382394
2023-11-23,1130.0000,1168.4500,1112.3000,1120.9000,150176
2023-11-24,1121.0500,1141.7000,1092.2500,1096.5500,117829
2023-11-28,1096.5500,1117.8500,1081.5500,1090.8000,138176
2023-11-29,1101.7000,1101.7000,1070.0500,1074.3000,57314
2023-11-30,1074.3000,1092.5000,1069.0000,1073.3000,356433
2023-12-01,1073.3000,1120.0000,1072.8500,1104.0000,165770
2023-12-04,1122.3000,1133.0500,1094.5000,1109.5500,223026
2023-12-05,1110.0000,1135.7500,1102.8000,1122.4500,132598
2023-12-06,1131.9500,1131.9500,1076.0000,1094.9000,298323
2023-12-07,1114.0000,1114.0000,1078.3500,1087.2000,164036
2023-12-08,1097.6500,1146.7000,1085.1000,1090.2500,349618
2023-12-11,1090.2500,1129.0000,1090.2500,1112.1000,147543
2023-12-12,1109.3500,1155.0000,1088.8000,1092.2000,286804
2023-12-13,1094.3000,1111.0000,1082.0500,1101.0500,120177
2023-12-14,1101.0500,1130.7000,1097.3500,1117.2500,252958
2023-12-15,1125.0000,1136.4000,1121.2500,1125.6500,72264
2023-12-18,1125.6500,1171.0000,1121.0000,1151.2500,211969
2023-12-19,1163.2500,1170.0000,1149.2000,1165.6500,128744
2023-12-20,1167.1000,1169.9500,1087.5500,1103.0000,227925
2023-12-21,1101.7000,1128.9000,1075.6000,1114.9500,102668
2023-12-22,1115.0000,1132.0000,1101.1000,1117.7000,67248
2023-12-26,1125.0000,1129.5500,1114.0000,1123.3000,48690
2023-12-27,1126.0000,1148.8000,1122.7500,1135.3500,113740
2023-12-28,1146.7000,1215.9000,1143.0000,1193.3500,634462
2023-12-29,1193.3500,1199.4000,1161.0500,1193.0500,260301
2024-01-01,1200.4000,1224.0000,1183.0000,1220.3000,234465
2024-01-02,1238.5500,1238.5500,1195.7000,1207.2000,150464
2024-01-03,1210.0000,1212.1500,1194.0000,1201.7500,109258
2024-01-04,1205.0500,1248.0000,1194.8500,1226.0000,156733
2024-01-05,1235.0000,1256.9500,1227.8500,1251.1500,124393
2024-01-08,1251.1500,1297.2000,1251.1500,1290.1500,165140
2024-01-09,1320.0000,1329.8500,1270.0500,1301.8500,162536
2024-01-10,1295.0000,1329.0000,1259.7000,1312.7500,171210
2024-01-11,1302.3000,1322.2000,1282.3500,1294.7500,277321
2024-01-12,1294.0500,1309.9500,1271.1500,1283.2000,100308
2024-01-15,1283.2000,1283.2000,1283.2000,1283.2000,0
2024-01-16,1285.0000,1298.0000,1267.6500,1278.9000,107201
