date,open,high,low,close,volume
2026-04-15,314.4500,314.4500,314.4500,314.4500,0
2026-04-16,314.4500,314.4500,314.4500,314.4500,0
2026-04-17,314.4500,314.4500,314.4500,314.4500,0
2026-04-20,810.0000,814.0000,745.0000,794.5000,4436
2026-04-21,799.9500,833.9500,789.0000,795.0000,533
2026-04-22,794.9500,809.9500,790.0000,793.7000,1268
2026-04-23,804.0500,815.1500,777.1000,782.2500,1043
2026-04-24,779.9500,815.0000,771.0000,785.9000,742
2026-04-27,798.9500,799.0000,751.0000,774.0500,1112
2026-04-28,765.0000,820.0000,765.0000,813.8500,1764
2026-04-29,815.0000,815.0000,806.0000,813.5500,914
2026-04-30,790.0000,810.0000,780.0000,803.8500,502
2026-05-04,829.0000,850.0000,805.0500,818.6500,328
2026-05-05,810.0000,825.0000,810.0000,825.0000,176
2026-05-06,849.5500,849.5500,816.0500,843.9500,1541
2026-05-07,838.0000,843.9500,819.0500,830.0500,593
2026-05-08,821.0000,853.9500,821.0000,848.4000,948
2026-05-11,848.9000,848.9000,805.4000,823.3000,630
2026-05-12,823.3000,823.3000,790.0000,794.1000,645
2026-05-13,805.0000,824.0000,805.0000,807.2500,556
2026-05-14,790.0500,794.2000,790.0500,794.0000,260
2026-05-15,804.0000,805.0000,790.1500,793.2000,1117
2026-05-18,793.2000,825.0000,774.0500,780.0000,1421
2026-05-19,780.0500,789.0000,776.0000,776.5000,1117
2026-05-20,776.0000,776.0000,749.0000,757.0000,1751
2026-05-21,755.1000,775.0000,751.1000,755.8500,5799
2026-05-22,762.6000,787.7000,755.8500,787.5000,813
2026-05-25,813.9500,847.8000,805.5500,814.8500,2067
2026-05-26,824.9500,824.9500,800.0000,800.2500,2883
2026-05-27,783.2000,848.0000,783.2000,815.2500,2494
2026-05-28,815.2500,815.2500,815.2500,815.2500,0
2026-05-29,840.0000,851.7000,785.0000,804.6000,2137
2026-06-01,845.0000,863.8000,815.9000,837.8000,9913
2026-06-02,838.0000,875.0000,821.0000,848.8500,10550
2026-06-03,857.9000,857.9000,831.2500,840.4500,2252
2026-06-04,849.8500,857.8000,833.2500,845.1500,3872
2026-06-05,849.6000,849.7500,830.0000,838.6500,3329
2026-06-08,835.0000,839.2500,801.0000,808.0000,5412
2026-06-09,809.8000,824.5000,809.8000,821.4500,1091
2026-06-10,824.3000,824.4000,801.2500,804.1500,1770
2026-06-11,819.8500,819.8500,802.2000,811.4500,595
2026-06-12,818.4000,847.6000,804.2000,842.4000,1744
2026-06-15,857.0000,857.0000,830.0000,846.5500,856
2026-06-16,840.0000,845.0000,830.0500,836.4000,1719
2026-06-17,835.0000,837.8500,830.0000,833.2500,507
2026-06-18,830.0500,849.5000,830.0000,844.7000,2086
2026-06-19,838.0000,845.9500,833.7500,839.7500,821
2026-06-22,835.0000,840.0000,825.0000,833.1500,1581
2026-06-23,834.7500,837.9000,819.6500,822.1500,1683
2026-06-24,829.1000,830.0000,824.0500,828.9000,1085
2026-06-25,834.8500,875.0000,830.0000,834.0000,14235
2026-06-26,834.0000,834.0000,834.0000,834.0000,0
2026-06-29,826.1500,841.4500,820.0000,821.7000,1106
2026-06-30,841.8500,845.0000,822.2000,843.0500,2788
2026-07-01,842.6500,842.6500,818.4000,828.4500,868
2026-07-02,834.6000,848.9500,819.0500,836.5000,1155
2026-07-03,844.8500,848.8500,820.0000,820.9000,1386
2026-07-06,816.8000,840.0000,816.8000,824.6000,1649
2026-07-07,840.0000,840.0000,815.0500,823.5000,792
2026-07-08,850.0000,875.0000,790.0500,796.4000,6387
2026-07-09,819.7000,829.9500,800.2000,813.7500,1162
2026-07-10,807.5500,838.0000,807.1500,828.5500,819
2026-07-13,828.5500,832.0000,812.7500,822.5500,975
2026-07-14,825.0000,839.0000,821.0500,829.9500,354
2026-07-15,834.0500,860.0000,827.0000,829.8000,1868
2026-07-16,850.0000,850.0000,820.0500,841.9500,5495
2026-07-17,828.3500,845.9000,828.3500,839.9000,592
2026-07-20,825.0000,839.0000,821.7000,825.0000,101
2026-07-21,825.0000,830.0000,811.0000,812.6500,648
2026-07-22,815.0000,838.0000,815.0000,820.7000,1797
2026-07-23,808.1000,829.0000,803.0500,823.1000,1405
2026-07-24,803.1500,825.0000,802.0000,807.7500,493
2026-07-27,802.0500,820.0000,802.0500,810.7500,982
2026-07-28,820.0000,825.0000,805.0500,810.5500,634
2026-07-29,825.0000,825.0000,810.0000,819.9000,524
2026-07-30,815.0000,815.0000,801.2000,813.9500,290
2026-07-31,806.2000,832.7500,805.0000,829.0500,493
2026-08-03,830.0000,839.9000,806.3000,818.8500,1355
2026-08-04,830.0000,847.9500,815.1000,829.5500,1208
2026-08-05,839.0000,844.5000,827.0000,833.7000,331
2026-08-06,840.0000,842.0000,826.0000,833.6000,845
2026-08-07,838.0000,838.0000,816.2500,818.9500,845
2026-08-10,817.5000,844.9000,817.5000,837.3500,2462
2026-08-11,839.5000,839.5000,821.0000,822.1000,559
2026-08-12,822.0000,839.9000,822.0000,838.1000,1242
2026-08-13,842.0000,860.0000,815.0000,832.4500,6595
2026-08-14,840.0000,855.0000,831.0000,838.1500,1697
2026-08-17,852.4500,858.9500,825.0000,827.8000,3070
2026-08-18,836.0000,849.5500,836.0000,843.4000,447
2026-08-19,843.0000,843.0000,810.1000,812.5000,3156
2026-08-20,810.1000,833.7000,810.0000,812.6500,891
2026-08-21,812.7500,818.8500,809.9500,816.0500,1858
2026-08-24,810.0000,824.0000,801.0000,803.2500,1539
2026-08-25,819.7500,819.7500,801.2500,816.6500,1007
2026-08-26,811.0000,830.0000,808.0000,826.9000,1157
2026-08-27,828.0000,828.0000,810.0000,810.0000,385
2026-08-28,827.0000,827.0000,805.1000,813.8500,311
2026-08-31,800.0000,824.0000,800.0000,806.6500,1769
2026-09-01,800.0000,819.7500,800.0000,810.0000,990
2026-09-02,810.0500,810.0500,791.9000,794.1000,839
2026-09-03,805.0000,810.0000,795.0000,799.7000,2451
2026-09-04,800.0000,809.8000,795.0000,795.3000,1199
2026-09-07,800.0000,804.9500,762.6000,775.6500,2828
2026-09-08,779.5000,786.0000,770.4000,785.0000,468
2026-09-09,785.0500,785.0500,760.0000,762.6500,4229
2026-09-10,775.0000,784.2000,735.6000,751.1000,2021
2026-09-11,765.9500,778.4000,754.0000,775.9500,374
2026-09-15,775.0000,775.0000,751.0000,759.0000,1355
2026-09-16,760.0000,770.0000,755.0000,760.0000,2946
2026-09-17,774.0000,780.0000,765.0000,771.2500,747
2026-09-18,787.7000,798.8500,765.2000,790.6500,350
2026-09-21,794.9500,795.0000,762.0000,768.5500,668
2026-09-22,772.3500,778.5000,757.0000,758.5000,367
