date,open,high,low,close,volume
2026-07-01,188.9000,192.0000,179.4600,179.4600,5277586
2026-07-02,171.0000,180.0100,170.4900,175.2000,983917
2026-07-03,172.0000,172.8000,166.5000,167.3000,651479
2026-07-06,167.5000,172.0000,165.0000,168.2400,491588
2026-07-07,170.0000,170.0500,161.6000,169.1900,511228
2026-07-08,169.8000,174.4000,165.0000,171.9900,683416
2026-07-09,169.0000,179.8000,169.0000,178.1300,400529
2026-07-10,176.3000,180.0100,174.0000,178.9800,204368
2026-07-13,175.5500,187.9200,175.5000,187.5200,503874
2026-07-14,190.0000,196.8900,190.0000,196.8900,493689
2026-07-15,204.0000,222.0000,192.4300,209.4300,2708932
2026-07-16,211.3000,214.7000,203.1300,206.0700,520223
2026-07-17,205.5100,217.7000,198.0000,214.1100,1189889
2026-07-20,214.1100,219.8000,209.2100,213.5100,547430
2026-07-21,205.0000,213.1400,199.1000,203.0600,1289013
2026-07-22,205.0000,206.9300,200.8200,204.6300,274583
2026-07-23,205.0000,208.7100,202.0000,202.3400,288475
2026-07-24,202.0000,202.2300,192.4000,194.0700,226098
2026-07-27,193.5600,201.5000,193.5600,197.8900,296930
2026-07-28,196.5000,197.5000,185.1300,187.2600,262234
2026-07-29,188.7600,189.6000,182.3400,185.9300,281485
2026-07-30,182.0000,184.1400,176.5000,177.9800,367270
2026-07-31,177.9800,182.2400,175.7600,178.3200,186514
2026-08-03,180.3000,189.4900,178.6400,183.7600,280637
2026-08-04,183.3400,188.0000,183.3400,185.8100,146163
2026-08-05,186.8000,187.5700,182.4200,184.5000,126256
2026-08-06,184.4500,187.7000,182.0500,186.6000,128171
2026-08-07,186.8000,198.0000,182.1000,185.2100,373777
2026-08-10,184.8000,197.0700,181.1300,193.9000,807563
2026-08-11,190.0100,195.0000,183.4700,187.6100,1236465
2026-08-12,188.3000,191.7300,183.8300,184.9600,145792
2026-08-13,184.9600,186.5500,181.5900,182.6200,86577
2026-08-14,182.4500,184.4000,173.1000,177.7900,220456
2026-08-17,180.0000,183.4000,178.0000,180.9700,86163
2026-08-18,181.5000,183.5000,178.0000,179.2500,95052
2026-08-19,182.0000,182.0000,176.0000,177.3900,112565
2026-08-20,177.3900,180.9000,173.2600,173.8400,151763
2026-08-21,173.9000,180.0000,173.9000,177.4100,170052
2026-08-24,180.8500,212.8900,180.8500,212.8900,2520932
2026-08-25,225.1900,242.0000,207.0000,213.2000,9924084
2026-08-26,215.0100,255.8400,210.6200,255.6900,12226520
2026-08-27,259.7000,279.3300,237.0100,263.5700,16411137
2026-08-28,259.8000,264.8700,245.3100,250.5100,2950380
2026-08-31,248.0000,258.5000,236.1100,240.3200,1761091
2026-09-01,240.3200,247.5500,233.3000,237.0700,759953
2026-09-02,233.3400,258.9900,233.3400,246.1700,1238324
2026-09-03,246.9000,253.8000,239.3200,244.2600,1947346
2026-09-04,249.9000,268.6800,247.0600,268.6800,1915247
2026-09-07,270.4000,288.3000,270.4000,276.3200,1832168
2026-09-08,273.0100,283.9500,266.9400,275.0400,848380
2026-09-09,274.8000,285.0000,271.1300,277.9800,714676
2026-09-10,283.0000,289.0000,263.0000,267.5100,742523
2026-09-11,264.0600,273.9600,261.0000,269.2800,368989
2026-09-14,269.2800,269.2800,269.2800,269.2800,0
2026-09-15,269.1700,269.1700,250.0000,253.2200,537640
2026-09-16,252.9000,258.0000,242.0100,252.0500,333114
2026-09-17,253.0000,273.0000,249.7300,266.1700,421911
2026-09-18,272.1800,292.7800,265.0100,290.8500,1439325
2026-09-21,294.9100,308.4000,285.0100,304.0300,1449014
