date,open,high,low,close,volume
2023-09-25,140.8500,140.8500,137.2500,138.2250,103428
2023-09-26,138.7250,139.6500,132.2500,133.8250,264838
2023-09-27,133.8250,135.7000,129.7000,130.6250,220002
2023-09-28,131.6000,134.8250,130.5000,130.7250,167442
2023-09-29,130.7500,141.8000,129.5500,138.6750,551870
2023-10-03,138.6750,140.5000,135.0250,135.9500,228310
2023-10-04,136.4000,136.4000,131.5750,132.0250,167154
2023-10-05,133.3500,138.0750,133.3500,135.5500,129636
2023-10-06,136.5000,137.6500,134.5250,135.8500,81666
2023-10-09,134.8750,134.8750,129.1250,130.0250,153816
2023-10-10,131.4750,133.4500,130.5000,131.1250,85354
2023-10-11,133.2250,133.7250,130.5750,131.3500,89732
2023-10-12,133.8250,133.8250,130.0500,131.0750,76708
2023-10-13,131.5000,132.0250,128.0500,128.9750,145106
2023-10-16,126.5000,129.8500,126.4250,128.9000,111476
2023-10-17,129.4750,130.6000,127.0000,127.6250,84930
2023-10-18,128.1250,128.4750,124.5000,125.3750,125692
2023-10-19,125.3750,135.1250,122.8000,130.9750,311276
2023-10-20,131.5000,133.4500,128.0000,129.1750,80448
2023-10-23,129.0000,130.8500,120.4000,122.3250,177020
2023-10-25,122.3500,124.8750,117.6000,119.0750,121646
2023-10-26,119.7000,123.5000,113.7250,121.3500,161580
2023-10-27,122.4250,131.7000,122.0000,127.3250,204200
2023-10-30,127.4000,131.0750,124.1000,130.0750,92008
2023-10-31,130.0750,131.3500,127.0000,127.4750,62668
2023-11-01,127.9500,128.9000,125.5000,127.0750,70272
2023-11-02,127.5000,128.9000,126.4500,127.0500,39786
2023-11-03,128.2500,132.3750,127.0000,131.0750,81440
2023-11-06,132.1500,133.1250,130.0500,132.1500,79124
2023-11-07,132.0500,138.4750,130.9000,137.2500,235000
2023-11-08,142.0000,142.5000,136.6000,138.9000,342026
2023-11-09,140.0000,140.0000,135.0500,135.5000,84708
2023-11-10,136.0000,136.9500,134.5000,136.0000,69080
2023-11-13,136.4000,136.7000,133.3500,134.7750,47766
2023-11-15,135.0500,135.9500,133.2500,133.7250,53784
2023-11-16,134.4000,136.3000,132.7750,133.8750,56708
2023-11-17,133.4750,136.9000,132.5250,135.9000,56930
2023-11-20,136.4500,136.4500,132.8750,133.3500,41788
2023-11-21,133.5000,134.6000,131.9500,133.5250,65972
2023-11-22,133.5250,135.0000,132.2500,133.2000,37626
2023-11-23,133.9000,145.0000,130.7750,139.2000,487796
2023-11-24,139.2000,144.0500,139.2000,142.9750,219140
2023-11-28,144.2000,151.4000,140.0500,150.3500,446910
2023-11-29,151.2500,155.0000,144.5000,146.1750,475788
2023-11-30,143.0000,147.5000,139.3500,146.3000,441840
2023-12-01,146.8750,147.1750,141.0750,142.4500,199964
2023-12-04,143.5750,145.4750,140.0000,140.4250,177998
2023-12-05,141.1750,143.7500,140.5500,142.2000,94692
2023-12-06,142.4250,146.5000,142.4250,145.4500,150094
2023-12-07,146.2000,149.0000,144.6750,148.4000,173702
2023-12-08,148.4000,152.0000,147.0000,147.5250,130272
2023-12-11,147.5500,149.1250,146.0000,146.6750,79666
2023-12-12,145.2750,147.8500,142.5250,143.0000,82876
2023-12-13,141.5750,145.1500,141.5750,143.4500,70852
2023-12-14,144.6750,144.9750,141.0000,141.4250,78344
2023-12-15,142.2000,142.7000,139.0500,140.1750,94988
2023-12-18,140.0500,145.0000,140.0000,142.9000,83090
2023-12-19,143.0000,146.2500,142.9000,144.5750,60478
2023-12-20,145.7000,145.7000,135.7500,137.5000,105052
2023-12-21,136.5000,142.0500,136.5000,140.0500,99134
2023-12-22,140.7500,147.5000,140.7500,145.7000,162212
2023-12-26,147.4250,153.4500,146.6000,149.8500,344410
2023-12-27,150.4500,154.9250,150.0000,151.9500,290012
2023-12-28,151.9500,152.5000,147.7750,148.6250,110340
2023-12-29,149.3500,151.5000,147.2000,148.0750,120044
2024-01-01,148.7750,152.3250,148.6500,149.6000,124778
2024-01-02,149.9750,152.4250,146.6000,149.7250,91554
2024-01-03,149.5000,150.4250,147.9500,148.9250,65154
2024-01-04,149.0250,150.7250,147.5250,149.2750,90834
2024-01-05,150.8250,158.5750,148.5000,150.0000,337442
2024-01-08,150.4500,151.5000,146.8750,150.1500,166644
2024-01-09,150.1500,153.7000,149.7750,151.4750,115410
2024-01-10,151.4750,153.5000,149.5000,152.6750,116488
2024-01-11,153.9500,157.5000,151.5000,155.0500,251356
2024-01-12,155.0500,160.5000,153.3500,156.8500,280592
2024-01-15,156.8500,156.8500,156.8500,156.8500,0
2024-01-16,156.5000,157.5750,153.4250,154.3500,103074
2024-01-17,152.5500,157.8000,152.5500,155.8250,161802
2024-01-18,155.4500,157.4250,151.9500,155.5750,184574
2024-01-19,156.0000,159.4750,154.5250,154.7000,152394
2024-01-23,158.9500,158.9500,154.0250,154.4500,80470
2024-01-24,153.6000,158.5750,152.9500,154.9500,55500
2024-01-25,154.9500,158.5000,154.0000,154.6500,102010
2024-01-29,154.6500,156.6000,152.1500,153.5000,76454
2024-01-30,154.6750,155.4750,151.7750,152.7250,87968
2024-01-31,152.0000,155.2500,149.5000,150.6250,119744
2024-02-01,150.0500,156.0250,150.0500,153.9000,120008
2024-02-02,155.0500,162.9500,155.0500,158.0250,305934
2024-02-05,151.2750,154.0000,150.2500,151.6500,324600
2024-02-06,151.7500,152.3750,149.0000,149.6750,77022
2024-02-07,149.9750,152.4000,148.5000,151.0250,102084
2024-02-08,152.4750,152.5000,149.4000,150.5750,107382
2024-02-09,150.5000,154.0000,145.5500,150.5250,128744
2024-02-12,150.5250,150.5500,140.0000,141.5250,70154
2024-02-13,141.5250,144.5000,137.8250,142.2750,63708
2024-02-14,140.2750,144.3000,140.0500,142.7250,29688
2024-02-15,143.0000,145.0000,142.9250,143.8000,35944
2024-02-16,143.8750,145.2500,140.0500,142.8000,79362
2024-02-19,142.8000,145.3750,142.6250,144.1000,54288
2024-02-20,142.7500,147.2250,142.7500,145.8500,53688
2024-02-21,145.9500,146.6000,144.0000,145.3250,74914
2024-02-22,145.4750,147.5000,143.1500,146.8750,35204
2024-02-23,146.8750,147.3750,145.0500,145.8250,52840
2024-02-26,145.8250,149.1000,144.5500,145.2500,54912
2024-02-27,144.5000,148.3500,144.5000,145.8500,43214
2024-02-28,145.1750,146.9000,142.8000,144.0000,43582
2024-02-29,144.0000,144.3500,141.5750,142.0750,27438
2024-03-01,142.3750,144.1000,142.3750,142.9750,14784
2024-03-04,144.8750,146.0000,142.5250,143.2500,42120
2024-03-05,141.7250,143.5000,140.3750,142.4250,28454
2024-03-06,142.4000,142.5250,135.6000,137.9250,39766
2024-03-07,138.0000,143.0000,136.8750,140.6500,22442
2024-03-11,142.4250,143.8500,137.9500,138.2500,30866
2024-03-12,136.0750,138.2750,132.7750,134.1000,72750
2024-03-13,131.7750,134.3500,124.5750,125.8250,120090
2024-03-14,125.4500,131.6750,123.7000,128.5250,95768
2024-03-15,127.9750,131.5250,126.4000,127.7000,46620
2024-03-18,126.2250,129.5500,126.0750,126.7250,38072
2024-03-19,126.8250,129.3500,123.9750,124.5250,94036
2024-03-20,124.7000,127.2250,122.8500,124.1750,83384
2024-03-21,124.3000,128.0000,124.3000,125.9250,46308
2024-03-22,127.4250,133.0250,126.1750,130.7000,76422
2024-03-26,129.0250,131.2250,125.2750,126.8500,67140
2024-03-27,129.0000,130.0000,127.2250,129.1000,75584
2024-03-28,129.1000,132.0000,127.0250,128.2250,80808
2024-04-01,129.6750,141.6500,129.4000,140.7000,81758
2024-04-02,140.6750,142.6000,138.6250,141.5500,49750
2024-04-03,141.5000,142.5000,138.0250,140.7500,56670
2024-04-04,141.4250,141.9500,138.4000,139.0000,30530
2024-04-05,138.6750,142.5500,138.0500,140.3500,40342
2024-04-08,140.4750,142.4250,139.5000,140.8000,29050
2024-04-09,140.9250,151.5000,139.5500,150.7250,249116
2024-04-10,153.5000,154.8500,144.3500,145.7500,93440
2024-04-12,149.0000,149.0000,146.0250,147.6500,58118
2024-04-15,147.0000,150.0000,142.5000,147.3500,95490
2024-04-16,147.9750,169.0000,147.9750,164.9500,3473916
2024-04-18,167.0000,183.2750,167.0000,170.4000,1699090
2024-04-19,168.9500,171.9750,162.5000,164.5500,506112
2024-04-22,165.5250,179.4500,165.5250,173.5500,981258
2024-04-23,175.9750,177.3750,170.0500,171.4250,295496
2024-04-24,171.9000,173.8250,165.9500,169.3500,214536
2024-04-25,169.2250,170.9250,164.4000,165.5750,127560
2024-04-26,166.7250,170.3250,165.0000,165.6750,137792
2024-04-29,169.5000,174.5000,167.5250,172.7500,208208
2024-04-30,172.5750,183.1500,171.5000,173.4000,389152
2024-05-02,184.9750,205.7250,183.0000,197.2750,5752732
2024-05-03,199.2000,201.5500,190.1250,191.6250,750436
2024-05-06,191.5000,202.9000,184.5000,187.4250,319028
2024-05-07,187.4000,192.5000,179.9750,183.1250,178814
2024-05-08,182.5500,193.9000,179.6250,189.4500,263740
2024-05-09,189.7250,192.2000,181.1000,183.6500,133498
2024-05-10,185.4250,192.0000,183.0500,189.7750,138830
2024-05-13,193.9000,196.0000,186.1000,193.6250,160740
2024-05-14,197.5000,201.5000,187.5000,192.4750,486768
2024-05-15,197.5000,197.5000,190.1000,193.9750,147836
2024-05-16,196.5000,198.0000,190.5000,191.6000,104244
2024-05-17,197.5000,197.5000,189.0000,189.9250,86224
2024-05-21,190.0000,190.0000,185.0000,185.6500,91308
2024-05-22,185.2250,189.0000,185.0500,187.2250,49216
2024-05-23,187.2250,192.5000,185.5000,188.0500,77504
2024-05-24,189.8750,190.7500,185.0000,185.6750,66956
2024-05-27,182.5500,186.7500,178.1500,183.3000,78594
2024-05-28,183.5000,188.8250,180.5250,181.3750,55510
2024-05-29,179.0500,184.5000,179.0000,183.4750,69142
2024-05-30,183.1500,184.8500,180.2750,181.7500,36512
2024-05-31,181.9750,189.5000,175.9000,176.6500,127006
2024-06-03,181.0000,183.9250,175.9500,179.1000,105032
2024-06-04,176.5000,176.8500,157.9000,164.9250,155880
2024-06-05,165.5000,175.8500,162.6750,174.0750,146144
2024-06-06,181.5000,183.9500,172.4750,176.3000,124122
2024-06-07,178.5000,183.2500,177.5000,182.1250,52672
2024-06-10,180.5250,187.3500,180.5000,185.7500,112896
2024-06-11,185.7500,192.1750,185.6500,190.6250,114998
2024-06-12,190.6250,193.5250,189.0750,193.0500,100430
2024-06-13,193.9500,196.4500,190.5250,195.1250,121264
2024-06-14,197.0750,197.0750,191.1750,192.7250,105044
2024-06-18,193.0000,194.1250,182.6500,186.2250,111684
2024-06-19,186.2750,187.5750,182.8500,184.6000,71208
2024-06-20,185.4500,193.0000,184.9500,191.9500,135826
2024-06-21,192.2000,197.0000,187.5000,188.1250,85370
2024-06-24,186.5000,195.5750,185.5000,193.3750,137562
2024-06-25,195.5000,204.4750,185.6250,187.4750,291560
2024-06-26,190.2750,191.9000,185.5000,187.4000,71570
2024-06-27,187.4750,190.0000,186.7750,187.7000,77444
2024-06-28,187.9500,206.7000,187.9500,192.1500,851470
2024-07-01,194.3250,202.5000,191.5500,199.1250,357730
2024-07-02,201.0500,204.2500,195.5000,197.6000,159508
2024-07-03,198.6500,200.2000,195.5000,196.7000,87758
2024-07-04,198.1000,209.1000,195.0000,202.5500,734468
2024-07-05,209.5500,226.0000,208.0000,219.9000,1638768
2024-07-08,223.2000,232.5000,215.0000,220.9500,793102
2024-07-09,221.8750,231.0000,217.0250,223.9750,331390
2024-07-10,225.4750,225.7750,215.0000,223.3500,212864
2024-07-11,229.2000,231.7250,220.5000,221.9250,189744
2024-07-12,222.5000,222.5000,217.5000,218.5500,71670
2024-07-15,219.0000,219.6500,212.8500,213.3750,117088
2024-07-16,213.5000,215.8500,212.5000,213.2750,54910
2024-07-18,213.5000,222.9500,205.5500,215.6000,440458
2024-07-19,215.5000,215.5000,203.0500,204.5250,154042
2024-07-22,201.0000,208.2500,198.0000,206.9250,118068
2024-07-23,205.5000,211.2250,196.2000,209.0250,138876
2024-07-24,208.9500,210.4000,207.5500,208.4000,41424
2024-07-25,207.4750,208.0250,203.1000,206.4500,99980
2024-07-26,208.8250,224.3500,207.1500,215.6500,228010
2024-07-29,216.5000,220.0250,208.6500,212.3500,140862
2024-07-30,212.3500,217.4750,211.5000,215.4250,86954
2024-07-31,216.8750,216.8750,210.0000,211.8000,63074
2024-08-01,214.6250,214.6250,206.3750,209.6500,86134
2024-08-02,210.7500,217.0000,209.6750,213.3500,130756
2024-08-05,203.5750,223.6750,203.5750,214.4000,650612
2024-08-06,218.8000,223.7000,214.8750,216.1750,230368
2024-08-07,218.0500,226.6000,212.3000,223.7500,354242
2024-08-08,225.0000,229.0250,219.1000,220.2500,128222
2024-08-09,221.4000,231.0000,218.6000,222.6500,526610
2024-08-12,224.7000,228.7500,220.5750,222.0000,166532
2024-08-13,221.9000,224.8500,210.0000,212.4750,195066
2024-08-14,217.2750,222.4000,209.3500,220.7250,184212
2024-08-16,225.0000,231.7500,222.3000,226.0500,273684
