date,open,high,low,close,volume
2023-09-18,193.7500,202.9000,193.7500,195.9000,10806
2023-09-20,195.9500,205.0000,195.0000,196.8500,15489
2023-09-21,195.1000,202.0000,194.5000,200.4000,8347
2023-09-22,199.0000,202.5000,195.6500,199.7000,5327
2023-09-25,195.3500,205.0000,195.3500,196.9500,6589
2023-09-26,200.8500,205.0000,195.0000,202.7500,11435
2023-09-27,206.7500,216.2500,200.0000,212.9000,71205
2023-09-28,214.8000,220.0000,212.1000,215.0000,59139
2023-09-29,216.0000,218.7000,212.1000,216.0000,33234
2023-10-03,216.0500,226.9500,210.3500,222.5000,46567
2023-10-04,226.9500,228.0000,218.0500,218.6500,23844
2023-10-05,219.0000,228.0000,218.5000,225.0000,64611
2023-10-06,225.0000,235.0000,224.8500,230.1500,80857
2023-10-09,229.9000,236.0000,214.0500,220.7000,74373
2023-10-10,222.9000,233.7000,219.9000,222.8000,54886
2023-10-11,222.8000,229.2000,222.4000,226.4000,19374
2023-10-12,230.8500,233.9500,222.6500,223.6500,25997
2023-10-13,225.9000,225.9000,219.3000,222.0000,28301
2023-10-16,225.3500,230.9000,219.9500,224.5000,22476
2023-10-17,226.0000,232.8000,221.3500,227.3000,54694
2023-10-18,230.7000,231.9000,222.0500,226.6500,18237
2023-10-19,228.9000,230.0000,217.2000,226.0500,24044
2023-10-20,225.1500,232.0000,208.0000,216.9500,67401
2023-10-23,220.0000,222.7000,216.5000,216.8500,47966
2023-10-25,221.0000,222.4000,214.5000,218.4500,37943
2023-10-26,222.7500,225.7000,215.6500,223.7500,53953
2023-10-27,228.0000,230.2500,225.3500,228.6500,52791
2023-10-30,230.5000,237.0000,229.5000,232.8000,55220
2023-10-31,232.8000,240.9000,232.8000,239.1500,108333
2023-11-01,239.0000,269.0000,239.0000,259.3000,324181
2023-11-02,262.0000,269.4000,252.0000,256.3500,172996
2023-11-03,260.0000,289.0000,257.0000,265.2000,177361
2023-11-06,268.7500,270.8500,263.0000,268.6500,109167
2023-11-07,269.8000,269.8000,262.0000,267.1000,99902
2023-11-08,268.9500,269.8000,260.3500,264.2000,61660
2023-11-09,264.8500,270.8500,246.1500,254.5000,157926
2023-11-10,254.5500,259.2000,250.0000,254.5500,77888
2023-11-13,261.5000,264.5000,252.7000,263.2000,83533
2023-11-15,263.3000,273.9500,261.0000,272.0500,83862
2023-11-16,272.9500,279.9500,268.0000,271.3000,77018
2023-11-17,271.3000,272.6500,264.0000,269.3500,68070
2023-11-20,272.2000,279.0500,268.8000,278.3000,107993
2023-11-21,279.3000,293.1000,278.4500,284.6000,147600
2023-11-22,286.5000,286.5000,278.4500,281.1000,59532
2023-11-23,276.9000,284.9000,276.9000,280.1000,44686
2023-11-24,280.0000,284.0000,280.0000,281.3000,44162
2023-11-28,283.0000,295.3500,281.0000,283.2500,69275
2023-11-29,283.3000,289.0000,278.0000,282.6500,61512
2023-11-30,286.9000,286.9000,281.6000,282.3500,38915
2023-12-01,283.8000,286.0500,276.5000,285.0500,78388
2023-12-04,296.0000,299.9500,287.0000,294.9500,145837
2023-12-05,296.5000,299.6000,288.0000,298.7500,64282
2023-12-06,300.3000,303.0000,295.0000,296.3000,56037
2023-12-07,296.3500,297.9000,289.0000,291.7000,43164
2023-12-08,290.0500,305.0000,290.0500,302.6000,81566
2023-12-11,304.7000,308.3000,302.0000,304.7500,34676
2023-12-12,309.0000,309.0000,298.0000,302.9500,69333
2023-12-13,302.0000,312.2000,299.1500,308.1000,80151
2023-12-14,312.7000,349.0000,311.0000,319.9000,284512
2023-12-15,323.1000,328.4000,311.0000,318.5500,80169
2023-12-18,321.0000,321.0000,307.4500,312.7000,13683
2023-12-19,313.0000,318.0000,312.8500,313.1000,5058
2023-12-20,313.0000,318.0000,298.0000,300.8000,17175
2023-12-21,288.0000,310.0000,288.0000,302.3000,5356
2023-12-22,305.0000,305.0000,296.0000,303.1500,7568
2023-12-26,303.1500,309.9000,301.0000,304.7500,4819
2023-12-27,309.9000,310.0000,291.0000,294.8500,20226
2023-12-28,308.9000,308.9000,295.5000,300.1500,2703
2023-12-29,299.0000,299.0000,292.2000,297.3500,5094
2024-01-01,308.9000,308.9000,295.0000,299.1500,5241
2024-01-02,299.2000,299.2000,294.0000,295.0000,2477
2024-01-03,295.0000,298.9000,294.4500,294.5000,2238
2024-01-04,307.0000,307.0000,288.7000,293.2000,4773
2024-01-05,289.1000,295.5000,278.5500,283.0000,9474
2024-01-08,283.0000,295.0000,272.1000,283.2000,5233
2024-01-09,283.2500,294.0000,280.0000,291.9000,4754
2024-01-10,305.0000,305.0000,278.0000,289.0000,3784
