date,open,high,low,close,volume
2023-09-18,1220.0250,1225.5000,1216.0250,1218.2250,7516300
2023-09-20,1211.5250,1213.8000,1177.5000,1191.0750,57081884
2023-09-21,1187.4750,1195.0500,1180.0000,1182.4000,12226182
2023-09-22,1188.0000,1191.2250,1175.0000,1177.4750,19176786
2023-09-25,1175.2000,1180.3500,1167.5500,1170.2250,14254884
2023-09-26,1169.2750,1175.1000,1167.8000,1171.2500,10087782
2023-09-27,1171.7500,1185.9000,1169.2500,1184.4500,11722778
2023-09-28,1191.5000,1191.5000,1162.5000,1167.0500,14518346
2023-09-29,1170.9000,1184.5500,1167.0500,1172.5000,12342014
2023-10-03,1164.9750,1167.8000,1158.0000,1159.0750,8859056
2023-10-04,1154.5000,1159.5000,1147.5500,1157.0750,10286386
2023-10-05,1159.6250,1164.7000,1154.5000,1157.0500,10953682
2023-10-06,1158.5250,1162.4000,1156.0250,1159.0000,5431026
2023-10-09,1154.0500,1155.9750,1147.5000,1149.1250,7576878
2023-10-10,1153.2750,1158.9500,1151.8750,1154.2000,10236032
2023-10-11,1157.2250,1174.8500,1156.5000,1172.5250,9814118
2023-10-12,1171.9250,1179.6750,1169.0750,1174.7000,12554450
2023-10-13,1170.0000,1178.7500,1164.5750,1174.6500,10150316
2023-10-16,1172.5000,1177.2750,1168.0000,1172.0250,5929036
2023-10-17,1178.0000,1179.8500,1170.6500,1177.6250,7928180
2023-10-18,1177.6250,1183.5000,1160.5000,1162.0000,8918320
2023-10-19,1156.0000,1160.9000,1150.5000,1153.0750,12032556
2023-10-20,1150.0000,1157.3500,1148.1500,1149.5500,8913312
2023-10-23,1145.0000,1153.1250,1127.6250,1131.6000,7853962
2023-10-25,1125.0250,1140.6000,1121.5000,1128.9750,11620688
2023-10-26,1125.5000,1129.0000,1110.1500,1113.2500,15222534
2023-10-27,1120.0000,1136.7500,1117.9750,1132.9000,11771084
2023-10-30,1137.0000,1162.5000,1134.9750,1156.2500,16813304
2023-10-31,1164.0000,1164.0000,1141.4500,1143.9500,12808438
2023-11-01,1144.5750,1158.7500,1137.6000,1148.7000,10309190
2023-11-02,1156.9750,1162.1500,1153.9750,1160.1000,10562104
2023-11-03,1163.6000,1167.4750,1157.8750,1159.8500,8850156
2023-11-06,1166.1500,1170.0000,1162.8000,1169.5000,10647304
2023-11-07,1167.0250,1169.5500,1159.7750,1161.9000,6960204
2023-11-08,1166.0000,1170.5000,1160.8750,1167.9500,7884494
2023-11-09,1167.9250,1167.9500,1152.1000,1155.2750,14513610
2023-11-10,1152.7750,1158.1750,1149.0250,1157.4500,7734954
2023-11-13,1161.4500,1162.3000,1155.8500,1157.3000,3854810
2023-11-15,1170.0000,1180.9750,1163.5000,1178.2250,12220648
2023-11-16,1175.5500,1187.0750,1173.4750,1180.3500,13134910
2023-11-17,1176.4500,1186.6250,1176.0250,1177.7750,7758634
2023-11-20,1174.2750,1179.2000,1168.2000,1174.6750,4490186
2023-11-21,1183.0000,1194.0000,1180.1000,1189.4500,8214450
2023-11-22,1187.5000,1197.2250,1186.1000,1194.1000,8534814
2023-11-23,1194.1000,1200.0000,1194.1000,1197.7500,8531542
2023-11-24,1195.8000,1201.3000,1195.5250,1196.9500,6749486
2023-11-28,1196.9500,1199.8500,1187.6250,1197.2000,13792174
2023-11-29,1204.0000,1205.9750,1199.0250,1200.3500,12531306
2023-11-30,1197.3500,1200.3500,1184.9500,1188.7250,28439984
2023-12-01,1189.0000,1198.2000,1188.8000,1197.1500,14342842
2023-12-04,1225.0000,1225.0000,1199.3000,1210.1000,15590990
2023-12-05,1219.5000,1220.4250,1210.8250,1218.8750,12693624
2023-12-06,1223.5500,1236.4750,1217.5000,1230.5500,16422442
2023-12-07,1230.0000,1230.4750,1221.0000,1228.5250,8142096
2023-12-08,1231.9250,1238.3500,1222.5000,1227.8750,10204894
2023-12-11,1228.0000,1233.8000,1226.2000,1229.6750,7066138
2023-12-12,1230.0000,1232.4750,1210.0750,1212.0250,9197124
2023-12-13,1211.0000,1219.1750,1203.1500,1216.9750,10031182
2023-12-14,1227.0000,1237.4750,1221.3250,1232.0750,16972354
2023-12-15,1239.0000,1250.0000,1235.0250,1247.8000,15932152
2023-12-18,1247.8000,1267.4500,1245.4750,1260.5000,14165188
2023-12-19,1277.5000,1286.9500,1262.6000,1279.0500,16820604
2023-12-20,1285.5250,1299.4250,1260.0000,1263.5750,17736722
2023-12-21,1263.5000,1286.7500,1259.1250,1281.2750,13765454
2023-12-22,1279.8000,1290.4500,1273.8250,1282.5250,16541784
2023-12-26,1284.0000,1295.9750,1281.3500,1289.0250,7465664
2023-12-27,1291.0000,1299.9500,1286.5500,1293.4250,9204156
2023-12-28,1294.9000,1306.0000,1293.4250,1302.7750,12302636
2023-12-29,1305.5500,1307.0000,1289.6500,1292.4750,10864584
2024-01-01,1290.2750,1303.4250,1286.5750,1295.1250,4030540
2024-01-02,1292.5000,1307.5000,1286.5000,1305.8500,7448800
2024-01-03,1305.0000,1317.0000,1288.6000,1291.6500,9037536
2024-01-04,1294.0000,1304.9250,1289.5500,1298.3250,9612778
2024-01-05,1301.4500,1309.9250,1299.0000,1303.8500,8086406
2024-01-08,1305.0000,1315.9750,1284.4750,1293.6750,7734652
2024-01-09,1300.0000,1303.4000,1288.6000,1290.2500,5403074
2024-01-10,1288.5000,1329.5000,1287.5250,1325.0500,11102740
2024-01-11,1329.5000,1362.5000,1328.5000,1359.9000,23725852
2024-01-12,1359.9000,1373.3250,1345.7500,1370.7250,15012164
2024-01-15,1375.0000,1396.4500,1366.0000,1394.1250,8610594
2024-01-16,1389.9750,1396.3000,1370.5000,1374.6250,9069024
2024-01-17,1359.5000,1386.2750,1355.0250,1361.5750,12197382
2024-01-18,1351.4000,1371.0000,1351.2500,1367.9500,10279438
2024-01-19,1376.0000,1376.0000,1359.0000,1367.4500,10422704
2024-01-23,1371.7500,1371.7500,1322.5500,1328.5750,20055420
2024-01-24,1335.2250,1349.5000,1323.9250,1343.8750,21919128
2024-01-25,1342.9500,1364.1500,1335.2000,1353.0750,11808872
2024-01-29,1364.5000,1452.5000,1360.1750,1448.0500,23893438
2024-01-30,1459.9500,1459.9750,1404.4250,1407.6250,14093978
2024-01-31,1404.0000,1434.2500,1402.5000,1426.6250,15130226
2024-02-01,1435.0000,1443.3500,1418.0500,1426.6500,13349362
2024-02-02,1433.1750,1474.9000,1433.1750,1457.7000,19652588
2024-02-05,1460.7500,1470.5000,1431.5250,1439.0250,8814432
2024-02-06,1441.8500,1441.8500,1419.8250,1427.8000,9047984
2024-02-07,1435.9250,1449.5000,1429.2500,1442.1500,9296568
2024-02-08,1450.0000,1459.4750,1427.5250,1450.1250,14694634
2024-02-09,1454.0000,1471.9750,1450.9500,1460.7500,12556798
2024-02-12,1460.7500,1461.0000,1442.3500,1452.3500,6674430
2024-02-13,1455.5000,1479.0000,1454.0000,1465.1000,7715594
2024-02-14,1457.5000,1483.6500,1457.5000,1481.3750,7117888
2024-02-15,1483.3500,1484.7250,1466.5250,1470.6000,10006782
2024-02-16,1476.4750,1477.0000,1458.5500,1460.5750,9767498
2024-02-19,1462.0500,1479.5000,1453.5250,1474.0000,6729828
2024-02-20,1475.0250,1475.5000,1461.8000,1471.0250,7117496
2024-02-21,1474.0000,1488.5250,1457.5500,1467.7000,12720292
2024-02-22,1468.1500,1484.9500,1458.0000,1481.7500,18493728
2024-02-23,1489.5000,1497.5500,1483.3500,1493.6250,14438584
2024-02-26,1493.5500,1494.5250,1482.5000,1487.3250,7513106
2024-02-27,1483.0250,1499.9500,1478.0500,1485.6500,10826044
2024-02-28,1483.0000,1491.2750,1450.1750,1455.6250,8647950
2024-02-29,1465.0000,1478.9750,1454.5250,1460.8000,23628976
