date,open,high,low,close,volume
2026-07-16,169.9900,170.5000,162.2600,163.9400,165163
2026-07-17,165.0000,167.7000,157.0000,157.7600,253210
2026-07-20,162.0000,162.0000,159.4100,160.5100,64158
2026-07-21,160.9200,164.7000,160.5200,162.8400,80778
2026-07-22,164.6000,165.0000,159.5000,160.3300,77031
2026-07-23,161.0100,161.8400,157.0000,157.6600,64421
2026-07-24,157.0000,158.0000,155.1000,157.5100,56559
2026-07-27,157.5700,161.9900,156.7000,157.2100,41734
2026-07-28,157.9900,159.6500,154.3000,155.2300,101951
2026-07-29,156.7800,161.0000,156.0000,159.2600,106807
2026-07-30,161.8800,161.8800,156.1600,156.9100,40128
2026-07-31,159.7800,160.4900,157.1300,158.9300,61824
2026-08-03,161.9500,163.4400,157.1700,159.2500,117095
2026-08-04,160.4300,161.2000,158.0000,159.2600,63897
2026-08-05,159.2600,160.9900,156.0500,159.6000,101793
2026-08-06,161.8500,161.8500,159.0000,160.0500,48782
2026-08-07,161.0000,162.9900,159.8000,161.4400,86577
2026-08-10,162.5800,162.5800,156.7600,157.9600,74842
2026-08-11,165.0000,185.9900,164.0000,176.1300,2174035
2026-08-12,178.9700,185.1500,172.2500,176.8000,673721
2026-08-13,175.8000,175.9000,165.4000,166.6400,326629
2026-08-14,167.9500,168.6200,163.2100,165.3600,165640
2026-08-17,169.6900,178.0000,165.5500,173.9400,524243
2026-08-18,176.8000,176.8000,168.0000,170.3500,139576
2026-08-19,170.3000,170.3000,165.0000,166.2300,129460
2026-08-20,169.0000,169.0000,163.1000,164.3800,135274
2026-08-21,166.9900,166.9900,164.2600,164.9300,50964
2026-08-24,166.7000,169.6200,162.5000,164.1700,89584
2026-08-25,165.3900,166.8800,162.1700,162.9200,77109
2026-08-26,162.1600,167.0000,161.5000,164.4600,85489
2026-08-27,165.4400,166.9000,161.0000,162.2100,92180
2026-08-28,162.5800,163.9900,158.0000,159.8300,180957
2026-08-31,160.9700,161.6000,157.9200,159.2700,96898
2026-09-01,160.4500,160.4600,156.0500,157.5000,78861
2026-09-02,158.4400,159.0000,154.0000,157.6900,78631
2026-09-03,160.0000,162.7700,154.0000,157.5800,505055
2026-09-04,158.0000,175.4500,158.0000,169.8600,335333
2026-09-07,175.0400,203.8300,175.0400,191.9500,11233703
2026-09-08,191.1600,193.0100,179.0700,183.8400,1449221
2026-09-09,185.0000,191.5000,181.8200,184.9000,932071
2026-09-10,184.0100,191.1000,176.0500,177.3800,2170322
2026-09-11,177.9900,181.0000,172.6100,177.2600,353197
2026-09-14,177.2600,177.2600,177.2600,177.2600,0
2026-09-15,180.0000,181.0000,170.2700,171.5000,512746
2026-09-16,172.0000,184.0000,164.1100,179.7700,1024737
2026-09-17,194.7400,207.7100,186.5100,197.6300,36388658
