date,open,high,low,close,volume
2023-09-18,22.8500,22.8500,22.8500,22.8500,3164
2023-09-20,22.4000,22.4000,22.4000,22.4000,3416
2023-09-21,21.9500,21.9500,21.9500,21.9500,2734
2023-09-22,21.5500,21.5500,21.5500,21.5500,2391
2023-09-25,21.1500,21.1500,21.1500,21.1500,763
2023-09-26,20.7500,20.7500,20.7500,20.7500,1642
2023-09-27,20.3500,20.3500,20.3500,20.3500,2966
2023-09-28,19.9500,19.9500,19.9500,19.9500,2295
2023-09-29,19.5500,19.5500,19.5500,19.5500,1021
2023-10-03,19.1500,19.1500,19.1500,19.1500,1827
2023-10-04,18.8000,18.9000,18.8000,18.8000,50110
2023-10-05,18.5000,18.6500,18.5000,18.5000,26409
2023-10-06,18.1500,18.5000,18.1500,18.1500,26081
2023-10-09,18.5000,18.5000,18.5000,18.5000,19047
2023-10-10,18.8500,18.8500,18.8500,18.8500,5957
2023-10-11,19.2000,19.2000,19.2000,19.2000,3550
2023-10-12,19.1000,19.5000,19.0500,19.1000,19993
2023-10-13,19.4000,19.4000,19.1000,19.4000,7913
2023-10-16,19.5000,20.3500,18.6000,20.2000,63047
2023-10-17,20.4000,21.2000,20.2000,21.2000,22607
2023-10-18,22.2000,22.2500,22.2000,22.2500,36425
2023-10-19,23.3500,23.3500,23.3500,23.3500,16754
2023-10-20,24.4500,24.5000,22.3000,23.9500,134653
2023-10-23,24.0500,25.0000,22.7500,23.8000,110614
2023-10-25,22.8500,24.9000,22.6500,22.6500,32882
2023-10-26,22.2000,22.2000,22.2000,22.2000,3906
2023-10-27,21.7500,21.7500,21.7500,21.7500,9751
2023-10-30,21.7000,21.7000,21.3500,21.7000,8851
2023-10-31,21.3000,21.3000,21.3000,21.3000,2062
2023-11-01,20.9500,20.9500,20.9000,20.9500,7859
2023-11-02,20.5500,20.9000,20.5500,20.5500,5750
2023-11-03,20.1500,20.4000,20.1500,20.1500,10529
2023-11-06,19.9000,19.9000,19.8000,19.9000,11596
2023-11-07,19.6000,19.7500,19.5000,19.6000,14052
2023-11-08,19.6000,19.6000,19.5000,19.6000,13625
2023-11-09,19.2000,19.6000,19.2000,19.2000,8435
2023-11-10,19.0500,19.2000,19.0500,19.0500,3496
2023-11-13,19.4000,19.4000,19.1000,19.4000,7282
2023-11-15,19.7500,19.7500,19.7500,19.7500,5225
2023-11-16,19.6500,19.7000,19.6500,19.6500,8260
2023-11-17,20.0000,20.0000,19.7000,20.0000,4595
2023-11-20,20.2000,20.4000,20.0000,20.2000,13694
2023-11-21,20.6000,20.6000,20.2500,20.6000,7452
2023-11-22,21.0000,21.0000,20.6000,21.0000,4920
2023-11-23,21.4000,21.4000,21.0500,21.4000,8077
2023-11-24,21.0500,21.4000,21.0500,21.0500,4335
2023-11-28,20.7500,21.0500,20.7500,20.7500,10018
2023-11-29,20.7500,20.9500,20.7500,20.7500,5808
2023-11-30,20.3500,20.4000,20.3500,20.3500,4546
2023-12-01,20.3500,20.7000,20.3500,20.3500,9571
2023-12-04,20.9500,20.9500,19.5500,20.4500,42125
2023-12-05,20.9500,20.9500,19.7000,20.0500,30221
2023-12-06,20.3500,21.0500,19.5000,21.0500,41110
2023-12-07,22.0000,22.1000,21.3000,22.1000,29876
2023-12-08,23.1000,23.2000,23.0000,23.2000,39946
2023-12-11,23.3000,24.3500,23.3000,24.3500,25186
2023-12-12,25.5500,25.5500,23.1500,23.2500,104531
