date,open,high,low,close,volume
2023-09-18,231.0000,232.1000,226.9000,228.4750,649390
2023-09-20,228.4700,228.4700,221.5000,221.9200,250140
2023-09-21,222.0000,223.2000,218.7450,222.3950,169340
2023-09-22,222.0000,226.8100,218.1250,221.8200,228790
2023-09-25,222.9900,228.5050,221.1050,226.4500,395870
2023-09-26,225.4500,227.8850,224.1000,224.9550,110010
2023-09-27,225.3150,228.8050,224.1250,226.4050,284490
2023-09-28,227.0000,227.0000,222.1000,223.2950,82640
2023-09-29,224.4700,226.3600,218.0750,220.1900,296850
2023-10-03,220.0000,222.0000,216.8800,219.3800,395100
2023-10-04,217.8000,224.5000,217.6000,221.0350,192570
2023-10-05,222.2000,225.0000,221.7500,223.3150,119770
2023-10-06,224.4900,225.1500,219.1600,222.6600,85090
2023-10-09,215.0000,228.8900,215.0000,223.8050,249220
2023-10-10,222.1100,224.2450,220.5200,221.6050,132640
2023-10-11,222.3300,225.1050,221.5000,223.6500,111560
2023-10-12,222.2050,228.0000,221.1150,224.9750,236960
2023-10-13,226.1600,226.1600,221.8700,224.9850,149420
2023-10-16,224.9850,230.0000,223.2500,227.5900,182670
2023-10-17,228.5000,230.0000,226.2050,227.4350,116400
2023-10-18,227.9000,228.8550,222.0300,225.5250,268560
2023-10-19,226.5000,227.0000,222.7650,225.1500,65180
2023-10-20,225.2000,230.9950,224.7750,229.8300,213320
2023-10-23,229.8000,230.0800,214.0000,222.0050,374380
2023-10-25,217.6000,223.0350,213.7000,219.0600,150810
2023-10-26,219.7000,219.7000,212.5000,213.3150,319780
2023-10-27,212.1800,223.7800,212.1800,220.4200,360200
2023-10-30,217.2000,224.4700,215.9050,221.6000,90310
2023-10-31,222.7700,224.8300,218.6000,221.3350,80560
2023-11-01,222.4950,222.5000,215.6000,217.6450,109360
2023-11-02,218.7900,222.7000,217.0000,220.4050,82730
2023-11-03,221.5700,224.2400,220.2500,221.3350,80700
2023-11-06,221.7400,223.7000,219.6350,221.5900,66020
2023-11-07,227.6000,234.5000,215.0050,225.5800,598720
2023-11-08,225.4000,228.3950,220.8000,227.0350,252890
2023-11-09,225.1000,227.8050,221.9000,224.3900,70080
2023-11-10,224.6000,230.9550,223.1100,228.9450,119100
2023-11-13,229.7000,229.7000,226.0000,228.1650,92780
2023-11-15,229.5000,229.8450,221.4050,224.1100,176720
2023-11-16,224.1000,231.4850,223.4000,227.0150,231230
2023-11-17,228.2000,233.9000,225.2100,228.9700,112130
2023-11-20,229.9000,239.0000,228.1450,235.1300,223390
2023-11-21,236.9000,239.0000,232.5650,237.4350,202370
2023-11-22,237.0000,238.6100,232.6850,234.0950,75340
2023-11-23,233.9050,237.6600,228.5550,230.5000,125770
2023-11-24,230.5000,232.6650,228.5550,230.1250,69990
2023-11-28,229.5000,233.1900,224.7150,231.4200,167790
2023-11-29,232.6000,235.7450,228.8500,233.7750,136540
2023-11-30,234.0850,239.0000,227.0850,233.2000,224830
2023-12-01,234.1000,249.4700,233.2950,245.1450,564180
2023-12-04,255.0000,255.0000,246.2950,249.9000,760370
2023-12-05,250.0000,252.1800,244.4400,247.1100,217590
2023-12-06,250.0000,251.1300,239.9950,242.6700,200980
2023-12-07,241.1950,241.1950,233.8000,235.3600,307270
2023-12-08,237.5150,239.7000,235.2900,238.4300,100000
2023-12-11,238.4300,240.0000,235.3950,237.9900,102280
2023-12-12,238.9900,242.1000,235.9950,239.9750,115570
2023-12-13,239.9000,244.4000,229.5100,242.0850,235740
2023-12-14,242.0000,243.2900,236.0100,237.2800,191060
2023-12-15,237.5000,238.9450,233.0300,234.9350,224800
2023-12-18,234.9000,240.0000,230.9800,236.5700,202510
2023-12-19,237.9900,242.5000,235.9850,240.4350,565970
2023-12-20,242.9000,242.9000,228.3000,232.9800,225880
2023-12-21,230.6350,238.5000,230.3350,234.9800,165550
2023-12-22,235.9450,240.0000,234.5150,237.6700,145760
2023-12-26,238.3950,239.2550,235.1350,237.8250,63830
2023-12-27,237.8250,242.2400,235.7200,240.3000,83610
2023-12-28,238.2000,247.9100,236.9250,244.4600,229870
2023-12-29,244.3000,254.4950,241.8800,252.0200,955090
2024-01-01,251.9000,255.0000,247.1350,253.0850,124110
2024-01-02,253.8950,254.8800,245.1900,247.2450,107620
2024-01-03,248.0100,253.6400,248.0100,251.8600,427210
2024-01-04,251.8600,262.0000,248.3200,250.0100,1364050
2024-01-05,252.8000,252.8000,245.6250,250.3850,178790
2024-01-08,250.3850,250.5000,245.0000,247.1500,84320
2024-01-09,247.7050,253.5450,242.8700,250.5750,204450
2024-01-10,251.5000,252.2950,246.6200,248.2900,1551450
2024-01-11,249.2850,252.4000,245.1550,248.3050,157060
2024-01-12,248.8900,250.9450,246.5000,248.5450,94880
2024-01-15,248.5450,248.5450,248.5450,248.5450,0
2024-01-16,247.3400,248.0800,240.0000,242.9100,144920
2024-01-17,242.5950,244.5000,239.0000,241.4350,81930
2024-01-18,241.9800,241.9800,232.3550,236.3900,175280
2024-01-19,237.7850,239.7000,232.5100,234.5350,119170
2024-01-23,235.1000,241.2950,233.5000,236.2000,316470
2024-01-24,236.2000,240.5100,234.6650,238.9600,116220
2024-01-25,239.9800,240.1000,234.0000,238.3450,59490
2024-01-29,240.4500,241.0000,232.8550,234.1800,124110
2024-01-30,234.8000,241.0000,234.8000,239.7550,191470
2024-01-31,239.6200,241.9100,236.4400,239.9000,165020
2024-02-01,240.0000,240.0000,216.4000,235.0500,701210
2024-02-02,230.0000,230.0000,223.9050,228.3200,885360
2024-02-05,221.1000,224.7800,210.8700,214.0100,888920
2024-02-06,203.0050,210.8950,197.5050,205.2850,2576700
2024-02-07,205.2000,217.1850,205.2000,215.2250,2127080
2024-02-08,216.8500,217.8000,213.4500,216.3450,1030300
2024-02-09,215.0000,216.3700,206.5000,212.3550,634450
2024-02-12,210.1000,215.1600,210.1000,213.0250,653000
2024-02-13,214.2300,214.6750,206.8550,208.8350,304530
2024-02-14,207.1000,214.8950,206.0000,212.5300,120210
2024-02-15,214.4800,214.4800,207.8000,210.5950,179240
2024-02-16,211.4350,219.3000,210.0100,218.0300,299130
2024-02-19,218.0150,228.0000,210.0100,223.7750,573290
2024-02-20,223.7750,223.9900,218.6400,220.1650,158820
2024-02-21,220.1000,221.0800,215.0000,216.8000,91510
2024-02-22,217.0000,220.0450,214.2600,218.1950,64130
2024-02-23,218.5000,218.6350,214.0000,215.6950,70950
2024-02-26,216.5000,217.6350,211.5450,213.3350,186490
2024-02-27,213.6000,218.0000,209.0000,216.2800,201290
2024-02-28,215.1000,216.7000,208.2200,210.2200,124050
2024-02-29,210.5300,212.1100,203.5000,204.9150,224750
2024-03-01,206.4100,208.3000,203.7850,205.9700,97260
2024-03-04,205.5000,208.5000,200.5050,204.2850,173680
2024-03-05,204.2850,207.7200,202.5000,203.9400,80070
2024-03-06,204.5000,204.7500,196.3550,200.1350,212080
2024-03-07,200.5000,201.4500,195.2000,198.0850,210020
2024-03-11,198.8750,199.8650,190.0000,191.1900,215770
2024-03-12,192.0000,194.1450,187.5000,191.6800,200790
2024-03-13,192.0000,192.0000,180.4000,182.6250,422740
2024-03-14,183.8950,190.5000,182.2400,184.5700,580630
2024-03-15,185.4900,191.4800,184.2000,186.9300,257040
2024-03-18,188.0500,189.5000,183.6050,186.2850,331510
2024-03-19,187.9600,188.4950,183.6000,184.7700,132800
2024-03-20,185.6400,188.0900,182.5000,183.6250,691150
2024-03-21,185.1000,190.7900,185.1000,187.2550,211200
2024-03-22,187.3000,187.7750,183.3750,184.7050,187780
2024-03-26,184.6700,186.3450,179.0050,179.9600,303520
2024-03-27,179.9950,183.8700,176.1000,176.6700,585890
2024-03-28,178.5000,182.5850,172.0000,174.8500,1720690
2024-04-01,174.8500,185.2000,174.8500,184.9300,252830
2024-04-02,184.9800,186.9000,181.8250,182.4350,222640
2024-04-03,184.0650,187.0000,181.0050,185.4150,1515760
2024-04-04,186.4750,191.0000,185.5000,189.4750,659270
2024-04-05,189.4750,190.7000,186.5000,187.7300,302610
2024-04-08,190.2400,195.6300,189.6050,191.4050,386270
2024-04-09,193.1000,193.1300,188.0000,188.9050,136140
2024-04-10,189.7600,193.4500,187.9550,192.9400,136430
2024-04-12,192.8000,193.7950,187.6200,189.5850,233760
2024-04-15,185.0100,187.9950,181.0100,183.3800,180600
2024-04-16,182.4000,189.4400,182.4000,187.0450,610470
